単語,総出現回数,出現事例数,事例出現率（％）,頻度順位
図書,19,15,0.2459,942
通常,19,18,0.2951,943
日常,19,19,0.3115,944
下ろす,19,19,0.3115,945
あう,19,19,0.3115,946
ケース,19,12,0.1968,947
眼瞼,19,18,0.2951,948
砂場,19,13,0.2131,949
裏,19,19,0.3115,950
調整,19,17,0.2787,951
ちょっかい,19,18,0.2951,952
ひも,19,15,0.2459,953
分かれる,19,19,0.3115,954
ライナー,19,19,0.3115,955
拭く,19,16,0.2623,956
まひ,19,19,0.3115,957
連絡,19,18,0.2951,958
体調,19,17,0.2787,959
三塁,19,18,0.2951,960
腰椎,19,19,0.3115,961
トラック,18,16,0.2623,962
測定,18,17,0.2787,963
言葉,18,17,0.2787,964
下がる,18,18,0.2951,965
半身,18,18,0.2951,966
出し,18,18,0.2951,967
近距離,18,17,0.2787,968
聴力,18,17,0.2787,969
全体,18,17,0.2787,970
てい,18,16,0.2623,971
ふらつく,18,18,0.2951,972
センター,18,17,0.2787,973
下部,18,18,0.2951,974
夏季,18,18,0.2951,975
道具,18,13,0.2131,976
物,18,18,0.2951,977
袋,18,13,0.2131,978
折,18,18,0.2951,979
タイミング,18,17,0.2787,980
渡る,18,18,0.2951,981
筆箱,18,11,0.1804,982
受け取る,18,17,0.2787,983
熱湯,18,16,0.2623,984
背部,18,18,0.2951,985
ストーブ,18,11,0.1804,986
特別,18,18,0.2951,987
頭頂,18,18,0.2951,988
蓋,18,14,0.2295,989
雑巾,18,13,0.2131,990
渡す,18,17,0.2787,991
上肢,18,18,0.2951,992
硬い,18,18,0.2951,993
血腫,18,18,0.2951,994
開,18,15,0.2459,995
込む,18,18,0.2951,996
土台,18,16,0.2623,997
片方,18,14,0.2295,998
ずれる,18,18,0.2951,999
立ち,18,16,0.2623,1000
ホームルーム,18,18,0.2951,1001
到着,18,18,0.2951,1002
丸,18,10,0.164,1003
発見,18,18,0.2951,1004
人組,18,17,0.2787,1005
ファウルチップ,18,18,0.2951,1006
耳鳴り,17,17,0.2787,1007
水道,17,14,0.2295,1008
だす,17,17,0.2787,1009
氷,17,13,0.2131,1010
所,17,15,0.2459,1011
バッティングマシーン,17,17,0.2787,1012
直前,17,16,0.2623,1013
アスファルト,17,16,0.2623,1014
ショート,17,17,0.2787,1015
防ぐ,17,16,0.2623,1016
痛む,17,17,0.2787,1017
違和感,17,17,0.2787,1018
重い,17,17,0.2787,1019
てんかん,17,17,0.2787,1020
ハンマー,17,9,0.1476,1021
シーソー,17,9,0.1476,1022
浮く,17,17,0.2787,1023
返す,17,17,0.2787,1024
捻挫,17,17,0.2787,1025
引火,17,17,0.2787,1026
駆ける,17,17,0.2787,1027
引き抜く,17,16,0.2623,1028
隠れる,17,15,0.2459,1029
もらう,17,17,0.2787,1030
流す,17,15,0.2459,1031
校外,17,17,0.2787,1032
プラスチック,17,16,0.2623,1033
ホール,17,17,0.2787,1034
釘,17,8,0.1312,1035
払う,17,17,0.2787,1036
刺す,17,15,0.2459,1037
養護,17,17,0.2787,1038
校内,17,16,0.2623,1039
筋,17,16,0.2623,1040
激痛,17,17,0.2787,1041
同士,17,17,0.2787,1042
交代,17,15,0.2459,1043
ワイヤー,17,11,0.1804,1044
木製,17,16,0.2623,1045
夏休み,17,17,0.2787,1046
腫れ,17,16,0.2623,1047
敷く,17,16,0.2623,1048
鎖骨,17,14,0.2295,1049
カンナ,17,11,0.1804,1050
砲丸,17,9,0.1476,1051
ローラー,17,9,0.1476,1052
損なう,17,17,0.2787,1053
精神,17,16,0.2623,1054
ヘリ,17,17,0.2787,1055
消しゴム,17,11,0.1804,1056
マシーン,17,13,0.2131,1057
摘出,17,17,0.2787,1058
生じる,16,16,0.2623,1059
スロープ,16,10,0.164,1060
図工,16,15,0.2459,1061
く,16,15,0.2459,1062
更衣,16,15,0.2459,1063
こめかみ,16,16,0.2623,1064
加わる,16,15,0.2459,1065
回復,16,15,0.2459,1066
鳴る,16,16,0.2623,1067
年,16,14,0.2295,1068
全校,16,16,0.2623,1069
ポスト,16,14,0.2295,1070
変える,16,16,0.2623,1071
紅白,16,16,0.2623,1072
サッシ,16,13,0.2131,1073
傾く,16,15,0.2459,1074
コーナー,16,13,0.2131,1075
缶,16,9,0.1476,1076
作り,16,16,0.2623,1077
男児,16,12,0.1968,1078
切り傷,16,16,0.2623,1079
腹痛,16,14,0.2295,1080
種目,16,16,0.2623,1081
校,16,16,0.2623,1082
縦,16,16,0.2623,1083
回り,16,16,0.2623,1084
とぶ,16,12,0.1968,1085
待ち,16,16,0.2623,1086
瞼,16,16,0.2623,1087
水筒,16,14,0.2295,1088
止め,16,16,0.2623,1089
テント,16,10,0.164,1090
呼びかける,16,16,0.2623,1091
洗う,16,16,0.2623,1092
輪,16,16,0.2623,1093
山,16,14,0.2295,1094
安全,16,14,0.2295,1095
あげる,16,16,0.2623,1096
リング,16,12,0.1968,1097
ゴルフ,16,12,0.1968,1098
カバー,16,14,0.2295,1099
車いす,16,10,0.164,1100
検査,16,14,0.2295,1101
走者,16,14,0.2295,1102
発現,16,16,0.2623,1103
打ち合い,16,14,0.2295,1104
既往症,16,16,0.2623,1105
円,16,14,0.2295,1106
心室,16,13,0.2131,1107
頚,16,16,0.2623,1108
加える,15,15,0.2459,1109
それる,15,15,0.2459,1110
つま,15,15,0.2459,1111
づく,15,15,0.2459,1112
半分,15,13,0.2131,1113
自力,15,15,0.2459,1114
自主,15,15,0.2459,1115
非常,15,13,0.2131,1116
付け根,15,15,0.2459,1117
背負う,15,15,0.2459,1118
針金,15,8,0.1312,1119
ペットボトル,15,10,0.164,1120
滑り落ちる,15,15,0.2459,1121
アルミ,15,13,0.2131,1122
油,15,9,0.1476,1123
驚く,15,14,0.2295,1124
ふた,15,10,0.164,1125
駅,15,13,0.2131,1126
記録,15,14,0.2295,1127
おでこ,15,15,0.2459,1128
てる,15,15,0.2459,1129
網,15,12,0.1968,1130
幼児,15,13,0.2131,1131
行なう,15,13,0.2131,1132
やけど,15,15,0.2459,1133
攻撃,15,14,0.2295,1134
ハーフ,15,14,0.2295,1135
ライン,15,13,0.2131,1136
隅,15,15,0.2459,1137
複数,15,15,0.2459,1138
糸,15,10,0.164,1139
舞台,15,6,0.0984,1140
助走,15,15,0.2459,1141
加工,15,15,0.2459,1142
器質,15,15,0.2459,1143
硬直,15,13,0.2131,1144
ドクター,15,15,0.2459,1145
ワン,15,15,0.2459,1146
駆け付ける,15,15,0.2459,1147
白内障,15,15,0.2459,1148
脈,15,14,0.2295,1149
痙攣,15,14,0.2295,1150
髄,15,15,0.2459,1151
係,14,14,0.2295,1152
当る,14,14,0.2295,1153
にくい,14,14,0.2295,1154
聞こえる,14,13,0.2131,1155
肩車,14,14,0.2295,1156
アップ,14,14,0.2295,1157
めがける,14,13,0.2131,1158
側面,14,14,0.2295,1159
状況,14,14,0.2295,1160
出来る,14,14,0.2295,1161
医療,14,14,0.2295,1162
道,14,14,0.2295,1163
趾,14,13,0.2131,1164
排水,14,10,0.164,1165
原動機,14,14,0.2295,1166
近い,14,14,0.2295,1167
休業,14,14,0.2295,1168
前日,14,14,0.2295,1169
乗り越える,14,13,0.2131,1170
防御,14,14,0.2295,1171
食,14,12,0.1968,1172
熱い,14,14,0.2295,1173
飴,14,8,0.1312,1174
探す,14,14,0.2295,1175
引っ掛ける,14,14,0.2295,1176
カッターナイフ,14,12,0.1968,1177
坂,14,11,0.1804,1178
制作,14,13,0.2131,1179
メニュー,14,13,0.2131,1180
頸部,14,14,0.2295,1181
上がり,14,12,0.1968,1182
遠い,14,14,0.2295,1183
弾み,14,14,0.2295,1184
か所,14,12,0.1968,1185
外す,14,13,0.2131,1186
無理,14,14,0.2295,1187
役,14,12,0.1968,1188
乗り,14,14,0.2295,1189
走り出す,14,14,0.2295,1190
フロア,14,13,0.2131,1191
チャイム,14,14,0.2295,1192
振り払う,14,14,0.2295,1193
リバウンド,14,14,0.2295,1194
タオル,14,10,0.164,1195
会場,14,14,0.2295,1196
元,14,14,0.2295,1197
ボクシング,14,8,0.1312,1198
屋内,14,14,0.2295,1199
抱く,14,13,0.2131,1200
長い,14,14,0.2295,1201
ワゴン,14,7,0.1148,1202
甲,14,13,0.2131,1203
入水,14,11,0.1804,1204
紙,14,11,0.1804,1205
小屋,14,8,0.1312,1206
うつ,14,14,0.2295,1207
演技,14,14,0.2295,1208
セカンド,14,12,0.1968,1209
外周,14,13,0.2131,1210
ジョギング,14,14,0.2295,1211
頃,14,10,0.164,1212
ピッチングマシーン,14,12,0.1968,1213
背負い投げ,14,14,0.2295,1214
異変,14,14,0.2295,1215
安静,14,14,0.2295,1216
マッサージ,14,13,0.2131,1217
合図,13,12,0.1968,1218
自然,13,12,0.1968,1219
ベッド,13,9,0.1476,1220
低い,13,13,0.2131,1221
刈り,13,12,0.1968,1222
大型,13,13,0.2131,1223
立てかける,13,12,0.1968,1224
尻もち,13,13,0.2131,1225
母親,13,9,0.1476,1226
空中,13,12,0.1968,1227
前後,13,13,0.2131,1228
変わる,13,13,0.2131,1229
水分,13,10,0.164,1230
不安定,13,10,0.164,1231
夕食,13,13,0.2131,1232
もと,13,13,0.2131,1233
発作,13,13,0.2131,1234
天,13,8,0.1312,1235
レール,13,11,0.1804,1236
グレーチング,13,9,0.1476,1237
尻,13,13,0.2131,1238
分かる,13,12,0.1968,1239
けが,13,13,0.2131,1240
皿,13,9,0.1476,1241
上体,13,12,0.1968,1242
水中,13,12,0.1968,1243
キック,13,12,0.1968,1244
ふく,13,13,0.2131,1245
背,13,13,0.2131,1246
剤,13,9,0.1476,1247
うつ伏せる,13,13,0.2131,1248
ボード,13,8,0.1312,1249
走り回る,13,13,0.2131,1250
草,13,11,0.1804,1251
取っ手,13,11,0.1804,1252
飛び越える,13,13,0.2131,1253
防火,13,10,0.164,1254
よろける,13,13,0.2131,1255
敷地,13,13,0.2131,1256
一環,13,13,0.2131,1257
こぼれる,13,13,0.2131,1258
移る,13,13,0.2131,1259
直径,13,13,0.2131,1260
マラソン,13,13,0.2131,1261
相撲,13,11,0.1804,1262
テラス,13,11,0.1804,1263
駐車,13,13,0.2131,1264
服,13,13,0.2131,1265
我慢,13,12,0.1968,1266
レンガ,13,7,0.1148,1267
ズボン,13,11,0.1804,1268
抱える,13,11,0.1804,1269
製作,13,13,0.2131,1270
すり抜ける,13,13,0.2131,1271
レンズ,13,13,0.2131,1272
プレーヤー,13,11,0.1804,1273
タワー,13,8,0.1312,1274
添える,13,13,0.2131,1275
S,13,13,0.2131,1276
メガネ,13,12,0.1968,1277
荷台,13,10,0.164,1278
サード,13,11,0.1804,1279
揺らす,13,13,0.2131,1280
引き上げる,13,13,0.2131,1281
グローブ,13,13,0.2131,1282
寝技,13,13,0.2131,1283
房,13,13,0.2131,1284
レスリング,13,13,0.2131,1285
木材,13,8,0.1312,1286
作動,13,11,0.1804,1287
孔,13,13,0.2131,1288
鋸,13,7,0.1148,1289
節,13,11,0.1804,1290
下腹,13,13,0.2131,1291
捕まえる,12,12,0.1968,1292
受身,12,11,0.1804,1293
重なる,12,12,0.1968,1294
テープ,12,11,0.1804,1295
チップ,12,12,0.1968,1296
タイム,12,11,0.1804,1297
天井,12,9,0.1476,1298
吐き気,12,11,0.1804,1299
台車,12,5,0.082,1300
起きる,12,12,0.1968,1301
ひっかける,12,12,0.1968,1302
左右,12,12,0.1968,1303
はずれる,12,12,0.1968,1304
補給,12,11,0.1804,1305
以前,12,12,0.1968,1306
くずす,12,12,0.1968,1307
シート,12,12,0.1968,1308
本校,12,12,0.1968,1309
ひどい,12,12,0.1968,1310
ひとり,12,11,0.1804,1311
教卓,12,10,0.164,1312
怪我,12,12,0.1968,1313
とっさ,12,12,0.1968,1314
滑走,12,12,0.1968,1315
バーベル,12,7,0.1148,1316
付,12,12,0.1968,1317
皮膚,12,12,0.1968,1318
小石,12,11,0.1804,1319
マンション,12,9,0.1476,1320
送る,12,12,0.1968,1321
早い,12,12,0.1968,1322
身,12,12,0.1968,1323
浴びる,12,12,0.1968,1324
作成,12,12,0.1968,1325
歩,12,12,0.1968,1326
幹部,12,12,0.1968,1327
投げ出す,12,12,0.1968,1328
路面,12,12,0.1968,1329
擦り傷,12,12,0.1968,1330
配膳,12,11,0.1804,1331
秒,12,10,0.164,1332
おもちゃ,12,9,0.1476,1333
横切る,12,12,0.1968,1334
塀,12,9,0.1476,1335
入り込む,12,12,0.1968,1336
具,12,11,0.1804,1337
気が付く,12,12,0.1968,1338
ヘルメット,12,11,0.1804,1339
再開,12,11,0.1804,1340
移送,12,12,0.1968,1341
幅,12,11,0.1804,1342
進む,12,12,0.1968,1343
寄る,12,12,0.1968,1344
自席,12,12,0.1968,1345
起き上がる,12,12,0.1968,1346
体力,12,12,0.1968,1347
スティック,12,11,0.1804,1348
電柱,12,11,0.1804,1349
グリップ,12,7,0.1148,1350
軟式,12,12,0.1968,1351
走り幅跳び,12,12,0.1968,1352
受け身,12,12,0.1968,1353
ミニ,12,11,0.1804,1354
やめる,12,10,0.164,1355
はさみ,12,8,0.1312,1356
不良,12,12,0.1968,1357
シャープペンシル,12,9,0.1476,1358
組み,12,12,0.1968,1359
回し,12,11,0.1804,1360
ｋｍ,12,11,0.1804,1361
クリア,12,11,0.1804,1362
手押し,12,11,0.1804,1363
人工,12,11,0.1804,1364
脊髄,12,11,0.1804,1365
-,12,12,0.1968,1366
予行,11,11,0.1804,1367
ファール,11,11,0.1804,1368
教科,11,9,0.1476,1369
きる,11,11,0.1804,1370
ハンド,11,11,0.1804,1371
残り,11,11,0.1804,1372
一瞬,11,11,0.1804,1373
ポジション,11,10,0.164,1374
一番,11,11,0.1804,1375
交錯,11,11,0.1804,1376
後部,11,11,0.1804,1377
審判,11,10,0.164,1378
絡まる,11,11,0.1804,1379
バトン,11,10,0.164,1380
両側,11,10,0.164,1381
ソフトテニス,11,11,0.1804,1382
慌てる,11,11,0.1804,1383
割る,11,11,0.1804,1384
放す,11,11,0.1804,1385
太もも,11,11,0.1804,1386
考える,11,11,0.1804,1387
よそ見,11,11,0.1804,1388
競争,11,11,0.1804,1389
水飲み,11,10,0.164,1390
フレーム,11,10,0.164,1391
過ぎる,11,11,0.1804,1392
風,11,11,0.1804,1393
間に合う,11,11,0.1804,1394
陥没,11,8,0.1312,1395
午睡,11,11,0.1804,1396
言い合う,11,11,0.1804,1397
器具,11,9,0.1476,1398
前向き,11,11,0.1804,1399
逃げ込む,11,11,0.1804,1400
一輪車,11,11,0.1804,1401
咬む,11,10,0.164,1402
小走り,11,11,0.1804,1403
手袋,11,9,0.1476,1404
武道,11,11,0.1804,1405
木工,11,11,0.1804,1406
代わり,11,11,0.1804,1407
玩具,11,9,0.1476,1408
かする,11,11,0.1804,1409
吹奏楽,11,11,0.1804,1410
朝礼,11,8,0.1312,1411
降ろす,11,8,0.1312,1412
ラリー,11,11,0.1804,1413
ポット,11,8,0.1312,1414
飲む,11,10,0.164,1415
赤い,11,10,0.164,1416
上半身,11,11,0.1804,1417
競り合う,11,11,0.1804,1418
フットサル,11,11,0.1804,1419
丸める,11,11,0.1804,1420
滑り降りる,11,11,0.1804,1421
曲げる,11,9,0.1476,1422
電気,11,11,0.1804,1423
貫通,11,11,0.1804,1424
全力,11,11,0.1804,1425
マッチ,11,9,0.1476,1426
掛け,11,10,0.164,1427
眉毛,11,11,0.1804,1428
広場,11,10,0.164,1429
置き場,11,10,0.164,1430
原因,11,11,0.1804,1431
前進,11,11,0.1804,1432
工作,11,11,0.1804,1433
スポーツ,11,11,0.1804,1434
患部,11,11,0.1804,1435
自動,11,8,0.1312,1436
伏せ,11,11,0.1804,1437
取れる,11,11,0.1804,1438
もみ合う,11,11,0.1804,1439
チアリーディング,11,11,0.1804,1440
しびれ,11,11,0.1804,1441
川,11,8,0.1312,1442
進行,11,11,0.1804,1443
防止,11,11,0.1804,1444
かばん,11,8,0.1312,1445
おんぶ,11,6,0.0984,1446
かかと,11,10,0.164,1447
直す,11,10,0.164,1448
逸れる,11,11,0.1804,1449
研究,11,11,0.1804,1450
電動,11,9,0.1476,1451
膝蓋骨,11,5,0.082,1452
平行棒,11,10,0.164,1453
ペンチ,11,6,0.0984,1454
箒,11,4,0.0656,1455
捕手,11,11,0.1804,1456
崩れ落ちる,11,11,0.1804,1457
角膜,11,11,0.1804,1458
隊,11,10,0.164,1459
目撃,11,11,0.1804,1460
ストッパー,11,6,0.0984,1461
梗塞,11,11,0.1804,1462
飛び込み台,11,10,0.164,1463
家,10,10,0.164,1464
暴行,10,8,0.1312,1465
返事,10,10,0.164,1466
付き,10,10,0.164,1467
それぞれ,10,10,0.164,1468
整備,10,10,0.164,1469
手洗い,10,9,0.1476,1470
夜,10,10,0.164,1471
伴う,10,10,0.164,1472
振盪,10,10,0.164,1473
液,10,9,0.1476,1474
流れる,10,10,0.164,1475
新体操,10,10,0.164,1476
アメリカンフットボール,10,10,0.164,1477
掛かる,10,9,0.1476,1478
熱,10,6,0.0984,1479
スタンド,10,9,0.1476,1480
ランプ,10,6,0.0984,1481
芯,10,9,0.1476,1482
地上,10,10,0.164,1483
飛び散る,10,9,0.1476,1484
熱す,10,9,0.1476,1485
立て,10,7,0.1148,1486
躓く,10,10,0.164,1487
その間,10,10,0.164,1488
綱,10,4,0.0656,1489
はぐ,10,10,0.164,1490
現場,10,10,0.164,1491
自立,10,10,0.164,1492
通過,10,10,0.164,1493
こする,10,10,0.164,1494
つなぐ,10,10,0.164,1495
歩行,10,10,0.164,1496
良い,10,10,0.164,1497
取り出す,10,10,0.164,1498
尺,10,10,0.164,1499
レクリエーション,10,10,0.164,1500
テーブル,10,7,0.1148,1501
楽器,10,8,0.1312,1502
屋上,10,9,0.1476,1503
片手,10,10,0.164,1504
昼,10,10,0.164,1505
触る,10,10,0.164,1506
ざま,10,10,0.164,1507
走り込む,10,9,0.1476,1508
虫,10,9,0.1476,1509
ぬれる,10,10,0.164,1510
追いつく,10,10,0.164,1511
はねる,10,10,0.164,1512
機関,10,10,0.164,1513
ガードレール,10,10,0.164,1514
上下,10,10,0.164,1515
座,10,10,0.164,1516
卒業,10,9,0.1476,1517
頬骨,10,10,0.164,1518
滑り,10,10,0.164,1519
輪ゴム,10,8,0.1312,1520
技術,10,10,0.164,1521
紐,10,7,0.1148,1522
巻く,10,7,0.1148,1523
態度,10,10,0.164,1524
かがむ,10,10,0.164,1525
右前,10,10,0.164,1526
介助,10,8,0.1312,1527
背面,10,10,0.164,1528
コンテナ,10,6,0.0984,1529
集める,10,9,0.1476,1530
掴む,10,10,0.164,1531
センチ,10,10,0.164,1532
遠征,10,10,0.164,1533
じゃれる,10,10,0.164,1534
チェーン,10,9,0.1476,1535
ライト,10,9,0.1476,1536
着用,10,10,0.164,1537
拳,10,10,0.164,1538
突き,10,10,0.164,1539
団体,10,10,0.164,1540
たこ,10,4,0.0656,1541
交換,10,8,0.1312,1542
苦しい,10,9,0.1476,1543
はじく,10,10,0.164,1544
三角,10,7,0.1148,1545
イレギュラー,10,10,0.164,1546
発,10,10,0.164,1547
か月,10,10,0.164,1548
km,10,10,0.164,1549
解析,10,10,0.164,1550
不要,10,10,0.164,1551
脇腹,10,10,0.164,1552
下腹部,10,10,0.164,1553
爆発,9,8,0.1312,1554
内野,9,8,0.1312,1555
下方,9,9,0.1476,1556
リコーダー,9,5,0.082,1557
無い,9,8,0.1312,1558
投げつける,9,9,0.1476,1559
繰り返す,9,9,0.1476,1560
判明,9,9,0.1476,1561
揺れる,9,9,0.1476,1562
寮,9,8,0.1312,1563
答える,9,9,0.1476,1564
雲,9,8,0.1312,1565
コーン,9,6,0.0984,1566
アタック,9,9,0.1476,1567
各自,9,9,0.1476,1568
奥,9,9,0.1476,1569
委員,9,9,0.1476,1570
負担,9,9,0.1476,1571
最終,9,9,0.1476,1572
下駄,9,6,0.0984,1573
食器,9,6,0.0984,1574
不全,9,8,0.1312,1575
台風,9,7,0.1148,1576
落ち,9,9,0.1476,1577
軸,9,8,0.1312,1578
決める,9,9,0.1476,1579
mm,9,8,0.1312,1580
覚える,9,9,0.1476,1581
取り,9,9,0.1476,1582
出入口,9,9,0.1476,1583
車椅子,9,6,0.0984,1584
試験,9,9,0.1476,1585
削る,9,8,0.1312,1586
靭帯,9,9,0.1476,1587
停車,9,9,0.1476,1588
畑,9,9,0.1476,1589
登り,9,9,0.1476,1590
突っ込み,9,9,0.1476,1591
させる,9,8,0.1312,1592
下げる,9,9,0.1476,1593
強化,9,9,0.1476,1594
かご,9,9,0.1476,1595
スケーター,9,4,0.0656,1596
取り上げる,9,8,0.1312,1597
食事,9,7,0.1148,1598
ビーカー,9,3,0.0492,1599
当番,9,9,0.1476,1600
筒,9,7,0.1148,1601
棟,9,7,0.1148,1602
エプロン,9,7,0.1148,1603
駅伝,9,8,0.1312,1604
登,9,9,0.1476,1605
講堂,9,8,0.1312,1606
まわる,9,9,0.1476,1607
窓際,9,9,0.1476,1608
付ける,9,9,0.1476,1609
布,9,7,0.1148,1610
取り合う,9,9,0.1476,1611
カレー,9,5,0.082,1612
コーチ,9,6,0.0984,1613
籠,9,9,0.1476,1614
おかしい,9,9,0.1476,1615
絞める,9,8,0.1312,1616
真似,9,9,0.1476,1617
歳児,9,9,0.1476,1618
言い争う,9,9,0.1476,1619
カーテン,9,9,0.1476,1620
危ない,9,9,0.1476,1621
鼻骨,9,9,0.1476,1622
雨天,9,9,0.1476,1623
間際,9,9,0.1476,1624
花火,9,4,0.0656,1625
くぐる,9,8,0.1312,1626
馬跳び,9,9,0.1476,1627
跳躍,9,8,0.1312,1628
合唱,9,9,0.1476,1629
会話,9,9,0.1476,1630
すれ違う,9,9,0.1476,1631
スイング,9,9,0.1476,1632
はまる,9,9,0.1476,1633
あおる,9,9,0.1476,1634
ゴロ,9,9,0.1476,1635
庇,9,7,0.1148,1636
かかえる,9,9,0.1476,1637
ピアノ,9,6,0.0984,1638
運搬,9,7,0.1148,1639
スリッパ,9,6,0.0984,1640
A,9,7,0.1148,1641
先頭,9,8,0.1312,1642
息,9,9,0.1476,1643
壊死,9,9,0.1476,1644
かばう,9,8,0.1312,1645
達,9,9,0.1476,1646
跳ねる,9,9,0.1476,1647
速い,9,9,0.1476,1648
湿布,9,8,0.1312,1649
眼科,9,9,0.1476,1650
鼻血,9,8,0.1312,1651
空手,9,8,0.1312,1652
見失う,9,9,0.1476,1653
杭,9,5,0.082,1654
稽古,9,9,0.1476,1655
床の間,9,9,0.1476,1656
スイッチ,9,7,0.1148,1657
脾臓,9,8,0.1312,1658
つかまえる,8,8,0.1312,1659
うつぶせる,8,8,0.1312,1660
近寄る,8,8,0.1312,1661
筋力,8,8,0.1312,1662
楽しみ,8,8,0.1312,1663
縁石,8,8,0.1312,1664
説明,8,8,0.1312,1665
喉,8,8,0.1312,1666
行動,8,8,0.1312,1667
クロール,8,8,0.1312,1668
先輩,8,6,0.0984,1669
飛行機,8,7,0.1148,1670
週間,8,8,0.1312,1671
隣接,8,8,0.1312,1672
末節,8,8,0.1312,1673
母,8,8,0.1312,1674
感染,8,6,0.0984,1675
集会,8,8,0.1312,1676
利用,8,8,0.1312,1677
がけ,8,6,0.0984,1678
宙,8,8,0.1312,1679
言語,8,8,0.1312,1680
摂取,8,6,0.0984,1681
ビニール,8,7,0.1148,1682
取り付ける,8,7,0.1148,1683
ひな壇,8,4,0.0656,1684
落ち葉,8,7,0.1148,1685
壁際,8,8,0.1312,1686
突風,8,8,0.1312,1687
擦る,8,8,0.1312,1688
ゴミ,8,7,0.1148,1689
捨てる,8,8,0.1312,1690
過ごす,8,8,0.1312,1691
行為,8,8,0.1312,1692
部品,8,8,0.1312,1693
しっぽ,8,6,0.0984,1694
路上,8,8,0.1312,1695
まわり,8,7,0.1148,1696
エスカレーター,8,3,0.0492,1697
横断,8,8,0.1312,1698
裂ける,8,8,0.1312,1699
つかみ合う,8,8,0.1312,1700
踏み出す,8,8,0.1312,1701
発表,8,8,0.1312,1702
洗面,8,4,0.0656,1703
積み木,8,5,0.082,1704
布団,8,7,0.1148,1705
嫌がる,8,8,0.1312,1706
リヤカー,8,2,0.0328,1707
打ち,8,8,0.1312,1708
作品,8,7,0.1148,1709
コード,8,6,0.0984,1710
引っかける,8,8,0.1312,1711
かぶる,8,8,0.1312,1712
滑り込む,8,7,0.1148,1713
格技,8,8,0.1312,1714
結ぶ,8,7,0.1148,1715
夕方,8,8,0.1312,1716
女児,8,6,0.0984,1717
便器,8,6,0.0984,1718
硝子,8,8,0.1312,1719
背もたれ,8,8,0.1312,1720
車輪,8,8,0.1312,1721
帯,8,8,0.1312,1722
薪,8,4,0.0656,1723
キャップ,8,6,0.0984,1724
掌,8,8,0.1312,1725
上り,8,8,0.1312,1726
靴箱,8,7,0.1148,1727
違う,8,8,0.1312,1728
陰,8,8,0.1312,1729
選択,8,8,0.1312,1730
擦りむく,8,8,0.1312,1731
判断,8,8,0.1312,1732
心,8,7,0.1148,1733
替える,8,7,0.1148,1734
乗り出す,8,8,0.1312,1735
バレー,8,8,0.1312,1736
ギャラリー,8,6,0.0984,1737
動作,8,8,0.1312,1738
振り切る,8,8,0.1312,1739
鎌,8,4,0.0656,1740
新人,8,8,0.1312,1741
ムカデ,8,6,0.0984,1742
ラック,8,6,0.0984,1743
ベルト,8,4,0.0656,1744
沿い,8,8,0.1312,1745
支援,8,8,0.1312,1746
切り,8,8,0.1312,1747
こぶし,8,7,0.1148,1748
粘土,8,5,0.082,1749
継続,8,8,0.1312,1750
含む,8,8,0.1312,1751
男,8,7,0.1148,1752
かくれんぼ,8,8,0.1312,1753
基礎,8,8,0.1312,1754
提出,8,5,0.082,1755
工業,8,8,0.1312,1756
攻める,8,8,0.1312,1757
ぼやける,8,6,0.0984,1758
バトミントン,8,8,0.1312,1759
名前,8,7,0.1148,1760
中学校,8,8,0.1312,1761
羽根,8,3,0.0492,1762
寝る,8,8,0.1312,1763
ロング,8,7,0.1148,1764
矢,8,6,0.0984,1765
対戦,8,8,0.1312,1766
悪化,8,8,0.1312,1767
長縄,8,5,0.082,1768
試みる,8,8,0.1312,1769
神経症,8,8,0.1312,1770
消失,8,8,0.1312,1771
完走,8,7,0.1148,1772
緊急,8,8,0.1312,1773
仕掛ける,8,7,0.1148,1774
脈拍,8,8,0.1312,1775
確保,8,8,0.1312,1776
人さし指,8,8,0.1312,1777
落ち着く,8,6,0.0984,1778
プレス,8,5,0.082,1779
ピストル,7,4,0.0656,1780
ストレス,7,6,0.0984,1781
不安,7,7,0.1148,1782
難聴,7,7,0.1148,1783
呼び出す,7,7,0.1148,1784
研修,7,7,0.1148,1785
ベースボール,7,7,0.1148,1786
懸垂,7,7,0.1148,1787
感,7,6,0.0984,1788
人工芝,7,7,0.1148,1789
ぶらさがる,7,6,0.0984,1790
片足,7,6,0.0984,1791
公式,7,7,0.1148,1792
頭上,7,7,0.1148,1793
滑り台,7,6,0.0984,1794
着席,7,7,0.1148,1795
硬球,7,7,0.1148,1796
弓,7,5,0.082,1797
耐える,7,7,0.1148,1798
分の,7,6,0.0984,1799
仲間,7,6,0.0984,1800
気がつく,7,7,0.1148,1801
重ねる,7,7,0.1148,1802
吐く,7,7,0.1148,1803
心筋,7,7,0.1148,1804
歯科,7,7,0.1148,1805
つけ,7,6,0.0984,1806
モップ,7,6,0.0984,1807
呼び止める,7,7,0.1148,1808
フライパン,7,4,0.0656,1809
カップ,7,5,0.082,1810
格好,7,7,0.1148,1811
対抗,7,7,0.1148,1812
出口,7,7,0.1148,1813
厚い,7,7,0.1148,1814
スコップ,7,5,0.082,1815
あてる,7,7,0.1148,1816
付き添う,7,7,0.1148,1817
後半,7,7,0.1148,1818
あがる,7,7,0.1148,1819
予選,7,7,0.1148,1820
起こる,7,6,0.0984,1821
多量,7,7,0.1148,1822
