単語,総出現回数,出現事例数,事例出現率（％）,頻度順位
帰宅,62,60,0.9838,370
前のめり,62,61,1.0002,371
待つ,62,59,0.9674,372
飛び込む,62,55,0.9018,373
創,62,59,0.9674,374
眼窩,62,60,0.9838,375
変形,62,62,1.0166,376
痛い,61,58,0.951,377
キャッチボール,61,59,0.9674,378
科,61,60,0.9838,379
始める,61,60,0.9838,380
確認,61,58,0.951,381
外れる,61,60,0.9838,382
玄関,61,52,0.8526,383
下肢,61,56,0.9182,384
離す,60,57,0.9346,385
放課後,60,60,0.9838,386
辺り,60,60,0.9838,387
打撃,60,56,0.9182,388
運ぶ,60,57,0.9346,389
振り向く,60,60,0.9838,390
マシン,60,44,0.7214,391
塁,59,33,0.5411,392
戸,59,45,0.7378,393
送球,59,54,0.8854,394
立ち上がる,59,53,0.869,395
眉,59,55,0.9018,396
ラグビー,59,59,0.9674,397
段差,58,53,0.869,398
直後,58,58,0.951,399
席,58,49,0.8034,400
出場,58,58,0.951,401
突っ込む,58,55,0.9018,402
ラケット,57,47,0.7706,403
つける,57,56,0.9182,404
補助,57,44,0.7214,405
上部,57,54,0.8854,406
起こす,57,56,0.9182,407
破片,57,54,0.8854,408
トレーニング,57,53,0.869,409
トス,57,46,0.7542,410
ICD,57,57,0.9346,411
失敗,56,56,0.9182,412
手首,56,54,0.8854,413
休み,55,54,0.8854,414
製,55,53,0.869,415
避ける,55,53,0.869,416
場所,55,53,0.869,417
歯,55,54,0.8854,418
頚部,55,45,0.7378,419
刺さる,55,53,0.869,420
つかむ,55,52,0.8526,421
ブランコ,54,29,0.4755,422
激しい,54,54,0.8854,423
あたり,54,54,0.8854,424
実験,54,43,0.705,425
受傷,54,54,0.8854,426
症,54,48,0.787,427
爪,54,52,0.8526,428
鬼,54,43,0.705,429
直接,53,53,0.869,430
ベース,53,45,0.7378,431
周辺,53,51,0.8362,432
ハンドボール,53,51,0.8362,433
深い,53,53,0.869,434
人差し指,53,50,0.8198,435
至近,53,53,0.869,436
瞬間,52,52,0.8526,437
位,52,48,0.787,438
登る,52,49,0.8034,439
ブロック,52,42,0.6886,440
日,52,51,0.8362,441
崩れる,52,50,0.8198,442
向ける,52,52,0.8526,443
傘,52,34,0.5575,444
大きい,52,51,0.8362,445
開始,52,45,0.7378,446
側溝,51,39,0.6394,447
激突,51,51,0.8362,448
掃除,51,41,0.6722,449
欠損,51,49,0.8034,450
引っ張る,51,47,0.7706,451
要請,51,50,0.8198,452
頭痛,50,47,0.7706,453
ｃｍ,50,44,0.7214,454
動く,50,48,0.787,455
ゴールキーパー,50,49,0.8034,456
見える,50,49,0.8034,457
かけっこ,50,48,0.787,458
叩く,49,42,0.6886,459
言う,49,44,0.7214,460
次,49,47,0.7706,461
先端,49,46,0.7542,462
話,48,46,0.7542,463
ティー,48,46,0.7542,464
スキー,48,30,0.4919,465
挟まる,48,48,0.787,466
止める,48,45,0.7378,467
体勢,48,48,0.787,468
手すり,48,41,0.6722,469
足首,48,47,0.7706,470
開く,48,42,0.6886,471
cm,48,40,0.6558,472
睾丸,48,45,0.7378,473
投手,47,45,0.7378,474
教師,47,41,0.6722,475
コース,47,37,0.6067,476
脇,47,46,0.7542,477
転がる,47,47,0.7706,478
並ぶ,47,46,0.7542,479
網膜,47,38,0.6231,480
作る,46,45,0.7378,481
防,46,38,0.6231,482
