前件,後件,項目数,共起事例数,支持度,信頼度,lift
場合別1=通学中 | 被災学校種=小,場合別2=下校（降園）中,3,89,0.014592556156747007,0.712,23.60047826086956
通学方法=徒歩,場合別2=下校（降園）中 | 性別=男,3,70,0.011477291359239219,0.44025157232704404,23.553459119496857
場合別2=下校（降園）中 | 性別=男,通学方法=徒歩,3,70,0.011477291359239219,0.6140350877192983,23.553459119496857
通学方法=自転車,発生場所2=道路 | 被災学年=1,3,65,0.010657484833579275,0.47101449275362317,23.546863863150392
発生場所2=道路 | 被災学年=1,通学方法=自転車,3,65,0.010657484833579275,0.5327868852459017,23.546863863150392
通学方法=徒歩,場合別2=下校（降園）中 | 発生場所2=道路,3,97,0.01590424659780292,0.610062893081761,23.401091728966417
場合別2=下校（降園）中 | 発生場所2=道路,通学方法=徒歩,3,97,0.01590424659780292,0.610062893081761,23.401091728966417
場合別1=特別活動（除学校行事） | 性別=男,場合別2=日常の清掃,3,75,0.012297097884899164,0.39473684210526316,23.373786407766993
場合別2=日常の清掃,場合別1=特別活動（除学校行事） | 性別=男,3,75,0.012297097884899164,0.7281553398058253,23.37378640776699
場合別2=登校（登園）中,場合別1=通学中 | 被災学校種=高,3,66,0.010821446138711265,0.5,23.27862595419847
場合別1=通学中 | 被災学校種=高,場合別2=登校（登園）中,3,66,0.010821446138711265,0.5038167938931297,23.278625954198468
発生場所2=道路 | 被災学校種=小,場合別2=下校（降園）中,3,83,0.013608788325955074,0.6859504132231405,22.73701940352138
場合別2=下校（降園）中,発生場所2=道路 | 被災学校種=小,3,83,0.013608788325955074,0.45108695652173914,22.737019403521376
場合別2=日常の清掃,場合別1=特別活動（除学校行事） | 発生場所1=学校内・校舎内（園内・園舎内）,3,88,0.01442859485161502,0.8543689320388349,22.55755894590846
場合別1=特別活動（除学校行事） | 発生場所1=学校内・校舎内（園内・園舎内）,場合別2=日常の清掃,3,88,0.01442859485161502,0.38095238095238093,22.55755894590846
場合別1=学校行事,場合別2=運動会・体育祭,2,68,0.011149368748975241,0.22972972972972974,20.604729729729733
場合別2=運動会・体育祭,場合別1=学校行事,2,68,0.011149368748975241,1.0,20.60472972972973
場合別1=学校行事,場合別2=競技大会・球技大会,2,63,0.010329562223315297,0.21283783783783783,20.60472972972973
場合別2=競技大会・球技大会,場合別1=学校行事,2,63,0.010329562223315297,1.0,20.60472972972973
場合別1=学校行事,場合別2=運動会・体育祭 | 発生場所1=学校内・校舎外（園内・園舎外）,3,62,0.01016560091818331,0.20945945945945946,20.60472972972973
場合別2=運動会・体育祭 | 発生場所1=学校内・校舎外（園内・園舎外）,場合別1=学校行事,3,62,0.01016560091818331,1.0,20.60472972972973
場合別1=学校行事,場合別2=運動会・体育祭 | 発生場所2=運動場・校庭（園庭）,3,62,0.01016560091818331,0.20945945945945946,20.60472972972973
場合別2=運動会・体育祭 | 発生場所2=運動場・校庭（園庭）,場合別1=学校行事,3,62,0.01016560091818331,1.0,20.60472972972973
通学方法=自転車,場合別1=通学中 | 発生場所2=道路,3,135,0.022134776192818496,0.9782608695652174,20.573838080959522
場合別1=通学中 | 発生場所2=道路,通学方法=自転車,3,135,0.022134776192818496,0.46551724137931033,20.57383808095952
和暦=平成 | 場合別1=特別活動（除学校行事）,場合別2=日常の清掃,3,84,0.013772749631087064,0.34285714285714286,20.301803051317616
場合別2=日常の清掃,和暦=平成 | 場合別1=特別活動（除学校行事）,3,84,0.013772749631087064,0.8155339805825242,20.301803051317613
場合別1=特別活動（除学校行事）,場合別2=日常の清掃,2,103,0.01688801442859485,0.34219269102990035,20.2624584717608
場合別2=日常の清掃,場合別1=特別活動（除学校行事）,2,103,0.01688801442859485,1.0,20.262458471760798
場合別1=特別活動（除学校行事）,場合別2=日常の清掃 | 発生場所1=学校内・校舎内（園内・園舎内）,3,88,0.01442859485161502,0.292358803986711,20.262458471760798
場合別2=日常の清掃 | 発生場所1=学校内・校舎内（園内・園舎内）,場合別1=特別活動（除学校行事）,3,88,0.01442859485161502,1.0,20.262458471760798
場合別1=特別活動（除学校行事）,和暦=平成 | 場合別2=日常の清掃,3,84,0.013772749631087064,0.27906976744186046,20.262458471760798
和暦=平成 | 場合別2=日常の清掃,場合別1=特別活動（除学校行事）,3,84,0.013772749631087064,1.0,20.262458471760798
場合別1=特別活動（除学校行事）,場合別2=学級（ホームルーム）活動,2,77,0.012625020495163142,0.2558139534883721,20.262458471760798
場合別2=学級（ホームルーム）活動,場合別1=特別活動（除学校行事）,2,77,0.012625020495163142,1.0,20.262458471760798
場合別2=日常の清掃 | 性別=男,場合別1=特別活動（除学校行事）,3,75,0.012297097884899164,1.0,20.262458471760798
場合別2=日常の清掃 | 被災学校種=小,場合別1=特別活動（除学校行事）,3,66,0.010821446138711265,1.0,20.262458471760798
場合別1=特別活動（除学校行事）,場合別2=日常の清掃 | 性別=男,3,75,0.012297097884899164,0.24916943521594684,20.262458471760795
場合別1=特別活動（除学校行事）,場合別2=日常の清掃 | 被災学校種=小,3,66,0.010821446138711265,0.21926910299003322,20.262458471760795
場合別2=登校（登園）中,発生場所2=道路 | 被災学校種=高,3,63,0.010329562223315297,0.4772727272727273,19.93757783312578
発生場所2=道路 | 被災学校種=高,場合別2=登校（登園）中,3,63,0.010329562223315297,0.4315068493150685,19.937577833125776
通学方法=徒歩,和暦=平成 | 場合別1=通学中,3,131,0.02147893097229054,0.8238993710691824,19.783316000594265
和暦=平成 | 場合別1=通学中,通学方法=徒歩,3,131,0.02147893097229054,0.515748031496063,19.783316000594265
場合別2=日常の清掃,場合別1=特別活動（除学校行事） | 被災学校種=小,3,66,0.010821446138711265,0.6407766990291263,19.63867883104845
場合別1=特別活動（除学校行事） | 被災学校種=小,場合別2=日常の清掃,3,66,0.010821446138711265,0.3316582914572864,19.63867883104845
通学方法=徒歩,場合別1=通学中 | 性別=女,3,62,0.01016560091818331,0.389937106918239,19.49365914011754
場合別1=通学中 | 性別=女,通学方法=徒歩,3,62,0.01016560091818331,0.5081967213114754,19.49365914011754
通学方法=自転車,場合別1=通学中 | 性別=男,3,90,0.014756517461878997,0.6521739130434783,19.308780075981428
場合別1=通学中 | 性別=男,通学方法=自転車,3,90,0.014756517461878997,0.4368932038834951,19.308780075981424
場合別2=登校（登園）中,場合別1=通学中 | 発生場所2=道路,3,120,0.019675356615838663,0.9090909090909091,19.11912225705329
場合別1=通学中 | 発生場所2=道路,場合別2=登校（登園）中,3,120,0.019675356615838663,0.41379310344827586,19.11912225705329
場合別2=下校（降園）中,場合別1=通学中 | 性別=女,3,70,0.011477291359239219,0.3804347826086957,19.01862081254455
場合別1=通学中 | 性別=女,場合別2=下校（降園）中,3,70,0.011477291359239219,0.5737704918032787,19.018620812544544
場合別2=登校（登園）中,和暦=平成 | 場合別1=通学中,3,104,0.01705197573372684,0.7878787878787878,18.918396564065855
和暦=平成 | 場合別1=通学中,場合別2=登校（登園）中,3,104,0.01705197573372684,0.4094488188976378,18.918396564065855
場合別1=通学中 | 発生場所1=学校外（園外）,通学方法=徒歩,3,159,0.026069847515986226,0.48623853211009177,18.651376146788994
通学方法=徒歩,場合別1=通学中 | 発生場所1=学校外（園外）,3,159,0.026069847515986226,1.0,18.65137614678899
場合別2=登校（登園）中,場合別1=通学中 | 発生場所1=学校外（園外）,3,132,0.02164289227742253,1.0,18.65137614678899
場合別1=通学中 | 発生場所1=学校外（園外）,場合別2=登校（登園）中,3,132,0.02164289227742253,0.4036697247706422,18.65137614678899
場合別2=登校（登園）中,場合別1=通学中 | 性別=男,3,83,0.013608788325955074,0.6287878787878788,18.616394527802296
場合別1=通学中 | 性別=男,場合別2=登校（登園）中,3,83,0.013608788325955074,0.4029126213592233,18.616394527802292
場合別1=通学中,場合別2=下校（降園）中 | 発生場所1=学校外（園外）,3,183,0.03000491883915396,0.5579268292682927,18.594512195121954
場合別1=通学中,発生場所2=道路 | 通学方法=徒歩,3,133,0.021806853582554516,0.4054878048780488,18.594512195121954
場合別1=通学中,和暦=平成 | 通学方法=自転車,3,99,0.016232169208066895,0.3018292682926829,18.594512195121954
場合別1=通学中,場合別2=下校（降園）中 | 被災学校種=小,3,89,0.014592556156747007,0.27134146341463417,18.594512195121954
場合別1=通学中,場合別2=登校（登園）中 | 性別=男,3,83,0.013608788325955074,0.2530487804878049,18.594512195121954
場合別1=通学中,場合別2=登校（登園）中 | 通学方法=自転車,3,74,0.012133136579767174,0.22560975609756098,18.594512195121954
場合別1=通学中,場合別2=下校（降園）中,2,184,0.03016888014428595,0.5609756097560976,18.59451219512195
場合別2=下校（降園）中,場合別1=通学中,2,184,0.03016888014428595,1.0,18.59451219512195
場合別2=下校（降園）中 | 発生場所1=学校外（園外）,場合別1=通学中,3,183,0.03000491883915396,1.0,18.59451219512195
場合別1=通学中,通学方法=徒歩,2,159,0.026069847515986226,0.4847560975609756,18.59451219512195
通学方法=徒歩,場合別1=通学中,2,159,0.026069847515986226,1.0,18.59451219512195
場合別1=通学中,発生場所1=学校外（園外） | 通学方法=徒歩,3,159,0.026069847515986226,0.4847560975609756,18.59451219512195
発生場所1=学校外（園外） | 通学方法=徒歩,場合別1=通学中,3,159,0.026069847515986226,1.0,18.59451219512195
場合別1=通学中,場合別2=下校（降園）中 | 発生場所2=道路,3,159,0.026069847515986226,0.4847560975609756,18.59451219512195
場合別2=下校（降園）中 | 発生場所2=道路,場合別1=通学中,3,159,0.026069847515986226,1.0,18.59451219512195
場合別1=通学中,和暦=平成 | 場合別2=下校（降園）中,3,141,0.023118544023610427,0.4298780487804878,18.59451219512195
和暦=平成 | 場合別2=下校（降園）中,場合別1=通学中,3,141,0.023118544023610427,1.0,18.59451219512195
場合別1=通学中,通学方法=自転車,2,138,0.02262666010821446,0.42073170731707316,18.59451219512195
通学方法=自転車,場合別1=通学中,2,138,0.02262666010821446,1.0,18.59451219512195
場合別1=通学中,発生場所1=学校外（園外） | 通学方法=自転車,3,137,0.022462698803082472,0.4176829268292683,18.59451219512195
発生場所1=学校外（園外） | 通学方法=自転車,場合別1=通学中,3,137,0.022462698803082472,1.0,18.59451219512195
場合別1=通学中,発生場所2=道路 | 通学方法=自転車,3,135,0.022134776192818496,0.4115853658536585,18.59451219512195
発生場所2=道路 | 通学方法=自転車,場合別1=通学中,3,135,0.022134776192818496,1.0,18.59451219512195
発生場所2=道路 | 通学方法=徒歩,場合別1=通学中,3,133,0.021806853582554516,1.0,18.59451219512195
場合別1=通学中,場合別2=登校（登園）中,2,132,0.02164289227742253,0.4024390243902439,18.59451219512195
場合別2=登校（登園）中,場合別1=通学中,2,132,0.02164289227742253,1.0,18.59451219512195
場合別1=通学中,場合別2=登校（登園）中 | 発生場所1=学校外（園外）,3,132,0.02164289227742253,0.4024390243902439,18.59451219512195
場合別2=登校（登園）中 | 発生場所1=学校外（園外）,場合別1=通学中,3,132,0.02164289227742253,1.0,18.59451219512195
場合別1=通学中,和暦=平成 | 通学方法=徒歩,3,131,0.02147893097229054,0.39939024390243905,18.59451219512195
和暦=平成 | 通学方法=徒歩,場合別1=通学中,3,131,0.02147893097229054,1.0,18.59451219512195
場合別1=通学中,被災学校種=小 | 通学方法=徒歩,3,121,0.019839317920970653,0.36890243902439024,18.59451219512195
被災学校種=小 | 通学方法=徒歩,場合別1=通学中,3,121,0.019839317920970653,1.0,18.59451219512195
場合別1=通学中,場合別2=登校（登園）中 | 発生場所2=道路,3,120,0.019675356615838663,0.36585365853658536,18.59451219512195
場合別2=登校（登園）中 | 発生場所2=道路,場合別1=通学中,3,120,0.019675356615838663,1.0,18.59451219512195
場合別1=通学中,場合別2=下校（降園）中 | 通学方法=徒歩,3,115,0.018855550090178717,0.35060975609756095,18.59451219512195
場合別2=下校（降園）中 | 通学方法=徒歩,場合別1=通学中,3,115,0.018855550090178717,1.0,18.59451219512195
場合別1=通学中,場合別2=下校（降園）中 | 性別=男,3,114,0.018691588785046728,0.3475609756097561,18.59451219512195
場合別2=下校（降園）中 | 性別=男,場合別1=通学中,3,114,0.018691588785046728,1.0,18.59451219512195
場合別1=通学中,和暦=平成 | 場合別2=登校（登園）中,3,104,0.01705197573372684,0.3170731707317073,18.59451219512195
和暦=平成 | 場合別2=登校（登園）中,場合別1=通学中,3,104,0.01705197573372684,1.0,18.59451219512195
場合別1=通学中,被災学校種=高 | 通学方法=自転車,3,100,0.016396130513198885,0.3048780487804878,18.59451219512195
被災学校種=高 | 通学方法=自転車,場合別1=通学中,3,100,0.016396130513198885,1.0,18.59451219512195
和暦=平成 | 通学方法=自転車,場合別1=通学中,3,99,0.016232169208066895,1.0,18.59451219512195
場合別1=通学中,性別=男 | 通学方法=徒歩,3,97,0.01590424659780292,0.29573170731707316,18.59451219512195
性別=男 | 通学方法=徒歩,場合別1=通学中,3,97,0.01590424659780292,1.0,18.59451219512195
場合別1=通学中,性別=男 | 通学方法=自転車,3,90,0.014756517461878997,0.27439024390243905,18.59451219512195
性別=男 | 通学方法=自転車,場合別1=通学中,3,90,0.014756517461878997,1.0,18.59451219512195
場合別2=下校（降園）中 | 被災学校種=小,場合別1=通学中,3,89,0.014592556156747007,1.0,18.59451219512195
場合別2=登校（登園）中 | 性別=男,場合別1=通学中,3,83,0.013608788325955074,1.0,18.59451219512195
場合別2=登校（登園）中 | 通学方法=自転車,場合別1=通学中,3,74,0.012133136579767174,1.0,18.59451219512195
場合別1=通学中,場合別2=下校（降園）中 | 性別=女,3,70,0.011477291359239219,0.21341463414634146,18.59451219512195
場合別2=下校（降園）中 | 性別=女,場合別1=通学中,3,70,0.011477291359239219,1.0,18.59451219512195
場合別1=通学中,被災学年=1 | 通学方法=自転車,3,67,0.010985407443843253,0.20426829268292682,18.59451219512195
被災学年=1 | 通学方法=自転車,場合別1=通学中,3,67,0.010985407443843253,1.0,18.59451219512195
場合別1=通学中,場合別2=登校（登園）中 | 被災学校種=高,3,66,0.010821446138711265,0.20121951219512196,18.59451219512195
場合別2=登校（登園）中 | 被災学校種=高,場合別1=通学中,3,66,0.010821446138711265,1.0,18.59451219512195
性別=女 | 通学方法=徒歩,場合別1=通学中,3,62,0.01016560091818331,1.0,18.59451219512195
場合別2=下校（降園）中,場合別1=通学中 | 発生場所1=学校外（園外）,3,183,0.03000491883915396,0.9945652173913043,18.55000997207818
場合別1=通学中 | 発生場所1=学校外（園外）,場合別2=下校（降園）中,3,183,0.03000491883915396,0.5596330275229358,18.55000997207818
通学方法=自転車,場合別1=通学中 | 発生場所1=学校外（園外）,3,137,0.022462698803082472,0.9927536231884058,18.516221247174578
場合別1=通学中 | 発生場所1=学校外（園外）,通学方法=自転車,3,137,0.022462698803082472,0.41896024464831805,18.516221247174578
場合別2=下校（降園）中,和暦=平成 | 場合別1=通学中,3,141,0.023118544023610427,0.7663043478260869,18.400355186579937
和暦=平成 | 場合別1=通学中,場合別2=下校（降園）中,3,141,0.023118544023610427,0.5551181102362205,18.400355186579937
場合別2=下校（降園）中,場合別1=通学中 | 性別=男,3,114,0.018691588785046728,0.6195652173913043,18.343341072182355
場合別1=通学中 | 性別=男,場合別2=下校（降園）中,3,114,0.018691588785046728,0.5533980582524272,18.343341072182355
場合別1=保育中 | 発生場所2=教室（保育室）,被災学校種=保,3,107,0.017543859649122806,0.7482517482517482,18.254349650349653
被災学校種=保,場合別1=保育中 | 発生場所2=教室（保育室）,3,107,0.017543859649122806,0.428,18.25434965034965
場合別2=下校（降園）中,場合別1=通学中 | 発生場所2=道路,3,159,0.026069847515986226,0.8641304347826086,18.17355697151424
場合別1=通学中 | 発生場所2=道路,場合別2=下校（降園）中,3,159,0.026069847515986226,0.5482758620689655,18.17355697151424
場合別1=通学中 | 性別=男,通学方法=徒歩,3,97,0.01590424659780292,0.470873786407767,18.0620076937168
通学方法=徒歩,場合別1=通学中 | 性別=男,3,97,0.01590424659780292,0.610062893081761,18.062007693716797
発生場所2=道路 | 被災学校種=小,場合別1=通学中,3,116,0.019019511395310707,0.9586776859504132,17.826143922596252
場合別1=通学中,発生場所2=道路 | 被災学校種=小,3,116,0.019019511395310707,0.35365853658536583,17.82614392259625
発生場所2=道路,場合別2=登校（登園）中 | 通学方法=自転車,3,74,0.012133136579767174,0.21574344023323616,17.78134110787172
場合別2=登校（登園）中 | 通学方法=自転車,発生場所2=道路,3,74,0.012133136579767174,1.0,17.78134110787172
被災学校種=幼,場合別1=保育中 | 性別=女,3,63,0.010329562223315297,0.5384615384615384,17.656327543424318
場合別1=保育中 | 性別=女,被災学校種=幼,3,63,0.010329562223315297,0.3387096774193548,17.656327543424315
被災学校種=幼,和暦=平成 | 場合別1=保育中,3,104,0.01705197573372684,0.8888888888888888,17.6017316017316
和暦=平成 | 場合別1=保育中,被災学校種=幼,3,104,0.01705197573372684,0.33766233766233766,17.6017316017316
通学方法=徒歩,場合別1=通学中 | 発生場所2=道路,3,133,0.021806853582554516,0.8364779874213837,17.591997397527653
場合別1=通学中 | 発生場所2=道路,通学方法=徒歩,3,133,0.021806853582554516,0.4586206896551724,17.591997397527653
発生場所2=道路,発生場所1=学校外（園外） | 通学方法=自転車,3,135,0.022134776192818496,0.3935860058309038,17.521759485858997
発生場所1=学校外（園外） | 通学方法=自転車,発生場所2=道路,3,135,0.022134776192818496,0.9854014598540146,17.521759485858997
発生場所2=道路,通学方法=自転車,2,135,0.022134776192818496,0.3935860058309038,17.394790214222336
通学方法=自転車,発生場所2=道路,2,135,0.022134776192818496,0.9782608695652174,17.394790214222336
発生場所2=道路,場合別1=通学中 | 通学方法=自転車,3,135,0.022134776192818496,0.3935860058309038,17.394790214222336
場合別1=通学中 | 通学方法=自転車,発生場所2=道路,3,135,0.022134776192818496,0.9782608695652174,17.394790214222336
通学方法=自転車,発生場所1=学校外（園外） | 発生場所2=道路,3,135,0.022134776192818496,0.9782608695652174,17.394790214222336
発生場所1=学校外（園外） | 発生場所2=道路,通学方法=自転車,3,135,0.022134776192818496,0.3935860058309038,17.394790214222336
性別=男 | 通学方法=自転車,発生場所2=道路,3,88,0.01442859485161502,0.9777777777777777,17.38620019436346
発生場所2=道路,性別=男 | 通学方法=自転車,3,88,0.01442859485161502,0.2565597667638484,17.386200194363457
性別=男 | 発生場所2=道路,通学方法=自転車,3,88,0.01442859485161502,0.39285714285714285,17.362577639751553
通学方法=自転車,性別=男 | 発生場所2=道路,3,88,0.01442859485161502,0.6376811594202898,17.36257763975155
場合別2=下校（降園）中,性別=女 | 発生場所2=道路,3,62,0.01016560091818331,0.33695652173913043,17.269729630982827
性別=女 | 発生場所2=道路,場合別2=下校（降園）中,3,62,0.01016560091818331,0.5210084033613446,17.269729630982827
被災学年=1 | 通学方法=自転車,発生場所2=道路,3,65,0.010657484833579275,0.9701492537313433,17.25055480614421
発生場所2=道路,被災学校種=高 | 通学方法=自転車,3,97,0.01590424659780292,0.282798833819242,17.24790087463557
被災学校種=高 | 通学方法=自転車,発生場所2=道路,3,97,0.01590424659780292,0.97,17.24790087463557
発生場所2=道路,和暦=平成 | 通学方法=自転車,3,96,0.01574028529267093,0.27988338192419826,17.242512589451366
和暦=平成 | 通学方法=自転車,発生場所2=道路,3,96,0.01574028529267093,0.9696969696969697,17.242512589451366
通学方法=自転車,和暦=平成 | 場合別1=通学中,3,99,0.016232169208066895,0.717391304347826,17.225864429989727
和暦=平成 | 場合別1=通学中,通学方法=自転車,3,99,0.016232169208066895,0.38976377952755903,17.225864429989727
場合別1=通学中,性別=女 | 発生場所2=道路,3,109,0.017871782259386786,0.3323170731707317,17.031948145111706
性別=女 | 発生場所2=道路,場合別1=通学中,3,109,0.017871782259386786,0.9159663865546218,17.031948145111702
