列名,値,件数,割合（％）,列内順位
競技種目,ボクシング,11,0.1804,32
競技種目,走り幅跳び,10,0.164,33
競技種目,自転車競技,10,0.164,34
競技種目,筋力トレーニング,9,0.1476,35
競技種目,相撲,9,0.1476,36
競技種目,空手,9,0.1476,37
競技種目,ホッケー,7,0.1148,38
競技種目,縄跳び,7,0.1148,39
競技種目,弓道,6,0.0984,40
競技種目,器械体操・新体操（その他）,6,0.0984,41
競技種目,ポートボール,3,0.0492,42
競技種目,運動なし,3,0.0492,43
競技種目,武道等（その他）,3,0.0492,44
競技種目,スケート,2,0.0328,45
競技種目,ヨット,2,0.0328,46
競技種目,登山,1,0.0164,47
競技種目,準備運動等,1,0.0164,48
競技種目,自転車競技部,1,0.0164,49
通学方法,（欠損）,5771,94.6221,1
通学方法,徒歩,159,2.607,2
通学方法,自転車,138,2.2627,3
通学方法,原動機付自転車,18,0.2951,4
通学方法,鉄道,7,0.1148,5
通学方法,バス,4,0.0656,6
通学方法,自動車,1,0.0164,7
通学方法,その他,1,0.0164,8
発生場所1,学校内・校舎内（園内・園舎内）,2649,43.4333,1
発生場所1,学校内・校舎外（園内・園舎外）,2331,38.2194,2
発生場所1,学校外（園外）,1119,18.3473,3
発生場所2,運動場・校庭（園庭）,2159,35.3992,1
発生場所2,体育館・屋内運動場,1007,16.5109,2
発生場所2,教室（保育室）,701,11.4937,3
発生場所2,廊下,392,6.4273,4
発生場所2,学校外運動場・競技場,374,6.1322,5
発生場所2,道路,343,5.6239,6
発生場所2,その他,320,5.2468,7
発生場所2,実習実験室,152,2.4922,8
発生場所2,学校外体育館,133,2.1807,9
発生場所2,昇降口・玄関,96,1.574,10
発生場所2,階段,94,1.5412,11
発生場所2,プール,92,1.5084,12
発生場所2,山林野（含スキー場）,49,0.8034,13
発生場所2,便所,42,0.6886,14
発生場所2,公園・遊園地,41,0.6722,15
発生場所2,遊戯室,30,0.4919,16
発生場所2,ベランダ,17,0.2787,17
発生場所2,講堂,15,0.2459,18
発生場所2,海・湖・沼・池,15,0.2459,19
発生場所2,河川,9,0.1476,20
発生場所2,農場,7,0.1148,21
発生場所2,屋上,3,0.0492,22
発生場所2,手足洗場,3,0.0492,23
発生場所2,水飲み場,2,0.0328,24
発生場所2,排水溝,2,0.0328,25
発生場所2,公園,1,0.0164,26
遊具等,（欠損）,5862,96.1141,1
遊具等,鉄棒,60,0.9838,2
遊具等,ぶらんこ,37,0.6067,3
遊具等,その他,26,0.4263,4
遊具等,すべり台,24,0.3935,5
遊具等,総合遊具・アスレティック,22,0.3607,6
遊具等,雲てい,14,0.2295,7
遊具等,ジャングルジム,14,0.2295,8
遊具等,固定タイヤ,9,0.1476,9
遊具等,砂場,9,0.1476,10
遊具等,シーソー,8,0.1312,11
遊具等,登り棒,6,0.0984,12
遊具等,回旋塔,4,0.0656,13
遊具等,施設を使用していない,3,0.0492,14
遊具等,遊動円木,1,0.0164,15
Step7_入力元カテゴリ,外貌・露出部分の醜状障害,1841,30.1853,1
Step7_入力元カテゴリ,視力・眼球運動障害,1768,28.9884,2
Step7_入力元カテゴリ,精神・神経障害,878,14.3958,3
Step7_入力元カテゴリ,手指切断・機能障害,503,8.2473,4
Step7_入力元カテゴリ,胸腹部臓器障害,411,6.7388,5
Step7_入力元カテゴリ,上肢切断・機能障害,217,3.558,6
Step7_入力元カテゴリ,下肢切断・機能障害,158,2.5906,7
Step7_入力元カテゴリ,せき柱障害,154,2.525,8
Step7_入力元カテゴリ,聴力障害,121,1.9839,9
Step7_入力元カテゴリ,足指切断・機能障害,28,0.4591,10
Step7_入力元カテゴリ,そしゃく機能障害,20,0.3279,11
Step7_歯牙障害フラグ,0,6099,100.0,1
