項目数,項目集合,事例数,支持度,支持度（％）
2,場合別2=体育的部活動 | 発生場所1=学校外（園外）,561,0.09198229217904574,9.1982
2,和暦=平成 | 発生場所2=教室（保育室）,560,0.09181833087391375,9.1818
2,発生場所2=運動場・校庭（園庭） | 競技種目=野球（含軟式）,560,0.09181833087391375,9.1818
2,発生場所1=学校内・校舎内（園内・園舎内） | 被災学年=3,550,0.09017871782259387,9.0179
2,発生場所1=学校外（園外） | 被災学校種=高,545,0.08935891129693392,8.9359
2,場合別1=休憩時間 | 場合別2=休憩時間中,538,0.08821118216101,8.8211
2,和暦=令和 | 場合別1=課外指導,538,0.08821118216101,8.8211
2,場合別1=課外指導 | 発生場所1=学校内・校舎内（園内・園舎内）,534,0.08755533694048205,8.7555
2,和暦=令和 | 被災学校種=高,534,0.08755533694048205,8.7555
2,性別=女 | 発生場所2=運動場・校庭（園庭）,526,0.08624364649942613,8.6244
2,競技種目=野球（含軟式） | 被災学校種=高,517,0.08476799475323823,8.4768
2,和暦=令和 | 発生場所1=学校内・校舎外（園内・園舎外）,516,0.08460403344810624,8.4604
2,和暦=令和 | 場合別2=体育的部活動,515,0.08444007214297426,8.444
2,性別=女 | 被災学年=1,506,0.08296442039678636,8.2964
2,性別=女 | 被災学校種=中,502,0.0823085751762584,8.2309
2,性別=女 | 被災学年=2,498,0.08165272995573045,8.1653
2,場合別1=休憩時間 | 発生場所1=学校内・校舎外（園内・園舎外）,497,0.08148876865059845,8.1489
2,被災学年=3 | 被災学校種=中,496,0.08132480734546647,8.1325
2,発生場所1=学校内・校舎外（園内・園舎外） | 被災学年=3,492,0.08066896212493851,8.0669
2,場合別2=体育的部活動 | 発生場所1=学校内・校舎内（園内・園舎内）,488,0.08001311690441056,8.0013
2,和暦=令和 | 発生場所2=運動場・校庭（園庭）,485,0.07952123298901459,7.9521
2,場合別1=各教科等 | 発生場所1=学校内・校舎外（園内・園舎外）,477,0.07820954254795869,7.821
2,被災学年=3 | 被災学校種=高,468,0.07673389080177079,7.6734
2,場合別1=休憩時間 | 発生場所2=運動場・校庭（園庭）,456,0.07476635514018691,7.4766
2,性別=男 | 発生場所2=教室（保育室）,456,0.07476635514018691,7.4766
2,場合別1=休憩時間 | 場合別2=昼食時休憩時間中,452,0.07411050991965897,7.4111
2,場合別1=各教科等 | 発生場所2=体育館・屋内運動場,447,0.07329070339399901,7.3291
2,場合別2=体育（保健体育） | 発生場所1=学校内・校舎内（園内・園舎内）,447,0.07329070339399901,7.3291
2,和暦=平成 | 場合別2=休憩時間中,444,0.07279881947860305,7.2799
2,発生場所2=運動場・校庭（園庭） | 被災学年=3,444,0.07279881947860305,7.2799
2,場合別1=休憩時間 | 性別=女,437,0.07165109034267912,7.1651
2,場合別1=課外指導 | 性別=女,436,0.07148712903754714,7.1487
2,場合別2=体育（保健体育） | 発生場所2=体育館・屋内運動場,434,0.07115920642728316,7.1159
2,発生場所2=体育館・屋内運動場 | 被災学校種=高,432,0.07083128381701918,7.0831
2,場合別2=体育（保健体育） | 発生場所1=学校内・校舎外（園内・園舎外）,427,0.07001147729135924,7.0011
2,和暦=令和 | 被災学年=1,427,0.07001147729135924,7.0011
2,場合別1=課外指導 | 発生場所2=体育館・屋内運動場,425,0.06968355468109526,6.9684
2,場合別2=体育的部活動 | 発生場所2=体育館・屋内運動場,423,0.06935563207083129,6.9356
2,和暦=令和 | 被災学年=2,423,0.06935563207083129,6.9356
2,場合別1=各教科等 | 発生場所2=運動場・校庭（園庭）,415,0.06804394162977537,6.8044
2,場合別1=各教科等 | 性別=女,410,0.06722413510411543,6.7224
2,性別=女 | 被災学校種=高,408,0.06689621249385146,6.6896
2,発生場所1=学校外（園外） | 被災学年=2,404,0.0662403672733235,6.624
2,性別=男 | 競技種目=サッカー・フットサル,395,0.0647647155271356,6.4765
2,場合別1=各教科等 | 被災学校種=高,395,0.0647647155271356,6.4765
2,和暦=令和 | 性別=女,394,0.0646007542220036,6.4601
2,場合別2=体育的部活動 | 性別=女,393,0.06443679291687161,6.4437
2,発生場所1=学校内・校舎内（園内・園舎内） | 発生場所2=廊下,392,0.06427283161173963,6.4273
2,場合別1=休憩時間 | 被災学校種=中,391,0.06410887030660764,6.4109
2,和暦=平成 | 給付年度=18,391,0.06410887030660764,6.4109
2,場合別2=休憩時間中 | 発生場所1=学校内・校舎内（園内・園舎内）,391,0.06410887030660764,6.4109
2,場合別1=各教科等 | 被災学校種=小,390,0.06394490900147565,6.3945
2,和暦=令和 | 被災学校種=中,387,0.06345302508607968,6.3453
2,場合別1=課外指導 | 被災学年=3,385,0.06312510247581571,6.3125
2,場合別2=体育（保健体育） | 発生場所2=運動場・校庭（園庭）,378,0.061977373339891784,6.1977
2,発生場所2=体育館・屋内運動場 | 被災学校種=中,377,0.0618134120347598,6.1813
2,場合別1=各教科等 | 被災学校種=中,375,0.06148548942449582,6.1485
2,場合別2=休憩時間中 | 性別=男,374,0.06132152811936383,6.1322
2,発生場所1=学校外（園外） | 発生場所2=学校外運動場・競技場,374,0.06132152811936383,6.1322
2,和暦=平成 | 給付年度=19,370,0.06066568289883587,6.0666
2,場合別2=体育的部活動 | 被災学年=3,369,0.060501721593703886,6.0502
2,和暦=平成 | 給付年度=22,362,0.05935399245777996,5.9354
2,場合別1=課外指導 | 発生場所2=学校外運動場・競技場,361,0.059190031152647975,5.919
2,和暦=平成 | 給付年度=21,361,0.059190031152647975,5.919
2,場合別2=体育的部活動 | 発生場所2=学校外運動場・競技場,360,0.05902606984751599,5.9026
2,場合別2=休憩時間中 | 被災学校種=小,359,0.058862108542383995,5.8862
2,和暦=平成 | 場合別2=昼食時休憩時間中,359,0.058862108542383995,5.8862
2,場合別1=休憩時間 | 被災学年=2,358,0.05869814723725201,5.8698
2,性別=女 | 被災学年=3,358,0.05869814723725201,5.8698
2,和暦=平成 | 給付年度=20,358,0.05869814723725201,5.8698
2,性別=女 | 発生場所2=体育館・屋内運動場,357,0.05853418593212002,5.8534
2,和暦=令和 | 被災学校種=小,354,0.05804230201672405,5.8042
2,場合別1=各教科等 | 被災学年=3,351,0.057550418101328084,5.755
