単語,出現事例数
停止,67
直後,66
遊具,66
傷,66
捻る,66
突っ込む,66
前輪,66
あたり,65
起こす,65
キャッチャー,65
開ける,65
端,65
左目,65
蘇生,65
運ぶ,64
科,63
次,63
～,63
体重,63
スピード,63
左上,63
高次,63
つける,62
木,62
立ち上がる,62
ディフェンス,62
損ねる,62
変形,62
教諭,61
m,61
転がる,61
下腿,61
トレーニング,61
向ける,61
かけっこ,61
石,61
タックル,61
けんか,61
周辺,60
呼吸,60
眼窩,60
痛い,59
飛び込む,59
引っ掛かる,59
引っ張る,59
手首,59
創,59
ティー,58
薬指,58
体勢,58
大きい,58
休み,57
ドッジボール,57
登る,57
脇,57
上部,57
席,57
フライ,57
ハンドボール,57
崩れる,57
キャッチ,57
トス,57
刺さる,57
下肢,57
ICD,57
側溝,56
製,56
タイヤ,56
止める,56
椅子,56
イレギュラー,56
至近,56
バント,55
日,55
挟まる,55
倒立,55
深い,55
見える,55
玄関,55
眉,55
位,54
正面,54
破片,54
外野,54
走行,54
並ぶ,54
教師,53
入ろう,53
ブレーキ,53
動く,53
先端,53
振り返る,53
話,52
投手,52
ベース,52
曲がる,52
爪,52
通る,51
片付け,51
踏み外す,51
下りる,51
対,51
衝撃,50
ブロック,50
リレー,50
掃除,50
傘,50
掛ける,50
両足,50
開始,50
人差し指,50
要請,50
戦,49
言う,49
頭痛,49
落とす,49
通学,49
手すり,49
飛び出す,49
サイド,49
全身,49
トラブル,48
注意,48
金属,48
雨,48
引く,48
症,48
立てる,48
鬼,48
運動会,47
作る,47
素振り,47
向く,47
枠,47
近づく,47
頚部,47
靴,47
止まる,47
マシン,47
倒れ込む,47
足首,47
叩く,46
式,46
補助,46
戸,46
巻き込む,46
面,46
柱,46
塁,45
実験,45
防,45
溝,45
ｃｍ,45
硬式,45
坂道,45
守る,45
あたる,45
右目,45
破裂,45
睾丸,45
ひっかかる,44
実施,44
気,44
反対,44
腹,44
押さえる,44
歩道,44
周,44
クラブ,44
学年,43
スパイク,43
順番,43
自由,43
帰る,43
飛ばす,43
投球,43
開く,43
担当,43
理科,42
反動,42
斜め,42
コース,42
合同,42
折る,42
生活,42
cm,42
暗い,42
しゃがむ,41
位置,41
友だち,41
スキー,41
キーパー,41
脚,41
カーブ,41
片付ける,41
イレギュラーバウンド,41
余る,41
処置,41
四肢,41
跳箱,41
園児,41
ひっかく,41
植え込む,41
右肩,40
顧問,40
音,40
口論,40
可動,40
内側,40
レシーブ,40
こむ,40
味方,40
部室,40
番,40
入り口,40
中心,40
時限,39
続ける,39
打ち返す,39
設置,39
気分,39
上腕,39
下る,39
固定,39
路,39
急ぐ,39
バッターボックス,39
スマッシュ,39
閉まる,39
胸骨,39
フェンス,38
濡れる,38
打席,38
程度,38
ドリブル,38
怒る,38
手前,38
網膜,38
症状,37
着替え,37
徒歩,37
機,37
取り合い,37
すべる,37
ぶら下がる,37
眼鏡,37
熱傷,37
関わる,37
制限,37
減じる,37
同級生,36
総合,36
中央,36
見学,36
始まる,36
公園,36
音楽,36
年生,36
球技,36
引っかかる,36
歯牙,36
たち,36
みる,36
反応,36
畳,35
飛び降りる,35
胸,35
嘔吐,35
うまい,35
翌日,35
冷却,35
ウォーミングアップ,35
切,35
気づく,35
振り回す,35
縁,35
倒す,35
抜く,35
診断,35
ベランダ,35
域,35
管理,35
テスト,34
降る,34
ヘディング,34
いす,34
スライディング,34
グループ,34
路面,34
度,34
当日,34
挫傷,34
出来事,34
引っかく,34
そば,33
ベンチ,33
すべり台,33
班,33
職員,33
飛び込み,33
休む,33
周り,33
指先,33
欠ける,33
回す,33
バック,33
一塁,33
仰向け,33
もつれる,32
柄,32
触れる,32
着く,32
持ち上げる,32
下敷き,32
操作,32
裂創,32
拍子,32
ダブルス,32
卓球,32
遊戯,32
ひねる,32
背後,31
上る,31
ショート,31
回る,31
ロッカー,31
鉄製,31
踏む,31
(,31
お互い,31
破損,31
スティック,31
バー,31
ステージ,31
枝,31
ブランコ,30
たたく,30
全員,30
突く,30
メートル,30
ダッシュ,30
上顎,30
チームメイト,30
部活,30
向き,30
鉄,30
乗せる,30
ペア,30
字,30
乱取り,30
動ける,30
縄跳び,30
頚椎,30
狭窄,30
スタート,29
周囲,29
斜面,29
フリー,29
走り高跳び,29
合宿,29
待機,29
動かす,29
渡り廊下,29
室内,29
火傷,29
けいれん,29
せき柱,29
精巣,29
返球,28
校門,28
はさむ,28
隙間,28
遠足,28
最後,28
箇所,28
㎝,28
軽い,28
遅れる,28
姿勢,28
応援,28
踊り場,28
話す,28
足元,28
指示,28
女子,28
通報,28
肢,28
片,28
まぶた,28
膜,28
宿泊,27
穴,27
剣道,27
アスファルト,27
保護,27
本人,27
左肩,27
ポール,27
金具,27
通路,27
荷物,27
あう,27
自宅,27
戻す,27
上下,27
見つける,27
集合,27
方,27
.,27
刃,27
なくなる,26
ホーム,26
ゴム,26
プレー,26
異常,26
絡まる,26
断,26
道,26
入口,26
柵,26
胸部,26
マネージャー,26
カット,26
文化,26
呼ぶ,26
通常,26
やる,26
振り上げる,26
握る,26
あと,26
泣く,26
聞く,25
倉庫,25
シート,25
続く,25
帰り,25
親指,25
開放,25
ける,25
渡す,25
グランド,25
ランナー,25
輪,25
分かれる,25
セカンド,25
ライナー,25
装着,25
下ろす,25
列,25
午後,25
持久走,25
ら,25
臀部,25
左下,25
動き,25
ピッチングマシン,25
タッチ,25
ＡＥＤ,25
部屋,24
下がる,24
伸ばす,24
ふらつく,24
バス,24
腰部,24
すぎる,24
雑巾,24
発見,24
サード,24
後ろ向き,24
種目,24
損なう,24
中庭,24
手足,24
機械,24
渡る,24
最中,24
奪う,24
結果,24
ごっこ,24
腫れる,24
出入り口,24
分間,24
強風,24
裂,24
家庭,24
鍋,24
越える,23
士,23
張る,23
出し,23
外側,23
ショック,23
棚,23
組む,23
口腔,23
裏,23
履く,23
同士,23
ファースト,23
ホッケー,23
投げ出す,23
ひも,23
跳び箱,23
もらう,23
後片付け,23
行事,23
型,23
",",23
座り込む,23
調理,23
眉間,23
つかまる,23
うずくまる,23
止血,23
低い,22
バスケット,22
からかう,22
観察,22
言葉,22
ジャングルジム,22
ポスト,22
てんかん,22
火,22
物,22
返す,22
ホール,22
人組,22
ホームルーム,22
タイミング,22
施設,22
走者,22
特別,22
神経,22
三塁,22
子,22
経過,22
体験,22
眼下,22
それる,21
つま,21
づく,21
花壇,21
急性,21
縁石,21
直前,21
泳ぐ,21
ミニゲーム,21
修学旅行,21
センター,21
当てる,21
紅白,21
発作,21
夏季,21
滑走,21
ランドセル,21
浮く,21
上唇,21
車輪,21
走り出す,21
日常,21
校内,21
ずれる,21
パイプ,21
宙返り,21
竹,21
歩行,21
込む,21
集団,21
),21
腕骨,21
引っ掻く,21
応急,21
ストレッチ,21
剥離,21
パンチ,20
半身,20
クラスメイト,20
半分,20
近距離,20
めまい,20
課題,20
冷やす,20
ペース,20
フック,20
捻挫,20
蓋,20
ガードレール,20
駆ける,20
鍵,20
切傷,20
立ち,20
坂,20
引っ掛ける,20
駐車,20
校外,20
到着,20
水筒,20
ちょっかい,20
頭頂,20
受け取る,20
地点,20
午前,20
短縮,20
不明,20
斑,20
失明,20
救命,20
胸椎,20
上級生,19
トラック,19
付く,19
全体,19
出来る,19
重い,19
下部,19
傾く,19
箱,19
ロープ,19
黒板,19
駅,19
長い,19
袋,19
校,19
土台,19
上肢,19
養護,19
木製,19
突き破る,19
まひ,19
黄,19
腰椎,19
吹く,18
生じる,18
だす,18
雪,18
起きる,18
全校,18
違和感,18
ぶらんこ,18
自主,18
変える,18
前日,18
けが,18
うつ,18
振り払う,18
攻撃,18
抜け落ちる,18
グローブ,18
遠征,18
止め,18
ペダル,18
乗り上げる,18
門,18
拭く,18
驚く,18
回り,18
屋根,18
敷く,18
洗う,18
トランポリン,18
寄る,18
気が付く,18
ワン,18
おでこ,18
筋,18
夏休み,18
払う,18
背部,18
眼瞼,18
硬い,18
血腫,18
連絡,18
ファウルチップ,18
心臓,18
耳鳴り,17
測定,17
食べる,17
聴力,17
バッティングマシーン,17
変わる,17
こめかみ,17
以前,17
加わる,17
てい,17
防ぐ,17
年,17
鳴る,17
痛む,17
交錯,17
休業,17
乗り越える,17
放す,17
うつ伏せる,17
外す,17
滑り,17
キック,17
前進,17
ゴロ,17
リバウンド,17
交代,17
起き上がる,17
ほうき,17
フロア,17
擦り傷,17
待ち,17
隅,17
縦,17
図書,17
一環,17
あげる,17
ヘルメット,17
片方,17
腫れ,17
用具,17
弾み,17
呼びかける,17
引火,17
調整,17
激痛,17
級友,17
体調,17
ヘリ,17
摘出,17
にくい,16
重なる,16
自力,16
更衣,16
医療,16
盤,16
付け根,16
背負う,16
とっさ,16
探す,16
とぶ,16
助走,16
脱落,16
サーブ,16
電柱,16
過ぎる,16
スイング,16
打ち合い,16
屋内,16
吹奏楽,16
進む,16
よそ見,16
流す,16
入り込む,16
ひさし,16
駆け付ける,16
ゴルフ,16
揺らす,16
記録,16
スリップ,16
自立,16
間に合う,16
背,16
刺す,16
滑り落ちる,16
全力,16
複数,16
引き抜く,16
作り,16
切り傷,16
お湯,16
熱湯,16
瞼,16
プラスチック,16
ハードル,16
精神,16
発現,16
既往症,16
頚,16
ファール,15
大型,15
水道,15
きる,15
アップ,15
氷,15
図工,15
所,15
く,15
空中,15
側面,15
回復,15
夕食,15
ポジション,15
怪我,15
近い,15
股関節,15
炎,15
防御,15
尻,15
役,15
構える,15
服,15
逸れる,15
ライト,15
アルミ,15
車いす,15
山,15
身,15
言い争う,15
跳ねる,15
乗り,15
安全,15
遠い,15
ピッチングマシーン,15
交差点,15
マラソン,15
痙攣,15
移る,15
つなぐ,15
小走り,15
見失う,15
会場,15
すり抜ける,15
元,15
無理,15
縄,15
円,15
熱い,15
ハーフ,15
背負い投げ,15
隠れる,15
てる,15
やけど,15
開,15
鉛筆,15
加工,15
器質,15
ドクター,15
白内障,15
髄,15
係,14
合図,14
当る,14
聞こえる,14
肩車,14
めがける,14
一瞬,14
ひっかける,14
左右,14
前後,14
くずす,14
状況,14
本校,14
ひどい,14
原動機,14
道具,14
がけ,14
シーソー,14
先頭,14
競争,14
外周,14
じゃれる,14
躓く,14
追いつく,14
上体,14
不良,14
相撲,14
かがむ,14
歩,14
突き,14
研究,14
網,14
行なう,14
幅,14
取れる,14
はまる,14
雨天,14
電車,14
直径,14
抱く,14
マシーン,14
ライン,14
引き上げる,14
馬跳び,14
製作,14
川,14
飛び越える,14
送る,14
チアリーディング,14
置き場,14
横切る,14
ぬれる,14
競り合う,14
軟式,14
リング,14
回し,14
敷地,14
走り回る,14
腹痛,14
頸部,14
湯,14
チャイム,14
カバー,14
鎖骨,14
演技,14
検査,14
ジョギング,14
異変,14
安静,14
脈,14
予行,13
自然,13
捕まえる,13
立てかける,13
尻もち,13
チップ,13
スロープ,13
入れ,13
はずれる,13
一番,13
もと,13
趾,13
サッシ,13
非常,13
コーナー,13
分かる,13
昼,13
伏せ,13
合唱,13
ぐらつく,13
完全,13
馬,13
滑り降りる,13
振り切る,13
現場,13
ワイヤー,13
プレーヤー,13
フレーム,13
風,13
水中,13
消しゴム,13
平行棒,13
停車,13
男児,13
ズボン,13
拳,13
ミニ,13
やめる,13
掴む,13
クリア,13
捕手,13
ケース,13
メガネ,13
ゲージ,13
抱える,13
組み,13
体力,13
浴びる,13
自席,13
ふく,13
制作,13
メニュー,13
よろける,13
幼児,13
こぼれる,13
砂場,13
セット,13
レンズ,13
甲,13
添える,13
S,13
定規,13
硬直,13
寝技,13
房,13
レスリング,13
孔,13
心室,13
マッサージ,13
下腹,13
内野,12
刈り,12
受身,12
教科,12
騎馬,12
テープ,12
吐き気,12
竹刀,12
母親,12
後部,12
ひとり,12
バトン,12
流れる,12
ロック,12
ソフトテニス,12
慌てる,12
集会,12
付,12
食,12
ペットボトル,12
機関,12
グリップ,12
上半身,12
かご,12
集める,12
卒業,12
言い合う,12
チェーン,12
掛け,12
支援,12
小石,12
原因,12
もみ合う,12
車道,12
多量,12
かばん,12
直す,12
立ち止まる,12
擦りむく,12
座,12
取っ手,12
落ち,12
代わり,12
紙,12
配膳,12
一輪車,12
取り,12
着用,12
目撃,12
防止,12
スポーツ,12
かする,12
武道,12
か月,12
ラリー,12
皮膚,12
カッターナイフ,12
早い,12
上がり,12
か所,12
作成,12
幹部,12
我慢,12
移送,12
走り幅跳び,12
受け身,12
-,12
ベッド,11
家,11
オフェンス,11
付き,11
それぞれ,11
整備,11
うつぶせる,11
ハンド,11
ベースボール,11
タイム,11
近寄る,11
伴う,11
残り,11
補給,11
不安定,11
公式,11
振盪,11
液,11
両側,11
レール,11
排水,11
割る,11
利用,11
宙,11
跳ね上がる,11
危ない,11
路上,11
バレー,11
ボード,11
稽古,11
発表,11
タオル,11
乗り出す,11
かわす,11
速い,11
あご,11
引っかける,11
裂ける,11
ふた,11
会話,11
スタンド,11
はじく,11
出入口,11
ボクシング,11
真似,11
ダンス,11
畑,11
器具,11
横断,11
当番,11
塀,11
態度,11
脇腹,11
まわる,11
発,11
触る,11
地上,11
通過,11
かかと,11
籠,11
太もも,11
考える,11
筆箱,11
午睡,11
草,11
前向き,11
ストーブ,11
逃げ込む,11
木工,11
テラス,11
フットサル,11
丸める,11
具,11
電気,11
貫通,11
再開,11
眉毛,11
工作,11
入水,11
患部,11
カンナ,11
しびれ,11
進行,11
ｋｍ,11
崩れ落ちる,11
角膜,11
手押し,11
作動,11
人工,11
梗塞,11
脊髄,11
節,11
返事,10
つかまえる,10
手洗い,10
天井,10
夜,10
投げつける,10
判明,10
揺れる,10
水分,10
奥,10
審判,10
教卓,10
グレーチング,10
新体操,10
アメリカンフットボール,10
掛かる,10
交流,10
空振り,10
虫,10
寄宿舎,10
選択,10
デッドボール,10
監督,10
判断,10
滑り込む,10
マンション,10
紐,10
車椅子,10
電動,10
くぐる,10
巻く,10
結ぶ,10
砂利,10
後衛,10
自動車,10
カーテン,10
介助,10
脱ぐ,10
陰,10
大量,10
照明,10
鼻血,10
登,10
返却,10
予選,10
下げる,10
動作,10
上り,10
取り合う,10
対戦,10
二塁,10
沿い,10
決める,10
A,10
朝礼,10
突っ込み,10
帯,10
曲げる,10
登り,10
ローラー,10
覚える,10
壊死,10
息,10
苦しい,10
玩具,10
手袋,10
試験,10
針金,10
強化,10
床の間,10
付ける,10
マッチ,10
飛び散る,10
アルコール,10
水飲み,10
その間,10
はぐ,10
こする,10
良い,10
取り出す,10
防火,10
咬む,10
尺,10
レクリエーション,10
テント,10
秒,10
片手,10
ざま,10
飲む,10
はねる,10
赤い,10
頬骨,10
技術,10
右前,10
背面,10
広場,10
糸,10
センチ,10
荷台,10
丸,10
団体,10
頃,10
隊,10
km,10
飛び込み台,10
不要,10
解析,10
下腹部,10
暴行,9
下方,9
懸垂,9
筋力,9
繰り返す,9
広い,9
行動,9
寮,9
答える,9
頭上,9
アタック,9
各自,9
先輩,9
委員,9
早朝,9
隣接,9
気がつく,9
負担,9
根元,9
ハンマー,9
最終,9
飛びつく,9
前かがみ,9
自動,9
ノッカー,9
歯肉,9
テーブル,9
駆け寄る,9
かばう,9
打ち,9
グラブ,9
部位,9
格技,9
工業,9
取り付ける,9
あがる,9
講習,9
中学校,9
鉄板,9
壁際,9
対抗,9
狭い,9
促す,9
交換,9
同様,9
かくれんぼ,9
落ち葉,9
つかみ合う,9
マスク,9
上口,9
空手,9
消失,9
擦る,9
歯槽,9
追突,9
寝る,9
阻止,9
こぐ,9
正門,9
試みる,9
差,9
含む,9
左折,9
用水路,9
過ごす,9
よい,9
処理,9
踏み出す,9
擦過傷,9
講堂,9
本棚,9
降ろす,9
社会,9
新人,9
覆う,9
違う,9
絞める,9
行為,9
軸,9
させる,9
皿,9
缶,9
芯,9
油,9
熱す,9
靭帯,9
剤,9
屋上,9
おもちゃ,9
走り込む,9
窓際,9
おかしい,9
歳児,9
鼻骨,9
間際,9
砲丸,9
すれ違う,9
あおる,9
かかえる,9
シャープペンシル,9
達,9
眼科,9
爆発,8
呼び出す,8
研修,8
無い,8
楽しみ,8
説明,8
喉,8
コントロール,8
ミーティング,8
クロール,8
雲,8
合わせる,8
硬球,8
週間,8
天,8
末節,8
母,8
不全,8
バーベル,8
言語,8
デッキ,8
ブラシ,8
追い抜く,8
打順,8
からまる,8
受け止める,8
本塁,8
接近,8
名前,8
競り合い,8
起こる,8
鉄柱,8
上前,8
やすい,8
まわり,8
着替える,8
往復,8
駐輪場,8
まね,8
替える,8
立て,8
土手,8
信号,8
前衛,8
通りかかる,8
腹筋,8
不意,8
下り,8
ルーム,8
すくう,8
手の甲,8
裾,8
ふる,8
散歩,8
ビニール,8
貼る,8
普段,8
作品,8
かすめる,8
とり,8
運転,8
一時,8
マンホール,8
付き添う,8
ムカデ,8
消す,8
庇,8
野外,8
引っぱる,8
打撲傷,8
靴箱,8
後半,8
レンガ,8
台風,8
橋,8
エプロン,8
職場,8
三塁手,8
棟,8
呼び掛ける,8
スイッチ,8
ゴミ,8
布,8
課外,8
含める,8
格好,8
しっぽ,8
シャワー,8
のける,8
自習,8
仕掛ける,8
抵抗,8
植え込み,8
突風,8
飴,8
mm,8
捨てる,8
削る,8
部品,8
陥没,8
嫌がる,8
取り上げる,8
釘,8
かぶる,8
楽器,8
駅伝,8
夕方,8
ポット,8
硝子,8
背もたれ,8
掌,8
輪ゴム,8
タワー,8
小屋,8
跳躍,8
切り,8
継続,8
はさみ,8
基礎,8
攻める,8
バトミントン,8
湿布,8
木材,8
悪化,8
神経症,8
緊急,8
脈拍,8
確保,8
人さし指,8
脾臓,8
不安,7
先生,7
難聴,7
ピッチング,7
よじ登る,7
リコーダー,7
上段,7
人工芝,7
進入,7
一つ,7
片足,7
カゴ,7
コーン,7
滑り台,7
着席,7
飛行機,7
耐える,7
仲間,7
はさまる,7
すりむく,7
向う,7
たれる,7
重ねる,7
下駄,7
スケート,7
吐く,7
心筋,7
看板,7
一方,7
つんのめる,7
キャップ,7
左端,7
歯根,7
のせる,7
話し合い,7
ルーズボール,7
コーチ,7
手伝い,7
役割,7
対応,7
遅刻,7
経路,7
レフト,7
片づける,7
吹き抜け,7
押し倒す,7
誤り,7
バケツ,7
ターン,7
農業,7
扇風機,7
スキップ,7
自ら,7
砂,7
飛び越す,7
血,7
宿舎,7
浴室,7
カバン,7
追い越す,7
漕ぐ,7
おこなう,7
上履き,7
芝生,7
凍る,7
歯磨き,7
危険,7
双方,7
ヘッド,7
平均,7
読む,7
丸太,7
回収,7
牽制,7
朦朧,7
横向き,7
突進,7
窓側,7
防護,7
相手方,7
おんぶ,7
ひく,7
訓練,7
モップ,7
れっする,7
込み,7
脳震盪,7
セーフティー,7
約束,7
ラン,7
熱,7
ギャラリー,7
休日,7
越し,7
見つかる,7
便器,7
着,7
口前,7
対向,7
下半身,7
歩ける,7
ノブ,7
整列,7
前面,7
呼び止める,7
出口,7
厚い,7
あてる,7
付け,7
かぶさる,7
傷口,7
アスレチック,7
真ん中,7
へる,7
ひっくり返る,7
布団,7
食事,7
引きずる,7
筒,7
美術,7
負荷,7
おく,7
あまる,7
ステンレス,7
中断,7
ダンクシュート,7
大学,7
心,7
ワゴン,7
顎骨,7
揚げ,7
自身,7
垂直,7
はずす,7
十分,7
認める,7
興奮,7
擦過,7
器械体操,7
こぶし,7
男,7
運搬,7
症候群,7
争い,7
算数,7
顆骨折,7
顆上骨,7
脛骨,7
疲れる,7
補強,7
殴打,7
三角,7
ノート,7
ロング,7
改善,7
報告,7
時点,7
治まる,7
顔色,7
完走,7
気道,7
蒼白,7
鋸,7
ストレス,6
悪口,6
玉,6
親子,6
感じ,6
感,6
まとめる,6
運び出す,6
つぶれる,6
ピラミッド,6
期間,6
ぶらさがる,6
集まる,6
大丈夫,6
保持,6
延長,6
牛乳,6
ホテル,6
集中,6
スペース,6
業,6
弓道,6
務める,6
分の,6
びっくり,6
泥,6
雑談,6
kg,6
歩き,6
膝下,6
食器,6
感染,6
またがる,6
歯茎,6
南側,6
摂取,6
管,6
偶然,6
捕まる,6
むく,6
乗りかかる,6
スクールバス,6
気持ち,6
とれる,6
冠,6
喧嘩,6
プレイルーム,6
プレス,6
ヶ所,6
旋盤,6
踏切,6
さしかかる,6
のしかかる,6
ポート,6
塁間,6
最寄り駅,6
クラスメート,6
きっかけ,6
走り抜ける,6
高校,6
ピロティ,6
ダイビング,6
フライング,6
携帯,6
電話,6
連れる,6
抑える,6
取り返す,6
歌,6
上方,6
壁面,6
勘違い,6
骨盤,6
ケンカ,6
海,6
補,6
箒,6
殴り合い,6
邪魔,6
ボレー,6
団,6
岩,6
落書き,6
手のひら,6
張り出す,6
ファウルボール,6
傷める,6
教官,6
入浴,6
通行,6
サーキット,6
南,6
視界,6
トレ,6
書く,6
軌道,6
角度,6
春休み,6
スタンツ,6
くれる,6
光,6
当時,6
メンバー,6
転換,6
手元,6
家庭科,6
側壁,6
殺る,6
棒高跳び,6
吊る,6
小さい,6
もうろう,6
困難,6
ボックス,6
林間,6
曲がり角,6
武道館,6
増す,6
抱え込む,6
寝かせる,6
挨拶,6
づくり,6
押し合い,6
国語,6
フリスビー,6
つけ,6
ランプ,6
多数,6
広範囲,6
バラ,6
遠く,6
地区,6
緩める,6
並べる,6
居る,6
ふち,6
閉じ込める,6
割り,6
つけ根,6
橈骨,6
ままごと,6
炊飯,6
読書,6
コード,6
あわてる,6
回旋,6
塔,6
ボルト,6
女児,6
手伝う,6
開閉,6
机上,6
ピン,6
引き寄せる,6
連続,6
㎝）,6
ガスコンロ,6
転び,6
折りたたみ,6
腱,6
通用,6
皮,6
届く,6
コンテナ,6
突起,6
図画,6
舞台,6
割,6
傷つける,6
行い,6
ラック,6
向こう,6
現れる,6
ねじ,6
突き刺さる,6
避難,6
ピアノ,6
すね,6
通り抜ける,6
押さえつける,6
色,6
挫滅創,6
複合,6
スリッパ,6
頭蓋骨,6
脚長,6
嗅覚,6
術後,6
セーフティ,6
学園,6
段違い,6
ペンチ,6
ぼやける,6
壊れる,6
ささい,6
間隔,6
ひざ,6
訴え,6
矢,6
変性,6
支え,6
事件,6
スクラム,6
取り組む,6
与える,6
盲,6
ストッパー,6
虹彩,6
脈絡,6
緑内障,6
傍ら,6
自発,6
大内,6
詰まる,6
水面,6
落ち着く,6
心拍,6
蝶番,6
陰部,6
引率,5
蛇口,5
はり,5
キャンプ,5
翌朝,5
もめる,5
台車,5
寒い,5
コンビネーション,5
たてる,5
バッグ,5
済ませる,5
持病,5
クロス,5
夜間,5
弓,5
個,5
遅い,5
草むら,5
路肩,5
囲む,5
投てき,5
発熱,5
続行,5
些細,5
そしゃく,5
上靴,5
永久歯,5
舗装,5
急ぎ足,5
たつ,5
踵,5
ひな壇,5
歌う,5
貧血,5
暴投,5
出かける,5
県,5
補習,5
工事,5
自陣,5
挟,5
脱げる,5
根本,5
うむ,5
くすぐる,5
段ボール,5
進路,5
こ,5
ドリル,5
磨く,5
トンボ,5
教える,5
科学,5
ノー,5
変化,5
ミス,5
通行人,5
個室,5
入学,5
通り過ぎる,5
右折,5
鏡,5
腹ばい,5
はじめる,5
摩擦,5
多目的,5
逃げ,5
足下,5
踏み込む,5
オーバー,5
ゲレンデ,5
スパーリング,5
タイル,5
ベルト,5
体制,5
ブリッジ,5
肢体,5
迎える,5
多い,5
髪の毛,5
勝手,5
中学生,5
地,5
目的,5
突き飛ばす,5
払い,5
組み合う,5
帽子,5
踏みはずす,5
頸椎,5
むける,5
