語1,語2,共起事例数,Jaccard（ネットワーク重み）
ボール,残る,142,0.06233538191395961
外,部,142,0.05867768595041322
外傷,眼,141,0.09258043335521995
ノック,ボール,141,0.0843806104129264
昼食,時間,140,0.16374269005847952
受診,残る,140,0.14957264957264957
れる,強打,140,0.0697211155378486
友人,当たる,140,0.06200177147918512
前額,部,140,0.060163300386764075
児,本,139,0.33985330073349634
体育館,残る,138,0.11302211302211303
残る,転倒,138,0.07213800313643493
ボール,歯,138,0.06959152798789713
選手,部,138,0.05623471882640587
打つ,野球,137,0.09792709077912795
教室,負傷,137,0.06602409638554217
強打,負傷,137,0.05943600867678959
れる,試合,136,0.06275957544993079
強い,打つ,135,0.10579937304075235
前歯,強打,135,0.09473684210526316
ボール,捕る,135,0.08127633955448525
体育,試合,135,0.07844276583381755
時間,眼,135,0.06255792400370713
負傷,野球,135,0.061391541609822645
相手,蹴る,134,0.11433447098976109
当たる,時間,134,0.055949895615866385
受診,部,134,0.054339010543390104
場,搬送,133,0.11406518010291596
時間,遊ぶ,133,0.10777957860615883
ボール,飛ぶ,133,0.07539682539682539
せる,滑る,132,0.2619047619047619
倒れる,搬送,132,0.14781634938409854
打つ,試合,132,0.07918416316736653
バッティング,当たる,132,0.07119741100323625
歯,負傷,132,0.06606606606606606
バスケットボール,部,132,0.05361494719740049
ぶつかる,部,132,0.04847594564818215
バッティング,打球,131,0.262
せる,足,131,0.16709183673469388
前歯,口,131,0.11812443642921551
ぶつける,転倒,131,0.08478964401294499
体育館,負傷,131,0.06349975763451285
手,部,131,0.04640453418349274
友人,遊ぶ,130,0.11754068716094032
場,救急,130,0.11092150170648464
友人,眼,130,0.0639763779527559
体育,部,130,0.04218040233614536
登校,転倒,129,0.09492273730684327
強い,転倒,129,0.07579318448883667
当たる,飛ぶ,129,0.06965442764578833
負傷,顔,129,0.06601842374616172
サッカー,場,128,0.10483210483210484
下校,転倒,128,0.09097370291400142
相手,顔面,128,0.0704070407040704
部,頭部,128,0.04988308651597818
自転車,顔面,127,0.09731800766283524
試合,顔面,127,0.06766116142781034
ぶつかる,負傷,127,0.0622854340362923
ボール,強い,127,0.0612638687891944
しまう,当たる,127,0.05528950805398346
守備,練習,126,0.059574468085106386
歯,歯科,125,0.21663778162911612
加える,歯,125,0.21367521367521367
搬送,運動,125,0.11394712853236098
打つ,直撃,125,0.10442773600668337
ボール,体育館,125,0.06067961165048544
前歯,歯科,124,0.1493975903614458
試合,運動,124,0.07515151515151515
歯,補綴,123,0.21354166666666666
前歯,補綴,123,0.14855072463768115
前歯,加える,123,0.1466030989272944
ボール,口,123,0.061809045226130656
蹴る,部,123,0.047362341162880246
手術,救急,122,0.19395866454689983
救急,運動,122,0.11060743427017226
場,時間,122,0.07692307692307693
練習,走る,122,0.046037735849056606
外傷,残る,121,0.13924050632911392
サッカー,運動,121,0.10512597741094701
打つ,顔面,121,0.06906392694063927
友人,転倒,121,0.06633771929824561
れる,走る,121,0.06298802706923477
ノック,練習,121,0.05664794007490637
バランス,練習,121,0.04879032258064516
下校,自転車,120,0.21660649819494585
歯,転倒,120,0.07352941176470588
バスケットボール,ボール,120,0.06756756756756757
れる,教室,120,0.06674082313681869
バランス,負傷,120,0.05867970660146699
負傷,遊ぶ,120,0.0583373845405931
強い,負傷,120,0.057443752991862135
崩す,練習,120,0.048701298701298704
倒れる,意識,119,0.16527777777777777
バスケットボール,練習,119,0.05355535553555356
練習,障害,119,0.051965065502183404
部,顔,119,0.044854881266490766
倒れる,救急,118,0.12967032967032968
ぶつかる,走る,118,0.10535714285714286
床,強打,118,0.10216450216450217
時間,運動,118,0.07799074686054197
救急,練習,118,0.049873203719357564
バランス,部,118,0.04312865497076023
バスケットボール,体育館,117,0.16295264623955433
チーム,試合,117,0.11271676300578035
休憩,残る,117,0.10512129380053908
バランス,強打,117,0.09543230016313213
練習,選手,117,0.052655265526552655
球,部,117,0.04797047970479705
直撃,試合,116,0.08676140613313388
歯,顔面,116,0.08163265306122448
体育,走る,116,0.0784313725490196
治療,負傷,116,0.0614406779661017
しまう,負傷,116,0.05194805194805195
機能,部,116,0.047795632468067575
崩す,負傷,115,0.05656665027053615
体育館,当たる,115,0.05338904363974002
練習,骨折,115,0.049145299145299144
外傷,部,115,0.047936640266777825
残る,骨折,114,0.10654205607476636
崩す,強打,114,0.09405940594059406
ぶつかる,相手,114,0.08590806330067823
搬送,練習,114,0.048162230671736375
倒れる,病院,113,0.14868421052631578
ボール,打球,113,0.06068743286788399
手,練習,113,0.04366306027820711
崩す,部,113,0.041483113069016156
友人,教室,112,0.09663503019844694
散る,瞳,111,0.9910714285714286
うし,ろ,111,0.9487179487179487
外傷,瞳,111,0.5751295336787565
外傷,散る,111,0.5721649484536082
性,瞳,111,0.44047619047619047
性,散る,111,0.43873517786561267
れる,足,111,0.05860612460401267
前歯,折れる,110,0.13480392156862744
時間,特定,110,0.13381995133819952
前歯,歯,110,0.09666080843585237
時間,足,110,0.07976794778825236
眼,瞳,110,0.07472826086956522
散る,眼,110,0.0746775288526816
