単語,出現事例数
受け止める,5
トラブル,5
言う,5
バスケット,5
グローブ,5
グランド,5
ポジション,5
コース,5
電柱,5
過ぎる,5
周り,5
越える,5
ホール,5
飛び降りる,5
手首,5
冠,5
人組,5
キック,5
紅白,5
校内,5
ポール,5
根本,5
拍子,5
番,5
けんか,5
式,5
車いす,5
縁,5
通路,5
起き上がる,5
すぎる,5
直前,5
タイミング,5
見つける,5
上る,5
スパイク,5
振り切る,5
腹,5
かわす,5
吹奏楽,5
度,5
総合,5
あご,5
ペア,5
スライディング,5
早朝,5
以前,5
出来る,5
よそ見,5
ダブルス,5
注意,5
左上,5
シーソー,5
返す,5
長い,5
腹部,5
倒れ込む,5
竹,5
はまる,5
鬼,5
多量,5
両足,5
歯茎,5
出し,5
擦り傷,5
雨天,5
けが,5
照明,5
奪う,5
てんかん,5
底,5
つなぐ,5
動く,5
キーパー,5
ダンス,5
間に合う,5
開始,5
言葉,5
馬跳び,5
宿泊,5
分,5
全力,5
理科,4
とぶ,4
転,4
裏,4
つんのめる,4
デッキ,4
作業,4
すべり台,4
右側,4
うつ,4
力,4
軽い,4
上級生,4
ロープ,4
振り払う,4
跳ね上がる,4
前かがみ,4
カット,4
攻撃,4
うつ伏せる,4
年生,4
じゃれる,4
集会,4
空振り,4
ルーズボール,4
合唱,4
文化,4
貧血,4
監督,4
躓く,4
フリー,4
ファール,4
前日,4
サーブ,4
伸ばす,4
公式,4
タックル,4
刺さる,4
全身,4
外す,4
追いつく,4
立ち,4
駆け寄る,4
経路,4
ゴム,4
生活,4
黒板,4
かがむ,4
向き,4
変わる,4
乗り越える,4
競り合い,4
ホームルーム,4
傾く,4
車椅子,4
ベンチ,4
逸れる,4
投球,4
鉄柱,4
裂創,4
突き,4
自由,4
中庭,4
指示,4
入り口,4
驚く,4
姿勢,4
柄,4
立てる,4
駐輪場,4
鉄製,4
スケート,4
最寄り駅,4
帰り,4
眼,4
見学,4
進む,4
音楽,4
停止,4
列,4
続く,4
脱ぐ,4
固定,4
外傷,4
入り込む,4
トランポリン,4
取り返す,4
支援,4
特別,4
ほうき,4
宙返り,4
上口,4
停車,4
最中,4
ベースボール,4
フロア,4
かばん,4
走り高跳び,4
ミーティング,4
擦りむく,4
持久走,4
浮く,4
距離,4
重なる,4
内野,4
そば,4
浴室,4
カゴ,4
行事,4
m,4
叩く,4
ゴルフ,4
小走り,4
一環,4
三塁,4
飛び込む,4
こぐ,4
胸部,4
かすめる,4
結露,4
左折,4
用水路,4
病院,4
持ち上げる,4
班,4
物,4
日,4
手前,4
置き場,4
とっさ,4
ぬれる,4
センター,4
きる,4
扉,4
ほお,4
覆う,4
管,3
昼,3
児,3
履く,3
根元,3
打順,3
からまる,3
ウォーミングアップ,3
競争,3
駆ける,3
～,3
汗,3
切,3
一瞬,3
役,3
滑り込む,3
乗りかかる,3
県,3
張る,3
怪我,3
もつれる,3
接近,3
HR,3
呼ぶ,3
遅刻,3
紐,3
路上,3
科,3
相撲,3
後ろ向き,3
ホーム,3
バレー,3
レフト,3
上部,3
触れる,3
柵,3
花壇,3
かご,3
組む,3
ボード,3
ヶ所,3
集める,3
グラブ,3
部位,3
リバウンド,3
剣道,3
研究,3
課題,3
巻く,3
コンクリートブロック,3
誤り,3
うむ,3
ジャングルジム,3
テスト,3
卒業,3
発表,3
講習,3
手足,3
うつぶせる,3
乗り出す,3
身,3
マウス,3
振り上げる,3
ずれる,3
トラック,3
園,3
結ぶ,3
ターン,3
往復,3
チェーン,3
パイプ,3
母親,3
玄関,3
残る,3
入口,3
現場,3
鉄板,3
クラスメート,3
スロープ,3
利用,3
高校,3
フレーム,3
夏季,3
握る,3
ダイビング,3
フライング,3
後衛,3
速攻,3
幅,3
女子,3
ぶらんこ,3
信号,3
ドア,3
後片付け,3
打ち返す,3
引っかける,3
取れる,3
通りかかる,3
マスク,3
宙,3
平行棒,3
マシン,3
パンチ,3
ピッチングマシーン,3
裂ける,3
先輩,3
鏡,3
近寄る,3
集合,3
大量,3
休業,3
近距離,3
メートル,3
程度,3
跳箱,3
亀裂,3
亜,3
奥歯,3
ふる,3
左足,3
マネージャー,3
至近,3
乱取り,3
ボクシング,3
拳,3
追突,3
カバン,3
巻き込む,3
広い,3
観察,3
校外,3
教諭,3
上履き,3
返却,3
揺らす,3
スマッシュ,3
込む,3
団,3
最後,3
続ける,3
予選,3
自主,3
ワン,3
ごっこ,3
やめる,3
正門,3
落ち,3
腫れる,3
掴む,3
割れる,3
柱,3
卓球,3
片方,3
おでこ,3
ファウルボール,3
ダッシュ,3
訴える,3
傷める,3
捻挫,3
通行,3
校,3
休み,3
マンホール,3
室内,3
処理,3
受け取る,3
二塁,3
背,3
年,3
抜歯,3
横断,3
教科,3
春季,3
周囲,3
ピッチングマシン,3
空中,3
チアリーディング,3
脳貧血,3
A,3
外側,3
取り,3
競り合う,3
境目,3
土台,3
擦過傷,3
倉庫,3
弾み,3
縄跳び,3
余り,3
れっする,3
飛びつく,3
回し,3
橋,3
凍結,3
いす,3
フェイント,3
棒引き,3
可能,3
製,3
木製,3
ファウルフライ,3
押さえる,3
探す,2
(,2
裸足,2
ペットボトル,2
上靴,2
伏せ,2
反転,2
職員,2
舗装,2
左端,2
急ぎ足,2
生,2
医療,2
後日,2
機関,2
ストック,2
受講,2
スライダー,2
休養,2
気がつく,2
鍵,2
話し合い,2
足りる,2
選択,2
深い,2
歌う,2
機,2
攻め込む,2
判断,2
危ない,2
暴投,2
渡し,2
役割,2
対応,2
飛びかかる,2
奪い合う,2
テーブル,2
実験,2
上体,2
止め,2
はさまる,2
不良,2
かたち,2
補習,2
看板,2
ひっかける,2
くずす,2
サボテン,2
巻込む,2
クランク,2
頭上,2
服,2
牛乳,2
話す,2
喧嘩,2
打ち合い,2
挟む,2
プレイルーム,2
日常,2
押し倒す,2
自陣,2
休む,2
歩,2
起こる,2
屋内,2
生じる,2
脳,2
稽古,2
アルミ,2
くぐる,2
取り付ける,2
金具,2
出過ぎる,2
さしかかる,2
空き缶,2
スポーク,2
挟,2
脱げる,2
樹木,2
門,2
上前,2
あがる,2
リコーダー,2
びっくり,2
やすい,2
拭く,2
ワックス,2
段ボール,2
交代,2
合図,2
乗せる,2
網,2
つかまえる,2
滑り降りる,2
着替える,2
駆け込む,2
ピース,2
おりる,2
回り,2
取りあう,2
踏む,2
磨く,2
たたく,2
股間,2
一番,2
行進,2
施設,2
部屋,2
下山,2
トンボ,2
アイスホッケー,2
とばす,2
乗用車,2
路肩,2
敷く,2
安定,2
速い,2
ワイヤー,2
農業,2
制服,2
扇風機,2
洗う,2
バトン,2
受け渡し,2
対抗,2
プレーヤー,2
風,2
勢,2
球体,2
ピロティ,2
まね,2
感じる,2
前側,2
周,2
差しかかる,2
狭い,2
通行人,2
促す,2
出発,2
ベッド,2
介助,2
衣服,2
閉める,2
音,2
抑える,2
掛け,2
構内,2
けす,2
突く,2
消しゴム,2
スキップ,2
バス,2
土手,2
字,2
前衛,2
自ら,2
開ける,2
入学,2
かけあう,2
砂,2
サークル,2
通り過ぎる,2
同様,2
陰,2
落ち葉,2
猫,2
コントロール,2
イレギュラーボール,2
腹筋,2
投,2
不意,2
フロアー,2
右折,2
反射,2
なくなる,2
走り去る,2
マラソン,2
流れる,2
片付ける,2
腹ばい,2
白線,2
放り出す,2
別れ,2
会話,2
振り付け,2
上着,2
迫る,2
スタンド,2
直す,2
バッド,2
摩擦,2
ランチ,2
ルーム,2
すくう,2
ズボン,2
壁面,2
作る,2
多目的,2
笑う,2
手の甲,2
出入口,2
逃げ,2
オーバー,2
氷,2
夕食,2
宿舎,2
出せる,2
実践,2
真似,2
風呂,2
追い越す,2
バッグ,2
隅,2
移る,2
漕ぐ,2
点灯,2
結果,2
そらす,2
便座,2
合わせる,2
座,2
手本,2
cm,2
全校,2
ミニ,2
鼻血,2
図書,2
ふさがる,2
箒,2
貼る,2
キャンプ,2
多い,2
大型,2
庭,2
芝生,2
ぶら下がる,2
向う,2
阻止,2
記録,2
尻,2
全体,2
そこなう,2
ミニゲーム,2
ラクロス,2
コンクール,2
動作,2
到着,2
岩,2
目的,2
凍る,2
上り,2
補助,2
動かす,2
組み合う,2
子,2
ランドセル,2
加わる,2
ちょっかい,2
借りる,2
暗い,2
並列,2
クリア,2
フラッグ,2
捕手,2
倒立,2
スタート,2
半面,2
差,2
頭頂,2
頸椎,2
とり,2
入浴,2
草地,2
道幅,2
畑,2
ころぶ,2
サーキット,2
危険,2
対戦,2
いさかい,2
よい,2
症状,2
実施,2
反れる,2
暑い,2
トレ,2
器具,2
筋,2
左下,2
クラスメイト,2
右肩,2
頚部,2
ひどい,2
泥,2
本校,2
植,2
経過,2
型,2
ボランティア,2
読む,2
こぎ,2
ムカデ,2
回収,2
送る,2
牽制,2
沿い,2
たまる,2
腰掛ける,2
朦朧,2
河川敷,2
当番,2
降雪,2
軌道,2
半身,2
変える,2
頭痛,2
にくい,2
予行,2
張り合う,2
方,2
塀,2
帰り道,2
横切る,2
時限,2
朝礼,2
すり抜ける,2
フォロー,2
引っぱる,2
長距離,2
軟式,2
攻防,2
リズム,2
帯,2
本棚,2
タッチ,2
左右,2
用具,2
重い,2
リング,2
ルール,2
社会,2
ガード,2
着用,2
欄干,2
減速,2
手元,2
パニック,2
被さる,2
まわる,2
競う,2
学,2
活,2
体験,2
投げ捨てる,2
フットボール,2
ラン,2
砕ける,2
三塁手,2
存在,2
進入,2
配水,2
抱える,2
反応,2
養護,2
掲示,2
食いしばる,2
抜かす,2
つながる,2
矯正,2
針金,2
着,2
懸垂,2
口前,2
しっぽ,2
くう,2
スペース,2
背走,2
のける,2
境界,2
か月,2
保存,2
液,2
籠,2
近隣,2
くぼむ,1
ヒューム,1
下水道,1
虫,1
助走,1
排水,1
ころがす,1
摺り,1
かげ,1
偶然,1
認識,1
キャップ,1
余暇,1
駆け足,1
妹,1
追い抜く,1
跳ね,1
たつ,1
中学,1
百足,1
最初,1
のせる,1
アイススケート,1
歯ぐき,1
氷上,1
チャンス,1
守り,1
替わる,1
不在,1
外周,1
胴上げ,1
ウォーター,1
温水,1
しゃがみこむ,1
捕まる,1
踵,1
めがける,1
悪ふざけ,1
突き上げる,1
伝い,1
ほしい,1
人数,1
ひな壇,1
自動,1
販売,1
ブーツ,1
セービング,1
あびる,1
切傷,1
上半身,1
むく,1
エラー,1
コーチ,1
希望,1
徹す,1
手伝い,1
本塁,1
死球,1
付き,1
けた,1
出かける,1
突破,1
下部,1
春,1
襟,1
周回,1
真似事,1
足技,1
前後,1
立てかける,1
くい込む,1
みつける,1
スクールバス,1
リ,1
乗,1
名前,1
気持ち,1
マンション,1
大変,1
窪む,1
スニーカー,1
画面,1
工事,1
かばう,1
す,1
びをしていたが,1
高跳,1
崩し,1
のめり込む,1
収穫,1
T,1
とれる,1
滑り台,1
打ち,1
片づける,1
戸締り,1
継ぐ,1
もらえる,1
動揺,1
印刷物,1
吹き抜け,1
嫌がらせ,1
いじめる,1
ロッカー,1
なぐる,1
教務,1
跳び箱,1
背中合わせ,1
びをしていたとき,1
この間,1
バーベキュー,1
撒く,1
製造,1
電動,1
コール,1
ホック,1
ユニ,1
備える,1
決勝,1
ウェイトトレーニング,1
プレス,1
持ち上がる,1
振盪,1
予想,1
フォーメーション,1
支台歯,1
翌月,1
切り替える,1
防ぐ,1
乱,1
格技,1
上段,1
切削,1
力不足,1
工業,1
旋盤,1
材,1
締め付ける,1
製図,1
ギア,1
踏切,1
起伏,1
トンネル,1
標識,1
円柱,1
路地,1
迂回,1
民家,1
叩き,1
くすぐる,1
わきの下,1
塗りたて,1
文鎮,1
い,1
つむ,1
変更,1
林道,1
進路,1
山,1
頂上,1
行動,1
駆け出す,1
まわり,1
ゆする,1
積もる,1
雪,1
こ,1
タオル,1
更衣,1
下段,1
くわえる,1
ドリル,1
ハーモニカ,1
収まる,1
吹く,1
言い合う,1
鍵盤,1
鼓笛隊,1
バケツ,1
汲む,1
数学,1
話しかける,1
のしかかる,1
円盤,1
ポート,1
訪れる,1
登山,1
立ち木,1
自然,1
中学校,1
屋根,1
なおす,1
塁間,1
教える,1
メン,1
行なう,1
振るう,1
暴力,1
幼虫,1
採取,1
用水,1
科学,1
蛍,1
会館,1
市民,1
知らん顔,1
エッヂ,1
しら,1
出会い,1
冬,1
緩やか,1
建設,1
さび,1
機械,1
ノー,1
うく,1
ばたつかせる,1
ふり,1
壁際,1
艇庫,1
きっかけ,1
並,1
仲間,1
行方,1
走り抜ける,1
スノーボード,1
総体,1
休暇,1
変化,1
ミス,1
向かい側,1
ファールチップボール,1
他者,1
箇所,1
しそこなう,1
硬球,1
刺殺,1
転送,1
連係,1
下敷き,1
主治医,1
冷やす,1
装着,1
許可,1
マンツーマン,1
受身,1
携帯,1
耳障り,1
脅す,1
電話,1
リンク,1
ローラースケート,1
でこぼこ,1
面す,1
砂防,1
灯,1
街路,1
ろう,1
ウレタン,1
乗り,1
水中,1
それぞれ,1
コンビニ,1
午後,1
単元,1
安全,1
後尾,1
買い物,1
アコーディオン,1
オムツ,1
カーテン,1
交換,1
個室,1
替える,1
臥,1
連れる,1
開く,1
傾姿勢,1
鉄柵,1
転げ落ちる,1
処置,1
にる,1
流す,1
髪,1
慌てる,1
保育,1
隠す,1
立て,1
取手,1
片側,1
U,1
青,1
腕立て伏せ,1
歌,1
つっかかる,1
小石,1
かくれんぼ,1
ノルマ,1
世界,1
地図,1
からかう,1
小学生,1
四肢,1
飛び出る,1
飛び越す,1
とびでる,1
つかみ合う,1
原因,1
着ける,1
えり,1
仮装,1
研修,1
アップ,1
薄れる,1
連打,1
鍛える,1
チップ,1
遠い,1
空手,1
くらむ,1
消失,1
もみ合う,1
呼び出す,1
はみ出る,1
見通し,1
ふた,1
穴,1
つま先,1
巻きこむ,1
違和感,1
灰色,1
薄暗い,1
車体,1
故障,1
差す,1
血,1
跳び越す,1
おどる,1
表示,1
グレーチング,1
シートベルト,1
庭石,1
てい,1
上方,1
後戻り,1
押し出す,1
っぽい,1
はじめる,1
かなり,1
のど,1
一つ,1
自慢,1
ふさぐ,1
めり込む,1
短い,1
下り,1
過ぎ,1
男児,1
きん,1
ぞう,1
ずらす,1
退場,1
円陣,1
異常,1
神経,1
はじく,1
キャチボール,1
サブ,1
ロイター,1
習中,1
錬る,1
挫創,1
勘違い,1
待ち,1
手洗い,1
映る,1
ひさし,1
骨盤,1
擦る,1
ケンカ,1
発展,1
後部,1
裾,1
足下,1
踏み込む,1
フルスイング,1
痙攣,1
散歩,1
海,1
ゲレンデ,1
スキーヤー,1
無くなる,1
しかける,1
聞く,1
目測,1
撃つ,1
日光,1
補,1
突っこむ,1
折れ曲がる,1
冬休み,1
スパーリング,1
気味,1
かざす,1
つきぬける,1
スチロール,1
発砲,1
タイル,1
根,1
地下道,1
はさむ,1
はずれる,1
背負う,1
自学自習,1
すりむく,1
ら,1
消灯,1
現地,1
電車,1
クールダウン,1
散る,1
視線,1
ｃｍ,1
でっぱる,1
ベルト,1
駆け付ける,1
おこなう,1
成功,1
組立て,1
縦,1
受取る,1
直径,1
パソコン,1
挙,1
体制,1
取っ手,1
工場,1
遊動円木,1
運動公園,1
スノーボーダー,1
緩い,1
夜道,1
天体,1
観測,1
校生,1
目隠し,1
引き戸,1
抱く,1
うつむく,1
土間,1
ブリッジ,1
バギー,1
不自由,1
家,1
登,1
肢体,1
迎える,1
隙,1
直進,1
差し出る,1
死骸,1
スピードアップ,1
間近,1
手放す,1
観る,1
スクーター,1
医院,1
かわり,1
テープ,1
ビニール,1
松ぼっくり,1
記入,1
冗談,1
寝る,1
殴り合い,1
量,1
引率,1
レーキ,1
後かたづけ,1
任せる,1
普段,1
髪の毛,1
こぼれ,1
ワンマン,1
振れる,1
朝露,1
邪魔,1
ランス,1
勝手,1
大雨,1
靴下,1
急停車,1
ボレー,1
前屈み,1
サイン,1
付け根,1
品,1
投げつける,1
親指,1
記念,1
贈る,1
奥,1
つぶれる,1
マシーン,1
ライン,1
ワンバウンドキャッチボール,1
中学生,1
放つ,1
クロス,1
チェック,1
下げる,1
作品,1
地,1
崖,1
番目,1
落書き,1
踊る,1
浮かび上がる,1
高等,1
咬傷,1
歯磨き,1
突き飛ばす,1
真後ろ,1
まつり,1
至る,1
宿,1
民宿,1
セメント,1
払い,1
足かけ,1
あげる,1
まとも,1
手提げ,1
鞄,1
とりあげる,1
どかす,1
帽子,1
こおる,1
司令,1
あずかる,1
巾着,1
さげる,1
面白い,1
うちつける,1
滑落,1
踏みはずす,1
ミット,1
短め,1
試みる,1
ガラス,1
前腕,1
戸,1
手のひら,1
圧迫,1
計,1
身長,1
張り出す,1
臀部,1
わき腹,1
前額,1
試し,1
バイパス,1
会場,1
所属,1
飛び込み,1
ゲ,1
ム,1
奪い合い,1
取り合う,1
担ぐ,1
ニヤッ,1
プレイ,1
後口,1
大腿,1
対面,1
タッチフット,1
キックオフ,1
打ち合わせ,1
教官,1
あと,1
ピンポン,1
代わり,1
傍,1
本格,1
玉,1
含む,1
引き上げる,1
運転,1
共,1
寒い,1
悴む,1
のる,1
小,1
スモールスモールヒル,1
ランディングバーン,1
ケース,1
腫れ,1
むける,1
底面,1
予定,1
帰,1
通り,1
過ごす,1
南,1
イス,1
スカート,1
腰かける,1
平面,1
ぽい,1
視界,1
浴びせる,1
馬鹿,1
段上,1
ひとり,1
ロングパス,1
双方,1
右腕,1
ヘッド,1
一時,1
締める,1
一方,1
ふう,1
乗車,1
溶接,1
製作,1
試走,1
ヤスリ,1
運び出す,1
道具,1
類,1
事前,1
重,1
二塁手,1
浮き上がる,1
ロード,1
徐行,1
必死,1
会う,1
おもり,1
シャフト,1
ラットプルダウン,1
ボタン,1
創傷,1
範囲,1
メガネ,1
弱い,1
忘れる,1
街灯,1
視力,1
掛かる,1
納める,1
付き添う,1
側面,1
杖,1
ソフトテニス,1
ビックバレー,1
今回,1
またぐ,1
平均,1
横目,1
紙芝居,1
読み手,1
あく,1
歩き,1
ブランコ,1
夢中,1
書く,1
紙,1
絵,1
配膳,1
いい,1
はし,1
丸太,1
片足,1
飛び越える,1
一輪車,1
はやい,1
班長,1
巡回,1
形態,1
分担,1
前列,1
甲骨,1
ハイキング,1
初日,1
急斜面,1
間違える,1
せり合う,1
ガット,1
離,1
些細,1
終る,1
終業,1
決める,1
水しぶき,1
遊撃手,1
すべて,1
効く,1
巻き上げる,1
整備,1
修正,1
踏み出す,1
使える,1
消す,1
空く,1
聞こえる,1
刺す,1
盗塁,1
ゲージ,1
角度,1
門歯,1
春休み,1
マーク,1
絡みつく,1
スタンツ,1
横向き,1
早退,1
発熱,1
不具合,1
尻餅,1
物語,1
ずり落ちる,1
逆さま,1
潜る,1
繋ぐ,1
股下,1
め,1
外科,1
翌日,1
脳神経,1
とおせる,1
ぼる,1
振りほどく,1
もよおす,1
吐き気,1
英語,1
左寄り,1
突進,1
中身,1
湿気,1
水道,1
だめ,1
クラウンド,1
出くわす,1
因縁,1
暴行,1
主,1
庇,1
窓側,1
防護,1
伏せる,1
滑り落ちる,1
野外,1
綱,1
堤防,1
湖,1
おさまる,1
怒り,1
激怒,1
日曜日,1
相手方,1
傷み,1
動ける,1
デットボール,1
はねかえる,1
巻き付ける,1
おんぶ,1
こめかみ,1
バチ,1
レントゲン,1
判明,1
太鼓,1
撮影,1
講堂,1
うち,1
くれる,1
隊員,1
上中切,1
上側,1
上肢,1
下肢,1
中切,1
打撲傷,1
前夜,1
捻る,1
ひく,1
往来,1
途切れる,1
突っ込み,1
着替え,1
就寝,1
衝動,1
覚める,1
おこす,1
訓練,1
ふき,1
洗面,1
ジャガイモ,1
靴箱,1
話し合う,1
寝転ぶ,1
曲げる,1
覗き,1
放る,1
エバーマット,1
学芸,1
後半,1
降ろす,1
てっぺん,1
登り,1
フットベース,1
フラ,1
フープ,1
整える,1
進み出す,1
乗れる,1
腰部,1
レンガ,1
大車輪,1
モップ,1
分かる,1
経る,1
けがす,1
併走,1
寄せる,1
構え,1
込み,1
コーン,1
中心,1
働く,1
元,1
台風,1
定める,1
遠心,1
態度,1
様子,1
誤解,1
スコア,1
脳震盪,1
ハーフパイプコース,1
中腹,1
脇腹,1
乱れる,1
インタビュー,1
人間,1
国民,1
産業,1
設定,1
痛い,1
新人,1
インターハイ,1
欠落,1
ローラー,1
引き,1
整地,1
夏休み,1
スローイング,1
光,1
当時,1
野手,1
ブルペン,1
身動き,1
太陽,1
空,1
見上げる,1
メンバー,1
下切,1
スルー,1
兼,1
無理,1
筋力,1
口内,1
暴れる,1
落馬,1
馬術,1
騎乗,1
差し掛かる,1
風雨,1
体重,1
加速,1
仕事,1
転換,1
着る,1
だす,1
ヒット,1
しろい,1
目撃,1
覚える,1
バルコニー,1
