語1,語2,共起事例数,Jaccard（ネットワーク重み）
前歯,廊下,36,0.04730617608409987
前歯,登校,36,0.04645161290322581
バッター,バット,35,0.2692307692307692
相手,頭,35,0.14
体育館,補綴,35,0.1346153846153846
体育館,加える,35,0.13358778625954199
体育館,歯科,35,0.13358778625954199
前方,自転車,35,0.13059701492537312
バット,打つ,35,0.125
破る,野球,35,0.10144927536231885
イレギュラー,ボール,35,0.0847457627118644
教室,転倒,35,0.07641921397379912
強打,歯科,35,0.07543103448275862
負傷,足,35,0.07291666666666667
歯,顎,35,0.07216494845360824
抜ける,歯,35,0.0720164609053498
サッカー,部,35,0.068359375
脱臼,部,35,0.06493506493506493
ぶつかる,練習,35,0.06340579710144928
運動,顔面,35,0.058922558922558925
床,滑る,34,0.12734082397003746
友人,床,34,0.12318840579710146
体育,床,34,0.10493827160493827
体育,歯科,34,0.10240963855421686
体育,打つ,34,0.10089020771513353
地面,強打,34,0.0921409214092141
友人,強打,34,0.08740359897172237
サッカー,ボール,34,0.07906976744186046
口元,当たる,34,0.0737527114967462
手,負傷,34,0.0735930735930736
強打,補綴,34,0.0734341252699784
加える,強打,34,0.07311827956989247
バット,ボール,34,0.07068607068607069
れる,口,34,0.06732673267326733
強打,試合,34,0.06732673267326733
歯,滑る,34,0.06513409961685823
しまう,転倒,34,0.06500956022944551
前方,顔面,34,0.06273062730627306
下校,顔面,34,0.06039076376554174
体育,練習,34,0.05695142378559464
ボール,強打,34,0.050746268656716415
休憩,前歯,34,0.04551539491298527
前歯,道路,34,0.04461942257217848
欠損,補綴,33,0.15207373271889402
加える,欠損,33,0.1506849315068493
欠損,歯科,33,0.1506849315068493
破る,脱臼,33,0.14285714285714285
体育,体育館,33,0.13983050847457626
ぶつける,床,33,0.11743772241992882
強い,打つ,33,0.11
直撃,試合,33,0.10891089108910891
体育,補綴,33,0.09969788519637462
体育,加える,33,0.0990990990990991
床,顔,33,0.09734513274336283
打つ,顔,33,0.09375
前方,強打,33,0.09269662921348315
破る,試合,33,0.0870712401055409
本,相手,33,0.08396946564885496
打つ,試合,33,0.0812807881773399
本,試合,33,0.07875894988066826
守備,当たる,33,0.07236842105263158
ボール,体育館,33,0.07036247334754797
口元,練習,33,0.06420233463035019
体育,転倒,33,0.06179775280898876
バランス,歯,33,0.0616822429906542
登校,顔面,33,0.06043956043956044
