単語,総出現回数,出現事例数,事例出現率（％）,頻度順位
避ける,30,29,1.832,148
打撲,30,29,1.832,149
移動,30,29,1.832,150
ラケット,30,23,1.4529,151
切る,30,30,1.8951,152
欠ける,30,30,1.8951,153
落下,30,29,1.832,154
素振り,29,27,1.7056,155
内,29,28,1.7688,156
ブレーキ,29,29,1.832,157
プール,28,15,0.9476,158
机,28,20,1.2634,159
フライ,28,26,1.6425,160
室,28,24,1.5161,161
壁,28,25,1.5793,162
救急,28,26,1.6425,163
コンクリート,27,26,1.6425,164
上顎,27,27,1.7056,165
走行,27,25,1.5793,166
歩道,27,24,1.5161,167
押す,27,26,1.6425,168
損傷,27,27,1.7056,169
鉄棒,27,16,1.0107,170
追う,26,24,1.5161,171
誤る,26,26,1.6425,172
隣,26,25,1.5793,173
側,26,26,1.6425,174
祭,26,26,1.6425,175
大会,26,26,1.6425,176
他校,26,26,1.6425,177
タイヤ,26,25,1.5793,178
鬼ごっこ,25,25,1.5793,179
転落,25,25,1.5793,180
ごと,25,25,1.5793,181
バウンド,25,24,1.5161,182
おる,25,23,1.4529,183
終わる,24,24,1.5161,184
降りる,24,22,1.3898,185
気付く,24,24,1.5161,186
外,24,23,1.4529,187
ｍ,24,24,1.5161,188
激突,24,24,1.5161,189
ディフェンス,24,23,1.4529,190
負う,24,24,1.5161,191
いく,24,23,1.4529,192
両手,24,24,1.5161,193
拾う,24,23,1.4529,194
搬送,24,24,1.5161,195
肩,23,22,1.3898,196
戻る,23,22,1.3898,197
ピッチャー,23,23,1.4529,198
路面,23,22,1.3898,199
マット,22,15,0.9476,200
鼻,22,21,1.3266,201
的,22,22,1.3898,202
形式,22,22,1.3898,203
とる,22,21,1.3266,204
競技,22,20,1.2634,205
校庭,22,19,1.2003,206
参加,22,22,1.3898,207
きれる,21,21,1.3266,208
昼食,21,21,1.3266,209
クラス,21,20,1.2634,210
スピード,21,21,1.3266,211
失う,21,21,1.3266,212
別,21,20,1.2634,213
上がる,21,21,1.3266,214
雨,21,20,1.2634,215
打者,21,18,1.1371,216
当たり,21,21,1.3266,217
ゴールキーパー,21,19,1.2003,218
レシーブ,21,17,1.0739,219
スティック,21,20,1.2634,220
先,21,21,1.3266,221
支柱,21,20,1.2634,222
朝,20,20,1.2634,223
急,20,20,1.2634,224
外れる,20,20,1.2634,225
間,20,19,1.2003,226
出す,20,19,1.2003,227
守る,20,19,1.2003,228
意識,20,20,1.2634,229
校舎,19,19,1.2003,230
側溝,19,17,1.0739,231
傘,19,16,1.0107,232
骨折,19,18,1.1371,233
そう,19,19,1.2003,234
額,19,19,1.2003,235
坂道,19,18,1.1371,236
腕,19,17,1.0739,237
口腔,19,18,1.1371,238
着地,19,19,1.2003,239
指導,19,18,1.1371,240
ジャンプ,18,16,1.0107,241
受診,18,18,1.1371,242
かかる,18,18,1.1371,243
キャッチ,18,16,1.0107,244
曲がる,18,17,1.0739,245
送球,18,17,1.0739,246
損ねる,18,18,1.1371,247
方向,18,18,1.1371,248
コート,18,17,1.0739,249
バント,18,15,0.9476,250
引っ掛かる,18,18,1.1371,251
瞬間,17,17,1.0739,252
振り向く,17,17,1.0739,253
つかむ,17,16,1.0107,254
一緒,17,17,1.0739,255
上唇,17,17,1.0739,256
抜け落ちる,17,17,1.0739,257
正面,17,17,1.0739,258
うし,17,17,1.0739,259
ろ,17,17,1.0739,260
特定,17,17,1.0739,261
上下,17,17,1.0739,262
止まる,17,16,1.0107,263
昼休み,17,17,1.0739,264
支える,16,15,0.9476,265
石,16,11,0.6949,266
脱落,16,16,1.0107,267
ランニング,16,15,0.9476,268
スキー,16,11,0.6949,269
次,16,16,1.0107,270
バッターボックス,16,15,0.9476,271
パス,16,13,0.8212,272
外野,16,14,0.8844,273
ホッケー,16,16,1.0107,274
靴,16,15,0.9476,275
終える,16,16,1.0107,276
座る,16,14,0.8844,277
フェンス,16,11,0.6949,278
跳ね返る,16,16,1.0107,279
激しい,16,15,0.9476,280
使う,16,16,1.0107,281
男子,16,16,1.0107,282
トイレ,16,13,0.8212,283
下る,16,16,1.0107,284
打撃,16,16,1.0107,285
高い,15,15,0.9476,286
上げる,15,14,0.8844,287
学級,15,14,0.8844,288
テニス,15,14,0.8844,289
殴る,15,14,0.8844,290
向く,15,15,0.9476,291
裂傷,15,15,0.9476,292
塁,15,12,0.7581,293
柔道,15,15,0.9476,294
絡まる,15,15,0.9476,295
背中,15,15,0.9476,296
入れる,15,15,0.9476,297
段,15,8,0.5054,298
辺り,15,13,0.8212,299
振り返る,15,15,0.9476,300
直接,15,15,0.9476,301
濡れる,15,15,0.9476,302
回転,15,14,0.8844,303
場所,14,14,0.8844,304
かけっこ,14,13,0.8212,305
逃げる,14,13,0.8212,306
左側,14,14,0.8844,307
待つ,14,13,0.8212,308
転がる,14,14,0.8844,309
トス,14,11,0.6949,310
ひっかかる,14,14,0.8844,311
ドリブル,14,13,0.8212,312
思う,14,14,0.8844,313
給食,14,12,0.7581,314
角,14,14,0.8844,315
縁石,14,13,0.8212,316
ショート,14,14,0.8844,317
バック,14,12,0.7581,318
受傷,14,13,0.8212,319
名,14,13,0.8212,320
カーブ,14,14,0.8844,321
教師,14,12,0.7581,322
溝,13,11,0.6949,323
離す,13,13,0.8212,324
遊び,13,13,0.8212,325
道,13,12,0.7581,326
引っ張る,13,12,0.7581,327
声,13,12,0.7581,328
椅子,13,10,0.6317,329
破損,13,13,0.8212,330
サード,13,13,0.8212,331
ペダル,13,12,0.7581,332
車輪,13,13,0.8212,333
跳ぶ,13,10,0.6317,334
バー,13,9,0.5685,335
通る,13,13,0.8212,336
シート,13,13,0.8212,337
セカンド,13,13,0.8212,338
教員,13,8,0.5054,339
ドッジボール,13,13,0.8212,340
担任,13,11,0.6949,341
雑巾,12,11,0.6949,342
合う,12,12,0.7581,343
陸上,12,12,0.7581,344
アスファルト,12,11,0.6949,345
置く,12,12,0.7581,346
応援,12,11,0.6949,347
キャッチボール,12,12,0.7581,348
硬式,12,12,0.7581,349
ティー,12,12,0.7581,350
シャトル,12,8,0.5054,351
バドミントン,12,12,0.7581,352
対,12,12,0.7581,353
後頭部,12,12,0.7581,354
学習,12,11,0.6949,355
ステージ,12,6,0.379,356
竹,12,5,0.3159,357
抜く,12,11,0.6949,358
遊具,12,9,0.5685,359
帰宅,12,12,0.7581,360
歩行,12,11,0.6949,361
台,11,9,0.5685,362
路,11,10,0.6317,363
技,11,11,0.6949,364
会,11,11,0.6949,365
チームメイト,11,10,0.6317,366
降る,11,11,0.6949,367
失敗,11,11,0.6949,368
衝撃,11,11,0.6949,369
止める,11,11,0.6949,370
引っかかる,11,11,0.6949,371
操作,11,10,0.6317,372
乗り上げる,11,11,0.6949,373
金属,11,11,0.6949,374
投げ出す,11,11,0.6949,375
部室,11,10,0.6317,376
痛める,11,11,0.6949,377
振り回す,11,10,0.6317,378
あたり,11,11,0.6949,379
板,11,9,0.5685,380
実習,11,10,0.6317,381
脇,11,11,0.6949,382
余る,11,11,0.6949,383
形,11,10,0.6317,384
突っ込む,11,11,0.6949,385
気,11,11,0.6949,386
骨,11,11,0.6949,387
学年,11,11,0.6949,388
スリップ,11,11,0.6949,389
ガードレール,10,10,0.6317,390
通学,10,9,0.5685,391
荷物,10,9,0.5685,392
窓,10,9,0.5685,393
順番,10,10,0.6317,394
ランナー,10,7,0.4422,395
悪い,10,10,0.6317,396
体勢,10,10,0.6317,397
踏み外す,10,10,0.6317,398
右足,10,9,0.5685,399
放課後,10,10,0.6317,400
打席,10,9,0.5685,401
面,10,10,0.6317,402
飛ばす,10,10,0.6317,403
ひも,10,8,0.5054,404
馬,10,7,0.4422,405
飛び出す,10,10,0.6317,406
手すり,10,8,0.5054,407
クラブ,10,9,0.5685,408
リレー,10,10,0.6317,409
すべる,10,10,0.6317,410
渡り廊下,10,9,0.5685,411
水筒,10,6,0.379,412
さ,9,9,0.5685,413
回,9,8,0.5054,414
着く,9,9,0.5685,415
向ける,9,9,0.5685,416
掃除,9,9,0.5685,417
滑走,9,9,0.5685,418
等,9,9,0.5685,419
始める,9,9,0.5685,420
起こす,9,9,0.5685,421
ファースト,9,7,0.4422,422
構える,9,9,0.5685,423
部活,9,9,0.5685,424
ラグビー,9,9,0.5685,425
輪,9,9,0.5685,426
下りる,9,9,0.5685,427
気分,9,9,0.5685,428
坂,9,9,0.5685,429
立ち上がる,9,9,0.5685,430
内側,9,8,0.5054,431
やる,9,9,0.5685,432
体操,9,8,0.5054,433
遠足,9,9,0.5685,434
確認,9,9,0.5685,435
ブロック,9,8,0.5054,436
保健,9,6,0.379,437
水,9,7,0.4422,438
車椅子,9,4,0.2527,439
戦,9,8,0.5054,440
ヘディング,9,9,0.5685,441
取り合い,9,9,0.5685,442
出場,9,9,0.5685,443
運ぶ,9,7,0.4422,444
ポスト,9,8,0.5054,445
近づく,9,9,0.5685,446
水泳,9,9,0.5685,447
周辺,9,9,0.5685,448
倒す,9,9,0.5685,449
片付け,9,8,0.5054,450
低い,9,9,0.5685,451
車道,9,9,0.5685,452
友だち,9,6,0.379,453
席,9,8,0.5054,454
斜め,9,9,0.5685,455
当日,9,9,0.5685,456
がけ,8,8,0.5054,457
登る,8,8,0.5054,458
同級生,8,6,0.379,459
直後,8,8,0.5054,460
サイド,8,7,0.4422,461
組,8,7,0.4422,462
あう,8,8,0.5054,463
こむ,8,8,0.5054,464
急ぐ,8,7,0.4422,465
入ろう,8,8,0.5054,466
待機,8,8,0.5054,467
味方,8,8,0.5054,468
返球,8,6,0.379,469
渡す,8,8,0.5054,470
ない,8,8,0.5054,471
身体,8,8,0.5054,472
遠征,8,8,0.5054,473
歯肉,8,8,0.5054,474
自宅,8,7,0.4422,475
通常,8,8,0.5054,476
スイング,8,7,0.4422,477
種目,8,8,0.5054,478
走り出す,8,7,0.4422,479
並ぶ,8,8,0.5054,480
回す,8,8,0.5054,481
発作,8,8,0.5054,482
ゴロ,8,8,0.5054,483
うまい,8,8,0.5054,484
中央,8,8,0.5054,485
駐車,8,7,0.4422,486
用,8,8,0.5054,487
走者,8,8,0.5054,488
右手,8,8,0.5054,489
しゃがむ,8,7,0.4422,490
シーソー,8,5,0.3159,491
渡る,8,6,0.379,492
トレーニング,8,8,0.5054,493
交差点,8,8,0.5054,494
ロック,8,8,0.5054,495
歯槽,8,8,0.5054,496
胸,8,7,0.4422,497
帰る,8,8,0.5054,498
者,8,8,0.5054,499
川,8,6,0.379,500
始業,8,8,0.5054,501
蓋,7,6,0.379,502
ブラシ,7,5,0.3159,503
斜面,7,6,0.379,504
徒歩,7,7,0.4422,505
首,7,7,0.4422,506
グループ,7,5,0.3159,507
歯根,7,7,0.4422,508
合宿,7,7,0.4422,509
顧問,7,6,0.379,510
始まる,7,7,0.4422,511
反動,7,7,0.4422,512
昇降,7,7,0.4422,513
ノッカー,7,6,0.379,514
完全,7,7,0.4422,515
滑り,7,7,0.4422,516
先端,7,7,0.4422,517
踊り場,7,7,0.4422,518
ベース,7,7,0.4422,519
崩れる,7,7,0.4422,520
投手,7,7,0.4422,521
たち,7,7,0.4422,522
落とす,7,7,0.4422,523
ライト,7,6,0.379,524
損なう,7,7,0.4422,525
鉄,7,7,0.4422,526
挟まる,7,7,0.4422,527
大きい,7,7,0.4422,528
設置,7,7,0.4422,529
車いす,7,5,0.3159,530
左腕,7,7,0.4422,531
位置,7,7,0.4422,532
半分,7,7,0.4422,533
左手,7,7,0.4422,534
交錯,7,6,0.379,535
跳ねる,7,6,0.379,536
自動車,7,6,0.379,537
背後,7,7,0.4422,538
掛ける,7,7,0.4422,539
反対,7,7,0.4422,540
回る,7,6,0.379,541
防,7,7,0.4422,542
袋,7,6,0.379,543
オフェンス,7,6,0.379,544
運動会,7,7,0.4422,545
一塁,7,6,0.379,546
管,6,3,0.1895,547
つける,6,6,0.379,548
作業,6,4,0.2527,549
つま,6,6,0.379,550
づく,6,6,0.379,551
すべり台,6,4,0.2527,552
お互い,6,6,0.379,553
頬,6,6,0.379,554
起きる,6,6,0.379,555
放す,6,6,0.379,556
先頭,6,6,0.379,557
痛み,6,6,0.379,558
引く,6,6,0.379,559
発見,6,6,0.379,560
使用,6,5,0.3159,561
脚,6,6,0.379,562
全員,6,6,0.379,563
口論,6,6,0.379,564
腰,6,6,0.379,565
同士,6,6,0.379,566
球技,6,6,0.379,567
本人,6,6,0.379,568
デッドボール,6,6,0.379,569
ぐらつく,6,6,0.379,570
端,6,6,0.379,571
それる,6,6,0.379,572
ポジション,6,5,0.3159,573
コース,6,5,0.3159,574
校門,6,6,0.379,575
見える,6,6,0.379,576
戻す,6,6,0.379,577
黒板,6,4,0.2527,578
気づく,6,6,0.379,579
遅れる,6,6,0.379,580
交流,6,6,0.379,581
ふらつく,6,6,0.379,582
冠,6,5,0.3159,583
キック,6,5,0.3159,584
前進,6,6,0.379,585
分かれる,6,6,0.379,586
あたる,6,6,0.379,587
枠,6,6,0.379,588
もらう,6,6,0.379,589
足元,6,6,0.379,590
公園,6,6,0.379,591
網,6,2,0.1263,592
話,6,6,0.379,593
怒る,6,6,0.379,594
位,6,6,0.379,595
砂利,6,6,0.379,596
言い争う,6,6,0.379,597
引っ掛ける,6,6,0.379,598
ライナー,6,6,0.379,599
性,6,6,0.379,600
下がる,6,6,0.379,601
下ろす,6,6,0.379,602
ぶらんこ,6,3,0.1895,603
駅,6,6,0.379,604
寄る,6,6,0.379,605
みる,6,6,0.379,606
両足,6,5,0.3159,607
擦り傷,6,5,0.3159,608
立ち止まる,6,6,0.379,609
合同,6,6,0.379,610
キーパー,6,5,0.3159,611
ハンドボール,6,6,0.379,612
気が付く,6,6,0.379,613
見失う,6,6,0.379,614
自立,6,6,0.379,615
ヘルメット,6,6,0.379,616
動き,6,6,0.379,617
転,5,4,0.2527,618
デッキ,5,4,0.2527,619
永久歯,5,5,0.3159,620
寄宿舎,5,5,0.3159,621
力,5,4,0.2527,622
ロープ,5,4,0.2527,623
グリップ,5,5,0.3159,624
跳ね上がる,5,4,0.2527,625
ける,5,5,0.3159,626
プレー,5,5,0.3159,627
受け止める,5,5,0.3159,628
トラブル,5,5,0.3159,629
言う,5,5,0.3159,630
バスケット,5,5,0.3159,631
役,5,3,0.1895,632
グローブ,5,5,0.3159,633
グランド,5,5,0.3159,634
サーブ,5,4,0.2527,635
タックル,5,4,0.2527,636
刺さる,5,4,0.2527,637
電柱,5,5,0.3159,638
過ぎる,5,5,0.3159,639
周り,5,5,0.3159,640
越える,5,5,0.3159,641
ホール,5,5,0.3159,642
飛び降りる,5,5,0.3159,643
手首,5,5,0.3159,644
人組,5,5,0.3159,645
ボード,5,3,0.1895,646
紅白,5,5,0.3159,647
校内,5,5,0.3159,648
ポール,5,5,0.3159,649
根本,5,5,0.3159,650
拍子,5,5,0.3159,651
リコーダー,5,2,0.1263,652
ジャングルジム,5,3,0.1895,653
番,5,5,0.3159,654
けんか,5,5,0.3159,655
式,5,5,0.3159,656
縁,5,5,0.3159,657
通路,5,5,0.3159,658
起き上がる,5,5,0.3159,659
すぎる,5,5,0.3159,660
直前,5,5,0.3159,661
見つける,5,5,0.3159,662
タイミング,5,5,0.3159,663
上る,5,5,0.3159,664
スパイク,5,5,0.3159,665
振り切る,5,5,0.3159,666
腹,5,5,0.3159,667
かわす,5,5,0.3159,668
吹奏楽,5,5,0.3159,669
度,5,5,0.3159,670
スケート,5,4,0.2527,671
見学,5,4,0.2527,672
総合,5,5,0.3159,673
あご,5,5,0.3159,674
ペア,5,5,0.3159,675
スライディング,5,5,0.3159,676
早朝,5,5,0.3159,677
以前,5,5,0.3159,678
出来る,5,5,0.3159,679
よそ見,5,5,0.3159,680
ダブルス,5,5,0.3159,681
注意,5,5,0.3159,682
左上,5,5,0.3159,683
トランポリン,5,4,0.2527,684
ほうき,5,4,0.2527,685
返す,5,5,0.3159,686
長い,5,5,0.3159,687
宙返り,5,4,0.2527,688
腹部,5,5,0.3159,689
倒れ込む,5,5,0.3159,690
先輩,5,3,0.1895,691
はまる,5,5,0.3159,692
鬼,5,5,0.3159,693
多量,5,5,0.3159,694
歯茎,5,5,0.3159,695
出し,5,5,0.3159,696
雨天,5,5,0.3159,697
けが,5,5,0.3159,698
照明,5,5,0.3159,699
内野,5,4,0.2527,700
奪う,5,5,0.3159,701
カゴ,5,4,0.2527,702
てんかん,5,5,0.3159,703
底,5,5,0.3159,704
教諭,5,3,0.1895,705
m,5,4,0.2527,706
つなぐ,5,5,0.3159,707
ゴルフ,5,4,0.2527,708
動く,5,5,0.3159,709
三塁,5,4,0.2527,710
ダンス,5,5,0.3159,711
間に合う,5,5,0.3159,712
開始,5,5,0.3159,713
言葉,5,5,0.3159,714
馬跳び,5,5,0.3159,715
班,5,4,0.2527,716
宿泊,5,5,0.3159,717
分,5,5,0.3159,718
全力,5,5,0.3159,719
園児,5,1,0.0632,720
理科,4,4,0.2527,721
とぶ,4,4,0.2527,722
裏,4,4,0.2527,723
つんのめる,4,4,0.2527,724
右側,4,4,0.2527,725
軽い,4,4,0.2527,726
うつ,4,4,0.2527,727
上級生,4,4,0.2527,728
打順,4,3,0.1895,729
振り払う,4,4,0.2527,730
前かがみ,4,4,0.2527,731
カット,4,4,0.2527,732
攻撃,4,4,0.2527,733
年生,4,4,0.2527,734
うつ伏せる,4,4,0.2527,735
集会,4,4,0.2527,736
じゃれる,4,4,0.2527,737
空振り,4,4,0.2527,738
ルーズボール,4,4,0.2527,739
文化,4,4,0.2527,740
合唱,4,4,0.2527,741
貧血,4,4,0.2527,742
監督,4,4,0.2527,743
躓く,4,4,0.2527,744
フリー,4,4,0.2527,745
前日,4,4,0.2527,746
ファール,4,4,0.2527,747
伸ばす,4,4,0.2527,748
公式,4,4,0.2527,749
全身,4,4,0.2527,750
外す,4,4,0.2527,751
追いつく,4,4,0.2527,752
駆け寄る,4,4,0.2527,753
立ち,4,4,0.2527,754
路上,4,3,0.1895,755
経路,4,4,0.2527,756
生活,4,4,0.2527,757
ゴム,4,4,0.2527,758
かがむ,4,4,0.2527,759
向き,4,4,0.2527,760
変わる,4,4,0.2527,761
乗り越える,4,4,0.2527,762
競り合い,4,4,0.2527,763
花壇,4,3,0.1895,764
ホームルーム,4,4,0.2527,765
傾く,4,4,0.2527,766
ベンチ,4,4,0.2527,767
逸れる,4,4,0.2527,768
投球,4,4,0.2527,769
鉄柱,4,4,0.2527,770
裂創,4,4,0.2527,771
グラブ,4,3,0.1895,772
剣道,4,3,0.1895,773
突き,4,4,0.2527,774
巻く,4,3,0.1895,775
自由,4,4,0.2527,776
うむ,4,3,0.1895,777
中庭,4,4,0.2527,778
指示,4,4,0.2527,779
入り口,4,4,0.2527,780
驚く,4,4,0.2527,781
姿勢,4,4,0.2527,782
マウス,4,3,0.1895,783
柄,4,4,0.2527,784
立てる,4,4,0.2527,785
駐輪場,4,4,0.2527,786
鉄製,4,4,0.2527,787
パイプ,4,3,0.1895,788
最寄り駅,4,4,0.2527,789
入口,4,3,0.1895,790
クラスメート,4,3,0.1895,791
帰り,4,4,0.2527,792
眼,4,4,0.2527,793
進む,4,4,0.2527,794
音楽,4,4,0.2527,795
停止,4,4,0.2527,796
列,4,4,0.2527,797
続く,4,4,0.2527,798
脱ぐ,4,4,0.2527,799
固定,4,4,0.2527,800
外傷,4,4,0.2527,801
入り込む,4,4,0.2527,802
特別,4,4,0.2527,803
支援,4,4,0.2527,804
取り返す,4,4,0.2527,805
ドア,4,3,0.1895,806
打ち返す,4,3,0.1895,807
砂,4,2,0.1263,808
マスク,4,3,0.1895,809
平行棒,4,3,0.1895,810
上口,4,4,0.2527,811
停車,4,4,0.2527,812
最中,4,4,0.2527,813
ベースボール,4,4,0.2527,814
フロア,4,4,0.2527,815
かばん,4,4,0.2527,816
走り高跳び,4,4,0.2527,817
スタンド,4,2,0.1263,818
ミーティング,4,4,0.2527,819
跳箱,4,3,0.1895,820
擦りむく,4,4,0.2527,821
持久走,4,4,0.2527,822
浮く,4,4,0.2527,823
距離,4,4,0.2527,824
重なる,4,4,0.2527,825
そば,4,4,0.2527,826
浴室,4,4,0.2527,827
行事,4,4,0.2527,828
叩く,4,4,0.2527,829
返却,4,3,0.1895,830
揺らす,4,3,0.1895,831
小走り,4,4,0.2527,832
一環,4,4,0.2527,833
飛び込む,4,4,0.2527,834
こぐ,4,4,0.2527,835
ランドセル,4,2,0.1263,836
正門,4,3,0.1895,837
胸部,4,4,0.2527,838
かすめる,4,4,0.2527,839
結露,4,4,0.2527,840
左折,4,4,0.2527,841
用水路,4,4,0.2527,842
病院,4,4,0.2527,843
持ち上げる,4,4,0.2527,844
処理,4,3,0.1895,845
物,4,4,0.2527,846
日,4,4,0.2527,847
丸太,4,1,0.0632,848
手前,4,4,0.2527,849
置き場,4,4,0.2527,850
とっさ,4,4,0.2527,851
ぬれる,4,4,0.2527,852
綱,4,1,0.0632,853
センター,4,4,0.2527,854
きる,4,4,0.2527,855
本棚,4,2,0.1263,856
扉,4,4,0.2527,857
倉庫,4,3,0.1895,858
ほお,4,4,0.2527,859
覆う,4,4,0.2527,860
配水,4,2,0.1263,861
押さえる,4,3,0.1895,862
昼,3,3,0.1895,863
児,3,3,0.1895,864
履く,3,3,0.1895,865
根元,3,3,0.1895,866
ウォーミングアップ,3,3,0.1895,867
からまる,3,3,0.1895,868
競争,3,3,0.1895,869
ストック,3,2,0.1263,870
駆ける,3,3,0.1895,871
～,3,3,0.1895,872
機,3,2,0.1263,873
汗,3,3,0.1895,874
切,3,3,0.1895,875
一瞬,3,3,0.1895,876
渡し,3,2,0.1263,877
滑り込む,3,3,0.1895,878
乗りかかる,3,3,0.1895,879
県,3,3,0.1895,880
張る,3,3,0.1895,881
怪我,3,3,0.1895,882
もつれる,3,3,0.1895,883
接近,3,3,0.1895,884
HR,3,3,0.1895,885
呼ぶ,3,3,0.1895,886
遅刻,3,3,0.1895,887
紐,3,3,0.1895,888
科,3,3,0.1895,889
相撲,3,3,0.1895,890
後ろ向き,3,3,0.1895,891
ホーム,3,3,0.1895,892
バレー,3,3,0.1895,893
レフト,3,3,0.1895,894
上部,3,3,0.1895,895
触れる,3,3,0.1895,896
柵,3,3,0.1895,897
かご,3,3,0.1895,898
組む,3,3,0.1895,899
ヶ所,3,3,0.1895,900
集める,3,3,0.1895,901
部位,3,3,0.1895,902
リバウンド,3,3,0.1895,903
課題,3,3,0.1895,904
研究,3,3,0.1895,905
アルミ,3,2,0.1263,906
コンクリートブロック,3,3,0.1895,907
誤り,3,3,0.1895,908
門,3,2,0.1263,909
テスト,3,3,0.1895,910
卒業,3,3,0.1895,911
段ボール,3,2,0.1263,912
発表,3,3,0.1895,913
講習,3,3,0.1895,914
交代,3,2,0.1263,915
手足,3,3,0.1895,916
うつぶせる,3,3,0.1895,917
身,3,3,0.1895,918
乗り出す,3,3,0.1895,919
振り上げる,3,3,0.1895,920
ピース,3,2,0.1263,921
踏む,3,2,0.1263,922
たたく,3,2,0.1263,923
トラック,3,3,0.1895,924
ずれる,3,3,0.1895,925
園,3,3,0.1895,926
部屋,3,2,0.1263,927
結ぶ,3,3,0.1895,928
往復,3,3,0.1895,929
ターン,3,3,0.1895,930
チェーン,3,3,0.1895,931
玄関,3,3,0.1895,932
母親,3,3,0.1895,933
残る,3,3,0.1895,934
現場,3,3,0.1895,935
鉄板,3,3,0.1895,936
スロープ,3,3,0.1895,937
利用,3,3,0.1895,938
バトン,3,2,0.1263,939
高校,3,3,0.1895,940
