項目数,項目集合,事例数,支持度,支持度（％）
2,発生場所2=体育館・屋内運動場 | 競技種目=バスケットボール,82,0.05180037902716361,5.18
2,場合別2=登校（登園）中 | 被災学校種=高,82,0.05180037902716361,5.18
2,発生場所1=学校内・校舎内（園内・園舎内） | 発生場所2=教室（保育室）,81,0.051168667087807956,5.1169
2,性別=女 | 通学方法=自転車,81,0.051168667087807956,5.1169
2,性別=男 | 給付年度=18,81,0.051168667087807956,5.1169
2,和暦=令和 | 発生場所1=学校内・校舎内（園内・園舎内）,81,0.051168667087807956,5.1169
2,性別=男 | 給付年度=21,80,0.05053695514845231,5.0537
2,和暦=平成 | 給付年度=24,80,0.05053695514845231,5.0537
2,和暦=平成 | 給付年度=28,80,0.05053695514845231,5.0537
2,和暦=平成 | 場合別2=休憩時間中,79,0.04990524320909665,4.9905
2,和暦=平成 | 発生場所2=廊下,79,0.04990524320909665,4.9905
2,場合別2=下校（降園）中 | 被災学校種=高,79,0.04990524320909665,4.9905
2,発生場所2=体育館・屋内運動場 | 被災学年=3,78,0.049273531269740996,4.9274
2,発生場所1=学校外（園外） | 競技種目=野球（含軟式）,78,0.049273531269740996,4.9274
2,発生場所2=運動場・校庭（園庭） | 被災学校種=小,77,0.04864181933038535,4.8642
2,場合別1=休憩時間 | 性別=女,76,0.04801010739102969,4.801
2,場合別1=休憩時間 | 場合別2=昼食時休憩時間中,76,0.04801010739102969,4.801
2,場合別2=体育（保健体育） | 被災学年=3,76,0.04801010739102969,4.801
2,競技種目=バスケットボール | 被災学校種=高,76,0.04801010739102969,4.801
2,和暦=平成 | 給付年度=29,76,0.04801010739102969,4.801
2,性別=男 | 競技種目=サッカー・フットサル,75,0.047378395451674035,4.7378
2,発生場所2=学校外運動場・競技場 | 競技種目=野球（含軟式）,75,0.047378395451674035,4.7378
2,性別=男 | 給付年度=20,75,0.047378395451674035,4.7378
2,性別=女 | 発生場所2=体育館・屋内運動場,73,0.04611497157296273,4.6115
2,性別=男 | 給付年度=23,73,0.04611497157296273,4.6115
2,和暦=平成 | 給付年度=25,72,0.045483259633607075,4.5483
2,和暦=令和 | 被災学校種=中,72,0.045483259633607075,4.5483
2,和暦=令和 | 給付年度=2,72,0.045483259633607075,4.5483
2,場合別1=各教科等 | 性別=女,71,0.04485154769425142,4.4852
2,和暦=平成 | 発生場所2=教室（保育室）,71,0.04485154769425142,4.4852
2,場合別1=休憩時間 | 被災学年=3,71,0.04485154769425142,4.4852
2,発生場所2=体育館・屋内運動場 | 被災学校種=中,70,0.04421983575489577,4.422
2,発生場所1=学校内・校舎外（園内・園舎外） | 競技種目=ソフトボール,70,0.04421983575489577,4.422
2,発生場所2=運動場・校庭（園庭） | 競技種目=ソフトボール,70,0.04421983575489577,4.422
2,性別=男 | 給付年度=22,70,0.04421983575489577,4.422
2,和暦=平成 | 場合別1=学校行事,69,0.043588123815540114,4.3588
2,場合別2=休憩時間中 | 性別=男,69,0.043588123815540114,4.3588
2,場合別1=各教科等 | 被災学校種=中,69,0.043588123815540114,4.3588
2,被災学年=2 | 通学方法=自転車,69,0.043588123815540114,4.3588
2,給付年度=18 | 被災学校種=高,69,0.043588123815540114,4.3588
2,性別=男 | 給付年度=27,69,0.043588123815540114,4.3588
2,和暦=平成 | 給付年度=30,68,0.04295641187618446,4.2956
2,給付年度=20 | 被災学校種=高,67,0.04232469993682881,4.2325
2,性別=男 | 給付年度=26,67,0.04232469993682881,4.2325
2,場合別1=休憩時間 | 被災学年=2,66,0.041692987997473153,4.1693
2,和暦=平成 | 場合別2=昼食時休憩時間中,66,0.041692987997473153,4.1693
2,場合別2=登校（登園）中 | 性別=男,66,0.041692987997473153,4.1693
2,和暦=令和 | 被災学年=3,66,0.041692987997473153,4.1693
2,発生場所2=道路 | 被災学年=3,65,0.0410612760581175,4.1061
2,性別=男 | 給付年度=24,65,0.0410612760581175,4.1061
2,性別=男 | 給付年度=28,65,0.0410612760581175,4.1061
2,場合別2=休憩時間中 | 発生場所1=学校内・校舎内（園内・園舎内）,64,0.04042956411876184,4.043
2,場合別1=通学中 | 被災学年=3,64,0.04042956411876184,4.043
2,場合別2=体育（保健体育） | 被災学校種=中,64,0.04042956411876184,4.043
2,給付年度=17 | 被災学校種=高,64,0.04042956411876184,4.043
2,発生場所2=道路 | 被災学校種=中,63,0.03979785217940619,3.9798
2,和暦=令和 | 給付年度=1,63,0.03979785217940619,3.9798
2,和暦=令和 | 性別=女,63,0.03979785217940619,3.9798
2,和暦=令和 | 競技種目=野球（含軟式）,63,0.03979785217940619,3.9798
2,給付年度=19 | 被災学校種=高,62,0.03916614024005054,3.9166
2,和暦=平成 | 競技種目=ソフトボール,61,0.03853442830069488,3.8534
2,競技種目=野球（含軟式） | 被災学年=3,61,0.03853442830069488,3.8534
2,競技種目=サッカー・フットサル | 被災学校種=高,61,0.03853442830069488,3.8534
2,場合別1=課外指導 | 競技種目=サッカー・フットサル,61,0.03853442830069488,3.8534
2,場合別2=体育的部活動 | 競技種目=サッカー・フットサル,61,0.03853442830069488,3.8534
2,性別=男 | 発生場所2=教室（保育室）,60,0.03790271636133923,3.7903
2,和暦=平成 | 競技種目=サッカー・フットサル,60,0.03790271636133923,3.7903
2,場合別1=休憩時間 | 発生場所2=廊下,60,0.03790271636133923,3.7903
2,発生場所2=体育館・屋内運動場 | 被災学年=1,59,0.037271004421983576,3.7271
2,場合別2=昼食時休憩時間中 | 性別=男,58,0.03663929248262792,3.6639
2,場合別1=通学中 | 被災学校種=中,58,0.03663929248262792,3.6639
2,場合別1=各教科等 | 競技種目=ソフトボール,57,0.036007580543272265,3.6008
2,場合別2=体育（保健体育） | 競技種目=ソフトボール,57,0.036007580543272265,3.6008
2,発生場所2=学校外運動場・競技場 | 被災学年=2,57,0.036007580543272265,3.6008
2,性別=男 | 発生場所2=廊下,57,0.036007580543272265,3.6008
2,性別=男 | 給付年度=30,57,0.036007580543272265,3.6008
2,性別=男 | 給付年度=2,57,0.036007580543272265,3.6008
2,場合別1=休憩時間 | 場合別2=授業終了後の特定時間中,56,0.035375868603916616,3.5376
2,場合別1=課外指導 | 給付年度=19,56,0.035375868603916616,3.5376
2,和暦=平成 | 場合別1=特別活動（除学校行事）,55,0.03474415666456096,3.4744
2,給付年度=27 | 被災学校種=高,55,0.03474415666456096,3.4744
2,場合別1=学校行事 | 性別=男,54,0.034112444725205304,3.4112
2,場合別1=各教科等 | 被災学年=2,54,0.034112444725205304,3.4112
2,給付年度=21 | 被災学校種=高,54,0.034112444725205304,3.4112
2,性別=男 | 給付年度=25,54,0.034112444725205304,3.4112
2,場合別2=休憩時間中 | 被災学校種=小,53,0.033480732785849655,3.3481
2,発生場所1=学校内・校舎外（園内・園舎外） | 競技種目=サッカー・フットサル,53,0.033480732785849655,3.3481
2,場合別2=下校（降園）中 | 被災学年=1,53,0.033480732785849655,3.3481
2,場合別2=体育的部活動 | 給付年度=19,53,0.033480732785849655,3.3481
2,給付年度=23 | 被災学校種=高,53,0.033480732785849655,3.3481
2,場合別2=体育（保健体育） | 性別=女,52,0.032849020846494,3.2849
2,和暦=平成 | 被災学年=6,51,0.032217308907138344,3.2217
2,被災学年=6 | 被災学校種=小,51,0.032217308907138344,3.2217
2,和暦=平成 | 被災学年=5,51,0.032217308907138344,3.2217
