列名,値,件数,割合（％）,列内順位
場合別2,学級（ホームルーム）活動,11,0.6949,15
場合別2,通学（通園）に準ずるとき,10,0.6317,16
場合別2,（欠損）,8,0.5054,17
場合別2,その他,8,0.5054,18
場合別2,その他学級活動,7,0.4422,19
場合別2,文化的部活動,7,0.4422,20
場合別2,総合的な学習の時間,7,0.4422,21
場合別2,体育的クラブ活動,7,0.4422,22
場合別2,自立活動,7,0.4422,23
場合別2,修学旅行,6,0.379,24
場合別2,給食指導,5,0.3159,25
場合別2,理科,4,0.2527,26
場合別2,児童（生徒・学生）会活動,4,0.2527,27
場合別2,大掃除,4,0.2527,28
場合別2,水泳指導,3,0.1895,29
場合別2,その他健康安全・体育的行事,3,0.1895,30
場合別2,その他儀式的行事,3,0.1895,31
場合別2,文化的行事,3,0.1895,32
場合別2,農業,2,0.1263,33
場合別2,勤労生産・奉仕的行事,1,0.0632,34
場合別2,林間学校,1,0.0632,35
場合別2,工業,1,0.0632,36
競技種目,（欠損）,698,44.0935,1
競技種目,野球（含軟式）,352,22.2363,2
競技種目,バスケットボール,112,7.0752,3
競技種目,サッカー・フットサル,77,4.8642,4
競技種目,ソフトボール,75,4.7378,5
競技種目,バレーボール,43,2.7164,6
競技種目,その他,26,1.6425,7
競技種目,ホッケー,20,1.2634,8
競技種目,テニス（含ソフトテニス）,18,1.1371,9
競技種目,ハンドボール,14,0.8844,10
競技種目,ラグビー,13,0.8212,11
競技種目,柔道,13,0.8212,12
競技種目,球技（その他）,13,0.8212,13
競技種目,バドミントン,12,0.7581,14
競技種目,持久走・長距離走,10,0.6317,15
競技種目,水泳,9,0.5685,16
競技種目,陸上競技（その他）,8,0.5054,17
競技種目,準備・整理運動,6,0.379,18
競技種目,ドッジボール,6,0.379,19
競技種目,マット運動,5,0.3159,20
競技種目,剣道,5,0.3159,21
競技種目,走り高跳び,5,0.3159,22
競技種目,短距離走,5,0.3159,23
競技種目,自転車競技,4,0.2527,24
競技種目,鉄棒運動,4,0.2527,25
競技種目,卓球,4,0.2527,26
競技種目,体操（その他）,4,0.2527,27
競技種目,スキー,4,0.2527,28
競技種目,空手,3,0.1895,29
競技種目,弓道,3,0.1895,30
競技種目,体操（組体操）,2,0.1263,31
競技種目,跳箱運動,2,0.1263,32
競技種目,筋力トレーニング,2,0.1263,33
競技種目,相撲,1,0.0632,34
競技種目,ポートボール,1,0.0632,35
競技種目,スケート,1,0.0632,36
競技種目,ボクシング,1,0.0632,37
競技種目,登山,1,0.0632,38
競技種目,器械体操・新体操（その他）,1,0.0632,39
通学方法,（欠損）,1321,83.4491,1
通学方法,自転車,218,13.7713,2
通学方法,徒歩,43,2.7164,3
通学方法,鉄道,1,0.0632,4
発生場所1,学校内・校舎外（園内・園舎外）,602,38.0291,1
発生場所1,学校外（園外）,497,31.3961,2
発生場所1,学校内・校舎内（園内・園舎内）,484,30.5749,3
発生場所2,運動場・校庭（園庭）,567,35.8181,1
発生場所2,道路,273,17.2457,2
発生場所2,体育館・屋内運動場,245,15.4769,3
発生場所2,学校外運動場・競技場,119,7.5174,4
発生場所2,廊下,96,6.0644,5
発生場所2,教室（保育室）,81,5.1169,6
発生場所2,その他,59,3.7271,7
発生場所2,学校外体育館,40,2.5268,8
発生場所2,階段,25,1.5793,9
発生場所2,山林野（含スキー場）,17,1.0739,10
発生場所2,プール,16,1.0107,11
