前件,後件,項目数,共起事例数,支持度,信頼度,lift
場合別2=昼食時休憩時間中,場合別1=休憩時間 | 被災学校種=中,3,34,0.02147820593809223,0.4473684210526316,8.140048396854205
場合別1=休憩時間 | 被災学校種=中,場合別2=昼食時休憩時間中,3,34,0.02147820593809223,0.39080459770114945,8.140048396854205
場合別2=休憩時間中,場合別1=休憩時間 | 被災学校種=小,3,53,0.033480732785849655,0.5638297872340425,8.114023210831721
場合別1=休憩時間 | 被災学校種=小,場合別2=休憩時間中,3,53,0.033480732785849655,0.4818181818181818,8.114023210831721
通学方法=徒歩,場合別2=下校（降園）中 | 性別=男,3,20,0.012634238787113077,0.46511627906976744,8.090978788653207
場合別2=下校（降園）中 | 性別=男,通学方法=徒歩,3,20,0.012634238787113077,0.21978021978021978,8.090978788653207
場合別2=下校（降園）中 | 発生場所2=道路,通学方法=徒歩,3,29,0.01831964624131396,0.2196969696969697,8.087914023960536
通学方法=徒歩,場合別2=下校（降園）中 | 発生場所2=道路,3,29,0.01831964624131396,0.6744186046511628,8.087914023960534
競技種目=ソフトボール,場合別2=体育（保健体育） | 被災学年=1,3,18,0.011370814908401769,0.24,8.083404255319149
場合別2=体育（保健体育） | 被災学年=1,競技種目=ソフトボール,3,18,0.011370814908401769,0.3829787234042553,8.083404255319149
和暦=平成 | 発生場所2=学校外体育館,競技種目=バスケットボール,3,20,0.012634238787113077,0.5714285714285714,8.076530612244897
場合別2=授業終了後の特定時間中,場合別1=休憩時間 | 発生場所1=学校内・校舎外（園内・園舎外）,3,25,0.015792798483891344,0.44642857142857145,8.030641233766234
場合別1=休憩時間 | 発生場所1=学校内・校舎外（園内・園舎外）,場合別2=授業終了後の特定時間中,3,25,0.015792798483891344,0.2840909090909091,8.030641233766234
場合別2=登校（登園）中,性別=女 | 通学方法=自転車,3,48,0.030322173089071383,0.41025641025641024,8.01772712883824
性別=女 | 通学方法=自転車,場合別2=登校（登園）中,3,48,0.030322173089071383,0.5925925925925926,8.01772712883824
和暦=平成 | 競技種目=バスケットボール,発生場所2=学校外体育館,3,20,0.012634238787113077,0.20202020202020202,7.994949494949495
発生場所2=学校外体育館,和暦=平成 | 競技種目=バスケットボール,3,20,0.012634238787113077,0.5,7.994949494949494
場合別2=体育（保健体育）,場合別1=各教科等 | 発生場所2=体育館・屋内運動場,3,86,0.05432722678458623,0.4479166666666667,7.96687734082397
場合別1=各教科等 | 発生場所2=体育館・屋内運動場,場合別2=体育（保健体育）,3,86,0.05432722678458623,0.9662921348314607,7.96687734082397
被災学年=4,発生場所1=学校内・校舎外（園内・園舎外） | 被災学校種=小,3,23,0.014529374605180037,0.42592592592592593,7.932244008714597
発生場所1=学校内・校舎外（園内・園舎外） | 被災学校種=小,被災学年=4,3,23,0.014529374605180037,0.27058823529411763,7.932244008714597
場合別2=昼食時休憩時間中,場合別1=休憩時間 | 被災学年=3,3,27,0.017056222362602652,0.35526315789473684,7.920867309117865
場合別1=休憩時間 | 被災学年=3,場合別2=昼食時休憩時間中,3,27,0.017056222362602652,0.38028169014084506,7.920867309117865
場合別2=体育（保健体育）,性別=男 | 競技種目=ソフトボール,3,47,0.02969046114971573,0.24479166666666666,7.908269557823129
性別=男 | 競技種目=ソフトボール,場合別2=体育（保健体育）,3,47,0.02969046114971573,0.9591836734693877,7.908269557823129
被災学年=6,性別=女 | 被災学校種=小,3,25,0.015792798483891344,0.46296296296296297,7.880326563122262
性別=女 | 被災学校種=小,被災学年=6,3,25,0.015792798483891344,0.26881720430107525,7.880326563122262
場合別2=登校（登園）中,和暦=令和 | 通学方法=自転車,3,26,0.016424510423247,0.2222222222222222,7.817283950617283
和暦=令和 | 通学方法=自転車,場合別2=登校（登園）中,3,26,0.016424510423247,0.5777777777777777,7.817283950617283
場合別2=登校（登園）中,和暦=令和 | 場合別1=通学中,3,28,0.017687934301958308,0.23931623931623933,7.7313797313797314
和暦=令和 | 場合別1=通学中,場合別2=登校（登園）中,3,28,0.017687934301958308,0.5714285714285714,7.731379731379731
場合別2=体育（保健体育）,場合別1=各教科等 | 発生場所2=運動場・校庭（園庭）,3,89,0.05622236260265319,0.4635416666666667,7.724067982456141
場合別1=各教科等 | 発生場所2=運動場・校庭（園庭）,場合別2=体育（保健体育）,3,89,0.05622236260265319,0.9368421052631579,7.72406798245614
場合別1=各教科等 | 被災学校種=中,場合別2=体育（保健体育）,3,64,0.04042956411876184,0.927536231884058,7.647342995169082
