前件,後件,項目数,共起事例数,支持度,信頼度,lift
場合別2=体育（保健体育）,場合別1=各教科等 | 被災学校種=中,3,64,0.04042956411876184,0.3333333333333333,7.6473429951690814
場合別1=課外指導 | 発生場所2=学校外体育館,競技種目=バスケットボール,3,20,0.012634238787113077,0.5405405405405406,7.63996138996139
場合別2=体育的部活動 | 発生場所2=学校外体育館,競技種目=バスケットボール,3,20,0.012634238787113077,0.5405405405405406,7.63996138996139
被災学年=4,発生場所2=運動場・校庭（園庭） | 被災学校種=小,3,20,0.012634238787113077,0.37037037037037035,7.614237614237614
発生場所2=運動場・校庭（園庭） | 被災学校種=小,被災学年=4,3,20,0.012634238787113077,0.2597402597402597,7.614237614237614
場合別2=体育（保健体育）,場合別1=各教科等 | 被災学年=1,3,47,0.02969046114971573,0.24479166666666666,7.598141339869281
場合別1=各教科等 | 被災学年=1,場合別2=体育（保健体育）,3,47,0.02969046114971573,0.9215686274509803,7.59814133986928
場合別2=休憩時間中,場合別1=休憩時間 | 発生場所2=廊下,3,27,0.017056222362602652,0.2872340425531915,7.578191489361703
場合別1=休憩時間 | 発生場所2=廊下,場合別2=休憩時間中,3,27,0.017056222362602652,0.45,7.578191489361702
発生場所2=道路 | 被災学校種=小,場合別2=下校（降園）中,3,20,0.012634238787113077,0.6451612903225806,7.565113500597372
場合別2=体育（保健体育）,場合別1=各教科等 | 発生場所1=学校内・校舎外（園内・園舎外）,3,96,0.060644346178142766,0.5,7.538095238095238
場合別1=各教科等 | 発生場所1=学校内・校舎外（園内・園舎外）,場合別2=体育（保健体育）,3,96,0.060644346178142766,0.9142857142857143,7.538095238095238
場合別1=各教科等 | 被災学校種=高,場合別2=体育（保健体育）,3,94,0.05938092229943146,0.912621359223301,7.524372977346279
場合別2=体育（保健体育）,場合別1=各教科等 | 被災学校種=高,3,94,0.05938092229943146,0.4895833333333333,7.524372977346278
場合別2=その他の教科,和暦=平成 | 場合別1=各教科等,3,18,0.011370814908401769,0.9,7.4984210526315795
和暦=令和 | 被災学年=1,給付年度=4,3,22,0.013897662665824383,0.23655913978494625,7.489462365591399
給付年度=4,和暦=令和 | 被災学年=1,3,22,0.013897662665824383,0.44,7.489462365591398
場合別2=体育（保健体育）,和暦=令和 | 場合別1=各教科等,3,39,0.024636765634870498,0.203125,7.477834302325581
和暦=令和 | 場合別1=各教科等,場合別2=体育（保健体育）,3,39,0.024636765634870498,0.9069767441860465,7.477834302325581
被災学年=4,場合別1=休憩時間 | 被災学校種=小,3,28,0.017687934301958308,0.5185185185185185,7.461952861952861
場合別1=休憩時間 | 被災学校種=小,被災学年=4,3,28,0.017687934301958308,0.2545454545454545,7.461952861952861
場合別1=各教科等 | 被災学年=1,競技種目=ソフトボール,3,18,0.011370814908401769,0.35294117647058826,7.449411764705883
競技種目=ソフトボール,場合別1=各教科等 | 被災学年=1,3,18,0.011370814908401769,0.24,7.449411764705882
発生場所2=学校外体育館,競技種目=バスケットボール,2,21,0.013265950726468731,0.525,7.4203125
発生場所1=学校外（園外） | 発生場所2=学校外体育館,競技種目=バスケットボール,3,21,0.013265950726468731,0.525,7.4203125
場合別2=体育（保健体育）,場合別1=各教科等 | 被災学年=2,3,48,0.030322173089071383,0.25,7.328703703703704
和暦=令和 | 被災学校種=中,給付年度=1,3,21,0.013265950726468731,0.2916666666666667,7.328703703703704
場合別1=各教科等 | 被災学年=2,場合別2=体育（保健体育）,3,48,0.030322173089071383,0.8888888888888888,7.328703703703703
給付年度=1,和暦=令和 | 被災学校種=中,3,21,0.013265950726468731,0.3333333333333333,7.328703703703703
場合別1=各教科等 | 給付年度=18,場合別2=体育（保健体育）,3,16,0.01010739102969046,0.8888888888888888,7.328703703703703
場合別2=登校（登園）中,和暦=令和 | 発生場所2=道路,3,27,0.017056222362602652,0.23076923076923078,7.3061538461538476
和暦=令和 | 発生場所2=道路,場合別2=登校（登園）中,3,27,0.017056222362602652,0.54,7.306153846153847
競技種目=ソフトボール | 被災学年=3,場合別2=体育（保健体育）,3,22,0.013897662665824383,0.88,7.255416666666667
場合別2=授業終了後の特定時間中,場合別1=休憩時間 | 発生場所2=運動場・校庭（園庭）,3,21,0.013265950726468731,0.375,7.239329268292683
