順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
193,受傷機転:衝突,衝突,0.316556,239,755,239,755,7682
194,狭窄,視野,0.315217,29,30,91,92,7682
195,出来事,等,0.314286,33,34,104,105,7682
196,心肺,細,0.313869,43,96,84,137,7682
197,119,植え込む,0.313725,16,26,41,51,7682
198,救急,治療,0.313333,188,416,372,600,7682
199,サイド,プール,0.313043,36,49,102,115,7682
200,動,心肺,0.311594,43,85,96,138,7682
201,等,管理,0.311321,33,104,35,106,7682
202,心肺,除,0.311111,42,96,81,135,7682
203,植込み,除,0.310924,37,75,81,119,7682
204,がけ,雑巾,0.310345,9,14,24,29,7682
205,瘢痕,醜状,0.309859,88,284,88,284,7682
206,木,枝,0.309859,22,62,31,71,7682
207,AED,蘇生,0.309524,39,100,65,126,7682
208,倒れる,受傷機転:転倒,0.308779,612,612,1982,1982,7682
209,支援,特別,0.307692,8,12,22,26,7682
210,等,関わる,0.305556,33,104,37,108,7682
211,受診,治療,0.304609,152,279,372,499,7682
212,植込み,細,0.303279,37,75,84,122,7682
213,植え込む,通報,0.301887,16,41,28,53,7682
214,動,植込み,0.300813,37,85,75,123,7682
215,AED,器,0.3,39,100,69,130,7682
216,減じる,白内障,0.3,12,37,15,40,7682
217,白内障,角膜,0.3,6,15,11,20,7682
218,受傷部位:上肢,指,0.299882,254,847,254,847,7682
219,当たる,眼,0.299428,733,1708,1473,2448,7682
220,原因物:乗り物,救急,0.299124,239,622,416,799,7682
221,競技,陸上,0.298611,43,112,75,144,7682
222,救急,病院,0.298279,156,416,263,523,7682
223,ICD,蘇生,0.297872,28,57,65,94,7682
224,ボール,当たる,0.296613,762,1623,1708,2569,7682
225,登校,自転車,0.295455,143,234,393,484,7682
226,受傷部位:眼,当たる,0.294931,768,1664,1708,2604,7682
227,保護,者,0.294872,23,27,74,78,7682
228,植え込む,ＡＥＤ,0.294118,15,41,25,51,7682
229,養護,ＡＥＤ,0.294118,10,19,25,34,7682
230,原因物:スポーツ用具,練習,0.291384,903,1934,2068,3099,7682
231,器,胸骨,0.285714,24,69,39,84,7682
232,カンナ,盤,0.285714,6,11,16,21,7682
233,細,蘇生,0.284483,33,84,65,116,7682
234,機能,高次,0.283784,63,222,63,222,7682
235,動,蘇生,0.282051,33,85,65,117,7682
236,植え込む,要請,0.28169,20,41,50,71,7682
237,蘇生,除,0.280702,32,65,81,114,7682
238,破裂,精巣,0.275862,16,45,29,58,7682
239,こぼれる,鍋,0.275862,8,13,24,29,7682
240,AED,胸骨,0.275229,30,100,39,109,7682
241,発現,頭痛,0.27451,14,16,49,51,7682
242,サッカー,蹴る,0.272861,185,463,400,678,7682
243,環境要因:天候,雪,0.272727,18,66,18,66,7682
244,脚,開,0.272727,12,41,15,44,7682
245,元,戻す,0.272727,9,15,27,33,7682
246,教員,除,0.272109,40,106,81,147,7682
247,家庭,調理,0.27027,10,24,23,37,7682
248,視力,視野,0.27,54,163,91,200,7682
249,教諭,養護,0.269841,17,61,19,63,7682
250,部,野球,0.267505,638,2321,702,2385,7682
251,教員,細,0.266667,40,106,84,150,7682
252,心肺,植込み,0.266667,36,96,75,135,7682
253,四肢,麻痺,0.266667,28,41,92,105,7682
254,圧迫,植え込む,0.266667,24,73,41,90,7682
255,実験,引火,0.265306,13,45,17,49,7682
256,動,教員,0.264901,40,85,106,151,7682
257,後日,教員,0.264901,40,85,106,151,7682
258,",",救命,0.264706,9,23,20,34,7682
259,相手,試合,0.26298,390,908,965,1483,7682
260,バッティング,打球,0.262,131,279,352,500,7682
261,せる,受傷機転:滑走,0.261905,132,248,388,504,7682
262,せる,滑る,0.261905,132,248,388,504,7682
263,倒立,転,0.261682,28,55,80,107,7682
264,植込み,蘇生,0.261261,29,75,65,111,7682
265,ソフトボール,バット,0.259868,79,175,208,304,7682
266,ボール,練習,0.259727,761,1623,2068,2930,7682
