種別,発生場所1,発生場所2,件数,カテゴリ内割合（％）,全体割合（％）,カテゴリ内順位,カテゴリ合計件数,全体件数
下肢切断・機能障害,学校外（園外）,公園・遊園地,3,1.9,0.04,12,158,7682
下肢切断・機能障害,学校外（園外）,道路,2,1.27,0.03,13,158,7682
下肢切断・機能障害,学校内・校舎内（園内・園舎内）,便所,1,0.63,0.01,14,158,7682
下肢切断・機能障害,学校内・校舎内（園内・園舎内）,講堂,1,0.63,0.01,14,158,7682
下肢切断・機能障害,学校内・校舎内（園内・園舎内）,遊戯室,1,0.63,0.01,14,158,7682
下肢切断・機能障害,学校内・校舎外（園内・園舎外）,その他,1,0.63,0.01,14,158,7682
下肢切断・機能障害,学校内・校舎外（園内・園舎外）,排水溝,1,0.63,0.01,14,158,7682
下肢切断・機能障害,学校内・校舎外（園内・園舎外）,遊戯室,1,0.63,0.01,14,158,7682
下肢切断・機能障害,学校外（園外）,河川,1,0.63,0.01,14,158,7682
外貌・露出部分の醜状障害,学校内・校舎外（園内・園舎外）,運動場・校庭（園庭）,541,29.39,7.04,1,1841,7682
外貌・露出部分の醜状障害,学校内・校舎内（園内・園舎内）,教室（保育室）,307,16.68,4.0,2,1841,7682
外貌・露出部分の醜状障害,学校内・校舎内（園内・園舎内）,廊下,196,10.65,2.55,3,1841,7682
外貌・露出部分の醜状障害,学校内・校舎内（園内・園舎内）,体育館・屋内運動場,182,9.89,2.37,4,1841,7682
外貌・露出部分の醜状障害,学校外（園外）,道路,170,9.23,2.21,5,1841,7682
外貌・露出部分の醜状障害,学校内・校舎内（園内・園舎内）,実習実験室,67,3.64,0.87,6,1841,7682
外貌・露出部分の醜状障害,学校内・校舎内（園内・園舎内）,昇降口・玄関,65,3.53,0.85,7,1841,7682
外貌・露出部分の醜状障害,学校内・校舎内（園内・園舎内）,階段,41,2.23,0.53,8,1841,7682
外貌・露出部分の醜状障害,学校外（園外）,その他,41,2.23,0.53,8,1841,7682
外貌・露出部分の醜状障害,学校内・校舎内（園内・園舎内）,その他,38,2.06,0.49,10,1841,7682
外貌・露出部分の醜状障害,学校外（園外）,学校外運動場・競技場,38,2.06,0.49,10,1841,7682
外貌・露出部分の醜状障害,学校内・校舎内（園内・園舎内）,便所,25,1.36,0.33,12,1841,7682
外貌・露出部分の醜状障害,学校内・校舎外（園内・園舎外）,その他,20,1.09,0.26,13,1841,7682
外貌・露出部分の醜状障害,学校外（園外）,山林野（含スキー場）,20,1.09,0.26,13,1841,7682
外貌・露出部分の醜状障害,学校外（園外）,学校外体育館,18,0.98,0.23,15,1841,7682
外貌・露出部分の醜状障害,学校内・校舎内（園内・園舎内）,遊戯室,17,0.92,0.22,16,1841,7682
外貌・露出部分の醜状障害,学校外（園外）,公園・遊園地,17,0.92,0.22,16,1841,7682
外貌・露出部分の醜状障害,学校内・校舎外（園内・園舎外）,プール,13,0.71,0.17,18,1841,7682
外貌・露出部分の醜状障害,学校内・校舎内（園内・園舎内）,講堂,6,0.33,0.08,19,1841,7682
外貌・露出部分の醜状障害,学校内・校舎内（園内・園舎内）,ベランダ,5,0.27,0.07,20,1841,7682
外貌・露出部分の醜状障害,学校内・校舎外（園内・園舎外）,農場,4,0.22,0.05,21,1841,7682
外貌・露出部分の醜状障害,学校外（園外）,海・湖・沼・池,4,0.22,0.05,21,1841,7682
外貌・露出部分の醜状障害,学校外（園外）,河川,3,0.16,0.04,23,1841,7682
外貌・露出部分の醜状障害,学校内・校舎内（園内・園舎内）,屋上,1,0.05,0.01,24,1841,7682
外貌・露出部分の醜状障害,学校内・校舎外（園内・園舎外）,手足洗場,1,0.05,0.01,24,1841,7682
外貌・露出部分の醜状障害,学校内・校舎外（園内・園舎外）,水飲み場,1,0.05,0.01,24,1841,7682
手指切断・機能障害,学校内・校舎外（園内・園舎外）,運動場・校庭（園庭）,131,26.04,1.71,1,503,7682
手指切断・機能障害,学校内・校舎内（園内・園舎内）,体育館・屋内運動場,110,21.87,1.43,2,503,7682
手指切断・機能障害,学校内・校舎内（園内・園舎内）,教室（保育室）,46,9.15,0.6,3,503,7682
手指切断・機能障害,学校内・校舎内（園内・園舎内）,実習実験室,43,8.55,0.56,4,503,7682
