順位,品詞,基本形,出現回数,出現事例数
126,名詞,鬼ごっこ,195,191
127,名詞,1,233,190
128,名詞,チーム,208,190
129,名詞,ノック,209,189
130,名詞,状,188,186
131,名詞,途中,186,183
132,名詞,保育,249,182
133,名詞,内,187,182
134,名詞,横,190,181
135,名詞,数,188,181
136,名詞,ネット,235,180
137,動詞,破る,180,179
138,名詞,3,213,178
139,動詞,できる,181,178
140,名詞,角,181,178
141,名詞,その後,187,177
142,動詞,折れる,185,176
143,動詞,かかる,178,176
144,名詞,校庭,186,175
145,名詞,ソフトボール,178,175
146,名詞,大会,177,174
147,動詞,捕る,197,173
148,名詞,守備,180,173
149,名詞,昼食,173,173
150,名詞,道路,187,172
151,名詞,後方,180,172
152,名詞,間,177,172
153,名詞,痛み,192,171
154,動詞,押す,186,171
155,名詞,側,186,170
156,名詞,打撲,173,170
157,動詞,追いかける,178,169
158,動詞,戻る,176,169
159,名詞,移動,175,169
160,名詞,窓,235,166
161,動詞,見る,180,166
162,名詞,線,166,165
163,動詞,誤る,166,165
164,動詞,振る,170,163
165,名詞,視力,165,163
166,名詞,５,192,162
167,動詞,打ちつける,162,162
168,名詞,痕,159,159
169,名詞,着地,165,157
170,名詞,マット,203,155
171,名詞,グラウンド,158,153
172,名詞,ゴール,207,152
173,名詞,一,164,152
174,名詞,児,240,151
175,名詞,シュート,171,149
176,動詞,座る,164,148
177,動詞,挟む,149,148
178,名詞,勢い,150,147
179,動詞,痛める,148,147
180,名詞,前額,168,146
181,名詞,右足,167,146
182,名詞,背中,158,144
183,名詞,遊び,148,144
184,名詞,友達,181,143
185,名詞,まま,148,143
186,動詞,切れる,142,141
187,名詞,４,152,140
188,動詞,立つ,146,140
189,名詞,ドア,231,138
190,名詞,首,155,138
191,動詞,打ち付ける,138,138
192,名詞,関節,162,137
193,名詞,昼休み,136,136
194,名詞,ゲーム,148,135
195,名詞,階,191,134
196,名詞,バッター,149,134
197,動詞,出す,141,133
198,名詞,先,138,131
199,名詞,部員,145,127
200,名詞,腰,139,127
201,名詞,隣,134,127
202,動詞,気付く,129,127
203,動詞,おる,130,125
204,名詞,さ,133,124
205,名詞,コンクリート,130,124
206,名詞,腕,142,123
207,動詞,使う,125,123
208,動詞,来る,125,123
209,名詞,ほお,139,122
210,名詞,左足,138,121
211,名詞,柔道,129,121
212,動詞,拾う,127,121
213,名詞,減退,122,121
214,名詞,清掃,135,120
215,名詞,急,124,120
216,名詞,朝,121,119
217,名詞,バレーボール,121,118
218,名詞,ろ,123,117
219,名詞,バドミントン,118,117
220,名詞,大腿,146,116
221,名詞,両手,126,116
222,名詞,骨,136,115
223,名詞,小指,129,115
224,動詞,逃げる,122,115
225,動詞,離れる,122,115
226,名詞,ピッチャー,121,115
227,名詞,の,119,115
228,動詞,抜ける,118,115
229,名詞,トイレ,141,114
230,名詞,参加,117,114
231,名詞,クラス,118,113
232,動詞,入れる,118,113
233,名詞,競技,125,112
234,名詞,体操,116,112
235,動詞,散る,113,112
236,名詞,指導,124,111
237,名詞,鼻,118,111
238,名詞,うし,117,111
239,名詞,左側,113,111
240,名詞,瞳,113,111
241,動詞,きれる,111,111
242,動詞,終わる,112,110
243,名詞,特定,110,110
244,名詞,机,173,109
245,名詞,シャトル,145,109
246,名詞,男子,122,108
247,動詞,置く,113,108
248,名詞,損傷,111,108
249,名詞,他校,109,108
250,名詞,名,128,107
251,形容詞,高い,112,107
252,名詞,園,111,107
253,名詞,眼球,111,107
254,名詞,教員,136,106
255,名詞,回,133,106
256,名詞,後頭部,109,106
257,名詞,祭,109,106
258,名詞,それ,107,106
259,名詞,疼痛,106,106
260,動詞,跳ね返る,106,105
261,名詞,等,107,104
262,形容詞,ない,116,103
263,名詞,プール,171,102
264,名詞,校舎,115,102
265,名詞,左腕,110,102
266,名詞,挫創,106,102
267,名詞,的,105,102
268,名詞,力,104,102
269,名詞,前のめり,103,102
270,名詞,二,106,101
271,名詞,０,144,100
272,名詞,台,133,100
273,名詞,耳,126,100
274,名詞,AED,111,100
275,名詞,使用,109,100
276,名詞,方,106,100
277,名詞,一緒,104,100
278,名詞,形,103,99
279,動詞,訴える,103,99
280,動詞,上がる,102,99
281,名詞,コート,115,98
282,名詞,肩,102,98
283,動詞,いく,100,98
284,名詞,別,99,98
285,名詞,切断,105,97
286,名詞,股間,98,97
287,名詞,心肺,104,96
288,名詞,会,98,96
289,名詞,当たり,96,96
290,名詞,作業,116,95
291,動詞,上げる,99,95
292,名詞,身体,105,94
293,名詞,腹部,100,94
294,動詞,思う,95,94
295,名詞,低下,93,93
296,名詞,脳,101,92
297,名詞,麻痺,96,92
298,名詞,形式,92,92
299,名詞,視野,96,91
300,名詞,入院,93,91
301,名詞,口元,92,91
302,名詞,回転,104,90
303,名詞,学習,96,90
304,名詞,支柱,120,89
305,動詞,追う,95,89
306,名詞,右側,92,89
307,名詞,醜状,88,88
308,名詞,給食,97,87
309,名詞,右腕,96,87
310,動詞,殴る,92,87
311,動詞,とる,89,87
312,名詞,用,89,86
313,名詞,底,87,86
314,名詞,動,135,85
315,名詞,方向,89,85
316,名詞,そう,85,85
317,名詞,後日,85,85
318,名詞,細,134,84
319,名詞,昇降,94,84
320,動詞,合う,88,84
321,名詞,唇,85,84
322,名詞,視,84,84
323,名詞,所,85,83
324,動詞,終える,83,83
325,名詞,打者,90,82
326,名詞,4,87,82
327,動詞,避ける,85,82
328,名詞,除,119,81
329,名詞,組,86,81
330,動詞,外れる,82,81
331,名詞,転,97,80
332,名詞,パス,86,80
333,名詞,技,86,80
334,名詞,庭,82,80
335,名詞,ジャンプ,84,79
336,名詞,日,80,79
337,名詞,始業,79,79
338,名詞,距離,79,79
339,名詞,担任,103,78
340,名詞,5,87,78
341,名詞,調節,79,78
342,動詞,振り向く,77,77
343,名詞,前腕,88,76
344,名詞,実習,87,76
345,名詞,ランニング,80,76
346,名詞,複,76,76
347,名詞,声,81,75
348,名詞,学級,78,75
349,名詞,陸上,76,75
350,名詞,植込み,75,75
351,名詞,激突,75,75
352,名詞,段,102,74
353,名詞,者,86,74
354,動詞,閉める,81,74
355,名詞,為,80,74
356,名詞,水泳,79,74
357,名詞,辺り,76,74
358,名詞,テニス,90,73
359,名詞,板,89,73
360,名詞,帰宅,75,73
361,名詞,様子,75,73
362,名詞,圧迫,74,73
363,形容詞,悪い,74,73
364,名詞,棒,111,72
365,名詞,中指,82,72
366,動詞,支える,81,72
367,動詞,待つ,76,72
368,名詞,感覚,73,72
369,名詞,扉,114,71
370,名詞,送球,77,71
371,名詞,保健,74,71
372,名詞,キャッチボール,73,71
373,名詞,下り坂,71,71
374,名詞,分,81,70
375,名詞,打撃,74,70
376,動詞,離す,73,70
377,名詞,放課後,70,70
378,名詞,器,77,69
379,名詞,一部,70,69
380,動詞,始める,70,69
381,形容詞,激しい,70,69
382,名詞,瞬間,69,69
383,動詞,感じる,73,68
384,動詞,つかむ,72,68
385,名詞,ゴールキーパー,71,68
386,名詞,口唇,70,68
387,名詞,バウンド,69,68
388,名詞,ラグビー,68,68
389,名詞,直接,68,68
390,名詞,確認,70,67
391,名詞,停止,69,67
392,名詞,場所,69,67
393,名詞,受傷,68,67
394,名詞,ごと,67,67
395,名詞,出場,67,67
396,名詞,失敗,67,67
397,動詞,突っ込む,69,66
398,名詞,前輪,68,66
399,名詞,傷,66,66
400,動詞,捻る,66,66
401,名詞,直後,66,66
402,名詞,キャッチャー,70,65
403,名詞,端,70,65
404,名詞,左目,69,65
405,名詞,蘇生,69,65
406,動詞,開ける,68,65
407,動詞,起こす,66,65
408,名詞,あたり,65,65
409,名詞,左上,69,64
410,動詞,運ぶ,69,64
411,名詞,～,68,63
412,名詞,体重,67,63
413,名詞,スピード,66,63
414,名詞,次,65,63
415,名詞,科,64,63
416,名詞,高次,63,63
417,名詞,木,85,62
418,動詞,立ち上がる,68,62
419,名詞,ディフェンス,65,62
420,動詞,つける,63,62
421,名詞,もの,63,62
422,名詞,変形,62,62
423,動詞,損ねる,62,62
424,名詞,石,91,61
425,名詞,m,75,61
426,名詞,下腿,72,61
427,名詞,教諭,72,61
428,名詞,けんか,68,61
429,名詞,タックル,68,61
430,名詞,トレーニング,65,61
431,名詞,かけっこ,64,61
432,動詞,向ける,61,61
433,動詞,転がる,61,61
434,名詞,呼吸,68,60
435,名詞,周辺,62,60
436,名詞,眼窩,62,60
437,動詞,飛び込む,66,59
438,動詞,引っ張る,64,59
439,名詞,創,62,59
440,形容詞,痛い,62,59
441,名詞,手首,61,59
442,名詞,体勢,60,59
443,動詞,引っ掛かる,59,59
444,名詞,薬指,64,58
445,名詞,ティー,60,58
446,形容詞,大きい,59,58
447,名詞,トス,71,57
448,名詞,席,67,57
449,名詞,下肢,62,57
450,名詞,キャッチ,61,57
451,名詞,上部,60,57
452,動詞,刺さる,60,57
453,名詞,ハンドボール,59,57
454,名詞,フライ,59,57
455,動詞,崩れる,59,57
456,名詞,休み,58,57
457,名詞,脇,58,57
458,名詞,ICD,57,57
459,名詞,ドッジボール,57,57
460,名詞,椅子,84,56
461,名詞,タイヤ,71,56
462,名詞,側溝,70,56
463,動詞,止める,59,56
464,名詞,製,58,56
465,名詞,イレギュラー,56,56
466,名詞,至近,56,56
467,名詞,倒立,72,55
468,名詞,玄関,64,55
469,名詞,バント,63,55
470,名詞,眉,59,55
471,動詞,見える,56,55
472,形容詞,深い,55,55
473,名詞,外野,62,54
474,名詞,走行,59,54
475,名詞,位,58,54
476,名詞,破片,57,54
477,動詞,並ぶ,55,54
478,名詞,正面,54,54
479,名詞,教師,61,53
480,名詞,先端,56,53
481,動詞,動く,55,53
482,動詞,振り返る,54,53
483,名詞,うち,53,53
484,名詞,ブレーキ,53,53
485,名詞,入ろう,53,53
486,名詞,ベース,60,52
487,名詞,投手,54,52
488,名詞,爪,54,52
489,名詞,話,54,52
490,動詞,曲がる,53,52
491,動詞,下りる,53,51
492,名詞,対,53,51
493,名詞,片付け,52,51
494,動詞,通る,52,51
495,動詞,踏み外す,51,51
496,名詞,傘,71,50
497,名詞,ブロック,61,50
498,名詞,掃除,60,50
499,名詞,開始,57,50
500,名詞,人差し指,53,50
501,動詞,掛ける,53,50
502,名詞,リレー,51,50
503,名詞,両足,51,50
504,名詞,要請,51,50
505,名詞,衝撃,50,50
506,名詞,手すり,58,49
507,名詞,サイド,54,49
508,動詞,言う,54,49
509,名詞,通学,52,49
510,名詞,頭痛,52,49
511,名詞,全身,50,49
512,動詞,引く,50,49
513,名詞,戦,50,49
514,動詞,落とす,50,49
515,動詞,飛び出す,49,49
516,名詞,鬼,59,48
517,名詞,症,54,48
518,名詞,注意,50,48
519,名詞,トラブル,49,48
520,名詞,金属,49,48
521,名詞,何,48,48
522,動詞,立てる,48,48
523,名詞,マシン,63,47
524,名詞,頚部,57,47
525,名詞,枠,51,47
526,動詞,止まる,50,47
527,動詞,近づく,50,47
528,名詞,靴,50,47
529,名詞,素振り,49,47
530,動詞,作る,48,47
531,動詞,向く,48,47
532,名詞,気,48,47
533,名詞,足首,48,47
534,動詞,倒れ込む,47,47
535,名詞,運動会,47,47
536,名詞,戸,60,46
537,名詞,補助,59,46
538,動詞,叩く,53,46
539,名詞,面,48,46
540,動詞,巻き込む,47,46
541,名詞,式,46,46
542,名詞,塁,74,45
543,名詞,実験,56,45
544,名詞,溝,55,45
545,名詞,防,53,45
546,名詞,ｃｍ,51,45
547,動詞,守る,49,45
548,名詞,睾丸,48,45
549,動詞,あたる,46,45
550,名詞,坂道,46,45
551,名詞,そこ,45,45
552,名詞,右目,45,45
553,名詞,破裂,45,45
554,名詞,硬式,45,45
555,名詞,周,67,44
556,名詞,クラブ,50,44
557,名詞,歩道,50,44
558,名詞,反対,46,44
559,動詞,押さえる,46,44
560,名詞,腹,46,44
561,動詞,ひっかかる,44,44
562,名詞,実施,44,44
563,動詞,飛ばす,50,43
564,動詞,開く,49,43
565,名詞,投球,46,43
566,名詞,担当,45,43
567,動詞,帰る,44,43
568,名詞,順番,44,43
569,名詞,スパイク,43,43
570,名詞,学年,43,43
571,名詞,自由,43,43
572,名詞,コース,53,42
573,名詞,cm,50,42
574,名詞,６,45,42
575,名詞,合同,43,42
576,動詞,折る,43,42
577,形容詞,暗い,43,42
578,名詞,理科,43,42
579,名詞,反動,42,42
580,名詞,斜め,42,42
581,名詞,災害,42,42
582,名詞,生活,42,42
583,名詞,スキー,64,41
584,名詞,友だち,51,41
585,名詞,園児,51,41
586,名詞,跳箱,49,41
587,名詞,脚,46,41
588,名詞,キーパー,45,41
589,動詞,ひっかく,44,41
590,動詞,しゃがむ,43,41
591,動詞,片付ける,43,41
592,名詞,カーブ,42,41
593,名詞,位置,42,41
594,名詞,イレギュラーバウンド,41,41
595,動詞,余る,41,41
596,名詞,処置,41,41
597,名詞,四肢,41,41
598,動詞,植え込む,41,41
599,名詞,点,41,41
600,名詞,部室,50,40
601,名詞,顧問,46,40
602,名詞,レシーブ,45,40
603,名詞,右肩,45,40
604,名詞,入り口,43,40
605,名詞,音,43,40
606,名詞,味方,42,40
607,動詞,こむ,41,40
608,名詞,内側,41,40
609,名詞,口論,41,40
610,名詞,中心,40,40
611,名詞,可動,40,40
612,名詞,番,40,40
613,名詞,スマッシュ,45,39
614,名詞,上腕,42,39
615,名詞,固定,42,39
616,動詞,打ち返す,42,39
617,名詞,時限,42,39
618,動詞,急ぐ,41,39
619,動詞,閉まる,41,39
620,名詞,バッターボックス,40,39
621,動詞,続ける,40,39
622,名詞,胸骨,40,39
623,名詞,設置,40,39
624,名詞,路,40,39
625,動詞,下る,39,39
626,名詞,気分,39,39
627,名詞,フェンス,51,38
628,名詞,網膜,47,38
629,名詞,ドリブル,41,38
630,名詞,程度,41,38
631,動詞,怒る,39,38
632,名詞,手前,39,38
633,名詞,打席,39,38
634,動詞,濡れる,38,38
635,名詞,機,47,37
636,名詞,着替え,43,37
637,名詞,眼鏡,42,37
638,名詞,症状,39,37
639,動詞,すべる,37,37
640,動詞,ぶら下がる,37,37
641,名詞,制限,37,37
642,名詞,取り合い,37,37
643,名詞,徒歩,37,37
644,動詞,減じる,37,37
645,動詞,関わる,37,37
646,名詞,同級生,42,36
647,名詞,見学,42,36
648,名詞,年生,41,36
649,名詞,音楽,40,36
650,名詞,たち,38,36
651,名詞,公園,38,36
652,名詞,総合,37,36
653,動詞,みる,36,36
654,名詞,中央,36,36
655,名詞,反応,36,36
656,動詞,始まる,36,36
657,動詞,引っかかる,36,36
658,名詞,球技,36,36
659,名詞,診断,36,36
660,名詞,ベランダ,46,35
661,名詞,嘔吐,39,35
662,名詞,切,38,35
663,動詞,振り回す,38,35
664,名詞,畳,38,35
665,名詞,縁,37,35
666,名詞,翌日,37,35
667,名詞,ウォーミングアップ,36,35
668,名詞,冷却,36,35
669,動詞,抜く,36,35
670,名詞,管理,36,35
671,名詞,胸,36,35
672,動詞,飛び降りる,36,35
673,形容詞,うまい,35,35
674,動詞,倒す,35,35
675,名詞,域,35,35
676,名詞,度,35,35
677,動詞,気づく,35,35
678,名詞,物,35,35
679,名詞,グループ,45,34
680,名詞,いす,43,34
681,名詞,スライディング,36,34
682,名詞,テスト,36,34
683,名詞,ヘディング,35,34
684,動詞,回す,35,34
685,名詞,当日,35,34
686,名詞,路面,35,34
687,名詞,仰向け,34,34
688,名詞,出来事,34,34
689,名詞,周り,34,34
690,動詞,引っかく,34,34
691,名詞,挫傷,34,34
692,動詞,降る,34,34
693,名詞,すべり台,45,33
694,名詞,ベンチ,40,33
695,名詞,一塁,38,33
696,名詞,飛び込み,37,33
697,名詞,バック,36,33
698,動詞,休む,36,33
699,名詞,班,35,33
700,名詞,職員,34,33
701,名詞,そば,33,33
702,名詞,指先,33,33
703,動詞,欠ける,33,33
704,名詞,卓球,47,32
705,名詞,柄,42,32
706,名詞,操作,35,32
707,動詞,持ち上げる,34,32
708,名詞,遊戯,34,32
709,名詞,下敷き,33,32
710,動詞,着く,33,32
711,動詞,ひねる,32,32
712,動詞,もつれる,32,32
713,名詞,ダブルス,32,32
714,名詞,拍子,32,32
715,名詞,裂創,32,32
716,動詞,触れる,32,32
717,名詞,バー,53,31
718,名詞,ステージ,47,31
719,名詞,枝,42,31
720,名詞,ロッカー,41,31
721,動詞,回る,34,31
722,名詞,破損,34,31
723,動詞,踏む,34,31
724,名詞,スティック,33,31
725,名詞,背後,33,31
726,名詞,(,32,31
727,名詞,お互い,32,31
728,名詞,ショート,31,31
729,動詞,上る,31,31
730,名詞,鉄製,31,31
731,名詞,頚椎,31,31
732,名詞,縄跳び,41,30
733,動詞,たたく,37,30
734,名詞,チームメイト,35,30
735,名詞,鉄,35,30
736,名詞,ダッシュ,34,30
737,名詞,ペア,34,30
738,名詞,乱取り,34,30
739,名詞,字,34,30
740,名詞,メートル,31,30
741,動詞,乗せる,30,30
742,名詞,全員,30,30
743,動詞,動ける,30,30
744,名詞,向き,30,30
745,名詞,狭窄,30,30
746,動詞,突く,30,30
747,名詞,部活,30,30
748,名詞,渡り廊下,35,29
749,名詞,けいれん,33,29
750,名詞,スタート,33,29
751,名詞,斜面,33,29
752,名詞,精巣,33,29
753,名詞,７,33,29
754,名詞,フリー,30,29
755,名詞,合宿,30,29
756,名詞,周囲,30,29
757,名詞,室内,30,29
758,名詞,火傷,30,29
759,名詞,せき柱,29,29
760,動詞,動かす,29,29
761,名詞,待機,29,29
762,名詞,走り高跳び,29,29
763,名詞,女子,38,28
764,名詞,応援,35,28
765,名詞,箇所,33,28
766,名詞,踊り場,33,28
767,名詞,.,31,28
768,名詞,姿勢,31,28
769,名詞,返球,31,28
770,名詞,まぶた,30,28
771,名詞,㎝,30,28
772,名詞,左肩,30,28
773,名詞,片,30,28
774,名詞,指示,29,28
775,名詞,校門,29,28
776,名詞,肢,29,28
777,名詞,膜,29,28
778,動詞,話す,29,28
779,名詞,足元,29,28
780,動詞,はさむ,28,28
781,名詞,最後,28,28
782,形容詞,軽い,28,28
783,名詞,通報,28,28
784,動詞,遅れる,28,28
785,名詞,遠足,28,28
786,名詞,隙間,28,28
787,名詞,ポール,34,27
788,名詞,自宅,33,27
789,名詞,保護,31,27
790,名詞,穴,31,27
791,名詞,刃,30,27
792,名詞,荷物,30,27
793,名詞,アスファルト,29,27
794,名詞,宿泊,29,27
795,名詞,通路,29,27
796,名詞,剣道,28,27
797,名詞,本人,28,27
798,名詞,金具,28,27
799,名詞,集合,28,27
800,動詞,あう,27,27
801,名詞,上下,27,27
802,動詞,戻す,27,27
803,動詞,見つける,27,27
804,名詞,柵,37,26
805,名詞,ゴム,35,26
806,名詞,ホーム,30,26
807,名詞,入口,30,26
808,動詞,やる,29,26
809,名詞,異常,29,26
810,動詞,呼ぶ,28,26
811,動詞,振り上げる,28,26
812,名詞,文化,28,26
813,名詞,胸部,28,26
814,名詞,6,27,26
815,動詞,なくなる,27,26
816,動詞,泣く,27,26
817,名詞,通常,27,26
818,名詞,道,27,26
819,名詞,119,26,26
820,名詞,あと,26,26
821,名詞,カット,26,26
822,名詞,プレー,26,26
823,名詞,マネージャー,26,26
824,動詞,握る,26,26
825,名詞,断,26,26
826,動詞,絡まる,26,26
827,名詞,ランナー,31,25
828,名詞,倉庫,31,25
829,名詞,列,30,25
830,名詞,ＡＥＤ,29,25
831,名詞,ピッチングマシン,28,25
832,名詞,動き,28,25
833,名詞,10,27,25
834,名詞,セカンド,27,25
835,名詞,タッチ,27,25
836,名詞,午後,27,25
837,名詞,装着,27,25
838,名詞,左下,26,25
839,動詞,渡す,26,25
840,動詞,聞く,26,25
841,名詞,臀部,26,25
842,名詞,親指,26,25
843,動詞,ける,25,25
844,名詞,ら,25,25
845,名詞,グランド,25,25
846,名詞,シート,25,25
847,名詞,ライナー,25,25
848,動詞,下ろす,25,25
849,動詞,分かれる,25,25
850,名詞,帰り,25,25
851,名詞,持久走,25,25
852,動詞,続く,25,25
853,名詞,輪,25,25
854,名詞,開放,25,25
855,名詞,鍋,46,24
856,名詞,機械,41,24
857,名詞,分間,31,24
858,名詞,バス,30,24
859,名詞,雑巾,30,24
860,名詞,部屋,27,24
861,名詞,８,27,24
862,名詞,サード,26,24
863,動詞,渡る,26,24
864,名詞,出入り口,25,24
865,動詞,奪う,25,24
866,名詞,家庭,25,24
867,名詞,強風,25,24
868,名詞,結果,25,24
869,名詞,腰部,25,24
870,名詞,ごっこ,24,24
871,動詞,すぎる,24,24
872,動詞,ふらつく,24,24
873,動詞,下がる,24,24
874,名詞,中庭,24,24
875,動詞,伸ばす,24,24
876,名詞,後ろ向き,24,24
877,名詞,手足,24,24
878,動詞,損なう,24,24
879,名詞,最中,24,24
880,名詞,発見,24,24
881,名詞,種目,24,24
882,動詞,腫れる,24,24
883,名詞,裂,24,24
884,名詞,士,30,23
885,名詞,跳び箱,30,23
886,名詞,ひも,29,23
887,名詞,ファースト,29,23
888,名詞,バスケット,28,23
889,名詞,",",27,23
890,名詞,棚,27,23
891,名詞,調理,27,23
892,名詞,外側,26,23
893,名詞,眉間,26,23
894,動詞,つかまる,25,23
895,名詞,口腔,24,23
896,名詞,型,24,23
897,動詞,張る,24,23
898,動詞,組む,24,23
899,名詞,行事,24,23
900,動詞,越える,24,23
901,名詞,8,23,23
902,動詞,うずくまる,23,23
903,名詞,はずみ,23,23
904,動詞,もらう,23,23
905,名詞,ショック,23,23
906,名詞,ホッケー,23,23
907,名詞,出し,23,23
908,名詞,同士,23,23
909,動詞,履く,23,23
910,動詞,座り込む,23,23
911,名詞,後片付け,23,23
912,動詞,投げ出す,23,23
913,名詞,止血,23,23
914,名詞,裏,23,23
915,名詞,火,29,22
916,名詞,ジャングルジム,28,22
917,名詞,施設,26,22
918,名詞,ポスト,25,22
919,名詞,体験,25,22
920,名詞,子,25,22
921,名詞,三塁,24,22
922,名詞,走者,24,22
923,動詞,からかう,23,22
924,名詞,タイミング,23,22
925,名詞,人組,23,22
926,名詞,神経,23,22
927,名詞,言葉,23,22
928,名詞,てんかん,22,22
929,名詞,ホームルーム,22,22
930,名詞,ホール,22,22
931,形容詞,低い,22,22
932,名詞,特別,22,22
933,名詞,眼下,22,22
934,名詞,経過,22,22
935,名詞,観察,22,22
936,動詞,返す,22,22
937,名詞,竹,38,21
938,名詞,パイプ,32,21
939,動詞,泳ぐ,31,21
940,名詞,花壇,27,21
941,名詞,宙返り,26,21
942,名詞,ランドセル,25,21
943,名詞,剥離,25,21
944,動詞,引っ掻く,23,21
945,名詞,腕骨,23,21
946,名詞,),22,21
947,名詞,20,22,21
948,名詞,ストレッチ,22,21
949,名詞,センター,22,21
950,名詞,急性,22,21
951,名詞,校内,22,21
952,名詞,歩行,22,21
953,名詞,直前,22,21
954,動詞,走り出す,22,21
955,動詞,ずれる,21,21
956,動詞,それる,21,21
957,名詞,つま,21,21
958,動詞,づく,21,21
959,名詞,ミニゲーム,21,21
960,名詞,上唇,21,21
961,名詞,修学旅行,21,21
962,名詞,夏季,21,21
963,動詞,当てる,21,21
964,名詞,応急,21,21
965,名詞,日常,21,21
966,動詞,浮く,21,21
967,名詞,滑走,21,21
968,名詞,発作,21,21
969,名詞,紅白,21,21
970,名詞,車輪,21,21
971,動詞,込む,21,21
972,名詞,集団,21,21
973,名詞,フック,28,20
974,名詞,鍵,27,20
975,名詞,水筒,26,20
976,名詞,蓋,25,20
977,名詞,坂,23,20
978,名詞,クラスメイト,22,20
979,名詞,パンチ,22,20
980,名詞,半分,22,20
981,名詞,斑,22,20
982,名詞,立ち,22,20
983,名詞,胸椎,22,20
984,名詞,課題,22,20
985,名詞,ちょっかい,21,20
986,名詞,めまい,21,20
987,名詞,ペース,21,20
988,動詞,受け取る,21,20
989,名詞,地点,21,20
990,名詞,救命,21,20
991,名詞,発生,21,20
992,名詞,近距離,21,20
993,名詞,駐車,21,20
994,名詞,ガードレール,20,20
995,名詞,不明,20,20
996,動詞,冷やす,20,20
997,名詞,切傷,20,20
998,名詞,到着,20,20
999,名詞,午前,20,20
1000,名詞,半身,20,20
1001,名詞,失明,20,20
1002,動詞,引っ掛ける,20,20
1003,名詞,捻挫,20,20
1004,名詞,校外,20,20
1005,名詞,短縮,20,20
1006,名詞,腰椎,20,20
1007,名詞,頭頂,20,20
1008,動詞,駆ける,20,20
1009,名詞,ロープ,32,19
1010,名詞,黒板,26,19
1011,名詞,袋,25,19
1012,名詞,箱,24,19
1013,名詞,上級生,23,19
