全体順位,品詞,品詞別順位,基本形,出現回数,出現事例数,事例出現率（％）,1事例当たり平均出現回数,対象事例数
186,動詞,47,押す,186,171,2.226,1.0877,7682
189,動詞,48,追いかける,178,169,2.1999,1.0533,7682
190,動詞,48,戻る,176,169,2.1999,1.0414,7682
192,動詞,48,つまずく,171,169,2.1999,1.0118,7682
194,動詞,51,見る,180,166,2.1609,1.0843,7682
196,動詞,52,誤る,166,165,2.1479,1.0061,7682
197,動詞,53,振る,170,163,2.1218,1.0429,7682
200,動詞,54,打ちつける,162,162,2.1088,1.0,7682
201,動詞,55,転ぶ,165,159,2.0698,1.0377,7682
210,動詞,56,座る,164,148,1.9266,1.1081,7682
211,動詞,56,挟む,149,148,1.9266,1.0068,7682
213,動詞,58,痛める,148,147,1.9136,1.0068,7682
220,動詞,59,切れる,142,141,1.8355,1.0071,7682
222,動詞,60,立つ,146,140,1.8224,1.0429,7682
225,動詞,61,打ち付ける,138,138,1.7964,1.0,7682
231,動詞,62,出す,141,133,1.7313,1.0602,7682
237,動詞,63,気付く,129,127,1.6532,1.0157,7682
238,動詞,64,おる,130,125,1.6272,1.04,7682
243,動詞,65,使う,125,123,1.6011,1.0163,7682
244,動詞,65,来る,125,123,1.6011,1.0163,7682
248,動詞,67,拾う,127,121,1.5751,1.0496,7682
260,動詞,68,逃げる,122,115,1.497,1.0609,7682
261,動詞,68,離れる,122,115,1.497,1.0609,7682
264,動詞,68,抜ける,118,115,1.497,1.0261,7682
268,動詞,71,入れる,118,113,1.471,1.0442,7682
271,動詞,72,散る,113,112,1.458,1.0089,7682
277,動詞,73,きれる,111,111,1.4449,1.0,7682
278,動詞,74,終わる,112,110,1.4319,1.0182,7682
283,動詞,75,置く,113,108,1.4059,1.0463,7682
296,動詞,76,跳ね返る,106,105,1.3668,1.0095,7682
307,動詞,77,降りる,107,101,1.3148,1.0594,7682
317,動詞,78,訴える,103,99,1.2887,1.0404,7682
318,動詞,78,上がる,102,99,1.2887,1.0303,7682
321,動詞,80,いく,100,98,1.2757,1.0204,7682
330,動詞,81,上げる,99,95,1.2367,1.0421,7682
331,動詞,82,跳ぶ,111,94,1.2236,1.1809,7682
334,動詞,82,思う,95,94,1.2236,1.0106,7682
345,動詞,84,追う,95,89,1.1586,1.0674,7682
350,動詞,85,殴る,92,87,1.1325,1.0575,7682
351,動詞,85,とる,89,87,1.1325,1.023,7682
361,動詞,87,合う,88,84,1.0935,1.0476,7682
366,動詞,88,終える,83,83,1.0804,1.0,7682
369,動詞,89,避ける,85,82,1.0674,1.0366,7682
372,動詞,90,外れる,82,81,1.0544,1.0123,7682
384,動詞,91,振り向く,77,77,1.0023,1.0,7682
396,動詞,92,閉める,81,74,0.9633,1.0946,7682
408,動詞,93,支える,81,72,0.9373,1.125,7682
409,動詞,93,待つ,76,72,0.9373,1.0556,7682
419,動詞,95,離す,73,70,0.9112,1.0429,7682
424,動詞,96,始める,70,69,0.8982,1.0145,7682
428,動詞,97,感じる,73,68,0.8852,1.0735,7682
429,動詞,97,つかむ,72,68,0.8852,1.0588,7682
443,動詞,99,突っ込む,69,66,0.8592,1.0455,7682
446,動詞,99,捻る,66,66,0.8592,1.0,7682
3,名詞,1,中,4509,4291,55.8578,1.0508,7682
4,名詞,2,際,3098,3015,39.2476,1.0275,7682
5,名詞,3,部,2710,2321,30.2135,1.1676,7682
6,名詞,4,生徒,3740,2296,29.888,1.6289,7682
7,名詞,5,練習,2372,2068,26.9201,1.147,7682
8,名詞,6,ところ,2038,1929,25.1106,1.0565,7682
10,名詞,7,負傷,1636,1632,21.2445,1.0025,7682
11,名詞,8,ボール,2127,1623,21.1273,1.3105,7682
12,名詞,9,右,2081,1550,20.177,1.3426,7682
13,名詞,10,眼,1779,1473,19.1747,1.2077,7682
14,名詞,11,左,1943,1470,19.1356,1.3218,7682
16,名詞,12,ため,1449,1266,16.4801,1.1445,7682
17,名詞,13,転倒,1299,1254,16.3239,1.0359,7682
18,名詞,14,他,1383,1224,15.9334,1.1299,7682
19,名詞,15,とき,1165,1108,14.4233,1.0514,7682
20,名詞,16,活動,1134,1104,14.3713,1.0272,7682
21,名詞,17,児童,1927,1055,13.7334,1.8265,7682
23,名詞,18,顔面,1087,1039,13.5251,1.0462,7682
24,名詞,19,授業,1015,990,12.8873,1.0253,7682
25,名詞,20,試合,1036,965,12.5618,1.0736,7682
26,名詞,21,相手,1092,908,11.8198,1.2026,7682
27,名詞,22,体育,914,891,11.5985,1.0258,7682
28,名詞,23,場,918,886,11.5335,1.0361,7682
30,名詞,24,時間,829,822,10.7003,1.0085,7682
31,名詞,25,強打,817,810,10.5441,1.0086,7682
32,名詞,26,運動,844,809,10.5311,1.0433,7682
34,名詞,27,後,860,788,10.2577,1.0914,7682
35,名詞,28,時,798,753,9.8021,1.0598,7682
36,名詞,29,前歯,795,750,9.7631,1.06,7682
40,名詞,30,野球,716,702,9.1382,1.0199,7682
42,名詞,31,友人,941,691,8.9951,1.3618,7682
43,名詞,32,足,721,667,8.6826,1.081,7682
44,名詞,33,手,706,634,8.2531,1.1136,7682
47,名詞,34,前,628,588,7.6543,1.068,7682
48,名詞,35,教室,659,580,7.5501,1.1362,7682
50,名詞,36,体育館,605,562,7.3158,1.0765,7682
53,名詞,37,上,583,541,7.0424,1.0776,7682
55,名詞,38,バランス,542,534,6.9513,1.015,7682
57,名詞,39,歯,544,498,6.4827,1.0924,7682
58,名詞,40,口,508,490,6.3785,1.0367,7682
59,名詞,41,直撃,490,488,6.3525,1.0041,7682
60,名詞,42,床,508,465,6.0531,1.0925,7682
61,名詞,43,サッカー,487,463,6.0271,1.0518,7682
62,名詞,44,人,544,451,5.8709,1.2062,7682
63,名詞,44,顔,477,451,5.8709,1.0576,7682
64,名詞,46,休憩,437,433,5.6366,1.0092,7682
65,名詞,47,地面,448,429,5.5845,1.0443,7682
67,名詞,48,救急,461,416,5.4153,1.1082,7682
68,名詞,49,搬送,414,414,5.3892,1.0,7682
71,名詞,50,本,504,397,5.1679,1.2695,7682
72,名詞,51,自転車,540,393,5.1159,1.374,7682
73,名詞,52,２,452,389,5.0638,1.162,7682
74,名詞,52,骨折,412,389,5.0638,1.0591,7682
76,名詞,54,下,404,374,4.8685,1.0802,7682
77,名詞,55,頭部,414,373,4.8555,1.1099,7682
78,名詞,56,治療,380,372,4.8425,1.0215,7682
79,名詞,57,廊下,433,366,4.7644,1.1831,7682
80,名詞,57,よう,399,366,4.7644,1.0902,7682
81,名詞,59,膝,410,358,4.6602,1.1453,7682
82,名詞,60,頭,388,355,4.6212,1.093,7682
83,名詞,61,打球,379,352,4.5821,1.0767,7682
84,名詞,62,右手,397,347,4.5171,1.1441,7682
85,名詞,63,障害,406,341,4.4389,1.1906,7682
86,名詞,64,手術,357,335,4.3608,1.0657,7682
87,名詞,65,室,352,323,4.2046,1.0898,7682
91,名詞,66,こと,327,305,3.9703,1.0721,7682
93,名詞,67,３,345,303,3.9443,1.1386,7682
96,名詞,68,１,377,296,3.8532,1.2736,7682
97,名詞,69,状態,314,295,3.8401,1.0644,7682
101,名詞,70,瘢痕,286,284,3.697,1.007,7682
102,名詞,71,落下,293,282,3.6709,1.039,7682
103,名詞,72,下校,285,281,3.6579,1.0142,7682
104,名詞,73,バッティング,317,279,3.6319,1.1362,7682
105,名詞,73,受診,290,279,3.6319,1.0394,7682
106,名詞,75,学校,284,278,3.6188,1.0216,7682
108,名詞,76,バスケットボール,278,273,3.5538,1.0183,7682
109,名詞,77,選手,311,271,3.5277,1.1476,7682
110,名詞,77,終了,273,271,3.5277,1.0074,7682
111,名詞,79,車,305,268,3.4887,1.1381,7682
112,名詞,80,左手,305,266,3.4626,1.1466,7682
113,名詞,81,病院,273,263,3.4236,1.038,7682
114,名詞,82,額,278,262,3.4106,1.0611,7682
115,名詞,83,部分,274,259,3.3715,1.0579,7682
116,名詞,84,ガラス,440,254,3.3064,1.7323,7682
117,名詞,84,指,389,254,3.3064,1.5315,7682
118,名詞,84,近く,261,254,3.3064,1.0276,7682
119,名詞,87,性,300,252,3.2804,1.1905,7682
120,名詞,88,頬,271,249,3.2413,1.0884,7682
122,名詞,89,肘,292,246,3.2023,1.187,7682
123,名詞,90,付近,249,245,3.1893,1.0163,7682
124,名詞,91,外,253,241,3.1372,1.0498,7682
126,名詞,91,残存,241,241,3.1372,1.0,7682
127,名詞,93,接触,245,239,3.1112,1.0251,7682
128,名詞,93,衝突,243,239,3.1112,1.0167,7682
129,名詞,95,球,289,235,3.0591,1.2298,7682
130,名詞,96,登校,248,234,3.0461,1.0598,7682
132,名詞,97,体,241,231,3.007,1.0433,7682
133,名詞,98,意識,243,227,2.955,1.0705,7682
134,名詞,99,顎,254,224,2.9159,1.1339,7682
135,名詞,100,機能,251,222,2.8899,1.1306,7682
49,形容詞,1,強い,592,577,7.5111,1.026,7682
287,形容詞,2,高い,112,107,1.3929,1.0467,7682
299,形容詞,3,ない,116,103,1.3408,1.1262,7682
405,形容詞,4,悪い,74,73,0.9503,1.0137,7682
425,形容詞,5,激しい,70,69,0.8982,1.0145,7682
486,形容詞,6,痛い,62,59,0.768,1.0508,7682
492,形容詞,7,大きい,59,58,0.755,1.0172,7682
520,形容詞,8,深い,55,55,0.716,1.0,7682
627,形容詞,9,暗い,43,42,0.5467,1.0238,7682
725,形容詞,10,うまい,35,35,0.4556,1.0,7682
836,形容詞,11,軽い,28,28,0.3645,1.0,7682
985,形容詞,12,低い,22,22,0.2864,1.0,7682
1084,形容詞,13,重い,19,19,0.2473,1.0,7682
1085,形容詞,13,長い,19,19,0.2473,1.0,7682
1124,形容詞,15,硬い,18,18,0.2343,1.0,7682
1202,形容詞,16,にくい,16,16,0.2083,1.0,7682
1280,形容詞,17,熱い,15,15,0.1953,1.0,7682
1287,形容詞,17,近い,15,15,0.1953,1.0,7682
1289,形容詞,17,遠い,15,15,0.1953,1.0,7682
1325,形容詞,20,ひどい,14,14,0.1822,1.0,7682
1488,形容詞,21,早い,12,12,0.1562,1.0,7682
1561,形容詞,22,危ない,11,11,0.1432,1.0,7682
1593,形容詞,22,速い,11,11,0.1432,1.0,7682
1636,形容詞,24,苦しい,11,10,0.1302,1.1,7682
1638,形容詞,24,赤い,11,10,0.1302,1.1,7682
1697,形容詞,24,良い,10,10,0.1302,1.0,7682
1747,形容詞,27,おかしい,9,9,0.1172,1.0,7682
1753,形容詞,27,よい,9,9,0.1172,1.0,7682
1771,形容詞,27,広い,9,9,0.1172,1.0,7682
1786,形容詞,27,狭い,9,9,0.1172,1.0,7682
1856,形容詞,31,無い,9,8,0.1041,1.125,7682
1876,形容詞,31,やすい,8,8,0.1041,1.0,7682
2041,形容詞,33,厚い,7,7,0.0911,1.0,7682
2249,形容詞,34,小さい,6,6,0.0781,1.0,7682
2497,形容詞,35,多い,5,5,0.0651,1.0,7682
2504,形容詞,35,寒い,5,5,0.0651,1.0,7682
2601,形容詞,35,遅い,5,5,0.0651,1.0,7682
2709,形容詞,38,しろい,4,4,0.0521,1.0,7682
2717,形容詞,38,づらい,4,4,0.0521,1.0,7682
2817,形容詞,38,太い,4,4,0.0521,1.0,7682
2842,形容詞,38,弱い,4,4,0.0521,1.0,7682
2849,形容詞,38,息苦しい,4,4,0.0521,1.0,7682
2875,形容詞,38,暑い,4,4,0.0521,1.0,7682
2931,形容詞,38,細い,4,4,0.0521,1.0,7682
2973,形容詞,38,鈍い,4,4,0.0521,1.0,7682
3152,形容詞,46,ぽい,3,3,0.0391,1.0,7682
3250,形容詞,46,冷たい,3,3,0.0391,1.0,7682
3308,形容詞,46,少ない,3,3,0.0391,1.0,7682
3358,形容詞,46,新しい,3,3,0.0391,1.0,7682
3409,形容詞,46,白い,3,3,0.0391,1.0,7682
3418,形容詞,46,短い,3,3,0.0391,1.0,7682
3431,形容詞,46,細かい,3,3,0.0391,1.0,7682
3438,形容詞,46,緩い,3,3,0.0391,1.0,7682
3451,形容詞,46,荒い,3,3,0.0391,1.0,7682
3524,形容詞,46,黒い,3,3,0.0391,1.0,7682
3641,形容詞,56,面白い,3,2,0.026,1.5,7682
3669,形容詞,56,いい,2,2,0.026,1.0,7682
3676,形容詞,56,うるさい,2,2,0.026,1.0,7682
3692,形容詞,56,からい,2,2,0.026,1.0,7682
3697,形容詞,56,きつい,2,2,0.026,1.0,7682
3711,形容詞,56,しんどい,2,2,0.026,1.0,7682
3740,形容詞,56,のろい,2,2,0.026,1.0,7682
3775,形容詞,56,ゆるい,2,2,0.026,1.0,7682
4209,形容詞,56,柔らかい,2,2,0.026,1.0,7682
4220,形容詞,56,欲しい,2,2,0.026,1.0,7682
4242,形容詞,56,浅い,2,2,0.026,1.0,7682
4285,形容詞,56,白っぽい,2,2,0.026,1.0,7682
4326,形容詞,56,素早い,2,2,0.026,1.0,7682
4376,形容詞,56,著い,2,2,0.026,1.0,7682
4377,形容詞,56,著しい,2,2,0.026,1.0,7682
4378,形容詞,56,薄暗い,2,2,0.026,1.0,7682
4425,形容詞,56,辛い,2,2,0.026,1.0,7682
4449,形容詞,56,重たい,2,2,0.026,1.0,7682
4473,形容詞,56,難しい,2,2,0.026,1.0,7682
4479,形容詞,56,青い,2,2,0.026,1.0,7682
4647,形容詞,76,濃い,2,1,0.013,2.0,7682
4758,形容詞,76,あつい,1,1,0.013,1.0,7682
4763,形容詞,76,あぶない,1,1,0.013,1.0,7682
4778,形容詞,76,うい,1,1,0.013,1.0,7682
4792,形容詞,76,うれしい,1,1,0.013,1.0,7682
4795,形容詞,76,おおい,1,1,0.013,1.0,7682
4808,形容詞,76,おもい,1,1,0.013,1.0,7682
4840,形容詞,76,ぎこちない,1,1,0.013,1.0,7682
4842,形容詞,76,くい,1,1,0.013,1.0,7682
4931,形容詞,76,だるい,1,1,0.013,1.0,7682
4935,形容詞,76,っぽい,1,1,0.013,1.0,7682
4951,形容詞,76,つよい,1,1,0.013,1.0,7682
5003,形容詞,76,はやい,1,1,0.013,1.0,7682
5026,形容詞,76,ふさわしい,1,1,0.013,1.0,7682
5039,形容詞,76,ほしい,1,1,0.013,1.0,7682
5560,形容詞,76,上手い,1,1,0.013,1.0,7682
5666,形容詞,76,何気ない,1,1,0.013,1.0,7682
5817,形容詞,76,厳しい,1,1,0.013,1.0,7682
6036,形容詞,76,小高い,1,1,0.013,1.0,7682
6428,形容詞,76,楽しい,1,1,0.013,1.0,7682
6450,形容詞,76,正しい,1,1,0.013,1.0,7682
6755,形容詞,76,等しい,1,1,0.013,1.0,7682
6910,形容詞,76,薄い,1,1,0.013,1.0,7682
6946,形容詞,76,見にくい,1,1,0.013,1.0,7682
6976,形容詞,76,詳しい,1,1,0.013,1.0,7682
