総合順位,解析区分,順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数,歯牙障害内順位
227,歯牙障害_カテゴリ特徴,17,受傷機転:転倒,行動:移動,0.128425,75,507,152,584,1583,117
228,歯牙障害_カテゴリ特徴,18,受傷機転:滑走,衝突対象:床,0.127341,34,112,189,267,1583,118
231,歯牙障害_カテゴリ特徴,19,受傷部位:歯牙,衝突対象:床,0.121103,101,746,189,834,1583,119
233,歯牙障害_カテゴリ特徴,20,受傷機転:衝突,受傷部位:歯牙,0.117506,98,186,746,834,1583,120
234,歯牙障害_カテゴリ特徴,21,原因物:乗り物,衝突対象:自転車部品,0.114407,27,232,31,236,1583,121
237,歯牙障害_カテゴリ特徴,22,原因物:乗り物,環境要因:路面,0.108949,28,232,53,257,1583,122
238,歯牙障害_カテゴリ特徴,23,傷害結果:脱臼,傷害結果:骨折,0.103093,10,89,18,97,1583,123
239,歯牙障害_カテゴリ特徴,24,受傷機転:滑走,受傷部位:上肢,0.102804,22,112,124,214,1583,124
240,歯牙障害_カテゴリ特徴,25,原因物:乗り物,受傷部位:歯牙,0.102593,91,232,746,887,1583,125
241,歯牙障害_カテゴリ特徴,26,受傷機転:転落,衝突対象:階段,0.102273,9,54,43,88,1583,126
242,歯牙障害_カテゴリ特徴,27,傷害結果:脱臼,受傷部位:歯牙,0.101583,77,89,746,758,1583,127
