順位,事故パターン,構成要素数,件数,事例割合(%)
54,原因物:スポーツ用具 -> 受傷機転:滑走 -> 受傷部位:上肢,3,3,0.1895
55,原因物:スポーツ用具 -> 受傷部位:顎顔面 -> 行動:移動,3,3,0.1895
56,原因物:乗り物 -> 受傷機転:滑走 -> 受傷機転:転倒,3,3,0.1895
57,受傷機転:滑走 -> 受傷機転:転倒 -> 受傷部位:歯牙,3,3,0.1895
58,受傷機転:転倒 -> 受傷部位:上肢 -> 受傷部位:歯牙,3,3,0.1895
59,受傷機転:転倒 -> 受傷部位:下肢 -> 受傷部位:歯牙,3,3,0.1895
60,受傷機転:転倒 -> 受傷部位:歯牙 -> 衝突対象:地面,3,3,0.1895
61,受傷機転:転倒 -> 受傷部位:顎顔面 -> 環境要因:路面,3,3,0.1895
62,受傷機転:転倒 -> 受傷部位:顎顔面 -> 行動:移動,3,3,0.1895
63,受傷部位:下肢 -> 受傷部位:歯牙 -> 衝突対象:床,3,3,0.1895
64,受傷部位:歯牙 -> 受傷部位:顎顔面 -> 行動:球技,3,3,0.1895
65,原因物:スポーツ用具 -> 受傷機転:切創,2,3,0.1895
66,原因物:乗り物 -> 受傷機転:衝突,2,3,0.1895
67,受傷機転:接触 -> 受傷部位:顎顔面,2,3,0.1895
68,受傷機転:衝突 -> 受傷機転:転倒,2,3,0.1895
69,受傷機転:衝突 -> 受傷部位:顎顔面,2,3,0.1895
70,受傷機転:転倒 -> 受傷部位:下肢,2,3,0.1895
71,受傷部位:歯牙 -> 衝突対象:地面,2,3,0.1895
72,受傷部位:顎顔面 -> 行動:球技,2,3,0.1895
73,傷害結果:脱臼 -> 受傷機転:滑走 -> 受傷機転:転倒 -> 受傷部位:歯牙 -> 受傷部位:顎顔面 -> 衝突対象:床,6,2,0.1263
74,原因物:乗り物 -> 受傷機転:滑走 -> 受傷機転:転倒 -> 受傷部位:顎顔面 -> 環境要因:天候 -> 行動:乗車,6,2,0.1263
75,原因物:乗り物 -> 受傷機転:滑走 -> 受傷機転:転倒 -> 環境要因:天候 -> 衝突対象:地面 -> 衝突対象:自転車部品,6,2,0.1263
76,傷害結果:欠損 -> 受傷機転:転倒 -> 受傷部位:歯牙 -> 受傷部位:顎顔面 -> 衝突対象:床,5,2,0.1263
77,傷害結果:脱臼 -> 受傷機転:転倒 -> 受傷部位:下肢 -> 受傷部位:歯牙 -> 衝突対象:床,5,2,0.1263
78,原因物:スポーツ用具 -> 受傷機転:衝突 -> 受傷部位:歯牙 -> 受傷部位:顎顔面 -> 衝突対象:壁,5,2,0.1263
79,原因物:スポーツ用具 -> 受傷機転:転倒 -> 受傷部位:下肢 -> 受傷部位:顎顔面 -> 衝突対象:床,5,2,0.1263
80,原因物:乗り物 -> 受傷機転:衝突 -> 受傷機転:転倒 -> 受傷部位:顎顔面 -> 衝突対象:地面,5,2,0.1263
81,原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:頭部 -> 受傷部位:顎顔面 -> 衝突対象:自転車部品,5,2,0.1263
82,原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:顎顔面 -> 環境要因:路面 -> 衝突対象:地面,5,2,0.1263
83,受傷機転:滑走 -> 受傷機転:転倒 -> 受傷部位:下肢 -> 受傷部位:歯牙 -> 衝突対象:床,5,2,0.1263
84,受傷機転:転倒 -> 受傷部位:下肢 -> 受傷部位:歯牙 -> 受傷部位:顎顔面 -> 衝突対象:床,5,2,0.1263
85,受傷機転:転倒 -> 受傷部位:下肢 -> 受傷部位:歯牙 -> 行動:移動 -> 衝突対象:床,5,2,0.1263
86,傷害結果:欠損 -> 原因物:スポーツ用具 -> 受傷部位:歯牙 -> 受傷部位:顎顔面,4,2,0.1263
87,傷害結果:脱臼 -> 原因物:スポーツ用具 -> 受傷部位:歯牙 -> 受傷部位:顎顔面,4,2,0.1263
88,傷害結果:脱臼 -> 受傷機転:転倒 -> 受傷部位:歯牙 -> 衝突対象:床,4,2,0.1263
89,傷害結果:裂傷 -> 原因物:スポーツ用具 -> 受傷部位:上肢 -> 受傷部位:歯牙,4,2,0.1263
90,原因物:スポーツ用具 -> 受傷部位:上肢 -> 受傷部位:歯牙 -> 受傷部位:顎顔面,4,2,0.1263
91,原因物:乗り物 -> 受傷機転:挟圧 -> 受傷機転:転倒 -> 受傷部位:顎顔面,4,2,0.1263
92,原因物:乗り物 -> 受傷機転:滑走 -> 受傷機転:転倒 -> 受傷部位:歯牙,4,2,0.1263
93,原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:歯牙 -> 受傷部位:顎顔面,4,2,0.1263
94,原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:歯牙 -> 環境要因:路面,4,2,0.1263
95,原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:歯牙 -> 衝突対象:自転車部品,4,2,0.1263
96,原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:顎顔面 -> 行動:移動,4,2,0.1263
97,原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:顎顔面 -> 衝突対象:自転車部品,4,2,0.1263
98,受傷機転:つまずき -> 受傷機転:転倒 -> 受傷部位:歯牙 -> 受傷部位:顎顔面,4,2,0.1263
99,受傷機転:接触 -> 受傷機転:転倒 -> 受傷部位:歯牙 -> 受傷部位:顎顔面,4,2,0.1263
100,受傷機転:滑走 -> 受傷機転:転倒 -> 受傷部位:下肢 -> 受傷部位:歯牙,4,2,0.1263
