単語,出現事例数
競技,92
男子,92
両手,92
麻痺,92
台,91
高い,91
作業,91
視野,91
鼻,90
来る,90
きれる,90
入院,90
脳,90
ノック,89
机,89
形,89
跳ね返る,89
腹部,89
醜状,88
プール,87
バレーボール,87
終わる,86
身体,86
離れる,86
右腕,86
右側,85
会,85
動,85
跳ぶ,84
視,84
細,84
校舎,83
一緒,83
他校,82
バッター,82
後日,82
コート,81
底,81
損傷,81
除,81
思う,80
鉄棒,80
祭,80
上げる,80
的,80
学習,79
降りる,79
用,78
上がる,78
庭,78
別,78
調節,78
昇降,77
回転,76
転,76
複,76
肩,75
いく,75
当たり,75
給食,75
前腕,75
距離,75
植込み,75
組,74
殴る,72
様子,72
閉める,72
感覚,72
合う,72
中指,72
始業,71
圧迫,71
形式,70
技,69
支柱,69
裂傷,69
一部,69
器,69
そう,67
パス,67
担任,67
終える,67
方向,67
扉,67
段,66
感じる,66
とる,66
実習,66
分,65
水泳,65
傷,65
捻る,65
追う,65
保健,65
左目,65
蘇生,65
者,64
打者,64
板,64
陸上,63
声,63
ジャンプ,63
悪い,63
開ける,63
停止,63
高次,63
水,62
体重,62
変形,62
前のめり,61
木,61
学級,61
ランニング,61
科,60
帰宅,60
始める,60
放課後,60
～,60
辺り,60
下腿,60
外れる,60
振り向く,60
眼窩,60
キャッチボール,59
テニス,59
待つ,59
呼吸,59
端,59
創,59
ラグビー,59
痛い,58
教諭,58
直後,58
出場,58
薬指,58
確認,58
左上,58
離す,57
m,57
遊具,57
運ぶ,57
タックル,57
ICD,57
つける,56
起こす,56
支える,56
打撃,56
失敗,56
けんか,56
下肢,56
突っ込む,55
飛び込む,55
眉,55
休み,54
激しい,54
あたり,54
上部,54
送球,54
受傷,54
破片,54
歯,54
手首,54
直接,53
製,53
段差,53
避ける,53
立ち上がる,53
棒,53
場所,53
倒立,53
トレーニング,53
深い,53
刺さる,53
至近,53
瞬間,52
向ける,52
玄関,52
爪,52
つかむ,52
周辺,51
激突,51
日,51
ハンドボール,51
大きい,51
崩れる,50
石,50
人差し指,50
要請,50
登る,49
席,49
欠損,49
ゴールキーパー,49
見える,49
位,48
症,48
動く,48
挟まる,48
体勢,48
かけっこ,48
ラケット,47
頭痛,47
次,47
転がる,47
足首,47
引っ張る,47
話,46
ティー,46
脇,46
椅子,46
並ぶ,46
トス,46
先端,46
投手,45
ベース,45
作る,45
入ろう,45
戸,45
止める,45
頚部,45
全身,45
右目,45
両足,45
開始,45
破裂,45
睾丸,45
ドッジボール,44
言う,44
補助,44
ｃｍ,44
立てる,44
バウンド,44
損ねる,44
マシン,44
トラブル,43
注意,43
実験,43
片付け,43
巻き込む,43
掛ける,43
柱,43
鬼,43
叩く,42
実施,42
ごと,42
引く,42
ブロック,42
落とす,42
周,42
脱臼,42
サイド,42
開く,42
担当,42
スピード,42
下りる,42
倒れ込む,42
戦,41
教師,41
式,41
押さえる,41
枠,41
