語1,語2,共起事例数,Jaccard（ネットワーク重み）
練習,骨折,108,0.0578468130690948
打つ,直撃,107,0.11706783369803063
時間,運動,107,0.08492063492063492
時間,転倒,107,0.07394609536973047
線,部,107,0.05652403592181722
体育,部,107,0.04365565075479396
治療,負傷,106,0.07104557640750671
打つ,負傷,106,0.05938375350140056
搬送,練習,106,0.056114346214928536
バッティング,当たる,105,0.07378777231201687
れる,教室,105,0.06827048114434331
れる,障害,104,0.0746054519368723
球,眼,104,0.06731391585760518
練習,走る,104,0.04973696795791487
ぶつかる,走る,103,0.11508379888268157
機能,残る,103,0.11293859649122807
ぶつかる,負傷,103,0.065814696485623
痕,部,103,0.05446853516657853
崩す,練習,103,0.05423907319641917
バランス,練習,103,0.05387029288702929
せる,滑る,102,0.2677165354330709
強い,打つ,102,0.10450819672131148
体育,倒れる,101,0.0881326352530541
試合,運動,101,0.0779320987654321
れる,骨折,101,0.07082748948106592
負傷,遊ぶ,101,0.06203931203931204
選手,部,101,0.05222337125129266
れる,休憩,100,0.06988120195667366
眼,顔面,100,0.05216484089723526
ぶつかる,部,100,0.046620046620046623
せる,足,99,0.15639810426540285
倒れる,走る,99,0.09753694581280788
打つ,試合,99,0.07850911974623315
体育,試合,99,0.07327905255366396
性,練習,99,0.05647461494580719
体育館,眼,99,0.054098360655737705
手術,病院,98,0.19838056680161945
バスケットボール,体育館,98,0.17314487632508835
試合,野球,98,0.08695652173913043
転倒,顔面,98,0.07492354740061162
れる,強打,98,0.0625
ボール,強い,98,0.06246016571064372
残存,障害,97,0.20082815734989648
自転車,転倒,97,0.10363247863247864
当たる,飛ぶ,97,0.06938483547925609
れる,足,96,0.06049149338374291
残存,練習,96,0.054857142857142854
練習,蹴る,96,0.05106382978723404
意識,搬送,95,0.18962075848303392
時間,走る,95,0.0796979865771812
体育,走る,95,0.078125
当たる,視力,95,0.06964809384164222
練習,頭部,95,0.051742919389978215
うし,ろ,94,0.94
場,性,94,0.10669693530079455
体育,搬送,94,0.09242871189773845
場,相手,94,0.07062359128474831
れる,体育館,94,0.061598951507208385
体育館,当たる,94,0.05645645645645646
膝,部,94,0.04583130180399805
バランス,部,94,0.04370060437006044
時間,特定,93,0.1332378223495702
性,運動,93,0.11313868613138686
滑る,転倒,93,0.08950914340712224
残る,野球,93,0.07762938230383973
ボール,飛ぶ,93,0.07013574660633484
れる,瘢痕,93,0.06893995552260934
受診,負傷,93,0.06517168885774352
当たる,遊ぶ,93,0.05555555555555555
強い,眼,93,0.0510989010989011
手術,練習,93,0.05032467532467533
手,練習,93,0.04597132970835393
友人,教室,92,0.09553478712357218
強い,転倒,92,0.07603305785123966
打つ,転倒,92,0.0659025787965616
右手,負傷,92,0.06108897742363878
眼,飛ぶ,92,0.05848696757787667
ボール,体育館,92,0.05782526712759271
強い,負傷,92,0.05703657780533168
負傷,野球,92,0.055288461538461536
残存,瘢痕,91,0.21016166281755197
受診,運動,91,0.10846245530393325
場,走る,91,0.07416462917685411
残る,試合,91,0.06359189378057302
崩す,部,91,0.0425035030359645
倒れる,車,90,0.13333333333333333
場,手術,90,0.09240246406570841
試合,蹴る,90,0.08928571428571429
バスケットボール,ボール,90,0.06751687921980495
バランス,負傷,90,0.057034220532319393
くる,れる,90,0.055693069306930694
球,部,90,0.046680497925311204
病院,部,90,0.044932601098352475
AED,搬送,89,0.2225
受診,場,89,0.09877913429522753
手術,運動,89,0.09726775956284153
運動,骨折,89,0.09378292939936776
ぶつける,転倒,89,0.08364661654135339
しまう,当たる,89,0.050396375990939976
バスケットボール,部,89,0.045664443304258596
残存,醜状,88,0.36666666666666664
瘢痕,醜状,88,0.30985915492957744
廊下,走る,88,0.11125158027812895
散る,残る,88,0.10771113831089352
残る,瞳,88,0.10771113831089352
強打,顔面,88,0.09072164948453608
床,転倒,88,0.08445297504798464
手術,負傷,88,0.05843293492695883
受診,眼,88,0.05365853658536585
しまう,負傷,88,0.05089647194910353
休憩,部,88,0.04148986327204149
残る,疼痛,87,0.1070110701107011
ボール,打球,87,0.06209850107066381
れる,蹴る,87,0.06037473976405274
崩す,負傷,87,0.05548469387755102
練習,視力,87,0.05175490779298037
手術,骨折,86,0.13915857605177995
体育,手術,86,0.08856848609680741
しまう,手,86,0.08757637474541752
休憩,場,86,0.08464566929133858
れる,室,86,0.06272793581327499
当たる,性,86,0.059025394646533974
手,眼,86,0.04547858276044421
右手,部,86,0.0411680229775012
ガラス,切る,85,0.1927437641723356
意識,救急,85,0.166015625
チーム,試合,85,0.10841836734693877
廊下,時間,85,0.09413067552602436
ボール,捕る,85,0.06832797427652733
練習,選手,85,0.04941860465116279
眼,遊ぶ,85,0.0458963282937365
車,部,85,0.04269211451531894
体育,救急,84,0.08171206225680934
れる,押す,84,0.06890894175553733
体育,相手,84,0.06296851574212893
友人,転倒,84,0.06259314456035768
眼,視野,84,0.05698778833107191
しまう,れる,84,0.051470588235294115
部,頭,84,0.04131824889326119
動,細,83,0.9651162790697675
直撃,試合,83,0.08027079303675048
れる,意識,83,0.06474258970358815
ボール,球,83,0.06287878787878788
