列名,カテゴリ,群,観測度数,期待度数,調整済み標準化残差,|z|≥1.96
被災学年,5,歯牙障害以外,403,366.003514709711,4.393928771910728,True
被災学年,5,歯牙障害,58,94.99648529028899,-4.393928771910725,True
被災学年,6,歯牙障害以外,384,347.74303566779486,4.410693132175748,True
被災学年,6,歯牙障害,54,90.25696433220516,-4.4106931321757505,True
性別,女,歯牙障害以外,1807,1745.8605831814632,3.815410182279335,True
性別,女,歯牙障害,392,453.13941681853686,-3.8154101822793387,True
性別,男,歯牙障害以外,4292,4353.139416818537,-3.8154101822793494,True
性別,男,歯牙障害,1191,1129.8605831814632,3.815410182279335,True
場合別1,休憩時間,歯牙障害以外,1394,1305.2272845613122,6.105534980029049,True
場合別1,休憩時間,歯牙障害,250,338.77271543868784,-6.105534980029053,True
場合別1,保育中,歯牙障害以外,378,301.6948711273106,9.926192600945978,True
場合別1,保育中,歯牙障害,2,78.30512887268941,-9.926192600945978,True
場合別1,各教科等,歯牙障害以外,1226,1158.3495183545951,4.865024443492643,True
場合別1,各教科等,歯牙障害,233,300.65048164540485,-4.865024443492643,True
場合別1,学校行事,歯牙障害以外,296,297.7252017703723,-0.22583767169215196,False
場合別1,学校行事,歯牙障害,79,77.2747982296277,0.2258376716921538,False
場合別1,寄宿舎にあるとき,歯牙障害以外,17,18.260479041916167,-0.6507697487165077,False
場合別1,寄宿舎にあるとき,歯牙障害,6,4.7395209580838324,0.6507697487165083,False
場合別1,特別活動（除学校行事）,歯牙障害以外,301,289.7858630564957,1.4869438727862674,False
場合別1,特別活動（除学校行事）,歯牙障害,64,75.2141369435043,-1.4869438727862694,False
場合別1,課外指導,歯牙障害以外,2159,2259.535797969279,-5.8722132076193265,True
場合別1,課外指導,歯牙障害,687,586.4642020307211,5.872213207619319,True
場合別1,通学中,歯牙障害以外,328,468.4209841187191,-14.875217455498673,True
場合別1,通学中,歯牙障害,262,121.57901588128091,14.875217455498673,True
場合別2,その他,歯牙障害以外,54,49.22390002603489,1.5057114697191047,False
場合別2,その他,歯牙障害,8,12.776099973965113,-1.5057114697191059,False
場合別2,その他の教科,歯牙障害以外,138,125.4415516792502,2.4958858907438453,True
場合別2,その他の教科,歯牙障害,20,32.558448320749804,-2.4958858907438453,True
場合別2,その他健康安全・体育的行事,歯牙障害以外,23,20.642280656079144,1.145107213411621,False
場合別2,その他健康安全・体育的行事,歯牙障害,3,5.357719343920854,-1.14510721341162,False
場合別2,その他儀式的行事,歯牙障害以外,5,6.351470971101276,-1.181932054120446,False
場合別2,その他儀式的行事,歯牙障害,3,1.6485290288987242,1.181932054120446,False
場合別2,その他学級活動,歯牙障害以外,24,24.611950013017445,-0.2722812154421753,False
場合別2,その他学級活動,歯牙障害,7,6.388049986982557,0.2722812154421746,False
場合別2,その他集団宿泊的行事,歯牙障害以外,43,43.66636292632127,-0.2229432300102391,False
場合別2,その他集団宿泊的行事,歯牙障害,12,11.33363707367873,0.22294323001023908,False
場合別2,下校（降園）中,歯牙障害以外,184,253.26490497266337,-9.793370413762494,True
場合別2,下校（降園）中,歯牙障害,135,65.73509502733663,9.793370413762494,True
場合別2,休憩時間中,歯牙障害以外,538,501.7662067170008,3.7196526370013165,True
場合別2,休憩時間中,歯牙障害,94,130.23379328299922,-3.7196526370013165,True
場合別2,体育的クラブ活動,歯牙障害以外,13,15.878677427753189,-1.593487316083671,False
場合別2,体育的クラブ活動,歯牙障害,7,4.121322572246811,1.5934873160836707,False
場合別2,体育的部活動,歯牙障害以外,2081,2187.2878156730017,-6.251339413223755,True
場合別2,体育的部活動,歯牙障害,674,567.7121843269982,6.2513394132237625,True
場合別2,体育（保健体育）,歯牙障害以外,895,863.0061181983858,2.5893242826792253,True
場合別2,体育（保健体育）,歯牙障害,192,223.99388180161415,-2.589324282679223,True
場合別2,修学旅行,歯牙障害以外,24,23.818016141629784,0.08230504196320572,False
場合別2,修学旅行,歯牙障害,6,6.1819838583702165,-0.08230504196320569,False
場合別2,児童（生徒・学生）会活動,歯牙障害以外,15,15.08474355636553,-0.04812515625628242,False
