単語,歯牙障害_平均TFIDF,歯牙障害以外_平均TFIDF,TFIDF差_歯牙-以外,絶対差
過ごす,0.00022279225885804815,0.0003948956477864399,-0.00017210338892839177,0.00017210338892839177
動作,0.0005404783054251779,0.00036931712070585165,0.00017116118471932628,0.00017116118471932628
稽古,0.0006192229154919867,0.0004481455396740691,0.0001710773758179176,0.0001710773758179176
コントロール,0.0003660379792505184,0.0001958341518379019,0.0001702038274126165,0.0001702038274126165
血,0.0001395839645378882,0.00030895430310414916,-0.00016937033856626095,0.00016937033856626095
スクールバス,0.0001576963763557201,0.0003268530961146538,-0.00016915671975893367,0.00016915671975893367
リレー,0.001895389206413462,0.0017266949694778183,0.00016869423693564368,0.00016869423693564368
下駄,0.0002675774205998754,0.00043619119369353544,-0.00016861377309366002,0.00016861377309366002
バケツ,0.00011950329129259768,0.00028805046019610435,-0.00016854716890350667,0.00016854716890350667
下ろす,0.000972699484311219,0.0008048721741268617,0.00016782731018435732,0.00016782731018435732
通学,0.001960894157172835,0.0017932929871274264,0.0001676011700454086,0.0001676011700454086
トレ,0.00041432255712890156,0.0002495019221574878,0.00016482063497141376,0.00016482063497141376
含める,0.00013081558470614909,0.00029532385073388336,-0.00016450826602773427,0.00016450826602773427
新人,0.00024620932150081886,0.0004106772039760717,-0.00016446788247525282,0.00016446788247525282
工業,0.00017353499563399204,0.0003378979741252854,-0.00016436297849129337,0.00016436297849129337
のける,0.00045639202137365915,0.000292601346268406,0.00016379067510525314,0.00016379067510525314
全員,0.000808732736237916,0.0009724372915377209,-0.00016370455529980492,0.00016370455529980492
発表,0.0005067481186123185,0.00034498052925526526,0.00016176758935705328,0.00016176758935705328
掛かる,0.0002841195722386054,0.0004453211644416348,-0.00016120159220302938,0.00016120159220302938
記録,0.00043861109583528935,0.0005994173891906695,-0.00016080629335538013,0.00016080629335538013
ヘッド,0.00019898321222883145,0.0003597423071395524,-0.00016075909491072098,0.00016075909491072098
壊死,0.00022395438571898234,0.00038438883821844533,-0.000160434452499463,0.000160434452499463
研修,0.0002582526325549582,0.0004186248728820103,-0.00016037224032705208,0.00016037224032705208
不意,0.0005097935160438028,0.0003496972309913146,0.00016009628505248816,0.00016009628505248816
個室,0.00015560685034767474,0.00031471171067685245,-0.00015910486032917772,0.00015910486032917772
内側,0.0013718684590831385,0.001213229055635037,0.00015863940344810145,0.00015863940344810145
