全候補内順位,因子,カテゴリ,研究テーマ候補,方向,歯牙障害件数,歯牙障害以外件数,合計件数,歯牙障害群内割合（％）,歯牙障害以外群内割合（％）,割合差（pt）,オッズ比,95%CI下限,95%CI上限,絶対log2OR,Fisher_p値,BH補正p値,効果量点,割合差点,統計的確実性点,対象規模点,研究優先度スコア,解釈上の注意
24,競技種目,ホッケー,競技種目「ホッケー」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,20,7,27,1.2634238787113077,0.1147729135923922,1.1486509651189154,11.136093592907413,4.700436889327459,26.383202972380992,3.477171336317386,3.3980915521077897e-09,2.8883778192916215e-08,100.0,63.02521008403361,89.07563025210085,7.142857142857142,74.09663865546219,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
25,競技種目,柔道,競技種目「柔道」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,13,129,142,0.82122552116235,2.115100836202656,-1.293875315040306,0.3832024885202192,0.2160523784829054,0.6796691998450154,1.383821164908984,0.00032677261826411256,0.0011783618658614968,89.91596638655463,68.0672268907563,73.52941176470588,44.537815126050425,73.55042016806723,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
26,和暦,令和,和暦「令和」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,270,1374,1644,17.056222362602654,22.528283325135266,-5.472060962532613,0.7071541887141352,0.6122589171984263,0.8167574739526097,0.4999032786643587,1.6955151302932269e-06,9.607919071661618e-06,49.57983193277311,88.23529411764706,83.61344537815127,87.81512605042016,73.48739495798318,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
27,被災学年,4,被災学年「4」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,54,366,420,3.41124447252053,6.0009837678307925,-2.5897392953102623,0.5532063172115065,0.4134320433730149,0.7402358726379582,0.8541104637827659,2.9769846312435374e-05,0.00014170446844719237,67.22689075630252,77.31092436974791,79.83193277310924,68.0672268907563,73.02521008403362,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
28,競技種目,マット運動,競技種目「マット運動」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,5,78,83,0.3158559696778269,1.278898180029513,-0.963042210351686,0.2445890611289851,0.09885810936868572,0.6051482190585791,2.0315682119045713,0.0003267660832501759,0.0011783618658614968,96.63865546218487,59.66386554621849,73.52941176470588,32.773109243697476,72.0378151260504,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
29,場合別2,昼食時休憩時間中,場合別2「昼食時休憩時間中」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,76,452,528,4.801010739102969,7.4110509919658965,-2.6100402528629276,0.6300567851501254,0.49090884752246466,0.8086461560372372,0.6664462345881366,0.0001806315881491963,0.0007165052996584788,61.34453781512605,78.15126050420169,75.63025210084034,78.99159663865547,71.76470588235293,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
30,被災学校種,中,被災学校種「中」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,386,1839,2225,24.384080859128236,30.15248401377275,-5.768403154644513,0.7470007263945617,0.6578480200856892,0.8482355623131893,0.42081844897415865,5.539407156572349e-06,2.7466227151337895e-05,42.857142857142854,89.91596638655463,80.67226890756302,92.43697478991596,71.5126050420168,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
31,場合別2,休憩時間中,場合別2「休憩時間中」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,94,538,632,5.9380922299431464,8.821118216101,-2.883025986157854,0.6525349464848792,0.5203049780017491,0.818369753100061,0.6158729276563895,0.0001412724227071783,0.0005797040793846281,57.98319327731093,78.99159663865547,76.47058823529412,81.5126050420168,71.38655462184875,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
32,性別,男,性別「男」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,1191,4292,5483,75.23689197725837,70.37219216264961,4.8646998146087554,1.2791578304201456,1.1269636471156557,1.4519055333443713,0.3551942838569834,0.0001232997727073342,0.0005240240340061704,37.81512605042017,84.45378151260505,77.73109243697479,99.15966386554622,68.65546218487395,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
33,性別,女,性別「女」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,392,1807,2199,24.76310802274163,29.627807837350385,-4.8646998146087554,0.7817643579381796,0.6887500440173707,0.8873400686520759,0.3551942838569835,0.0001232997727073342,0.0005240240340061704,38.655462184873954,84.45378151260505,77.73109243697479,90.75630252100841,67.6890756302521,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
