列名,カテゴリ,歯牙_当該,非歯牙_当該,歯牙_その他,非歯牙_その他,Fisherオッズ比,p値
場合別2,理科,4,42,1579,6057,0.36533067945354203,0.04427431340840808
場合別2,登校（登園）中,117,132,1466,5967,3.6077297531936003,2.3199840641653678e-21
場合別2,競技大会・球技大会,14,63,1569,6036,0.8548969619715318,0.672629974402241
場合別2,給食指導,5,50,1578,6049,0.38333333333333336,0.030057689747120715
場合別2,総合的な学習の時間,7,39,1576,6060,0.6901600937133932,0.4653051600117768
場合別2,自立活動,7,17,1576,6082,1.5890564347566438,0.31157701137549193
場合別2,農業,2,7,1581,6092,1.1009306948585886,1.0
場合別2,通学（通園）に準ずるとき,10,12,1573,6087,3.2247298156389066,0.007569472996448287
場合別2,運動会・体育祭,20,68,1563,6031,1.1348838959768168,0.5972972554375897
場合別2,道徳,0,1,1583,6098,0.0,1.0
場合別2,遠足,11,22,1572,6077,1.9328880407124682,0.08291515696826485
場合別2,（欠損）,8,395,1575,5704,0.07334860357645168,2.2390747435383683e-30
競技種目,その他,26,101,1557,5998,0.9916760462173385,1.0
競技種目,サッカー・フットサル,77,423,1506,5676,0.6860689629190095,0.002422210950156962
競技種目,スキー,4,15,1579,6084,1.0274857504749841,1.0
競技種目,スケート,1,2,1582,6097,1.926991150442478,0.4996096100418797
競技種目,ソフトボール,75,138,1508,5961,2.1483248760235267,6.905050252460703e-07
競技種目,テニス（含ソフトテニス）,18,93,1565,6006,0.742780583324745,0.28781920206769634
競技種目,ドッジボール,6,17,1577,6082,1.3611846767876459,0.45054775822647686
競技種目,ハンドボール,14,53,1569,6046,1.0178818379691428,1.0
競技種目,バスケットボール,112,233,1471,5866,1.9168648229139618,1.246241520650917e-07
競技種目,バドミントン,12,125,1571,5974,0.3650566518141311,0.0002515547916919276
競技種目,バレーボール,43,115,1540,5984,1.4529192546583851,0.04623914526006141
競技種目,ホッケー,20,7,1563,6092,11.136093592907413,3.3980915521077897e-09
競技種目,ボクシング,1,11,1582,6088,0.34984484542006666,0.47950785987491473
競技種目,ポートボール,1,3,1582,6096,1.284450063211125,1.0
競技種目,マット運動,5,78,1578,6021,0.2445890611289851,0.0003267660832501759
競技種目,ヨット,0,2,1583,6097,0.0,1.0
競技種目,ラグビー,13,91,1570,6008,0.5466787989080982,0.03808488748135735
競技種目,レスリング,0,12,1583,6087,0.0,0.1433123132742679
競技種目,体操（その他）,4,20,1579,6079,0.7699810006333122,0.8027352127868521
競技種目,体操（組体操）,2,37,1581,6062,0.20725849188847292,0.015327456060501742
競技種目,剣道,5,25,1578,6074,0.7698352344740177,0.8208112283051046
競技種目,卓球,4,35,1579,6064,0.43890346512259115,0.16155149719810524
競技種目,器械体操・新体操（その他）,1,6,1582,6093,0.6419089759797725,1.0
競技種目,弓道,3,6,1580,6093,1.9281645569620254,0.4030653130225181
競技種目,投てき,0,18,1583,6081,0.0,0.034905264880280944
競技種目,持久走・長距離走,10,81,1573,6018,0.4723222905041087,0.025615254061427215
競技種目,柔道,13,129,1570,5970,0.3832024885202192,0.00032677261826411256
競技種目,武道等（その他）,0,3,1583,6096,0.0,1.0
競技種目,水泳,9,84,1574,6015,0.40944363768379016,0.0065191466246875395
競技種目,準備・整理運動,6,27,1577,6072,0.8556330585499894,0.8324967752034671
競技種目,準備運動等,0,1,1583,6098,0.0,1.0
競技種目,球技（その他）,13,32,1570,6067,1.5698845541401274,0.19355969527056552
競技種目,登山,1,1,1582,6098,3.854614412136536,0.3696903075482427
競技種目,相撲,1,9,1582,6090,0.4277286135693215,0.6981602726170697
競技種目,短距離走,5,32,1578,6067,0.6007406527249683,0.41357691961084714
競技種目,空手,3,9,1580,6090,1.2848101265822784,0.7209685622040696
競技種目,筋力トレーニング,2,9,1581,6090,0.8559983133038161,1.0
競技種目,縄跳び,0,7,1583,6092,0.0,0.35722854213534566
競技種目,自転車競技,4,10,1579,6089,1.542495250158328,0.5056844950616965
競技種目,自転車競技部,0,1,1583,6098,0.0,1.0
競技種目,走り幅跳び,0,10,1583,6089,0.0,0.2310171581066246
競技種目,走り高跳び,5,30,1578,6069,0.6410012674271229,0.5283788377087216
競技種目,跳箱運動,2,61,1581,6038,0.12521645358301967,0.00011873671000892451
競技種目,運動なし,0,3,1583,6096,0.0,1.0
競技種目,野球（含軟式）,352,765,1231,5334,1.9937751867603255,1.1712598732458152e-20
競技種目,鉄棒運動,4,31,1579,6068,0.49586304112443563,0.21294995614598677
競技種目,陸上競技（その他）,8,26,1575,6073,1.1864224664224665,0.6713255796648725
競技種目,障害走（ハードル）,0,11,1583,6088,0.0,0.13523295134777608
競技種目,（欠損）,698,3061,885,3038,0.7827743601385759,1.5714743633712082e-05
通学方法,その他,0,1,1583,6098,0.0,1.0
通学方法,バス,0,4,1583,6095,0.0,0.5873848223447302
通学方法,原動機付自転車,0,18,1583,6081,0.0,0.034905264880280944
通学方法,徒歩,43,159,1540,5940,1.0431266846361187,0.7917566275120935
通学方法,自動車,0,1,1583,6098,0.0,1.0
通学方法,自転車,218,138,1365,5961,6.898646281254977,5.007418688124331e-66
通学方法,鉄道,1,7,1582,6092,0.5501173920895792,1.0
通学方法,（欠損）,1321,5771,262,328,0.28656575851090144,2.2694125343693608e-42
発生場所1,学校内・校舎内（園内・園舎内）,484,2649,1099,3450,0.5735678579414829,6.3675650272550445e-21
発生場所1,学校内・校舎外（園内・園舎外）,602,2331,981,3768,0.9919644415057259,0.9075635160306132
発生場所1,学校外（園外）,497,1119,1086,4980,2.036694167543041,6.71680156032693e-28
発生場所2,その他,59,320,1524,5779,0.699149032152231,0.013165948436275315
発生場所2,プール,16,92,1567,6007,0.6666851641186426,0.15068894179276765
発生場所2,ベランダ,0,17,1583,6082,0.0,0.03271321508921682
