項目数,項目集合,事例数,支持度,支持度（％）
2,場合別1=各教科等 | 発生場所2=体育館・屋内運動場,536,0.06977349648529028,6.9773
2,場合別2=体育（保健体育） | 発生場所1=学校内・校舎内（園内・園舎内）,535,0.06964332205154908,6.9643
2,場合別1=休憩時間 | 場合別2=昼食時休憩時間中,528,0.06873210101536058,6.8732
2,和暦=平成 | 場合別2=休憩時間中,523,0.06808122884665452,6.8081
2,場合別2=体育（保健体育） | 発生場所1=学校内・校舎外（園内・園舎外）,523,0.06808122884665452,6.8081
2,場合別2=体育（保健体育） | 発生場所2=体育館・屋内運動場,520,0.06769070554543087,6.7691
2,和暦=令和 | 被災学年=1,520,0.06769070554543087,6.7691
2,性別=男 | 発生場所2=教室（保育室）,516,0.06717000781046602,6.717
2,場合別1=課外指導 | 被災学年=3,516,0.06717000781046602,6.717
2,和暦=令和 | 被災学年=2,515,0.06703983337672481,6.704
2,発生場所1=学校外（園外） | 被災学年=1,514,0.0669096589429836,6.691
2,場合別1=休憩時間 | 性別=女,513,0.06677948450924238,6.6779
2,場合別1=各教科等 | 発生場所2=運動場・校庭（園庭）,510,0.06638896120801875,6.6389
2,和暦=平成 | 給付年度=18,506,0.0658682634730539,6.5868
2,場合別2=体育的部活動 | 被災学年=3,498,0.06482686800312419,6.4827
2,場合別1=各教科等 | 被災学校種=高,498,0.06482686800312419,6.4827
2,和暦=平成 | 給付年度=19,497,0.06469669356938297,6.4697
2,発生場所1=学校外（園外） | 発生場所2=学校外運動場・競技場,493,0.06417599583441812,6.4176
2,場合別2=体育的部活動 | 性別=女,491,0.06391564696693569,6.3916
2,発生場所1=学校内・校舎内（園内・園舎内） | 発生場所2=廊下,488,0.06352512366571206,6.3525
2,和暦=平成 | 発生場所2=道路,484,0.0630044259307472,6.3004
2,場合別1=各教科等 | 性別=女,481,0.06261390262952356,6.2614
2,場合別1=休憩時間 | 被災学校種=中,478,0.062223379328299924,6.2223
2,場合別1=課外指導 | 発生場所2=学校外運動場・競技場,477,0.06209320489455871,6.2093
2,場合別2=体育的部活動 | 発生場所2=学校外運動場・競技場,476,0.0619630304608175,6.1963
2,競技種目=野球（含軟式） | 被災学年=2,473,0.06157250715959386,6.1573
2,性別=男 | 競技種目=サッカー・フットサル,470,0.06118198385837022,6.1182
2,性別=女 | 被災学年=3,468,0.06092163499088779,6.0922
2,和暦=平成 | 場合別1=通学中,467,0.06079146055714658,6.0791
2,場合別2=体育（保健体育） | 発生場所2=運動場・校庭（園庭）,467,0.06079146055714658,6.0791
2,和暦=平成 | 給付年度=22,467,0.06079146055714658,6.0791
2,和暦=平成 | 給付年度=20,465,0.06053111168966415,6.0531
2,和暦=平成 | 給付年度=21,463,0.060270762822181724,6.0271
2,和暦=令和 | 被災学校種=中,459,0.05975006508721687,5.975
2,和暦=令和 | 性別=女,457,0.059489716219734444,5.949
2,場合別2=休憩時間中 | 発生場所1=学校内・校舎内（園内・園舎内）,455,0.05922936735225202,5.9229
2,性別=男 | 発生場所2=学校外運動場・競技場,448,0.058318146316063524,5.8318
2,発生場所2=体育館・屋内運動場 | 被災学校種=中,447,0.05818797188232231,5.8188
2,場合別1=各教科等 | 被災学年=3,445,0.057927623014839884,5.7928
2,場合別1=各教科等 | 被災学校種=中,444,0.05779744858109867,5.7797
2,場合別2=休憩時間中 | 性別=男,443,0.05766727414735746,5.7667
2,和暦=平成 | 給付年度=17,439,0.057146576412392604,5.7147
2,競技種目=野球（含軟式） | 被災学年=1,439,0.057146576412392604,5.7147
2,性別=女 | 発生場所1=学校外（園外）,435,0.05662587867742775,5.6626
2,発生場所2=体育館・屋内運動場 | 被災学年=2,435,0.05662587867742775,5.6626
2,場合別1=各教科等 | 被災学校種=小,433,0.056365529809945324,5.6366
2,和暦=平成 | 給付年度=27,431,0.0561051809424629,5.6105
2,性別=女 | 発生場所2=体育館・屋内運動場,430,0.055975006508721684,5.5975
2,発生場所1=学校外（園外） | 被災学校種=中,430,0.055975006508721684,5.5975
2,場合別2=体育（保健体育） | 被災学校種=高,426,0.05545430877375684,5.5454
2,和暦=平成 | 場合別2=昼食時休憩時間中,425,0.055324134340015624,5.5324
2,場合別1=休憩時間 | 被災学年=2,424,0.05519395990627441,5.5194
2,場合別2=休憩時間中 | 被災学校種=小,412,0.05363186670137985,5.3632
2,和暦=平成 | 給付年度=24,411,0.05350169226763864,5.3502
2,和暦=平成 | 給付年度=26,409,0.05324134340015621,5.3241
2,和暦=平成 | 給付年度=30,403,0.05246029679770893,5.246
2,場合別1=各教科等 | 被災学年=2,400,0.05206977349648529,5.207
2,和暦=平成 | 給付年度=29,398,0.05180942462900286,5.1809
2,和暦=平成 | 発生場所2=廊下,397,0.05167925019526165,5.1679
2,性別=男 | 発生場所2=道路,397,0.05167925019526165,5.1679
2,場合別1=休憩時間 | 被災学年=1,393,0.0511585524602968,5.1159
2,和暦=令和 | 給付年度=2,393,0.0511585524602968,5.1159
2,和暦=平成 | 競技種目=サッカー・フットサル,391,0.05089820359281437,5.0898
2,和暦=平成 | 給付年度=28,388,0.05050768029159073,5.0508
2,被災学年=6 | 被災学校種=小,385,0.05011715699036709,5.0117
2,場合別2=昼食時休憩時間中 | 性別=男,383,0.04985680812288466,4.9857
2,和暦=令和 | 被災学校種=小,383,0.04985680812288466,4.9857
2,場合別1=休憩時間 | 発生場所2=教室（保育室）,381,0.04959645925540224,4.9596
2,和暦=平成 | 給付年度=23,381,0.04959645925540224,4.9596
2,和暦=平成 | 給付年度=25,380,0.04946628482166102,4.9466
2,和暦=平成 | 発生場所2=学校外運動場・競技場,375,0.048815412652954956,4.8815
2,発生場所1=学校外（園外） | 被災学年=3,372,0.04842488935173132,4.8425
2,場合別1=通学中 | 性別=男,371,0.04829471491799011,4.8295
2,発生場所2=体育館・屋内運動場 | 被災学年=1,368,0.04790419161676647,4.7904
2,和暦=平成 | 被災学年=5,366,0.04764384274928404,4.7644
2,場合別1=休憩時間 | 被災学年=3,364,0.04738349388180162,4.7383
2,和暦=令和 | 給付年度=1,363,0.0472533194480604,4.7253
2,場合別2=体育（保健体育） | 被災学校種=中,362,0.04712314501431919,4.7123
2,場合別1=通学中 | 通学方法=自転車,356,0.04634209841187191,4.6342
2,場合別1=課外指導 | 競技種目=サッカー・フットサル,356,0.04634209841187191,4.6342
2,場合別2=体育的部活動 | 競技種目=サッカー・フットサル,356,0.04634209841187191,4.6342
