前件,後件,項目数,共起事例数,支持度,信頼度,lift
場合別1=通学中,被災学校種=小 | 通学方法=徒歩,3,147,0.019135641759958345,0.24915254237288137,13.020338983050848
場合別1=通学中,場合別2=下校（降園）中 | 被災学校種=高,3,137,0.01783389742254621,0.23220338983050848,13.020338983050848
場合別1=通学中,性別=女 | 通学方法=自転車,3,129,0.016792501952616504,0.21864406779661016,13.020338983050848
通学方法=自転車,場合別1=通学中,2,356,0.04634209841187191,1.0,13.020338983050847
場合別1=通学中,発生場所1=学校外（園外） | 通学方法=自転車,3,355,0.046211923978130696,0.6016949152542372,13.020338983050847
発生場所1=学校外（園外） | 通学方法=自転車,場合別1=通学中,3,355,0.046211923978130696,1.0,13.020338983050847
発生場所2=道路 | 通学方法=自転車,場合別1=通学中,3,352,0.045821400676907056,1.0,13.020338983050847
場合別2=下校（降園）中,場合別1=通学中,2,319,0.041525644363447016,1.0,13.020338983050847
場合別2=下校（降園）中 | 発生場所1=学校外（園外）,場合別1=通学中,3,318,0.0413954699297058,1.0,13.020338983050847
場合別1=通学中,場合別2=下校（降園）中 | 発生場所2=道路,3,291,0.03788076021869305,0.49322033898305084,13.020338983050847
場合別2=下校（降園）中 | 発生場所2=道路,場合別1=通学中,3,291,0.03788076021869305,1.0,13.020338983050847
和暦=平成 | 通学方法=自転車,場合別1=通学中,3,272,0.035407445977609996,1.0,13.020338983050847
被災学校種=高 | 通学方法=自転車,場合別1=通学中,3,260,0.033845352772715435,1.0,13.020338983050847
場合別1=通学中,和暦=平成 | 場合別2=下校（降園）中,3,256,0.03332465503775059,0.43389830508474575,13.020338983050847
和暦=平成 | 場合別2=下校（降園）中,場合別1=通学中,3,256,0.03332465503775059,1.0,13.020338983050847
場合別1=通学中,場合別2=登校（登園）中,2,249,0.032413434001562096,0.42203389830508475,13.020338983050847
場合別2=登校（登園）中,場合別1=通学中,2,249,0.032413434001562096,1.0,13.020338983050847
場合別1=通学中,場合別2=登校（登園）中 | 発生場所1=学校外（園外）,3,249,0.032413434001562096,0.42203389830508475,13.020338983050847
場合別2=登校（登園）中 | 発生場所1=学校外（園外）,場合別1=通学中,3,249,0.032413434001562096,1.0,13.020338983050847
場合別1=通学中,場合別2=登校（登園）中 | 発生場所2=道路,3,233,0.030330643061702682,0.3949152542372881,13.020338983050847
場合別2=登校（登園）中 | 発生場所2=道路,場合別1=通学中,3,233,0.030330643061702682,1.0,13.020338983050847
場合別1=通学中,性別=男 | 通学方法=自転車,3,227,0.029549596459255402,0.3847457627118644,13.020338983050847
性別=男 | 通学方法=自転車,場合別1=通学中,3,227,0.029549596459255402,1.0,13.020338983050847
場合別2=下校（降園）中 | 性別=男,場合別1=通学中,3,205,0.026685758916948712,1.0,13.020338983050847
場合別1=通学中,通学方法=徒歩,2,202,0.026295235615725072,0.3423728813559322,13.020338983050847
通学方法=徒歩,場合別1=通学中,2,202,0.026295235615725072,1.0,13.020338983050847
場合別1=通学中,発生場所1=学校外（園外） | 通学方法=徒歩,3,202,0.026295235615725072,0.3423728813559322,13.020338983050847
発生場所1=学校外（園外） | 通学方法=徒歩,場合別1=通学中,3,202,0.026295235615725072,1.0,13.020338983050847
和暦=平成 | 場合別2=登校（登園）中,場合別1=通学中,3,193,0.02512366571205415,1.0,13.020338983050847
場合別2=登校（登園）中 | 通学方法=自転車,場合別1=通学中,3,180,0.02343139807341838,1.0,13.020338983050847
和暦=平成 | 通学方法=徒歩,場合別1=通学中,3,170,0.022129653736006248,1.0,13.020338983050847
発生場所2=道路 | 通学方法=徒歩,場合別1=通学中,3,170,0.022129653736006248,1.0,13.020338983050847
被災学年=1 | 通学方法=自転車,場合別1=通学中,3,162,0.02108825826607654,1.0,13.020338983050847
場合別1=通学中,場合別2=下校（降園）中 | 通学方法=自転車,3,157,0.020437386097370478,0.26610169491525426,13.020338983050847
場合別2=下校（降園）中 | 通学方法=自転車,場合別1=通学中,3,157,0.020437386097370478,1.0,13.020338983050847
場合別2=登校（登園）中 | 性別=男,場合別1=通学中,3,149,0.01939599062744077,1.0,13.020338983050847
