列名,値,件数,割合（％）,列内順位
競技種目,器械体操・新体操（その他）,7,0.0911,40
競技種目,縄跳び,7,0.0911,41
競技種目,ポートボール,4,0.0521,42
競技種目,スケート,3,0.0391,43
競技種目,運動なし,3,0.0391,44
競技種目,武道等（その他）,3,0.0391,45
競技種目,登山,2,0.026,46
競技種目,ヨット,2,0.026,47
競技種目,準備運動等,1,0.013,48
競技種目,自転車競技部,1,0.013,49
通学方法,（欠損）,7092,92.3197,1
通学方法,自転車,356,4.6342,2
通学方法,徒歩,202,2.6295,3
通学方法,原動機付自転車,18,0.2343,4
通学方法,鉄道,8,0.1041,5
通学方法,バス,4,0.0521,6
通学方法,自動車,1,0.013,7
通学方法,その他,1,0.013,8
発生場所1,学校内・校舎内（園内・園舎内）,3133,40.7837,1
発生場所1,学校内・校舎外（園内・園舎外）,2933,38.1802,2
発生場所1,学校外（園外）,1616,21.0362,3
発生場所2,運動場・校庭（園庭）,2726,35.4856,1
発生場所2,体育館・屋内運動場,1252,16.2978,2
発生場所2,教室（保育室）,782,10.1796,3
発生場所2,道路,616,8.0187,4
発生場所2,学校外運動場・競技場,493,6.4176,5
発生場所2,廊下,488,6.3525,6
発生場所2,その他,379,4.9336,7
発生場所2,学校外体育館,173,2.252,8
発生場所2,実習実験室,160,2.0828,9
発生場所2,階段,119,1.5491,10
発生場所2,プール,108,1.4059,11
発生場所2,昇降口・玄関,102,1.3278,12
発生場所2,山林野（含スキー場）,66,0.8592,13
発生場所2,公園・遊園地,53,0.6899,14
発生場所2,便所,51,0.6639,15
発生場所2,遊戯室,30,0.3905,16
発生場所2,講堂,18,0.2343,17
発生場所2,海・湖・沼・池,17,0.2213,18
発生場所2,ベランダ,17,0.2213,19
発生場所2,河川,14,0.1822,20
発生場所2,農場,7,0.0911,21
発生場所2,屋上,3,0.0391,22
発生場所2,手足洗場,3,0.0391,23
発生場所2,水飲み場,2,0.026,24
発生場所2,排水溝,2,0.026,25
発生場所2,公園,1,0.013,26
遊具等,（欠損）,7407,96.4202,1
遊具等,鉄棒,72,0.9373,2
遊具等,ぶらんこ,41,0.5337,3
