単語,歯牙出現事例数,歯牙事例出現率（％）,非歯牙出現事例数,非歯牙事例出現率（％）,出現率差（pt）,オッズ比,OR_95%CI下限,OR_95%CI上限,p値,p値下限丸め,0.5補正,BH補正p値,BH有意（5%）
挟む,2,0.1263,146,2.3938,-2.2675,0.05157997799208062,0.012764175187707788,0.20843447308884022,1.5463791096209163e-12,False,False,6.25535291440203e-11,True
下校,108,6.8225,173,2.8365,3.986,2.508114039384736,1.959111076164273,3.2109644578576932,3.0216188275752184e-12,False,False,1.2028920665966108e-10,True
小指,0,0.0,115,1.8856,-1.8856,0.016360547146780174,0.0010166051761043807,0.263295435862048,3.1937114716745754e-12,False,True,1.2515356829624741e-10,True
前方,87,5.4959,124,2.0331,3.4628,2.802230679661894,2.1180777439525538,3.7073694789808718,4.839398883893454e-12,False,False,1.867263446277659e-10,True
道路,75,4.7378,97,1.5904,3.1474,3.0774016243266153,2.2647632628228402,4.181629450136885,5.441663310340109e-12,False,False,2.0678320579292416e-10,True
児,3,0.1895,148,2.4266,-2.2371,0.0763470749230243,0.024310942767759296,0.23976346392588402,8.091391998030701e-12,False,False,3.0288374822479105e-10,True
脱落,16,1.0107,0,0.0,1.0107,128.41052631578947,7.69939655803943,2141.6305998007815,9.950950887922641e-12,False,True,3.670144827486762e-10,True
瞳,0,0.0,111,1.82,-1.82,0.016958800182940385,0.0010535530232786273,0.27298189772157144,1.401801286156505e-11,False,True,5.095242935768862e-10,True
抜け落ちる,17,1.0739,1,0.0164,1.0575,66.19795657726692,8.80273115183768,497.81929942173554,2.95484718798316e-11,False,False,1.0586795353516808e-09,True
疼痛,0,0.0,106,1.738,-1.738,0.017769812221397008,0.001103615397429125,0.28611980869357995,3.1896843872604326e-11,False,True,1.1267223159505865e-09,True
眼球,0,0.0,107,1.7544,-1.7544,0.017601574375279958,0.0010932327656705384,0.28339382994845186,3.4983874078083205e-11,False,True,1.2186049470532316e-09,True
受診,18,1.1371,261,4.2794,-3.1423,0.25726561639308143,0.15905031554396218,0.416129934428317,4.0766766686139816e-11,False,False,1.400589737655324e-09,True
室,24,1.5161,299,4.9024,-3.3863,0.29862209074078444,0.1962925377038834,0.4542972143593266,5.285908281484922e-11,False,False,1.7914943202654303e-09,True
AED,0,0.0,100,1.6396,-1.6396,0.01884954765170045,0.0011702203031018227,0.3036226988473384,1.270971099385348e-10,False,True,4.1942046279716485e-09,True
耳,0,0.0,100,1.6396,-1.6396,0.01884954765170045,0.0011702203031018227,0.3036226988473384,1.270971099385348e-10,False,True,4.1942046279716485e-09,True
大腿,1,0.0632,115,1.8856,-1.8224,0.0328917715604903,0.004590273126093489,0.23568720349941205,1.310523821544121e-10,False,False,4.268563304457994e-09,True
痛み,6,0.379,164,2.689,-2.3099,0.13768810801614675,0.060851016100498055,0.3115480447813085,1.3843401994000436e-10,False,False,4.451186179609371e-09,True
ドア,3,0.1895,135,2.2135,-2.024,0.08388185654008438,0.026681093704634867,0.26371354692214216,1.6946523703596325e-10,False,False,5.3799849934961495e-09,True
登校,90,5.6854,144,2.361,3.3244,2.4928834561286,1.9041439816760033,3.2636544219569883,2.0028490750637673e-10,False,False,6.278931850324911e-09,True
心肺,0,0.0,96,1.574,-1.574,0.01964396439316723,0.0012191919334400198,0.31650909630875323,3.1940059440778306e-10,False,True,9.824636381518999e-09,True
散る,1,0.0632,111,1.82,-1.7568,0.03409983940957392,0.004757413652716232,0.24441831899457256,3.2122016877374717e-10,False,False,9.824636381518999e-09,True
切断,0,0.0,97,1.5904,-1.5904,0.019439249309789252,0.0012065749968892402,0.3131876714687388,3.4409230158788083e-10,False,True,1.0397391474486808e-08,True
治療,33,2.0846,339,5.5583,-3.4736,0.36174707393662575,0.2519318216027359,0.5194299976446066,6.344488569700425e-10,False,False,1.8942830158105554e-08,True
麻痺,0,0.0,92,1.5084,-1.5084,0.02050708744740952,0.0012723672444396679,0.3305182818981647,8.025945795235691e-10,False,True,2.3681261240530724e-08,True
低下,0,0.0,93,1.5248,-1.5248,0.020284383236889785,0.0012586500362165875,0.3269027858910038,8.585646127716025e-10,False,True,2.5038140102688127e-08,True
視野,0,0.0,91,1.492,-1.492,0.020734659509525313,0.001286382012997954,0.3342133989995645,1.3561988336600381e-09,False,True,3.909593879102731e-08,True
醜状,0,0.0,88,1.4429,-1.4429,0.02144823292463416,0.0013303117574683771,0.3458036757224527,2.016617809511137e-09,False,True,5.747360757106741e-08,True
額,19,1.2003,243,3.9843,-2.784,0.2927599381137318,0.18293460571245634,0.468519234130451,2.1238015522031357e-09,False,False,5.98482504823086e-08,True
挫創,1,0.0632,101,1.656,-1.5928,0.03753864640572781,0.005232624905062023,0.2693007810689917,3.004929592651345e-09,False,False,8.373737131521747e-08,True
口腔,18,1.1371,5,0.082,1.0551,14.01814696485623,5.196410216047392,37.81619159346902,4.779078772224021e-09,False,False,1.3171351165645984e-07,True
上唇,17,1.0739,4,0.0656,1.0083,16.54134738186462,5.558006637029368,49.229191520678235,5.169067482066976e-09,False,False,1.3646338152656814e-07,True
細,0,0.0,84,1.3773,-1.3773,0.02247848093224693,0.0013936971934894208,0.36254798200196325,5.066691970955524e-09,False,True,1.3646338152656814e-07,True
視,0,0.0,84,1.3773,-1.3773,0.02247848093224693,0.0013936971934894208,0.36254798200196325,5.066691970955524e-09,False,True,1.3646338152656814e-07,True
左足,3,0.1895,118,1.9347,-1.7452,0.0962400772366445,0.030557324705988598,0.3031074400534843,5.165156482316948e-09,False,False,1.3646338152656814e-07,True
動,0,0.0,85,1.3937,-1.3937,0.022211881667119068,0.0013772993255705271,0.35821384504761106,5.34565792595326e-09,False,True,1.3965531331552892e-07,True
除,0,0.0,81,1.3281,-1.3281,0.02331753260715856,0.0014452846944947566,0.3761939284052074,1.3340144805699417e-08,False,True,3.449183832236509e-07,True
野球,205,12.9501,497,8.1489,4.8012,1.6768389728793662,1.4103966850990404,1.9936156761242527,1.54030969178769e-08,False,False,3.902117885862148e-07,True
下り坂,36,2.2742,35,0.5739,1.7003,4.031840428479084,2.523434592026368,6.441909487998549,1.5260095451285995e-08,False,False,3.902117885862148e-07,True
調節,0,0.0,78,1.2789,-1.2789,0.024220715620279998,0.001500780412634788,0.3908920053990827,2.0176311461569238e-08,False,True,5.060218914561565e-07,True
ソフトボール,68,4.2956,107,1.7544,2.5413,2.5135313531353134,1.8451095077512425,3.424100215544502,2.2193403817637342e-08,False,False,5.510995720260837e-07,True
入院,1,0.0632,90,1.4757,-1.4125,0.0422039612305099,0.005876005435329155,0.3031267351859771,2.6225387625885555e-08,False,False,6.448360016247154e-07,True
路面,22,1.3898,12,0.1968,1.193,7.1489429852658555,3.530304651784463,14.476763579241988,2.9456634484049405e-08,False,False,7.172547503494749e-07,True
素振り,27,1.7056,20,0.3279,1.3777,5.2741966580976865,2.9503131061126244,9.428541781092886,3.164016452348541e-08,False,False,7.630147367778981e-07,True
複,0,0.0,76,1.2461,-1.2461,0.02486219200868433,0.001540173786199152,0.4013369121169812,3.197979154951683e-08,False,True,7.638601638684591e-07,True
ブレーキ,29,1.832,24,0.3935,1.4385,4.723696911196911,2.742483242233245,8.136170958215656,4.329855229014011e-08,False,False,1.0244600862610508e-06,True
ほお,4,0.2527,118,1.9347,-1.6821,0.1284013696718584,0.0473301469528552,0.3483384860400196,4.6364059121647675e-08,False,False,1.0867388810943212e-06,True
窓,9,0.5685,157,2.5742,-2.0057,0.2164067368625515,0.11028494119700419,0.42464433721591144,5.0835355546858614e-08,False,False,1.180509923254828e-06,True
植込み,0,0.0,75,1.2297,-1.2297,0.02519567476689453,0.0015606459446343601,0.4067687672157161,5.260187396489553e-08,False,True,1.2103256871922752e-06,True
右腕,1,0.0632,86,1.4101,-1.3469,0.04419633669479317,0.006150305192862234,0.31759662585629933,6.386737842722887e-08,False,False,1.456176228140818e-06,True
中指,0,0.0,72,1.1805,-1.1805,0.02625132018771164,0.0016254185558954488,0.42397191117220345,8.034186451787609e-08,False,True,1.7990838947395825e-06,True
感覚,0,0.0,72,1.1805,-1.1805,0.02625132018771164,0.0016254185558954488,0.42397191117220345,8.034186451787609e-08,False,True,1.7990838947395825e-06,True
股間,2,0.1263,95,1.5576,-1.4313,0.07994939911448451,0.019684988556261565,0.32470968426008795,8.756413376738385e-08,False,False,1.943458827332732e-06,True
園,3,0.1895,104,1.7052,-1.5157,0.10945107108081792,0.03468573005149442,0.3453736433672708,9.982994611571659e-08,False,False,2.196258814545765e-06,True
振る,63,3.9798,100,1.6396,2.3402,2.4864276315789473,1.8050616012008165,3.424992456194573,1.1728566824660826e-07,False,False,2.5578474431521175e-06,True
スティック,20,1.2634,11,0.1804,1.0831,7.0819519571918805,3.3862102220748453,14.811261036605938,1.3707558396477391e-07,False,False,2.963668660203905e-06,True
捕る,65,4.1061,108,1.7708,2.3353,2.3752927829014787,1.7372800732305482,3.2476144125755595,1.9010108621857543e-07,False,False,4.074987386634078e-06,True
一部,0,0.0,69,1.1313,-1.1313,0.02739810046500217,0.0016957273478316812,0.4426748852344763,2.0750021097439763e-07,False,True,4.373197723729322e-06,True
器,0,0.0,69,1.1313,-1.1313,0.02739810046500217,0.0016957273478316812,0.4426748852344763,2.0750021097439763e-07,False,True,4.373197723729322e-06,True
脳,2,0.1263,90,1.4757,-1.3493,0.08446131140628295,0.020779251312585567,0.3433094396499433,3.308891164617963e-07,False,False,6.915582534051543e-06,True
左目,0,0.0,65,1.0657,-1.0657,0.029090549729196846,0.0017993850893031722,0.470305155120851,5.181990244550578e-07,False,True,1.065281273224004e-05,True
蘇生,0,0.0,65,1.0657,-1.0657,0.029090549729196846,0.0017993850893031722,0.470305155120851,5.181990244550578e-07,False,True,1.065281273224004e-05,True
訴える,3,0.1895,96,1.574,-1.3845,0.11873022151898734,0.03757603341453135,0.37515576342063517,5.325097274712211e-07,False,False,1.0806115394252015e-05,True
首,7,0.4422,130,2.1315,-1.6893,0.2039388910581804,0.09513563019915687,0.4371765993347986,5.342736478816785e-07,False,False,1.0806115394252015e-05,True
ホッケー,16,1.0107,7,0.1148,0.896,8.886133649375513,3.6493834991649754,21.637454998257,5.487137526663144e-07,False,False,1.1009392733496932e-05,True
腰,6,0.379,121,1.9839,-1.6049,0.18797067347248936,0.08265248385022571,0.4274883517079532,6.276460795844462e-07,False,False,1.2493145774585644e-05,True
切る,30,1.8951,273,4.4761,-2.581,0.4122471218414554,0.28160220852062134,0.6035026868552372,6.558877476316599e-07,False,False,1.2952491898111833e-05,True
歩道,24,1.5161,20,0.3279,1.1882,4.679153303399615,2.5782083746334465,8.492128042144131,6.900934401104412e-07,False,False,1.3521518342163958e-05,True
変形,0,0.0,62,1.0166,-1.0166,0.030502052415535205,0.001885739217592919,0.49337426558251735,8.038218145583341e-07,False,True,1.5627791557459706e-05,True
高次,0,0.0,63,1.033,-1.033,0.030016732594248263,0.0018560577899118635,0.4854397532942071,8.190015467715551e-07,False,True,1.5800429840792772e-05,True
前腕,1,0.0632,75,1.2297,-1.1665,0.050771175726927936,0.0070535324747888406,0.365449835796179,9.646765899722413e-07,False,False,1.8468770134735735e-05,True
バッター,52,3.2849,82,1.3445,1.9404,2.4922655366331585,1.7528370746794246,3.5436194240844445,1.2806413902993722e-06,False,False,2.4149237645645304e-05,True
眼窩,0,0.0,60,0.9838,-0.9838,0.03152082294947639,0.0019480120016873933,0.5100390955248741,1.2741626307419155e-06,False,True,2.4149237645645304e-05,True
様子,1,0.0632,72,1.1805,-1.1174,0.052912979351032445,0.007347116671561526,0.38107240009402643,1.4185139642664932e-06,False,False,2.635283720281752e-05,True
右足,9,0.5685,137,2.2463,-1.6777,0.24883369350485535,0.12647564060176703,0.48956626531926195,1.409772952459729e-06,False,False,2.635283720281752e-05,True
意識,20,1.2634,207,3.394,-2.1306,0.36421968158595047,0.22939100681915944,0.5782963259721451,1.6146492494872256e-06,False,False,2.977603174789678e-05,True
力,4,0.2527,98,1.6068,-1.3541,0.15512272039911595,0.0569902895213286,0.4222308499593902,1.7686484293095237e-06,False,False,3.2377885114659014e-05,True
後日,2,0.1263,82,1.3445,-1.2181,0.09282485614229956,0.022803000657076324,0.37786491556165924,1.8389503211554102e-06,False,False,3.342092322795485e-05,True
上下,17,1.0739,10,0.164,0.9099,6.610025542784164,3.02074516931128,14.464125646924664,2.025833867464684e-06,False,False,3.6291366711438764e-05,True
薬指,0,0.0,58,0.951,-0.951,0.03260925300710586,0.0020144923685474474,0.5278567436064215,2.019768676573881e-06,False,True,3.6291366711438764e-05,True
創,0,0.0,59,0.9674,-0.9674,0.03205589150721861,0.001980700028648389,0.5187964686524399,2.0463365317513642e-06,False,True,3.639866682008809e-05,True
顎,76,4.801,148,2.4266,2.3744,2.0278161373051886,1.5290545448781752,2.6892685421127047,2.2029675995364334e-06,False,False,3.890875168758715e-05,True
圧迫,1,0.0632,71,1.1641,-1.101,0.05366713555670305,0.007450415610911955,0.3865772849830319,2.3294492220748245e-06,False,False,4.085495558715846e-05,True
ハンドル,31,1.9583,37,0.6067,1.3517,3.2725341320702146,2.0240231616751023,5.291184334422972,3.083185344757097e-06,False,False,5.36988114211861e-05,True
ICD,0,0.0,57,0.9346,-0.9346,0.033181861863510936,0.00204944594136365,0.5372359106952193,3.235112763644713e-06,False,True,5.595629524979959e-05,True
落下,29,1.832,252,4.1318,-2.2999,0.43299166513452225,0.2936339726582139,0.6384880481598517,3.936708754095546e-06,False,False,6.762510654295637e-05,True
ボール,402,25.3948,1221,20.0197,5.3751,1.359885326015724,1.1948326744985538,1.5477381388896143,4.248905507107142e-06,False,False,7.249153069268512e-05,True
庭,2,0.1263,78,1.2789,-1.1526,0.09764997810538607,0.023967813581182985,0.3978468120041064,4.314373703072996e-06,False,False,7.311114356288564e-05,True
外,23,1.4529,218,3.5744,-2.1214,0.3977387673488591,0.257875810854794,0.6134585734420347,4.7436719534218845e-06,False,False,7.959368297507848e-05,True
入る,33,2.0846,273,4.4761,-2.3915,0.45434952144629565,0.31523666515123017,0.6548524028429384,4.760387737743928e-06,False,False,7.959368297507848e-05,True
破片,0,0.0,54,0.8854,-0.8854,0.03502576744698047,0.0021619051194483167,0.5674644896363523,5.075748561601837e-06,False,True,8.374985126643031e-05,True
角,14,0.8844,164,2.689,-1.8046,0.32291035147445163,0.18657118982854703,0.5588810104345462,5.0552219725548e-06,False,False,8.374985126643031e-05,True
眉,0,0.0,55,0.9018,-0.9018,0.03438898323647297,0.0021230847195881286,0.5570207147776184,5.115075656352056e-06,False,True,8.384712252373175e-05,True
前のめり,41,2.59,61,1.0002,1.5899,2.6318598371287023,1.764624885853091,3.9253023448904147,5.622923922486828e-06,False,False,9.157333245192834e-05,True
打ちつける,58,3.6639,104,1.7052,1.9587,2.192370744010088,1.5823266759988404,3.0376088276191515,7.314079904355499e-06,False,False,0.00011834653161370059,True
ぶつける,125,7.8964,297,4.8697,3.0267,1.6748416954178271,1.3485175093320072,2.0801322083682656,7.430676344185644e-06,False,False,0.00011946241199498459,True
爪,0,0.0,52,0.8526,-0.8526,0.03637211120633918,0.002243924040492163,0.5895611659457708,8.046879865954528e-06,False,True,0.0001285450618077322,True
傷,1,0.0632,65,1.0657,-1.0026,0.05867937372362151,0.008135954937275598,0.4232163190605695,8.707667510105238e-06,False,False,0.00013735113280090525,True
捻る,1,0.0632,65,1.0657,-1.0026,0.05867937372362151,0.008135954937275598,0.4232163190605695,8.707667510105238e-06,False,False,0.00013735113280090525,True
作業,4,0.2527,91,1.492,-1.2394,0.16725010265225593,0.0613533932678595,0.45592583143797893,8.801713685285477e-06,False,False,0.00013796686201684986,True
車,28,1.7688,240,3.9351,-2.1663,0.43958199356913186,0.29602230378095135,0.6527627364632602,1.0085411735303322e-05,False,False,0.00015710691075863809,True
人差し指,0,0.0,50,0.8198,-0.8198,0.03782509605554809,0.002332350472926091,0.6134317754640374,1.2757870352677661e-05,False,True,0.00019546666906068605,True
要請,0,0.0,50,0.8198,-0.8198,0.03782509605554809,0.002332350472926091,0.6134317754640374,1.2757870352677661e-05,False,True,0.00019546666906068605,True
体重,1,0.0632,62,1.0166,-0.9534,0.061549284286937726,0.008527699074643314,0.44423640692231314,1.2781712011942788e-05,False,False,0.00019546666906068605,True
閉める,2,0.1263,72,1.1805,-1.0542,0.10589289479232553,0.025953088170614556,0.4320605352928602,1.5399432102899573e-05,False,False,0.00023407136796407352,True
歯根,7,0.4422,0,0.0,0.4422,58.03520456707897,3.3126584175223637,1016.7317437038371,1.5612217864114945e-05,False,True,0.0002358761590554234,True
使用,5,0.3159,95,1.5576,-1.2418,0.2002534854245881,0.08133420650761386,0.4930454251243202,1.609707877101534e-05,False,False,0.00024174535064494895,True
痛める,11,0.6949,135,2.2135,-1.5186,0.3091320327961549,0.16678311989980313,0.57297533322373,1.8493624323501785e-05,False,False,0.00027608339168656235,True
下腿,1,0.0632,60,0.9838,-0.9206,0.06362199747155499,0.008810271726116104,0.4594362907413923,1.980234406102819e-05,False,False,0.0002938714728109982,True
フライ,26,1.6425,31,0.5083,1.1342,3.2686514595893676,1.9351520612947395,5.521055723717842,1.999795243423449e-05,False,False,0.00029502861591211826,True
症,0,0.0,48,0.787,-0.787,0.0393979147067536,0.002427965740324753,0.6392988407789546,2.0228144278898172e-05,False,True,0.0002966794494238399,True
木,1,0.0632,61,1.0002,-0.937,0.06256865142691344,0.008666706272073173,0.45170979821912494,2.091487517926717e-05,False,False,0.00030496806366047714,True
時間,124,7.8332,698,11.4445,-3.6113,0.6576353470505174,0.5386571850282886,0.8028933089745043,2.1396390323881184e-05,False,False,0.00031018582041788444,True
遊ぶ,75,4.7378,470,7.7062,-2.9683,0.5956529713866471,0.4637791953408411,0.7650245329805921,2.2245512848548918e-05,False,False,0.0003206422196790844,True
走行,25,1.5793,29,0.4755,1.1038,3.3586383958213446,1.9615463393316974,5.750795506431241,2.280814493928584e-05,False,False,0.00032687330004416506,True
歯槽,8,0.5054,1,0.0164,0.489,30.973968253968255,3.8710088513974523,247.83893455874963,2.358889846607938e-05,False,False,0.0003342426969091926,True
歯肉,8,0.5054,1,0.0164,0.489,30.973968253968255,3.8710088513974523,247.83893455874963,2.358889846607938e-05,False,False,0.0003342426969091926,True
