N,N-gram,総出現回数,出現事例数,事例出現率（％）,N別順位
2,視 残る,48,48,0.6248,186
2,柔道 部,47,47,0.6118,187
2,ソフトボール 試合,47,47,0.6118,188
2,口 部,47,46,0.5988,189
2,始業 特定,47,47,0.6118,190
2,額 ぶつける,47,47,0.6118,191
2,眼 強い,47,47,0.6118,192
2,AED 除,47,47,0.6118,193
2,ティー バッティング,46,45,0.5858,194
2,打つ 負傷,46,46,0.5988,195
2,顔 当たる,46,46,0.5988,196
2,転倒 床,46,46,0.5988,197
2,眼 付近,46,46,0.5988,198
2,シャトル 眼,46,46,0.5988,199
2,れる 後日,46,46,0.5988,200
2,休み 時間,45,45,0.5858,201
2,病院 受診,45,44,0.5728,202
2,強い ぶつける,45,45,0.5858,203
2,転倒 地面,45,45,0.5858,204
2,朝 練習,45,45,0.5858,205
2,関節 機能,45,44,0.5728,206
2,指 機能,45,45,0.5858,207
2,せる 転倒,45,45,0.5858,208
2,体育 時間,45,45,0.5858,209
2,切る しまう,45,45,0.5858,210
2,車 要請,45,45,0.5858,211
2,頬 部,44,42,0.5467,212
2,ぶつかる 転倒,44,44,0.5728,213
2,床 強打,44,44,0.5728,214
2,前歯 折れる,44,44,0.5728,215
2,右手 小指,44,41,0.5337,216
2,強い 打ちつける,43,43,0.5598,217
2,競技 部,43,43,0.5598,218
2,地面 強打,43,43,0.5598,219
2,変形 障害,43,43,0.5598,220
2,くる 眼,43,43,0.5598,221
2,テニス 部,42,42,0.5467,222
2,心肺 停止,42,42,0.5467,223
2,段 目,41,26,0.3385,224
2,陸上 競技,41,40,0.5207,225
2,体育 的,41,41,0.5337,226
2,的 部,41,41,0.5337,227
2,プール サイド,41,36,0.4686,228
2,練習 ノック,41,40,0.5207,229
2,部 挫創,41,40,0.5207,230
2,底 骨折,41,41,0.5337,231
2,眼窩 底,41,41,0.5337,232
2,麻痺 残る,41,41,0.5337,233
2,体育 サッカー,40,40,0.5207,234
2,準備 運動,40,39,0.5077,235
2,巻き込む れる,40,39,0.5077,236
2,顔面 床,40,40,0.5207,237
2,後日 除,40,40,0.5207,238
2,器 植え込む,40,40,0.5207,239
2,体育 ソフトボール,39,39,0.5077,240
2,持つ 手,39,34,0.4426,241
2,前方 転倒,39,39,0.5077,242
2,割れる ガラス,39,39,0.5077,243
2,膝 眼,39,39,0.5077,244
2,視力 障害,39,39,0.5077,245
2,胸骨 圧迫,39,38,0.4947,246
2,動 救急,39,39,0.5077,247
2,遊ぶ 友人,38,38,0.4947,248
2,痛み 訴える,38,37,0.4816,249
2,痛み 感じる,38,38,0.4947,250
2,バント 練習,38,38,0.4947,251
2,負傷 歯,38,38,0.4947,252
2,ソフトボール 部,38,37,0.4816,253
2,停止 状態,38,38,0.4947,254
2,れる 入院,37,37,0.4816,255
2,下腿 部,37,35,0.4556,256
2,勢い つく,37,37,0.4816,257
2,顔面 地面,37,37,0.4816,258
2,歯 折れる,37,37,0.4816,259
2,前歯 脱臼,37,37,0.4816,260
2,手 離れる,37,37,0.4816,261
2,強い 打ち付ける,37,37,0.4816,262
2,打つ シャトル,37,37,0.4816,263
2,角 額,37,37,0.4816,264
2,鬼ごっこ 遊ぶ,36,36,0.4686,265
2,教室 内,36,35,0.4556,266
2,打者 打つ,36,36,0.4686,267
2,入院 治療,36,36,0.4686,268
2,通学 路,36,35,0.4556,269
2,頭部 顔面,36,36,0.4686,270
2,ノック ボール,36,36,0.4686,271
2,顔面 ぶつける,36,36,0.4686,272
2,転倒 顔,36,36,0.4686,273
2,折 歯科,36,36,0.4686,274
2,視野 中心,36,36,0.4686,275
2,倒れる 意識,36,36,0.4686,276
2,思う れる,35,35,0.4556,277
2,指 挟む,35,35,0.4556,278
2,他校 練習,35,35,0.4556,279
2,球技 大会,35,35,0.4556,280
2,見る られる,35,33,0.4296,281
2,相手 打つ,35,34,0.4426,282
2,バッティング ピッチャー,35,35,0.4556,283
2,可動 域,35,35,0.4556,284
2,域 制限,35,35,0.4556,285
2,跳ね返る 眼,35,35,0.4556,286
2,右側 頭部,34,33,0.4296,287
2,左側 頭部,34,34,0.4426,288
2,相手 頭,34,34,0.4426,289
2,組 体操,34,34,0.4426,290
2,反対 側,34,32,0.4166,291
2,清掃 時間,34,34,0.4426,292
2,前歯 強打,34,34,0.4426,293
2,歯 当たる,34,34,0.4426,294
2,部 終了,34,34,0.4426,295
2,ぶつかる 負傷,34,34,0.4426,296
2,顔面 強い,34,34,0.4426,297
2,ガラス 戸,34,29,0.3775,298
2,プール 底,34,33,0.4296,299
2,ドア ガラス,34,34,0.4426,300
2,力 減じる,34,34,0.4426,301
2,中心 暗い,34,34,0.4426,302
2,教室 廊下,33,33,0.4296,303
2,部 バッティング,33,33,0.4296,304
2,頭部 強打,33,33,0.4296,305
2,サッカー ゴール,33,27,0.3515,306
2,転倒 膝,33,33,0.4296,307
2,着地 失敗,33,33,0.4296,308
2,前のめり 転倒,33,33,0.4296,309
2,トス バッティング,33,32,0.4166,310
2,ボール 投げる,33,32,0.4166,311
2,振る バット,33,33,0.4296,312
2,歯 本,33,32,0.4166,313
2,本 抜ける,33,33,0.4296,314
2,前方 倒れる,33,33,0.4296,315
2,教室 友人,33,33,0.4296,316
2,切 創,33,30,0.3905,317
2,転倒 肘,33,33,0.4296,318
2,右手 中指,33,32,0.4166,319
2,等 管理,33,33,0.4296,320
2,管理 出来事,33,33,0.4296,321
2,出来事 関わる,33,33,0.4296,322
2,関わる 障害,33,33,0.4296,323
2,指 指,33,31,0.4035,324
2,体育 大会,32,32,0.4166,325
2,サッカー ボール,32,30,0.3905,326
2,ボール 飛ぶ,32,32,0.4166,327
2,ｍ 走る,32,32,0.4166,328
2,地面 落ちる,32,32,0.4166,329
2,気分 悪い,32,32,0.4166,330
2,自転車 ごと,32,32,0.4166,331
2,友人 足,32,32,0.4166,332
2,保育 保育,32,32,0.4166,333
2,ぶつける 前歯,32,32,0.4166,334
2,相手 蹴る,32,32,0.4166,335
2,硬式 野球,32,32,0.4166,336
2,かける られる,32,32,0.4166,337
2,打つ 前歯,32,32,0.4166,338
2,れる バランス,32,32,0.4166,339
2,打ち付ける 負傷,32,32,0.4166,340
2,場 ソフトボール,32,32,0.4166,341
2,倒立 転,32,28,0.3645,342
2,倒れる くる,31,31,0.4035,343
2,練習 体育館,31,31,0.4035,344
2,しまう 負傷,31,31,0.4035,345
2,声 かける,31,31,0.4035,346
2,選手 接触,31,31,0.4035,347
2,ふざける 合う,31,29,0.3775,348
2,眼 強打,31,31,0.4035,349
2,欠損 歯科,31,31,0.4035,350
2,肘 関節,31,29,0.3775,351
2,左手 指,31,31,0.4035,352
2,暗い 残る,31,31,0.4035,353
2,一部 失う,31,31,0.4035,354
2,保育 士,30,23,0.2994,355
2,転倒 頭部,30,30,0.3905,356
2,ブレーキ かける,30,30,0.3905,357
2,時間 体育館,30,30,0.3905,358
2,部 朝,30,30,0.3905,359
2,骨 骨折,30,29,0.3775,360
2,シュート 練習,30,29,0.3775,361
2,床 顔面,30,30,0.3905,362
2,転倒 負傷,30,30,0.3905,363
2,地面 強い,30,30,0.3905,364
2,ボール 口,30,30,0.3905,365
2,腹 立てる,30,30,0.3905,366
2,裂傷 負う,30,30,0.3905,367
2,強打 歯,30,30,0.3905,368
2,時間 校庭,30,30,0.3905,369
2,ハンドボール 部,30,30,0.3905,370
2,部 外,30,30,0.3905,371
2,保育 園,30,30,0.3905,372
2,左手 小指,30,29,0.3775,373
2,眼 ボール,30,30,0.3905,374
2,指 骨,30,30,0.3905,375
2,骨 一部,30,30,0.3905,376
2,様子 見る,29,29,0.3775,377
2,手 持つ,29,29,0.3775,378
2,体操 練習,29,29,0.3775,379
2,練習 打つ,29,29,0.3775,380
2,給食 準備,29,28,0.3645,381
2,地面 落下,29,29,0.3775,382
2,車 搬送,29,29,0.3775,383
2,試合 バッター,29,29,0.3775,384
2,倒れる こむ,29,28,0.3645,385
2,廊下 出る,29,28,0.3645,386
2,部 強打,29,29,0.3775,387
2,口元 当たる,29,29,0.3775,388
2,相手 足,29,28,0.3645,389
2,ピッチャー 投げる,29,29,0.3775,390
2,人 組,29,29,0.3775,391
2,前歯 欠損,29,29,0.3775,392
2,練習 バッティング,29,29,0.3775,393
2,ガラス 部分,29,29,0.3775,394
2,診断 れる,29,29,0.3775,395
2,骨折 手術,29,29,0.3775,396
2,眼 視野,29,28,0.3645,397
2,眼 調節,29,29,0.3775,398
2,視野 狭窄,29,29,0.3775,399
2,陸上 部,28,28,0.3645,400
2,体育 バスケットボール,28,28,0.3645,401
2,回 目,28,21,0.2734,402
2,床 落ちる,28,28,0.3645,403
2,顎 強打,28,28,0.3645,404
2,前のめり 倒れる,28,28,0.3645,405
2,衝突 転倒,28,28,0.3645,406
2,走る 転倒,28,28,0.3645,407
2,階 教室,28,25,0.3254,408
2,体勢 崩す,28,28,0.3645,409
2,ゲーム 形式,28,28,0.3645,410
2,足 踏み外す,28,28,0.3645,411
2,ドア 閉める,28,27,0.3515,412
2,大腿 骨,28,26,0.3385,413
2,右手 指,28,27,0.3515,414
2,入院 手術,28,28,0.3645,415
2,減退 視野,28,28,0.3645,416
2,四肢 麻痺,28,28,0.3645,417
2,テニス コート,27,26,0.3385,418
2,頭 打つ,27,27,0.3515,419
2,とる れる,27,27,0.3515,420
2,相手 投げる,27,27,0.3515,421
2,顔 負傷,27,27,0.3515,422
2,相手 肘,27,27,0.3515,423
2,シュート ボール,27,27,0.3515,424
2,バット 手,27,27,0.3515,425
2,顎 部,27,25,0.3254,426
