列名,カテゴリ,歯牙障害件数,歯牙障害以外件数,合計,カテゴリ内歯牙障害割合（％）
競技種目,準備運動等,0,1,1,0.0
競技種目,球技（その他）,13,32,45,28.8889
競技種目,登山,1,1,2,50.0
競技種目,相撲,1,9,10,10.0
競技種目,短距離走,5,32,37,13.5135
競技種目,空手,3,9,12,25.0
競技種目,筋力トレーニング,2,9,11,18.1818
競技種目,縄跳び,0,7,7,0.0
競技種目,自転車競技,4,10,14,28.5714
競技種目,自転車競技部,0,1,1,0.0
競技種目,走り幅跳び,0,10,10,0.0
競技種目,走り高跳び,5,30,35,14.2857
競技種目,跳箱運動,2,61,63,3.1746
競技種目,運動なし,0,3,3,0.0
競技種目,野球（含軟式）,352,765,1117,31.513
競技種目,鉄棒運動,4,31,35,11.4286
競技種目,陸上競技（その他）,8,26,34,23.5294
競技種目,障害走（ハードル）,0,11,11,0.0
競技種目,（欠損）,698,3061,3759,18.5688
通学方法,その他,0,1,1,0.0
通学方法,バス,0,4,4,0.0
通学方法,原動機付自転車,0,18,18,0.0
通学方法,徒歩,43,159,202,21.2871
通学方法,自動車,0,1,1,0.0
通学方法,自転車,218,138,356,61.236
通学方法,鉄道,1,7,8,12.5
通学方法,（欠損）,1321,5771,7092,18.6266
発生場所1,学校内・校舎内（園内・園舎内）,484,2649,3133,15.4485
発生場所1,学校内・校舎外（園内・園舎外）,602,2331,2933,20.5251
発生場所1,学校外（園外）,497,1119,1616,30.755
発生場所2,その他,59,320,379,15.5673
発生場所2,プール,16,92,108,14.8148
発生場所2,ベランダ,0,17,17,0.0
発生場所2,体育館・屋内運動場,245,1007,1252,19.5687
発生場所2,便所,9,42,51,17.6471
発生場所2,公園,0,1,1,0.0
発生場所2,公園・遊園地,12,41,53,22.6415
発生場所2,学校外体育館,40,133,173,23.1214
発生場所2,学校外運動場・競技場,119,374,493,24.1379
発生場所2,実習実験室,8,152,160,5.0
発生場所2,屋上,0,3,3,0.0
発生場所2,山林野（含スキー場）,17,49,66,25.7576
発生場所2,廊下,96,392,488,19.6721
発生場所2,手足洗場,0,3,3,0.0
発生場所2,排水溝,0,2,2,0.0
発生場所2,教室（保育室）,81,701,782,10.3581
発生場所2,昇降口・玄関,6,96,102,5.8824
発生場所2,水飲み場,0,2,2,0.0
発生場所2,河川,5,9,14,35.7143
発生場所2,海・湖・沼・池,2,15,17,11.7647
発生場所2,講堂,3,15,18,16.6667
発生場所2,農場,0,7,7,0.0
発生場所2,遊戯室,0,30,30,0.0
発生場所2,運動場・校庭（園庭）,567,2159,2726,20.7997
発生場所2,道路,273,343,616,44.3182
発生場所2,階段,25,94,119,21.0084
遊具等,すべり台,5,24,29,17.2414
遊具等,その他,5,26,31,16.129
遊具等,ぶらんこ,4,37,41,9.7561
遊具等,シーソー,4,8,12,33.3333
遊具等,ジャングルジム,3,14,17,17.6471
遊具等,回旋塔,0,4,4,0.0
遊具等,固定タイヤ,0,9,9,0.0
遊具等,施設を使用していない,0,3,3,0.0
遊具等,登り棒,1,6,7,14.2857
遊具等,砂場,0,9,9,0.0
遊具等,総合遊具・アスレティック,0,22,22,0.0
遊具等,遊動円木,1,1,2,50.0
遊具等,鉄棒,12,60,72,16.6667
遊具等,雲てい,3,14,17,17.6471
遊具等,（欠損）,1545,5862,7407,20.8586
