全体順位,品詞,品詞別順位,基本形,出現回数,出現事例数,事例出現率(%),1事例当たり平均出現回数,対象事例数
57,動詞,15,走る,125,115,7.2647,1.087,1583
58,名詞,42,後,120,115,7.2647,1.0435,1583
59,名詞,43,バット,141,113,7.1383,1.2478,1583
60,動詞,16,滑る,118,112,7.0752,1.0536,1583
61,名詞,44,下校,109,108,6.8225,1.0093,1583
62,動詞,17,受ける,109,107,6.7593,1.0187,1583
63,名詞,45,地面,106,101,6.3803,1.0495,1583
64,名詞,46,体育館,111,100,6.3171,1.11,1583
65,名詞,46,ノック,108,100,6.3171,1.08,1583
66,名詞,48,直撃,100,99,6.2539,1.0101,1583
67,名詞,49,２,105,95,6.0013,1.1053,1583
68,名詞,49,教室,104,95,6.0013,1.0947,1583
69,名詞,51,登校,93,90,5.6854,1.0333,1583
70,名詞,52,脱臼,89,89,5.6222,1.0,1583
71,動詞,18,行う,94,87,5.4959,1.0805,1583
72,動詞,18,倒れる,92,87,5.4959,1.0575,1583
73,名詞,53,前方,87,87,5.4959,1.0,1583
74,名詞,54,人,103,86,5.4327,1.1977,1583
75,名詞,55,打球,97,85,5.3696,1.1412,1583
76,名詞,55,口元,86,85,5.3696,1.0118,1583
77,動詞,20,ある,85,81,5.1169,1.0494,1583
78,名詞,57,守備,80,79,4.9905,1.0127,1583
79,名詞,58,３,88,78,4.9274,1.1282,1583
80,動詞,21,取る,83,78,4.9274,1.0641,1583
81,動詞,22,抜ける,78,77,4.8642,1.013,1583
82,名詞,59,廊下,93,76,4.801,1.2237,1583
83,名詞,59,顎,85,76,4.801,1.1184,1583
84,動詞,23,飛ぶ,76,76,4.801,1.0,1583
85,名詞,61,道路,83,75,4.7378,1.1067,1583
86,動詞,24,遊ぶ,76,75,4.7378,1.0133,1583
87,名詞,62,頭,77,74,4.6747,1.0405,1583
88,名詞,63,選手,79,72,4.5483,1.0972,1583
89,名詞,63,下,77,72,4.5483,1.0694,1583
90,名詞,65,バスケットボール,72,71,4.4852,1.0141,1583
91,名詞,66,接触,71,68,4.2956,1.0441,1583
92,名詞,66,ソフトボール,68,68,4.2956,1.0,1583
93,名詞,68,衝突,66,66,4.1693,1.0,1583
94,動詞,25,捕る,72,65,4.1061,1.1077,1583
95,動詞,26,振る,66,63,3.9798,1.0476,1583
96,名詞,69,サッカー,64,62,3.9166,1.0323,1583
97,名詞,70,休憩,60,60,3.7903,1.0,1583
98,動詞,27,行く,60,59,3.7271,1.0169,1583
99,動詞,28,打ちつける,58,58,3.6639,1.0,1583
100,名詞,71,唇,56,56,3.5376,1.0,1583
101,名詞,72,2,61,55,3.4744,1.1091,1583
102,動詞,29,投げる,58,55,3.4744,1.0545,1583
103,動詞,29,落ちる,56,55,3.4744,1.0182,1583
104,名詞,72,欠損,55,55,3.4744,1.0,1583
105,名詞,74,球,57,53,3.3481,1.0755,1583
106,名詞,75,バッター,59,52,3.2849,1.1346,1583
107,動詞,31,持つ,55,52,3.2849,1.0577,1583
108,名詞,76,よう,55,51,3.2217,1.0784,1583
109,名詞,77,肘,51,50,3.1586,1.02,1583
110,名詞,78,チーム,55,49,3.0954,1.1224,1583
111,名詞,78,膝,53,49,3.0954,1.0816,1583
112,動詞,32,つく,52,49,3.0954,1.0612,1583
113,名詞,78,こと,51,49,3.0954,1.0408,1583
114,動詞,32,出る,51,49,3.0954,1.0408,1583
115,名詞,78,出血,51,49,3.0954,1.0408,1583
116,名詞,78,口唇,50,49,3.0954,1.0204,1583
117,名詞,83,バッティング,55,48,3.0322,1.1458,1583
118,名詞,83,頭部,48,48,3.0322,1.0,1583
119,名詞,85,右,51,47,2.969,1.0851,1583
120,名詞,85,終了,47,47,2.969,1.0,1583
121,名詞,87,イレギュラー,46,46,2.9059,1.0,1583
122,名詞,88,学校,45,45,2.8427,1.0,1583
123,動詞,34,つまずく,45,44,2.7795,1.0227,1583
124,名詞,89,階段,64,43,2.7164,1.4884,1583
125,名詞,89,1,57,43,2.7164,1.3256,1583
126,名詞,89,１,51,43,2.7164,1.186,1583
127,名詞,89,3,50,43,2.7164,1.1628,1583
128,名詞,89,近く,44,43,2.7164,1.0233,1583
129,動詞,35,られる,43,43,2.7164,1.0,1583
130,名詞,89,体,43,43,2.7164,1.0,1583
131,動詞,36,歩く,46,42,2.6532,1.0952,1583
132,名詞,95,前輪,43,42,2.6532,1.0238,1583
133,動詞,36,向かう,43,42,2.6532,1.0238,1583
134,動詞,36,ふざける,42,42,2.6532,1.0,1583
135,名詞,95,途中,42,42,2.6532,1.0,1583
136,名詞,97,状態,45,41,2.59,1.0976,1583
137,動詞,39,せる,43,41,2.59,1.0488,1583
138,動詞,39,追いかける,42,41,2.59,1.0244,1583
139,名詞,97,前のめり,41,41,2.59,1.0,1583
140,名詞,99,後方,42,40,2.5268,1.05,1583
141,名詞,99,自分,41,40,2.5268,1.025,1583
142,動詞,41,乗る,45,39,2.4637,1.1538,1583
143,名詞,101,後ろ,42,39,2.4637,1.0769,1583
144,名詞,101,勢い,40,39,2.4637,1.0256,1583
145,動詞,41,折る,40,39,2.4637,1.0256,1583
146,名詞,103,左,44,38,2.4005,1.1579,1583
147,動詞,43,かける,42,38,2.4005,1.1053,1583
148,名詞,103,横,41,38,2.4005,1.0789,1583
149,名詞,103,付近,40,38,2.4005,1.0526,1583
150,動詞,43,打ち付ける,38,38,2.4005,1.0,1583
151,動詞,45,転ぶ,38,36,2.2742,1.0556,1583
152,名詞,106,下り坂,36,36,2.2742,1.0,1583
153,名詞,107,ゲーム,36,35,2.211,1.0286,1583
154,動詞,46,できる,35,35,2.211,1.0,1583
155,名詞,107,イレギュラーバウンド,35,35,2.211,1.0,1583
156,名詞,109,部分,35,34,2.1478,1.0294,1583
157,名詞,109,歯牙,34,34,2.1478,1.0,1583
158,名詞,111,シュート,37,33,2.0846,1.1212,1583
159,名詞,111,治療,35,33,2.0846,1.0606,1583
160,動詞,47,立つ,35,33,2.0846,1.0606,1583
161,動詞,47,来る,34,33,2.0846,1.0303,1583
162,動詞,47,入る,33,33,2.0846,1.0,1583
163,名詞,113,ネット,42,32,2.0215,1.3125,1583
164,名詞,114,ハンドル,35,31,1.9583,1.129,1583
165,名詞,114,グラウンド,33,31,1.9583,1.0645,1583
166,名詞,114,段差,32,31,1.9583,1.0323,1583
167,名詞,114,バレーボール,31,31,1.9583,1.0,1583
168,動詞,50,切れる,31,31,1.9583,1.0,1583
169,名詞,114,準備,31,31,1.9583,1.0,1583
170,名詞,119,目,39,30,1.8951,1.3,1583
171,名詞,119,友達,36,30,1.8951,1.2,1583
172,名詞,119,内,31,30,1.8951,1.0333,1583
173,動詞,51,切る,30,30,1.8951,1.0,1583
174,動詞,51,欠ける,30,30,1.8951,1.0,1583
175,名詞,122,部員,34,29,1.832,1.1724,1583
176,動詞,53,離れる,32,29,1.832,1.1034,1583
177,動詞,53,蹴る,31,29,1.832,1.069,1583
178,名詞,122,打撲,30,29,1.832,1.0345,1583
179,名詞,122,移動,30,29,1.832,1.0345,1583
180,名詞,122,落下,30,29,1.832,1.0345,1583
181,動詞,53,避ける,30,29,1.832,1.0345,1583
182,名詞,122,ブレーキ,29,29,1.832,1.0,1583
183,名詞,127,ゴール,36,28,1.7688,1.2857,1583
184,名詞,127,車,36,28,1.7688,1.2857,1583
185,動詞,56,見る,31,28,1.7688,1.1071,1583
186,名詞,129,キャッチャー,31,27,1.7056,1.1481,1583
187,名詞,129,素振り,29,27,1.7056,1.0741,1583
188,名詞,129,まま,27,27,1.7056,1.0,1583
189,名詞,129,上顎,27,27,1.7056,1.0,1583
190,名詞,129,損傷,27,27,1.7056,1.0,1583
191,名詞,134,フライ,28,26,1.6425,1.0769,1583
192,名詞,134,救急,28,26,1.6425,1.0769,1583
193,名詞,134,コンクリート,27,26,1.6425,1.0385,1583
194,動詞,57,押す,27,26,1.6425,1.0385,1583
195,名詞,134,他校,26,26,1.6425,1.0,1583
196,名詞,134,側,26,26,1.6425,1.0,1583
197,名詞,134,大会,26,26,1.6425,1.0,1583
198,名詞,134,祭,26,26,1.6425,1.0,1583
199,動詞,57,誤る,26,26,1.6425,1.0,1583
200,名詞,141,壁,28,25,1.5793,1.12,1583
201,名詞,141,走行,27,25,1.5793,1.08,1583
202,名詞,141,タイヤ,26,25,1.5793,1.04,1583
203,名詞,141,隣,26,25,1.5793,1.04,1583
204,名詞,141,ごと,25,25,1.5793,1.0,1583
205,名詞,141,数,25,25,1.5793,1.0,1583
206,名詞,141,転落,25,25,1.5793,1.0,1583
207,名詞,141,鬼ごっこ,25,25,1.5793,1.0,1583
208,名詞,149,階,35,24,1.5161,1.4583,1583
209,名詞,149,室,28,24,1.5161,1.1667,1583
210,名詞,149,歩道,27,24,1.5161,1.125,1583
211,動詞,59,追う,26,24,1.5161,1.0833,1583
212,名詞,149,バウンド,25,24,1.5161,1.0417,1583
213,名詞,149,両手,24,24,1.5161,1.0,1583
214,名詞,149,搬送,24,24,1.5161,1.0,1583
215,動詞,59,気付く,24,24,1.5161,1.0,1583
216,名詞,149,激突,24,24,1.5161,1.0,1583
217,動詞,59,終わる,24,24,1.5161,1.0,1583
218,動詞,59,負う,24,24,1.5161,1.0,1583
219,名詞,149,ｍ,24,24,1.5161,1.0,1583
220,名詞,157,ラケット,30,23,1.4529,1.3043,1583
221,名詞,157,清掃,30,23,1.4529,1.3043,1583
222,動詞,63,おる,25,23,1.4529,1.087,1583
223,動詞,63,いく,24,23,1.4529,1.0435,1583
224,名詞,157,ディフェンス,24,23,1.4529,1.0435,1583
225,名詞,157,外,24,23,1.4529,1.0435,1583
226,動詞,63,拾う,24,23,1.4529,1.0435,1583
227,名詞,157,ピッチャー,23,23,1.4529,1.0,1583
228,動詞,66,降りる,24,22,1.3898,1.0909,1583
229,動詞,66,戻る,23,22,1.3898,1.0455,1583
230,名詞,162,肩,23,22,1.3898,1.0455,1583
231,名詞,162,路面,23,22,1.3898,1.0455,1583
232,名詞,162,参加,22,22,1.3898,1.0,1583
233,名詞,162,形式,22,22,1.3898,1.0,1583
234,名詞,162,的,22,22,1.3898,1.0,1583
235,動詞,68,とる,22,21,1.3266,1.0476,1583
236,名詞,167,鼻,22,21,1.3266,1.0476,1583
237,動詞,68,きれる,21,21,1.3266,1.0,1583
238,名詞,167,スピード,21,21,1.3266,1.0,1583
239,動詞,68,上がる,21,21,1.3266,1.0,1583
240,名詞,167,先,21,21,1.3266,1.0,1583
241,動詞,68,失う,21,21,1.3266,1.0,1583
242,名詞,167,当たり,21,21,1.3266,1.0,1583
243,名詞,167,昼食,21,21,1.3266,1.0,1583
244,名詞,172,机,28,20,1.2634,1.4,1583
245,名詞,172,競技,22,20,1.2634,1.1,1583
246,名詞,172,クラス,21,20,1.2634,1.05,1583
247,名詞,172,スティック,21,20,1.2634,1.05,1583
248,名詞,172,二,21,20,1.2634,1.05,1583
249,名詞,172,別,21,20,1.2634,1.05,1583
250,名詞,172,支柱,21,20,1.2634,1.05,1583
251,名詞,172,雨,21,20,1.2634,1.05,1583
252,動詞,72,外れる,20,20,1.2634,1.0,1583
253,名詞,172,急,20,20,1.2634,1.0,1583
254,名詞,172,意識,20,20,1.2634,1.0,1583
255,名詞,172,朝,20,20,1.2634,1.0,1583
256,名詞,183,棒,33,19,1.2003,1.7368,1583
257,名詞,183,校庭,22,19,1.2003,1.1579,1583
258,名詞,183,ゴールキーパー,21,19,1.2003,1.1053,1583
259,動詞,73,出す,20,19,1.2003,1.0526,1583
260,動詞,73,守る,20,19,1.2003,1.0526,1583
261,名詞,183,間,20,19,1.2003,1.0526,1583
262,名詞,183,そう,19,19,1.2003,1.0,1583
263,名詞,183,校舎,19,19,1.2003,1.0,1583
264,名詞,183,着地,19,19,1.2003,1.0,1583
265,名詞,183,額,19,19,1.2003,1.0,1583
266,名詞,191,一,23,18,1.1371,1.2778,1583
267,名詞,191,打者,21,18,1.1371,1.1667,1583
268,名詞,191,口腔,19,18,1.1371,1.0556,1583
269,名詞,191,坂道,19,18,1.1371,1.0556,1583
270,名詞,191,指導,19,18,1.1371,1.0556,1583
271,名詞,191,骨折,19,18,1.1371,1.0556,1583
272,動詞,75,かかる,18,18,1.1371,1.0,1583
273,名詞,191,の,18,18,1.1371,1.0,1583
274,名詞,191,受診,18,18,1.1371,1.0,1583
275,動詞,75,引っ掛かる,18,18,1.1371,1.0,1583
276,動詞,75,損ねる,18,18,1.1371,1.0,1583
277,名詞,191,方向,18,18,1.1371,1.0,1583
278,名詞,200,レシーブ,21,17,1.0739,1.2353,1583
279,名詞,200,側溝,19,17,1.0739,1.1176,1583
280,名詞,200,腕,19,17,1.0739,1.1176,1583
281,名詞,200,コート,18,17,1.0739,1.0588,1583
282,動詞,78,曲がる,18,17,1.0739,1.0588,1583
283,名詞,200,送球,18,17,1.0739,1.0588,1583
284,名詞,200,うし,17,17,1.0739,1.0,1583
285,名詞,200,ろ,17,17,1.0739,1.0,1583
286,名詞,200,一緒,17,17,1.0739,1.0,1583
287,名詞,200,上下,17,17,1.0739,1.0,1583
288,名詞,200,上唇,17,17,1.0739,1.0,1583
289,動詞,78,抜け落ちる,17,17,1.0739,1.0,1583
290,動詞,78,振り向く,17,17,1.0739,1.0,1583
291,名詞,200,昼休み,17,17,1.0739,1.0,1583
292,名詞,200,正面,17,17,1.0739,1.0,1583
293,名詞,200,特定,17,17,1.0739,1.0,1583
294,名詞,200,瞬間,17,17,1.0739,1.0,1583
295,名詞,200,４,17,17,1.0739,1.0,1583
296,名詞,215,鉄棒,27,16,1.0107,1.6875,1583
297,名詞,215,傘,19,16,1.0107,1.1875,1583
298,名詞,215,キャッチ,18,16,1.0107,1.125,1583
299,名詞,215,ジャンプ,18,16,1.0107,1.125,1583
300,動詞,81,つかむ,17,16,1.0107,1.0625,1583
301,名詞,215,方,17,16,1.0107,1.0625,1583
302,動詞,81,止まる,17,16,1.0107,1.0625,1583
303,名詞,215,ホッケー,16,16,1.0107,1.0,1583
304,動詞,81,下る,16,16,1.0107,1.0,1583
305,動詞,81,使う,16,16,1.0107,1.0,1583
306,名詞,215,打撃,16,16,1.0107,1.0,1583
307,名詞,215,次,16,16,1.0107,1.0,1583
308,名詞,215,男子,16,16,1.0107,1.0,1583
309,動詞,81,終える,16,16,1.0107,1.0,1583
310,名詞,215,脱落,16,16,1.0107,1.0,1583
311,動詞,81,跳ね返る,16,16,1.0107,1.0,1583
312,名詞,225,プール,28,15,0.9476,1.8667,1583
313,名詞,225,マット,22,15,0.9476,1.4667,1583
314,名詞,225,バント,18,15,0.9476,1.2,1583
315,名詞,225,５,17,15,0.9476,1.1333,1583
316,名詞,225,バッターボックス,16,15,0.9476,1.0667,1583
317,名詞,225,ランニング,16,15,0.9476,1.0667,1583
318,動詞,87,支える,16,15,0.9476,1.0667,1583
319,形容詞,2,激しい,16,15,0.9476,1.0667,1583
320,名詞,225,靴,16,15,0.9476,1.0667,1583
321,動詞,87,入れる,15,15,0.9476,1.0,1583
322,動詞,87,向く,15,15,0.9476,1.0,1583
323,名詞,225,所,15,15,0.9476,1.0,1583
324,動詞,87,振り返る,15,15,0.9476,1.0,1583
325,名詞,225,柔道,15,15,0.9476,1.0,1583
326,動詞,87,濡れる,15,15,0.9476,1.0,1583
327,名詞,225,直接,15,15,0.9476,1.0,1583
328,動詞,87,絡まる,15,15,0.9476,1.0,1583
329,名詞,225,背中,15,15,0.9476,1.0,1583
330,名詞,225,裂傷,15,15,0.9476,1.0,1583
331,形容詞,2,高い,15,15,0.9476,1.0,1583
332,名詞,237,外野,16,14,0.8844,1.1429,1583
333,動詞,93,座る,16,14,0.8844,1.1429,1583
334,名詞,237,テニス,15,14,0.8844,1.0714,1583
335,動詞,93,上げる,15,14,0.8844,1.0714,1583
336,名詞,237,回転,15,14,0.8844,1.0714,1583
337,名詞,237,学級,15,14,0.8844,1.0714,1583
338,動詞,93,殴る,15,14,0.8844,1.0714,1583
339,名詞,237,それ,14,14,0.8844,1.0,1583
340,動詞,93,ひっかかる,14,14,0.8844,1.0,1583
341,名詞,237,カーブ,14,14,0.8844,1.0,1583
342,名詞,237,ショート,14,14,0.8844,1.0,1583
343,名詞,237,場所,14,14,0.8844,1.0,1583
344,名詞,237,左側,14,14,0.8844,1.0,1583
345,動詞,93,思う,14,14,0.8844,1.0,1583
346,名詞,237,角,14,14,0.8844,1.0,1583
347,動詞,93,転がる,14,14,0.8844,1.0,1583
348,名詞,247,トイレ,16,13,0.8212,1.2308,1583
349,名詞,247,パス,16,13,0.8212,1.2308,1583
350,名詞,247,辺り,15,13,0.8212,1.1538,1583
351,名詞,247,かけっこ,14,13,0.8212,1.0769,1583
352,名詞,247,ドリブル,14,13,0.8212,1.0769,1583
353,名詞,247,受傷,14,13,0.8212,1.0769,1583
354,名詞,247,名,14,13,0.8212,1.0769,1583
355,動詞,99,待つ,14,13,0.8212,1.0769,1583
356,名詞,247,縁石,14,13,0.8212,1.0769,1583
357,動詞,99,逃げる,14,13,0.8212,1.0769,1583
358,名詞,247,サード,13,13,0.8212,1.0,1583
359,名詞,247,シート,13,13,0.8212,1.0,1583
360,名詞,247,セカンド,13,13,0.8212,1.0,1583
361,名詞,247,ドッジボール,13,13,0.8212,1.0,1583
362,名詞,247,破損,13,13,0.8212,1.0,1583
363,名詞,247,車輪,13,13,0.8212,1.0,1583
364,動詞,99,通る,13,13,0.8212,1.0,1583
365,名詞,247,遊び,13,13,0.8212,1.0,1583
366,動詞,99,離す,13,13,0.8212,1.0,1583
367,名詞,262,塁,15,12,0.7581,1.25,1583
368,名詞,262,バック,14,12,0.7581,1.1667,1583
369,名詞,262,教師,14,12,0.7581,1.1667,1583
370,名詞,262,給食,14,12,0.7581,1.1667,1583
371,名詞,262,ペダル,13,12,0.7581,1.0833,1583
372,名詞,262,声,13,12,0.7581,1.0833,1583
373,動詞,103,引っ張る,13,12,0.7581,1.0833,1583
374,名詞,262,道,13,12,0.7581,1.0833,1583
375,名詞,262,4,12,12,0.7581,1.0,1583
376,名詞,262,キャッチボール,12,12,0.7581,1.0,1583
377,名詞,262,ティー,12,12,0.7581,1.0,1583
378,名詞,262,バドミントン,12,12,0.7581,1.0,1583
379,動詞,103,合う,12,12,0.7581,1.0,1583
380,名詞,262,対,12,12,0.7581,1.0,1583
381,名詞,262,帰宅,12,12,0.7581,1.0,1583
382,名詞,262,後頭部,12,12,0.7581,1.0,1583
383,名詞,262,硬式,12,12,0.7581,1.0,1583
384,動詞,103,置く,12,12,0.7581,1.0,1583
385,名詞,262,陸上,12,12,0.7581,1.0,1583
386,名詞,278,スキー,16,11,0.6949,1.4545,1583
387,名詞,278,フェンス,16,11,0.6949,1.4545,1583
388,名詞,278,石,16,11,0.6949,1.4545,1583
389,名詞,278,トス,14,11,0.6949,1.2727,1583
390,名詞,278,担任,13,11,0.6949,1.1818,1583
391,名詞,278,溝,13,11,0.6949,1.1818,1583
392,名詞,278,アスファルト,12,11,0.6949,1.0909,1583
393,名詞,278,学習,12,11,0.6949,1.0909,1583
394,名詞,278,応援,12,11,0.6949,1.0909,1583
395,動詞,106,抜く,12,11,0.6949,1.0909,1583
396,名詞,278,歩行,12,11,0.6949,1.0909,1583
397,名詞,278,雑巾,12,11,0.6949,1.0909,1583
398,名詞,278,あたり,11,11,0.6949,1.0,1583
399,名詞,278,スリップ,11,11,0.6949,1.0,1583
400,動詞,106,乗り上げる,11,11,0.6949,1.0,1583
401,名詞,278,会,11,11,0.6949,1.0,1583
402,動詞,106,余る,11,11,0.6949,1.0,1583
403,名詞,278,失敗,11,11,0.6949,1.0,1583
404,名詞,278,学年,11,11,0.6949,1.0,1583
405,動詞,106,引っかかる,11,11,0.6949,1.0,1583
406,名詞,278,技,11,11,0.6949,1.0,1583
407,動詞,106,投げ出す,11,11,0.6949,1.0,1583
408,動詞,106,止める,11,11,0.6949,1.0,1583
409,名詞,278,気,11,11,0.6949,1.0,1583
410,動詞,106,痛める,11,11,0.6949,1.0,1583
411,動詞,106,突っ込む,11,11,0.6949,1.0,1583
412,名詞,278,脇,11,11,0.6949,1.0,1583
413,名詞,278,衝撃,11,11,0.6949,1.0,1583
414,名詞,278,金属,11,11,0.6949,1.0,1583
415,動詞,106,降る,11,11,0.6949,1.0,1583
416,名詞,278,骨,11,11,0.6949,1.0,1583
417,名詞,300,椅子,13,10,0.6317,1.3,1583
418,動詞,115,跳ぶ,13,10,0.6317,1.3,1583
419,名詞,300,チームメイト,11,10,0.6317,1.1,1583
420,名詞,300,実習,11,10,0.6317,1.1,1583
421,名詞,300,形,11,10,0.6317,1.1,1583
422,動詞,115,振り回す,11,10,0.6317,1.1,1583
423,名詞,300,操作,11,10,0.6317,1.1,1583
424,名詞,300,路,11,10,0.6317,1.1,1583
425,名詞,300,部室,11,10,0.6317,1.1,1583
426,名詞,300,うち,10,10,0.6317,1.0,1583
427,動詞,115,すべる,10,10,0.6317,1.0,1583
428,名詞,300,もの,10,10,0.6317,1.0,1583
429,名詞,300,ガードレール,10,10,0.6317,1.0,1583
430,名詞,300,リレー,10,10,0.6317,1.0,1583
431,名詞,300,体勢,10,10,0.6317,1.0,1583
432,形容詞,4,悪い,10,10,0.6317,1.0,1583
433,名詞,300,放課後,10,10,0.6317,1.0,1583
434,動詞,115,踏み外す,10,10,0.6317,1.0,1583
435,名詞,300,面,10,10,0.6317,1.0,1583
436,名詞,300,順番,10,10,0.6317,1.0,1583
437,動詞,115,飛ばす,10,10,0.6317,1.0,1583
438,動詞,115,飛び出す,10,10,0.6317,1.0,1583
439,名詞,315,バー,13,9,0.5685,1.4444,1583
440,名詞,315,遊具,12,9,0.5685,1.3333,1583
441,名詞,315,台,11,9,0.5685,1.2222,1583
442,名詞,315,板,11,9,0.5685,1.2222,1583
443,名詞,315,クラブ,10,9,0.5685,1.1111,1583
444,名詞,315,右足,10,9,0.5685,1.1111,1583
445,名詞,315,打席,10,9,0.5685,1.1111,1583
446,名詞,315,渡り廊下,10,9,0.5685,1.1111,1583
447,名詞,315,窓,10,9,0.5685,1.1111,1583
448,名詞,315,荷物,10,9,0.5685,1.1111,1583
449,名詞,315,通学,10,9,0.5685,1.1111,1583
450,名詞,315,さ,9,9,0.5685,1.0,1583
451,動詞,121,やる,9,9,0.5685,1.0,1583
452,名詞,315,ヘディング,9,9,0.5685,1.0,1583
453,名詞,315,ラグビー,9,9,0.5685,1.0,1583
454,動詞,121,下りる,9,9,0.5685,1.0,1583
455,形容詞,5,低い,9,9,0.5685,1.0,1583
456,動詞,121,倒す,9,9,0.5685,1.0,1583
457,名詞,315,出場,9,9,0.5685,1.0,1583
458,名詞,315,取り合い,9,9,0.5685,1.0,1583
459,動詞,121,向ける,9,9,0.5685,1.0,1583
460,名詞,315,周辺,9,9,0.5685,1.0,1583
461,名詞,315,坂,9,9,0.5685,1.0,1583
462,動詞,121,始める,9,9,0.5685,1.0,1583
463,名詞,315,当日,9,9,0.5685,1.0,1583
464,名詞,315,掃除,9,9,0.5685,1.0,1583
465,名詞,315,斜め,9,9,0.5685,1.0,1583
466,動詞,121,構える,9,9,0.5685,1.0,1583
467,名詞,315,気分,9,9,0.5685,1.0,1583
468,名詞,315,水泳,9,9,0.5685,1.0,1583
469,名詞,315,滑走,9,9,0.5685,1.0,1583
470,名詞,315,為,9,9,0.5685,1.0,1583
471,動詞,121,着く,9,9,0.5685,1.0,1583
472,名詞,315,確認,9,9,0.5685,1.0,1583
473,動詞,121,立ち上がる,9,9,0.5685,1.0,1583
474,名詞,315,等,9,9,0.5685,1.0,1583
475,動詞,121,起こす,9,9,0.5685,1.0,1583
476,名詞,315,車道,9,9,0.5685,1.0,1583
477,名詞,315,輪,9,9,0.5685,1.0,1583
478,動詞,121,近づく,9,9,0.5685,1.0,1583
479,名詞,315,遠足,9,9,0.5685,1.0,1583
480,名詞,315,部活,9,9,0.5685,1.0,1583
481,名詞,346,段,15,8,0.5054,1.875,1583
482,名詞,346,教員,13,8,0.5054,1.625,1583
483,名詞,346,シャトル,12,8,0.5054,1.5,1583
484,名詞,346,ひも,10,8,0.5054,1.25,1583
485,名詞,346,手すり,10,8,0.5054,1.25,1583
486,名詞,346,ブロック,9,8,0.5054,1.125,1583
487,名詞,346,ポスト,9,8,0.5054,1.125,1583
488,名詞,346,体操,9,8,0.5054,1.125,1583
489,名詞,346,内側,9,8,0.5054,1.125,1583
490,名詞,346,回,9,8,0.5054,1.125,1583
491,名詞,346,席,9,8,0.5054,1.125,1583
492,名詞,346,戦,9,8,0.5054,1.125,1583
493,名詞,346,片付け,9,8,0.5054,1.125,1583
