順位,品詞,基本形,出現回数,出現事例数
189,動詞,戻る,23,22
190,名詞,肩,23,22
191,名詞,路面,23,22
192,名詞,参加,22,22
193,名詞,形式,22,22
194,名詞,的,22,22
195,動詞,とる,22,21
196,名詞,鼻,22,21
197,動詞,きれる,21,21
198,動詞,上がる,21,21
199,動詞,失う,21,21
200,名詞,スピード,21,21
201,名詞,先,21,21
202,名詞,当たり,21,21
203,名詞,昼食,21,21
204,名詞,机,28,20
205,名詞,競技,22,20
206,名詞,クラス,21,20
207,名詞,スティック,21,20
208,名詞,二,21,20
209,名詞,別,21,20
210,名詞,支柱,21,20
211,動詞,外れる,20,20
212,名詞,急,20,20
213,名詞,意識,20,20
214,名詞,朝,20,20
215,名詞,棒,33,19
216,名詞,校庭,22,19
217,名詞,ゴールキーパー,21,19
218,動詞,出す,20,19
219,動詞,守る,20,19
220,名詞,間,20,19
221,名詞,そう,19,19
222,名詞,校舎,19,19
223,名詞,着地,19,19
224,名詞,額,19,19
225,名詞,一,23,18
226,名詞,打者,21,18
227,名詞,口腔,19,18
228,名詞,坂道,19,18
229,名詞,指導,19,18
230,動詞,かかる,18,18
231,動詞,引っ掛かる,18,18
232,動詞,損ねる,18,18
233,名詞,の,18,18
234,名詞,受診,18,18
235,名詞,方向,18,18
236,名詞,レシーブ,21,17
237,名詞,側溝,19,17
238,名詞,腕,19,17
239,動詞,曲がる,18,17
240,名詞,コート,18,17
241,名詞,送球,18,17
242,動詞,抜け落ちる,17,17
243,動詞,振り向く,17,17
244,名詞,うし,17,17
245,名詞,ろ,17,17
246,名詞,一緒,17,17
247,名詞,上下,17,17
248,名詞,上唇,17,17
249,名詞,昼休み,17,17
250,名詞,正面,17,17
251,名詞,特定,17,17
252,名詞,瞬間,17,17
253,名詞,４,17,17
254,名詞,傘,19,16
255,名詞,キャッチ,18,16
256,名詞,ジャンプ,18,16
257,動詞,つかむ,17,16
258,動詞,止まる,17,16
259,名詞,方,17,16
260,動詞,下る,16,16
261,動詞,使う,16,16
262,動詞,終える,16,16
263,動詞,跳ね返る,16,16
264,名詞,ホッケー,16,16
265,名詞,打撃,16,16
266,名詞,次,16,16
267,名詞,男子,16,16
268,名詞,脱落,16,16
269,名詞,プール,28,15
270,名詞,マット,22,15
271,名詞,バント,18,15
272,名詞,５,17,15
273,動詞,支える,16,15
274,名詞,バッターボックス,16,15
275,名詞,ランニング,16,15
276,名詞,靴,16,15
277,形容詞,激しい,16,15
278,動詞,入れる,15,15
279,動詞,向く,15,15
280,動詞,振り返る,15,15
281,動詞,濡れる,15,15
282,動詞,絡まる,15,15
283,名詞,所,15,15
284,名詞,柔道,15,15
285,名詞,直接,15,15
286,名詞,背中,15,15
287,形容詞,高い,15,15
288,動詞,座る,16,14
289,名詞,外野,16,14
290,動詞,上げる,15,14
291,動詞,殴る,15,14
292,名詞,テニス,15,14
293,名詞,回転,15,14
294,名詞,学級,15,14
295,動詞,ひっかかる,14,14
296,動詞,思う,14,14
297,動詞,転がる,14,14
298,名詞,それ,14,14
299,名詞,カーブ,14,14
300,名詞,ショート,14,14
301,名詞,場所,14,14
302,名詞,左側,14,14
303,名詞,角,14,14
304,名詞,トイレ,16,13
305,名詞,パス,16,13
306,名詞,辺り,15,13
307,動詞,待つ,14,13
308,動詞,逃げる,14,13
309,名詞,かけっこ,14,13
310,名詞,ドリブル,14,13
311,名詞,受傷,14,13
312,名詞,名,14,13
313,動詞,通る,13,13
314,動詞,離す,13,13
315,名詞,サード,13,13
316,名詞,シート,13,13
317,名詞,セカンド,13,13
318,名詞,ドッジボール,13,13
319,名詞,破損,13,13
320,名詞,車輪,13,13
321,名詞,遊び,13,13
322,名詞,塁,15,12
323,名詞,バック,14,12
324,名詞,教師,14,12
325,名詞,給食,14,12
326,動詞,引っ張る,13,12
327,名詞,ペダル,13,12
328,名詞,声,13,12
329,名詞,道,13,12
330,動詞,合う,12,12
331,動詞,置く,12,12
332,名詞,4,12,12
333,名詞,キャッチボール,12,12
334,名詞,ティー,12,12
335,名詞,バドミントン,12,12
336,名詞,対,12,12
337,名詞,帰宅,12,12
338,名詞,後頭部,12,12
339,名詞,硬式,12,12
340,名詞,陸上,12,12
341,名詞,スキー,16,11
342,名詞,フェンス,16,11
343,名詞,石,16,11
344,名詞,トス,14,11
345,名詞,担任,13,11
346,名詞,溝,13,11
347,動詞,抜く,12,11
348,名詞,アスファルト,12,11
349,名詞,学習,12,11
350,名詞,応援,12,11
351,名詞,歩行,12,11
352,名詞,雑巾,12,11
353,動詞,乗り上げる,11,11
354,動詞,余る,11,11
355,動詞,引っかかる,11,11
356,動詞,投げ出す,11,11
357,動詞,止める,11,11
358,動詞,痛める,11,11
359,動詞,突っ込む,11,11
360,動詞,降る,11,11
361,名詞,あたり,11,11
362,名詞,スリップ,11,11
363,名詞,会,11,11
364,名詞,失敗,11,11
365,名詞,学年,11,11
366,名詞,技,11,11
367,名詞,気,11,11
368,名詞,脇,11,11
369,名詞,衝撃,11,11
370,名詞,金属,11,11
371,名詞,骨,11,11
372,名詞,椅子,13,10
373,動詞,振り回す,11,10
374,名詞,チームメイト,11,10
375,名詞,実習,11,10
376,名詞,形,11,10
377,名詞,操作,11,10
378,名詞,路,11,10
379,名詞,部室,11,10
380,動詞,すべる,10,10
381,動詞,踏み外す,10,10
382,動詞,飛ばす,10,10
383,動詞,飛び出す,10,10
384,名詞,うち,10,10
385,名詞,もの,10,10
386,名詞,ガードレール,10,10
387,名詞,リレー,10,10
388,名詞,体勢,10,10
389,名詞,放課後,10,10
390,名詞,面,10,10
391,名詞,順番,10,10
392,形容詞,悪い,10,10
393,名詞,バー,13,9
394,名詞,台,11,9
395,名詞,板,11,9
396,名詞,クラブ,10,9
397,名詞,右足,10,9
398,名詞,打席,10,9
399,名詞,渡り廊下,10,9
400,名詞,窓,10,9
401,名詞,荷物,10,9
402,名詞,通学,10,9
403,動詞,やる,9,9
404,動詞,下りる,9,9
405,動詞,倒す,9,9
406,動詞,向ける,9,9
407,動詞,始める,9,9
408,動詞,構える,9,9
409,動詞,着く,9,9
410,動詞,立ち上がる,9,9
411,動詞,起こす,9,9
412,動詞,近づく,9,9
413,名詞,さ,9,9
414,名詞,ヘディング,9,9
415,名詞,ラグビー,9,9
416,名詞,出場,9,9
417,名詞,取り合い,9,9
418,名詞,周辺,9,9
419,名詞,坂,9,9
420,名詞,当日,9,9
421,名詞,掃除,9,9
422,名詞,斜め,9,9
423,名詞,気分,9,9
424,名詞,水泳,9,9
425,名詞,滑走,9,9
426,名詞,為,9,9
427,名詞,確認,9,9
428,名詞,等,9,9
429,名詞,車道,9,9
430,名詞,輪,9,9
431,名詞,遠足,9,9
432,名詞,部活,9,9
433,形容詞,低い,9,9
434,名詞,段,15,8
435,名詞,教員,13,8
436,名詞,シャトル,12,8
437,名詞,ひも,10,8
438,名詞,手すり,10,8
439,名詞,ブロック,9,8
440,名詞,ポスト,9,8
441,名詞,体操,9,8
442,名詞,内側,9,8
443,名詞,回,9,8
444,名詞,席,9,8
445,名詞,戦,9,8
446,名詞,片付け,9,8
447,動詞,あう,8,8
448,動詞,こむ,8,8
449,動詞,並ぶ,8,8
450,動詞,回す,8,8
451,動詞,帰る,8,8
452,動詞,渡す,8,8
453,名詞,がけ,8,8
454,名詞,ゴロ,8,8
455,名詞,トレーニング,8,8
456,名詞,ロック,8,8
457,名詞,中央,8,8
458,名詞,交差点,8,8
459,名詞,入ろう,8,8
460,名詞,右手,8,8
461,名詞,味方,8,8
462,名詞,始業,8,8
463,名詞,待機,8,8
464,名詞,歯槽,8,8
465,名詞,歯肉,8,8
466,名詞,用,8,8
467,名詞,発作,8,8
468,名詞,直後,8,8
469,名詞,種目,8,8
470,名詞,者,8,8
471,名詞,走者,8,8
472,名詞,身体,8,8
473,名詞,通常,8,8
474,名詞,遠征,8,8
475,名詞,６,8,8
476,形容詞,うまい,8,8
477,形容詞,ない,8,8
478,名詞,ランナー,10,7
479,名詞,馬,10,7
480,動詞,運ぶ,9,7
481,名詞,ファースト,9,7
482,動詞,しゃがむ,8,7
483,動詞,急ぐ,8,7
484,動詞,走り出す,8,7
485,名詞,サイド,8,7
486,名詞,スイング,8,7
487,名詞,組,8,7
488,名詞,胸,8,7
489,名詞,自宅,8,7
490,名詞,駐車,8,7
491,動詞,始まる,7,7
492,動詞,崩れる,7,7
493,動詞,掛ける,7,7
494,動詞,損なう,7,7
495,動詞,落とす,7,7
496,名詞,そこ,7,7
497,名詞,たち,7,7
498,名詞,ベース,7,7
499,名詞,位置,7,7
500,名詞,何,7,7
501,名詞,先端,7,7
502,名詞,半分,7,7
503,名詞,反動,7,7
504,名詞,反対,7,7
505,名詞,合宿,7,7
506,名詞,完全,7,7
507,名詞,左手,7,7
508,名詞,左腕,7,7
509,名詞,徒歩,7,7
510,名詞,投手,7,7
511,名詞,昇降,7,7
512,名詞,歯根,7,7
513,名詞,滑り,7,7
514,名詞,背後,7,7
515,名詞,設置,7,7
516,名詞,踊り場,7,7
517,名詞,運動会,7,7
518,名詞,鉄,7,7
519,名詞,防,7,7
520,名詞,首,7,7
521,形容詞,大きい,7,7
522,名詞,ステージ,12,6
523,名詞,水筒,10,6
524,名詞,保健,9,6
525,名詞,友だち,9,6
526,動詞,渡る,8,6
527,名詞,同級生,8,6
528,名詞,川,8,6
529,名詞,返球,8,6
530,動詞,回る,7,6
531,動詞,跳ねる,7,6
532,名詞,オフェンス,7,6
533,名詞,ノッカー,7,6
534,名詞,ライト,7,6
535,名詞,一塁,7,6
536,名詞,交錯,7,6
537,名詞,斜面,7,6
538,名詞,蓋,7,6
539,名詞,袋,7,6
540,名詞,顧問,7,6
541,動詞,あたる,6,6
542,動詞,ぐらつく,6,6
543,動詞,それる,6,6
544,動詞,つける,6,6
545,動詞,づく,6,6
546,動詞,ふらつく,6,6
547,動詞,みる,6,6
548,動詞,もらう,6,6
549,動詞,下がる,6,6
550,動詞,下ろす,6,6
551,動詞,分かれる,6,6
552,動詞,寄る,6,6
553,動詞,引く,6,6
554,動詞,引っ掛ける,6,6
555,動詞,怒る,6,6
556,動詞,戻す,6,6
557,動詞,放す,6,6
558,動詞,気が付く,6,6
559,動詞,気づく,6,6
560,動詞,立ち止まる,6,6
561,動詞,見える,6,6
562,動詞,見失う,6,6
563,動詞,言い争う,6,6
564,動詞,起きる,6,6
565,動詞,遅れる,6,6
566,名詞,お互い,6,6
567,名詞,その後,6,6
568,名詞,つま,6,6
569,名詞,デッドボール,6,6
570,名詞,ハンドボール,6,6
571,名詞,ヘルメット,6,6
572,名詞,ライナー,6,6
573,名詞,交流,6,6
574,名詞,位,6,6
575,名詞,先頭,6,6
576,名詞,全員,6,6
577,名詞,公園,6,6
578,名詞,前進,6,6
579,名詞,動き,6,6
580,名詞,口論,6,6
581,名詞,合同,6,6
582,名詞,同士,6,6
583,名詞,性,6,6
584,名詞,本人,6,6
585,名詞,枠,6,6
586,名詞,校門,6,6
587,名詞,球技,6,6
588,名詞,痛み,6,6
589,名詞,発見,6,6
590,名詞,砂利,6,6
591,名詞,端,6,6
592,名詞,脚,6,6
593,名詞,腰,6,6
594,名詞,自立,6,6
595,名詞,話,6,6
596,名詞,足元,6,6
597,名詞,頬,6,6
598,名詞,駅,6,6
599,名詞,竹,12,5
600,名詞,シーソー,8,5
601,名詞,5,7,5
602,名詞,グループ,7,5
603,名詞,ブラシ,7,5
604,名詞,車いす,7,5
605,名詞,キック,6,5
606,名詞,キーパー,6,5
607,名詞,コース,6,5
608,名詞,ポジション,6,5
609,名詞,両足,6,5
610,名詞,使用,6,5
611,名詞,冠,6,5
612,名詞,擦り傷,6,5
613,動詞,かわす,5,5
614,動詞,ける,5,5
615,動詞,すぎる,5,5
616,動詞,つなぐ,5,5
617,動詞,はまる,5,5
618,動詞,上る,5,5
619,動詞,倒れ込む,5,5
620,動詞,出来る,5,5
621,動詞,動く,5,5
622,動詞,受け止める,5,5
623,動詞,奪う,5,5
624,動詞,振り切る,5,5
625,動詞,見つける,5,5
626,動詞,言う,5,5
627,動詞,起き上がる,5,5
628,動詞,越える,5,5
629,動詞,返す,5,5
630,動詞,過ぎる,5,5
631,動詞,間に合う,5,5
632,動詞,飛び降りる,5,5
633,名詞,6,5,5
634,名詞,あご,5,5
635,名詞,けが,5,5
636,名詞,けんか,5,5
637,名詞,てんかん,5,5
638,名詞,よそ見,5,5
639,名詞,グランド,5,5
640,名詞,グリップ,5,5
641,名詞,グローブ,5,5
642,名詞,スパイク,5,5
643,名詞,スライディング,5,5
644,名詞,タイミング,5,5
645,名詞,ダブルス,5,5
646,名詞,ダンス,5,5
647,名詞,トラブル,5,5
648,名詞,バスケット,5,5
649,名詞,プレー,5,5
650,名詞,ペア,5,5
651,名詞,ホール,5,5
652,名詞,ポール,5,5
653,名詞,人組,5,5
654,名詞,以前,5,5
655,名詞,全力,5,5
656,名詞,出し,5,5
657,名詞,分,5,5
658,名詞,吹奏楽,5,5
659,名詞,周り,5,5
660,名詞,多量,5,5
661,名詞,宿泊,5,5
662,名詞,寄宿舎,5,5
663,名詞,左上,5,5
664,名詞,底,5,5
665,名詞,度,5,5
666,名詞,式,5,5
667,名詞,手首,5,5
668,名詞,拍子,5,5
669,名詞,日,5,5
670,名詞,早朝,5,5
671,名詞,校内,5,5
672,名詞,根本,5,5
673,名詞,歯茎,5,5
674,名詞,永久歯,5,5
675,名詞,注意,5,5
676,名詞,照明,5,5
677,名詞,物,5,5
678,名詞,番,5,5
679,名詞,直前,5,5
680,名詞,紅白,5,5
681,名詞,総合,5,5
682,名詞,縁,5,5
683,名詞,腹,5,5
684,名詞,腹部,5,5
685,名詞,言葉,5,5
686,名詞,通路,5,5
687,名詞,開始,5,5
688,名詞,雨天,5,5
689,名詞,電柱,5,5
690,名詞,馬跳び,5,5
691,名詞,鬼,5,5
692,形容詞,長い,5,5
693,名詞,車椅子,9,4
694,名詞,すべり台,6,4
695,名詞,作業,6,4
696,名詞,黒板,6,4
697,動詞,刺さる,5,4
698,動詞,跳ね上がる,5,4
699,名詞,m,5,4
700,名詞,ほうき,5,4
701,名詞,カゴ,5,4
702,名詞,ゴルフ,5,4
703,名詞,サーブ,5,4
704,名詞,スケート,5,4
705,名詞,タックル,5,4
706,名詞,デッキ,5,4
707,名詞,トランポリン,5,4
708,名詞,ロープ,5,4
709,名詞,三,5,4
710,名詞,三塁,5,4
711,名詞,内野,5,4
712,名詞,力,5,4
713,名詞,宙返り,5,4
714,名詞,班,5,4
715,名詞,見学,5,4
716,名詞,転,5,4
717,動詞,うつ伏せる,4,4
718,動詞,かがむ,4,4
719,動詞,かすめる,4,4
720,動詞,きる,4,4
721,動詞,こぐ,4,4
722,動詞,じゃれる,4,4
723,動詞,つんのめる,4,4
724,動詞,とぶ,4,4
725,動詞,ぬれる,4,4
726,動詞,乗り越える,4,4
727,動詞,伸ばす,4,4
728,動詞,傾く,4,4
729,動詞,入り込む,4,4
730,動詞,取り返す,4,4
731,動詞,叩く,4,4
732,動詞,変わる,4,4
733,動詞,外す,4,4
734,動詞,持ち上げる,4,4
735,動詞,振り払う,4,4
736,動詞,擦りむく,4,4
737,動詞,浮く,4,4
738,動詞,立てる,4,4
739,動詞,続く,4,4
740,動詞,脱ぐ,4,4
741,動詞,覆う,4,4
742,動詞,躓く,4,4
743,動詞,追いつく,4,4
744,動詞,進む,4,4
745,動詞,逸れる,4,4
746,動詞,重なる,4,4
747,動詞,飛び込む,4,4
748,動詞,駆け寄る,4,4
749,動詞,驚く,4,4
750,名詞,かばん,4,4
751,名詞,そば,4,4
752,名詞,とっさ,4,4
753,名詞,ほお,4,4
754,名詞,カット,4,4
755,名詞,ゴム,4,4
756,名詞,センター,4,4
757,名詞,ファール,4,4
758,名詞,フリー,4,4
759,名詞,フロア,4,4
760,名詞,ベンチ,4,4
761,名詞,ベースボール,4,4
762,名詞,ホームルーム,4,4
763,名詞,ミーティング,4,4
764,名詞,ルーズボール,4,4
765,名詞,一環,4,4
766,名詞,上口,4,4
767,名詞,上級生,4,4
768,名詞,中庭,4,4
769,名詞,停止,4,4
770,名詞,停車,4,4
771,名詞,入り口,4,4
772,名詞,全身,4,4
773,名詞,公式,4,4
774,名詞,列,4,4
775,名詞,前かがみ,4,4
776,名詞,前日,4,4
777,名詞,右側,4,4
778,名詞,合唱,4,4
779,名詞,向き,4,4
780,名詞,固定,4,4
781,名詞,外傷,4,4
782,名詞,姿勢,4,4
783,名詞,小走り,4,4
784,名詞,左折,4,4
785,名詞,帰り,4,4
786,名詞,年生,4,4
787,名詞,扉,4,4
788,名詞,手前,4,4
789,名詞,投球,4,4
790,名詞,持久走,4,4
791,名詞,指示,4,4
792,名詞,支援,4,4
793,名詞,攻撃,4,4
794,名詞,文化,4,4
795,名詞,最中,4,4
796,名詞,最寄り駅,4,4
797,名詞,柄,4,4
798,名詞,浴室,4,4
799,名詞,特別,4,4
800,名詞,理科,4,4
801,名詞,生活,4,4
802,名詞,用水路,4,4
803,名詞,病院,4,4
804,名詞,監督,4,4
805,名詞,空振り,4,4
806,名詞,突き,4,4
807,名詞,立ち,4,4
808,名詞,競り合い,4,4
809,名詞,経路,4,4
810,名詞,結露,4,4
811,名詞,置き場,4,4
812,名詞,胸部,4,4
813,名詞,自由,4,4
814,名詞,行事,4,4
815,名詞,裂創,4,4
816,名詞,裏,4,4
817,名詞,貧血,4,4
818,名詞,走り高跳び,4,4
819,名詞,距離,4,4
820,名詞,鉄柱,4,4
821,名詞,鉄製,4,4
822,名詞,集会,4,4
823,名詞,音楽,4,4
824,名詞,駐輪場,4,4
825,名詞,０,4,4
826,形容詞,軽い,4,4
827,名詞,ぶらんこ,6,3
828,名詞,管,6,3
829,名詞,ジャングルジム,5,3
830,名詞,ボード,5,3
831,名詞,先輩,5,3
832,名詞,役,5,3
833,名詞,教諭,5,3
834,動詞,うむ,4,3
835,動詞,巻く,4,3
836,動詞,打ち返す,4,3
837,動詞,押さえる,4,3
838,動詞,揺らす,4,3
839,名詞,クラスメート,4,3
840,名詞,グラブ,4,3
841,名詞,ドア,4,3
842,名詞,パイプ,4,3
843,名詞,マウス,4,3
844,名詞,マスク,4,3
845,名詞,倉庫,4,3
846,名詞,入口,4,3
847,名詞,処理,4,3
848,名詞,剣道,4,3
849,名詞,平行棒,4,3
850,名詞,打順,4,3
851,名詞,正門,4,3
852,名詞,花壇,4,3
853,名詞,路上,4,3
854,名詞,跳箱,4,3
855,名詞,返却,4,3
856,動詞,うつぶせる,3,3
857,動詞,からまる,3,3
858,動詞,ずれる,3,3
859,動詞,ふる,3,3
860,動詞,もつれる,3,3
861,動詞,やめる,3,3
862,動詞,れっする,3,3
863,動詞,乗りかかる,3,3
864,動詞,乗り出す,3,3
865,動詞,傷める,3,3
866,動詞,割れる,3,3
867,動詞,取れる,3,3
868,動詞,受け取る,3,3
869,動詞,呼ぶ,3,3
870,動詞,履く,3,3
871,動詞,巻き込む,3,3
872,動詞,引っかける,3,3
873,動詞,張る,3,3
874,動詞,振り上げる,3,3
875,動詞,掴む,3,3
876,動詞,握る,3,3
877,動詞,残る,3,3
878,動詞,滑り込む,3,3
879,動詞,競り合う,3,3
880,動詞,組む,3,3
881,動詞,結ぶ,3,3
882,動詞,続ける,3,3
883,動詞,腫れる,3,3
884,動詞,裂ける,3,3
885,動詞,触れる,3,3
886,動詞,訴える,3,3
887,動詞,込む,3,3
888,動詞,近寄る,3,3
889,動詞,通りかかる,3,3
890,動詞,集める,3,3
891,動詞,飛びつく,3,3
892,動詞,駆ける,3,3
893,名詞,A,3,3
894,名詞,HR,3,3
895,名詞,いす,3,3
896,名詞,おでこ,3,3
897,名詞,かご,3,3
898,名詞,ごっこ,3,3
899,名詞,はずみ,3,3
900,名詞,ふり,3,3
901,名詞,ウォーミングアップ,3,3
902,名詞,カバン,3,3
903,名詞,コンクリートブロック,3,3
904,名詞,スマッシュ,3,3
905,名詞,スロープ,3,3
906,名詞,ターン,3,3
907,名詞,ダイビング,3,3
908,名詞,ダッシュ,3,3
909,名詞,チアリーディング,3,3
910,名詞,チェーン,3,3
911,名詞,テスト,3,3
912,名詞,トラック,3,3
913,名詞,バレー,3,3
914,名詞,パンチ,3,3
915,名詞,ピッチングマシン,3,3
916,名詞,ピッチングマシーン,3,3
917,名詞,ファウルフライ,3,3
918,名詞,ファウルボール,3,3
919,名詞,フェイント,3,3
920,名詞,フライング,3,3
921,名詞,フレーム,3,3
922,名詞,ホーム,3,3
923,名詞,ボクシング,3,3
924,名詞,マシン,3,3
925,名詞,マネージャー,3,3
926,名詞,マンホール,3,3
927,名詞,メートル,3,3
928,名詞,リバウンド,3,3
929,名詞,レフト,3,3
930,名詞,ワン,3,3
931,名詞,ヶ所,3,3
932,名詞,一瞬,3,3
933,名詞,上履き,3,3
934,名詞,上部,3,3
935,名詞,乱取り,3,3
936,名詞,亀裂,3,3
937,名詞,予選,3,3
938,名詞,二塁,3,3
939,名詞,亜,3,3
940,名詞,休み,3,3
941,名詞,休業,3,3
942,名詞,余り,3,3
943,名詞,信号,3,3
944,名詞,児,3,3
945,名詞,切,3,3
946,名詞,利用,3,3
947,名詞,卒業,3,3
948,名詞,卓球,3,3
949,名詞,取り,3,3
950,名詞,可能,3,3
951,名詞,周囲,3,3
952,名詞,回し,3,3
953,名詞,団,3,3
954,名詞,園,3,3
955,名詞,土台,3,3
956,名詞,境目,3,3
957,名詞,夏季,3,3
958,名詞,外側,3,3
959,名詞,大量,3,3
960,名詞,奥歯,3,3
961,名詞,女子,3,3
962,名詞,宙,3,3
963,名詞,室内,3,3
964,名詞,左足,3,3
965,名詞,幅,3,3
966,名詞,年,3,3
967,名詞,弾み,3,3
968,名詞,往復,3,3
969,名詞,後ろ向き,3,3
970,名詞,後片付け,3,3
971,名詞,後衛,3,3
972,名詞,怪我,3,3
973,名詞,手足,3,3
974,名詞,抜歯,3,3
975,名詞,拳,3,3
976,名詞,捻挫,3,3
977,名詞,接近,3,3
978,名詞,擦過傷,3,3
979,名詞,教科,3,3
980,名詞,春季,3,3
981,名詞,昼,3,3
982,名詞,最後,3,3
983,名詞,木製,3,3
984,名詞,柵,3,3
985,名詞,校,3,3
986,名詞,校外,3,3
987,名詞,根元,3,3
988,名詞,棒引き,3,3
989,名詞,横断,3,3
990,名詞,橋,3,3
991,名詞,母親,3,3
992,名詞,汗,3,3
993,名詞,片方,3,3
994,名詞,玄関,3,3
995,名詞,現場,3,3
996,名詞,発表,3,3
997,名詞,相撲,3,3
998,名詞,県,3,3
999,名詞,研究,3,3
1000,名詞,科,3,3
1001,名詞,程度,3,3
1002,名詞,空中,3,3
1003,名詞,競争,3,3
