順位,品詞,基本形,出現回数,出現事例数,事例出現率(%)
184,名詞,バウンド,25,24,1.5161
185,名詞,両手,24,24,1.5161
186,名詞,搬送,24,24,1.5161
187,動詞,気付く,24,24,1.5161
188,名詞,激突,24,24,1.5161
189,動詞,終わる,24,24,1.5161
190,動詞,負う,24,24,1.5161
191,名詞,ｍ,24,24,1.5161
192,名詞,ラケット,30,23,1.4529
193,名詞,清掃,30,23,1.4529
194,動詞,おる,25,23,1.4529
195,動詞,いく,24,23,1.4529
196,名詞,ディフェンス,24,23,1.4529
197,名詞,外,24,23,1.4529
198,動詞,拾う,24,23,1.4529
199,名詞,ピッチャー,23,23,1.4529
200,動詞,降りる,24,22,1.3898
201,動詞,戻る,23,22,1.3898
202,名詞,肩,23,22,1.3898
203,名詞,路面,23,22,1.3898
204,名詞,参加,22,22,1.3898
205,名詞,形式,22,22,1.3898
206,名詞,的,22,22,1.3898
207,動詞,とる,22,21,1.3266
208,名詞,鼻,22,21,1.3266
209,動詞,きれる,21,21,1.3266
210,名詞,スピード,21,21,1.3266
211,動詞,上がる,21,21,1.3266
212,名詞,先,21,21,1.3266
213,動詞,失う,21,21,1.3266
214,名詞,当たり,21,21,1.3266
215,名詞,昼食,21,21,1.3266
216,名詞,机,28,20,1.2634
217,名詞,競技,22,20,1.2634
218,名詞,クラス,21,20,1.2634
219,名詞,スティック,21,20,1.2634
220,名詞,二,21,20,1.2634
221,名詞,別,21,20,1.2634
222,名詞,支柱,21,20,1.2634
223,名詞,雨,21,20,1.2634
224,動詞,外れる,20,20,1.2634
225,名詞,急,20,20,1.2634
226,名詞,意識,20,20,1.2634
227,名詞,朝,20,20,1.2634
228,名詞,棒,33,19,1.2003
229,名詞,校庭,22,19,1.2003
230,名詞,ゴールキーパー,21,19,1.2003
231,動詞,出す,20,19,1.2003
232,動詞,守る,20,19,1.2003
233,名詞,間,20,19,1.2003
234,名詞,そう,19,19,1.2003
235,名詞,校舎,19,19,1.2003
236,名詞,着地,19,19,1.2003
237,名詞,額,19,19,1.2003
238,名詞,一,23,18,1.1371
239,名詞,打者,21,18,1.1371
240,名詞,口腔,19,18,1.1371
241,名詞,坂道,19,18,1.1371
242,名詞,指導,19,18,1.1371
243,名詞,骨折,19,18,1.1371
244,動詞,かかる,18,18,1.1371
245,名詞,の,18,18,1.1371
246,名詞,受診,18,18,1.1371
247,動詞,引っ掛かる,18,18,1.1371
248,動詞,損ねる,18,18,1.1371
249,名詞,方向,18,18,1.1371
250,名詞,レシーブ,21,17,1.0739
251,名詞,側溝,19,17,1.0739
252,名詞,腕,19,17,1.0739
253,名詞,コート,18,17,1.0739
254,動詞,曲がる,18,17,1.0739
255,名詞,送球,18,17,1.0739
256,名詞,うし,17,17,1.0739
257,名詞,ろ,17,17,1.0739
258,名詞,一緒,17,17,1.0739
259,名詞,上下,17,17,1.0739
260,名詞,上唇,17,17,1.0739
261,動詞,抜け落ちる,17,17,1.0739
262,動詞,振り向く,17,17,1.0739
263,名詞,昼休み,17,17,1.0739
264,名詞,正面,17,17,1.0739
265,名詞,特定,17,17,1.0739
266,名詞,瞬間,17,17,1.0739
267,名詞,４,17,17,1.0739
268,名詞,鉄棒,27,16,1.0107
269,名詞,傘,19,16,1.0107
270,名詞,キャッチ,18,16,1.0107
271,名詞,ジャンプ,18,16,1.0107
272,動詞,つかむ,17,16,1.0107
273,名詞,方,17,16,1.0107
274,動詞,止まる,17,16,1.0107
275,名詞,ホッケー,16,16,1.0107
276,動詞,下る,16,16,1.0107
277,動詞,使う,16,16,1.0107
278,名詞,打撃,16,16,1.0107
279,名詞,次,16,16,1.0107
280,名詞,男子,16,16,1.0107
281,動詞,終える,16,16,1.0107
282,名詞,脱落,16,16,1.0107
283,動詞,跳ね返る,16,16,1.0107
284,名詞,プール,28,15,0.9476
285,名詞,マット,22,15,0.9476
286,名詞,バント,18,15,0.9476
287,名詞,５,17,15,0.9476
288,名詞,バッターボックス,16,15,0.9476
289,名詞,ランニング,16,15,0.9476
290,動詞,支える,16,15,0.9476
291,形容詞,激しい,16,15,0.9476
292,名詞,靴,16,15,0.9476
293,動詞,入れる,15,15,0.9476
294,動詞,向く,15,15,0.9476
295,名詞,所,15,15,0.9476
296,動詞,振り返る,15,15,0.9476
297,名詞,柔道,15,15,0.9476
298,動詞,濡れる,15,15,0.9476
299,名詞,直接,15,15,0.9476
300,動詞,絡まる,15,15,0.9476
301,名詞,背中,15,15,0.9476
302,名詞,裂傷,15,15,0.9476
303,形容詞,高い,15,15,0.9476
304,名詞,外野,16,14,0.8844
305,動詞,座る,16,14,0.8844
306,名詞,テニス,15,14,0.8844
307,動詞,上げる,15,14,0.8844
308,名詞,回転,15,14,0.8844
309,名詞,学級,15,14,0.8844
310,動詞,殴る,15,14,0.8844
311,動詞,ひっかかる,14,14,0.8844
312,名詞,カーブ,14,14,0.8844
313,名詞,ショート,14,14,0.8844
314,名詞,場所,14,14,0.8844
315,名詞,左側,14,14,0.8844
316,動詞,思う,14,14,0.8844
317,名詞,角,14,14,0.8844
318,動詞,転がる,14,14,0.8844
319,名詞,トイレ,16,13,0.8212
320,名詞,パス,16,13,0.8212
321,名詞,辺り,15,13,0.8212
322,名詞,かけっこ,14,13,0.8212
323,名詞,ドリブル,14,13,0.8212
324,名詞,受傷,14,13,0.8212
325,名詞,名,14,13,0.8212
326,動詞,待つ,14,13,0.8212
327,名詞,縁石,14,13,0.8212
328,動詞,逃げる,14,13,0.8212
329,名詞,サード,13,13,0.8212
330,名詞,シート,13,13,0.8212
331,名詞,セカンド,13,13,0.8212
332,名詞,ドッジボール,13,13,0.8212
333,名詞,破損,13,13,0.8212
334,名詞,車輪,13,13,0.8212
335,動詞,通る,13,13,0.8212
336,名詞,遊び,13,13,0.8212
337,動詞,離す,13,13,0.8212
338,名詞,塁,15,12,0.7581
339,名詞,バック,14,12,0.7581
340,名詞,教師,14,12,0.7581
341,名詞,給食,14,12,0.7581
342,名詞,ペダル,13,12,0.7581
343,名詞,声,13,12,0.7581
344,動詞,引っ張る,13,12,0.7581
345,名詞,道,13,12,0.7581
346,名詞,4,12,12,0.7581
347,名詞,キャッチボール,12,12,0.7581
348,名詞,ティー,12,12,0.7581
349,名詞,バドミントン,12,12,0.7581
350,動詞,合う,12,12,0.7581
351,名詞,対,12,12,0.7581
352,名詞,帰宅,12,12,0.7581
353,名詞,後頭部,12,12,0.7581
354,名詞,硬式,12,12,0.7581
355,動詞,置く,12,12,0.7581
356,名詞,陸上,12,12,0.7581
357,名詞,スキー,16,11,0.6949
358,名詞,フェンス,16,11,0.6949
359,名詞,石,16,11,0.6949
360,名詞,トス,14,11,0.6949
361,名詞,担任,13,11,0.6949
362,名詞,溝,13,11,0.6949
363,名詞,アスファルト,12,11,0.6949
364,名詞,学習,12,11,0.6949
365,名詞,応援,12,11,0.6949
366,動詞,抜く,12,11,0.6949
367,名詞,歩行,12,11,0.6949
368,名詞,雑巾,12,11,0.6949
369,名詞,あたり,11,11,0.6949
370,名詞,スリップ,11,11,0.6949
371,動詞,乗り上げる,11,11,0.6949
372,名詞,会,11,11,0.6949
373,動詞,余る,11,11,0.6949
374,名詞,失敗,11,11,0.6949
375,名詞,学年,11,11,0.6949
376,動詞,引っかかる,11,11,0.6949
377,名詞,技,11,11,0.6949
378,動詞,投げ出す,11,11,0.6949
379,動詞,止める,11,11,0.6949
380,名詞,気,11,11,0.6949
381,動詞,痛める,11,11,0.6949
382,動詞,突っ込む,11,11,0.6949
383,名詞,脇,11,11,0.6949
384,名詞,衝撃,11,11,0.6949
385,名詞,金属,11,11,0.6949
386,動詞,降る,11,11,0.6949
387,名詞,骨,11,11,0.6949
388,名詞,椅子,13,10,0.6317
389,動詞,跳ぶ,13,10,0.6317
390,名詞,チームメイト,11,10,0.6317
391,名詞,実習,11,10,0.6317
392,名詞,形,11,10,0.6317
393,動詞,振り回す,11,10,0.6317
394,名詞,操作,11,10,0.6317
395,名詞,路,11,10,0.6317
396,名詞,部室,11,10,0.6317
397,名詞,うち,10,10,0.6317
398,動詞,すべる,10,10,0.6317
399,名詞,ガードレール,10,10,0.6317
400,名詞,リレー,10,10,0.6317
401,名詞,体勢,10,10,0.6317
402,形容詞,悪い,10,10,0.6317
403,名詞,放課後,10,10,0.6317
404,動詞,踏み外す,10,10,0.6317
405,名詞,面,10,10,0.6317
406,名詞,順番,10,10,0.6317
407,動詞,飛ばす,10,10,0.6317
408,動詞,飛び出す,10,10,0.6317
409,名詞,バー,13,9,0.5685
410,名詞,遊具,12,9,0.5685
411,名詞,台,11,9,0.5685
412,名詞,板,11,9,0.5685
413,名詞,クラブ,10,9,0.5685
414,名詞,右足,10,9,0.5685
415,名詞,打席,10,9,0.5685
416,名詞,渡り廊下,10,9,0.5685
417,名詞,窓,10,9,0.5685
418,名詞,荷物,10,9,0.5685
419,名詞,通学,10,9,0.5685
420,名詞,さ,9,9,0.5685
421,動詞,やる,9,9,0.5685
422,名詞,ヘディング,9,9,0.5685
423,名詞,ラグビー,9,9,0.5685
424,動詞,下りる,9,9,0.5685
425,形容詞,低い,9,9,0.5685
426,動詞,倒す,9,9,0.5685
427,名詞,出場,9,9,0.5685
428,名詞,取り合い,9,9,0.5685
429,動詞,向ける,9,9,0.5685
430,名詞,周辺,9,9,0.5685
431,名詞,坂,9,9,0.5685
432,動詞,始める,9,9,0.5685
433,名詞,当日,9,9,0.5685
434,名詞,掃除,9,9,0.5685
435,名詞,斜め,9,9,0.5685
436,動詞,構える,9,9,0.5685
437,名詞,気分,9,9,0.5685
438,名詞,水泳,9,9,0.5685
439,名詞,滑走,9,9,0.5685
440,名詞,為,9,9,0.5685
441,動詞,着く,9,9,0.5685
442,名詞,確認,9,9,0.5685
443,動詞,立ち上がる,9,9,0.5685
444,名詞,等,9,9,0.5685
445,動詞,起こす,9,9,0.5685
446,名詞,車道,9,9,0.5685
447,名詞,輪,9,9,0.5685
448,動詞,近づく,9,9,0.5685
449,名詞,遠足,9,9,0.5685
450,名詞,部活,9,9,0.5685
451,名詞,段,15,8,0.5054
452,名詞,教員,13,8,0.5054
453,名詞,シャトル,12,8,0.5054
454,名詞,ひも,10,8,0.5054
455,名詞,手すり,10,8,0.5054
456,名詞,ブロック,9,8,0.5054
457,名詞,ポスト,9,8,0.5054
458,名詞,体操,9,8,0.5054
459,名詞,内側,9,8,0.5054
460,名詞,回,9,8,0.5054
461,名詞,席,9,8,0.5054
462,名詞,戦,9,8,0.5054
463,名詞,片付け,9,8,0.5054
464,動詞,あう,8,8,0.5054
465,形容詞,うまい,8,8,0.5054
466,名詞,がけ,8,8,0.5054
467,動詞,こむ,8,8,0.5054
468,形容詞,ない,8,8,0.5054
469,名詞,ゴロ,8,8,0.5054
470,名詞,トレーニング,8,8,0.5054
471,名詞,ロック,8,8,0.5054
472,動詞,並ぶ,8,8,0.5054
473,名詞,中央,8,8,0.5054
474,名詞,交差点,8,8,0.5054
475,名詞,入ろう,8,8,0.5054
476,名詞,右手,8,8,0.5054
477,名詞,味方,8,8,0.5054
478,動詞,回す,8,8,0.5054
479,名詞,始業,8,8,0.5054
480,動詞,帰る,8,8,0.5054
481,名詞,待機,8,8,0.5054
482,名詞,歯槽,8,8,0.5054
483,名詞,歯肉,8,8,0.5054
484,動詞,渡す,8,8,0.5054
485,名詞,用,8,8,0.5054
486,名詞,発作,8,8,0.5054
487,動詞,登る,8,8,0.5054
488,名詞,直後,8,8,0.5054
489,名詞,種目,8,8,0.5054
490,名詞,者,8,8,0.5054
491,名詞,走者,8,8,0.5054
492,名詞,身体,8,8,0.5054
493,名詞,通常,8,8,0.5054
494,名詞,遠征,8,8,0.5054
495,名詞,６,8,8,0.5054
496,名詞,ランナー,10,7,0.4422
497,名詞,馬,10,7,0.4422
498,名詞,ファースト,9,7,0.4422
499,名詞,水,9,7,0.4422
500,動詞,運ぶ,9,7,0.4422
501,動詞,しゃがむ,8,7,0.4422
502,名詞,サイド,8,7,0.4422
503,名詞,スイング,8,7,0.4422
504,動詞,急ぐ,8,7,0.4422
505,名詞,組,8,7,0.4422
506,名詞,胸,8,7,0.4422
507,名詞,自宅,8,7,0.4422
508,動詞,走り出す,8,7,0.4422
509,名詞,駐車,8,7,0.4422
510,名詞,そこ,7,7,0.4422
511,名詞,たち,7,7,0.4422
512,名詞,ベース,7,7,0.4422
513,名詞,位置,7,7,0.4422
514,名詞,何,7,7,0.4422
515,名詞,先端,7,7,0.4422
516,名詞,半分,7,7,0.4422
517,名詞,反動,7,7,0.4422
518,名詞,反対,7,7,0.4422
519,名詞,合宿,7,7,0.4422
520,形容詞,大きい,7,7,0.4422
521,動詞,始まる,7,7,0.4422
522,名詞,完全,7,7,0.4422
523,動詞,崩れる,7,7,0.4422
524,名詞,左手,7,7,0.4422
525,名詞,左腕,7,7,0.4422
526,名詞,徒歩,7,7,0.4422
527,名詞,投手,7,7,0.4422
528,動詞,挟まる,7,7,0.4422
529,動詞,掛ける,7,7,0.4422
530,動詞,損なう,7,7,0.4422
531,名詞,昇降,7,7,0.4422
532,名詞,歯根,7,7,0.4422
533,名詞,滑り,7,7,0.4422
534,名詞,背後,7,7,0.4422
535,動詞,落とす,7,7,0.4422
536,名詞,設置,7,7,0.4422
537,名詞,踊り場,7,7,0.4422
538,名詞,運動会,7,7,0.4422
539,名詞,鉄,7,7,0.4422
540,名詞,防,7,7,0.4422
541,名詞,首,7,7,0.4422
542,名詞,ステージ,12,6,0.379
543,名詞,水筒,10,6,0.379
544,名詞,保健,9,6,0.379
545,名詞,友だち,9,6,0.379
546,名詞,同級生,8,6,0.379
547,名詞,川,8,6,0.379
548,動詞,渡る,8,6,0.379
549,名詞,返球,8,6,0.379
550,名詞,オフェンス,7,6,0.379
551,名詞,ノッカー,7,6,0.379
552,名詞,ライト,7,6,0.379
553,名詞,一塁,7,6,0.379
554,名詞,交錯,7,6,0.379
555,動詞,回る,7,6,0.379
556,名詞,斜面,7,6,0.379
557,名詞,自動車,7,6,0.379
558,名詞,蓋,7,6,0.379
559,名詞,袋,7,6,0.379
560,動詞,跳ねる,7,6,0.379
561,名詞,顧問,7,6,0.379
562,動詞,あたる,6,6,0.379
563,名詞,お互い,6,6,0.379
564,動詞,ぐらつく,6,6,0.379
565,動詞,それる,6,6,0.379
566,動詞,つける,6,6,0.379
567,名詞,つま,6,6,0.379
568,動詞,づく,6,6,0.379
569,動詞,ふらつく,6,6,0.379
570,動詞,みる,6,6,0.379
571,動詞,もらう,6,6,0.379
572,名詞,デッドボール,6,6,0.379
573,名詞,ハンドボール,6,6,0.379
574,名詞,ヘルメット,6,6,0.379
575,名詞,ライナー,6,6,0.379
576,動詞,下がる,6,6,0.379
577,動詞,下ろす,6,6,0.379
578,名詞,交流,6,6,0.379
579,名詞,位,6,6,0.379
580,名詞,先頭,6,6,0.379
581,名詞,全員,6,6,0.379
582,名詞,公園,6,6,0.379
583,動詞,分かれる,6,6,0.379
584,名詞,前進,6,6,0.379
585,名詞,動き,6,6,0.379
586,名詞,口論,6,6,0.379
587,名詞,合同,6,6,0.379
588,名詞,同士,6,6,0.379
589,動詞,寄る,6,6,0.379
590,動詞,引く,6,6,0.379
591,動詞,引っ掛ける,6,6,0.379
592,動詞,怒る,6,6,0.379
593,名詞,性,6,6,0.379
594,動詞,戻す,6,6,0.379
595,動詞,放す,6,6,0.379
596,名詞,本人,6,6,0.379
597,名詞,枠,6,6,0.379
598,名詞,校門,6,6,0.379
599,動詞,気が付く,6,6,0.379
600,動詞,気づく,6,6,0.379
601,名詞,球技,6,6,0.379
602,名詞,痛み,6,6,0.379
603,名詞,発見,6,6,0.379
604,名詞,砂利,6,6,0.379
605,動詞,立ち止まる,6,6,0.379
606,名詞,端,6,6,0.379
607,名詞,脚,6,6,0.379
608,名詞,腰,6,6,0.379
609,名詞,自立,6,6,0.379
610,動詞,見える,6,6,0.379
611,動詞,見失う,6,6,0.379
612,動詞,言い争う,6,6,0.379
613,名詞,話,6,6,0.379
614,動詞,起きる,6,6,0.379
615,名詞,足元,6,6,0.379
616,動詞,遅れる,6,6,0.379
617,名詞,頬,6,6,0.379
618,名詞,駅,6,6,0.379
619,名詞,竹,12,5,0.3159
620,名詞,シーソー,8,5,0.3159
621,名詞,5,7,5,0.3159
622,名詞,グループ,7,5,0.3159
623,名詞,ブラシ,7,5,0.3159
624,名詞,車いす,7,5,0.3159
625,名詞,キック,6,5,0.3159
626,名詞,キーパー,6,5,0.3159
627,名詞,コース,6,5,0.3159
628,名詞,ポジション,6,5,0.3159
629,名詞,両足,6,5,0.3159
630,名詞,使用,6,5,0.3159
631,名詞,冠,6,5,0.3159
632,名詞,擦り傷,6,5,0.3159
633,名詞,6,5,5,0.3159
634,名詞,あご,5,5,0.3159
635,動詞,かわす,5,5,0.3159
636,名詞,けが,5,5,0.3159
637,動詞,ける,5,5,0.3159
638,名詞,けんか,5,5,0.3159
639,動詞,すぎる,5,5,0.3159
640,動詞,つなぐ,5,5,0.3159
641,名詞,てんかん,5,5,0.3159
642,動詞,はまる,5,5,0.3159
643,名詞,よそ見,5,5,0.3159
644,名詞,グランド,5,5,0.3159
645,名詞,グリップ,5,5,0.3159
646,名詞,グローブ,5,5,0.3159
647,名詞,スパイク,5,5,0.3159
648,名詞,スライディング,5,5,0.3159
649,名詞,タイミング,5,5,0.3159
650,名詞,ダブルス,5,5,0.3159
651,名詞,ダンス,5,5,0.3159
652,名詞,トラブル,5,5,0.3159
653,名詞,バスケット,5,5,0.3159
654,名詞,プレー,5,5,0.3159
655,名詞,ペア,5,5,0.3159
656,名詞,ホール,5,5,0.3159
657,名詞,ポール,5,5,0.3159
658,動詞,上る,5,5,0.3159
659,名詞,人組,5,5,0.3159
660,名詞,以前,5,5,0.3159
661,動詞,倒れ込む,5,5,0.3159
662,名詞,全力,5,5,0.3159
663,名詞,出し,5,5,0.3159
664,動詞,出来る,5,5,0.3159
665,名詞,分,5,5,0.3159
666,動詞,動く,5,5,0.3159
667,動詞,受け止める,5,5,0.3159
668,名詞,吹奏楽,5,5,0.3159
669,名詞,周り,5,5,0.3159
670,名詞,多量,5,5,0.3159
671,動詞,奪う,5,5,0.3159
672,名詞,宿泊,5,5,0.3159
673,名詞,寄宿舎,5,5,0.3159
674,名詞,左上,5,5,0.3159
675,名詞,底,5,5,0.3159
676,名詞,度,5,5,0.3159
677,名詞,式,5,5,0.3159
678,名詞,手首,5,5,0.3159
679,名詞,拍子,5,5,0.3159
680,動詞,振り切る,5,5,0.3159
681,名詞,日,5,5,0.3159
682,名詞,早朝,5,5,0.3159
683,名詞,校内,5,5,0.3159
684,名詞,根本,5,5,0.3159
685,名詞,歯茎,5,5,0.3159
686,名詞,永久歯,5,5,0.3159
687,名詞,注意,5,5,0.3159
688,名詞,照明,5,5,0.3159
689,名詞,物,5,5,0.3159
690,名詞,番,5,5,0.3159
691,名詞,直前,5,5,0.3159
692,名詞,紅白,5,5,0.3159
693,名詞,総合,5,5,0.3159
694,名詞,縁,5,5,0.3159
695,名詞,腹,5,5,0.3159
696,名詞,腹部,5,5,0.3159
697,動詞,見つける,5,5,0.3159
698,動詞,言う,5,5,0.3159
699,名詞,言葉,5,5,0.3159
700,動詞,起き上がる,5,5,0.3159
701,動詞,越える,5,5,0.3159
702,動詞,返す,5,5,0.3159
703,名詞,通路,5,5,0.3159
704,動詞,過ぎる,5,5,0.3159
705,形容詞,長い,5,5,0.3159
706,名詞,開始,5,5,0.3159
707,動詞,間に合う,5,5,0.3159
708,名詞,雨天,5,5,0.3159
709,名詞,電柱,5,5,0.3159
710,動詞,飛び降りる,5,5,0.3159
711,名詞,馬跳び,5,5,0.3159
712,名詞,鬼,5,5,0.3159
713,名詞,車椅子,9,4,0.2527
714,名詞,すべり台,6,4,0.2527
715,名詞,作業,6,4,0.2527
716,名詞,黒板,6,4,0.2527
717,名詞,m,5,4,0.2527
718,名詞,ほうき,5,4,0.2527
719,名詞,カゴ,5,4,0.2527
720,名詞,ゴルフ,5,4,0.2527
721,名詞,サーブ,5,4,0.2527
722,名詞,スケート,5,4,0.2527
723,名詞,タックル,5,4,0.2527
724,名詞,デッキ,5,4,0.2527
725,名詞,トランポリン,5,4,0.2527
726,名詞,ロープ,5,4,0.2527
727,名詞,三,5,4,0.2527
728,名詞,三塁,5,4,0.2527
729,名詞,内野,5,4,0.2527
730,動詞,刺さる,5,4,0.2527
731,名詞,力,5,4,0.2527
732,名詞,宙返り,5,4,0.2527
733,名詞,班,5,4,0.2527
734,名詞,見学,5,4,0.2527
735,動詞,跳ね上がる,5,4,0.2527
736,名詞,転,5,4,0.2527
737,動詞,うつ伏せる,4,4,0.2527
738,動詞,かがむ,4,4,0.2527
739,動詞,かすめる,4,4,0.2527
740,名詞,かばん,4,4,0.2527
741,動詞,きる,4,4,0.2527
742,動詞,こぐ,4,4,0.2527
743,動詞,じゃれる,4,4,0.2527
744,名詞,そば,4,4,0.2527
745,動詞,つんのめる,4,4,0.2527
