解析,設定,項目,調整オッズ比,95%CI下限,95%CI上限
カテゴリ統合基準,30件未満を統合,場合別1：その他（少数カテゴリ）（対 課外指導）,0.09559082720460249,0.0325949673928499,0.2803379471293661
カテゴリ統合基準,30件未満を統合,場合別1：休憩時間（対 課外指導）,0.9770836421923927,0.8093467970529736,1.1795838907576042
カテゴリ統合基準,30件未満を統合,場合別1：各教科等（対 課外指導）,0.7597297724345454,0.6383834298768416,0.9041420878276851
カテゴリ統合基準,30件未満を統合,場合別1：学校行事（対 課外指導）,1.0183834541875498,0.7761270727368038,1.3362565180285408
カテゴリ統合基準,30件未満を統合,場合別1：特別活動（除学校行事）（対 課外指導）,1.196587780445401,0.8794760065480262,1.6280402258285633
カテゴリ統合基準,30件未満を統合,場合別1：通学中（対 課外指導）,3.0521610276531734,2.512837075699756,3.7072387337848847
カテゴリ統合基準,30件未満を統合,被災学校種：その他（少数カテゴリ）（対 高）,0.4910311880965882,0.19725395917903996,1.2223411316408561
カテゴリ統合基準,30件未満を統合,被災学校種：中（対 高）,0.5020441622262081,0.43543998342982904,0.5788360059177537
カテゴリ統合基準,30件未満を統合,被災学校種：小（対 高）,0.3288143015875484,0.27207176760166485,0.3973909012375072
カテゴリ統合基準,30件未満を統合,被災学校種：特中（対 高）,1.441288550243815,0.7236269488811432,2.8706955818544566
カテゴリ統合基準,30件未満を統合,被災学校種：特高（対 高）,1.553807058396101,0.9735922918334344,2.4798022693616333
カテゴリ統合基準,30件未満を統合,被災学校種：高専（対 高）,0.7013522570691112,0.33563984297267896,1.4655440907710613
カテゴリ統合基準,30件未満を統合,性別：女（対 男）,0.9106363635901409,0.7947661004732975,1.0433995438391708
カテゴリ統合基準,30件未満を統合,給付年度（西暦換算・標準化）,0.813913145980218,0.7674997170123968,0.8631333595510833
カテゴリ統合基準,50件未満を統合,切片,0.40597227125753593,0.36834646540000615,0.44744147293777614
カテゴリ統合基準,50件未満を統合,場合別1：その他（少数カテゴリ）（対 課外指導）,0.05902977543659612,0.02598393099401773,0.13410266479299088
カテゴリ統合基準,50件未満を統合,場合別1：休憩時間（対 課外指導）,0.9824154138326867,0.8141656286321243,1.185434525107104
カテゴリ統合基準,50件未満を統合,場合別1：各教科等（対 課外指導）,0.7600725077713126,0.6387852631226032,0.904388767902573
カテゴリ統合基準,50件未満を統合,場合別1：学校行事（対 課外指導）,1.0302776903087167,0.7856203315819953,1.351126080215349
カテゴリ統合基準,50件未満を統合,場合別1：特別活動（除学校行事）（対 課外指導）,1.2044484887839768,0.8857505936424942,1.6378156250150189
カテゴリ統合基準,50件未満を統合,場合別1：通学中（対 課外指導）,3.041258103819039,2.50393365538935,3.6938881484089334
カテゴリ統合基準,50件未満を統合,被災学校種：その他（少数カテゴリ）（対 高）,0.8358183028137447,0.5335836457280098,1.3092459652981019
カテゴリ統合基準,50件未満を統合,被災学校種：中（対 高）,0.5011300964114771,0.434655301711243,0.5777713340678674
カテゴリ統合基準,50件未満を統合,被災学校種：小（対 高）,0.3276208492936171,0.2711275836959352,0.3958852855497203
カテゴリ統合基準,50件未満を統合,被災学校種：特高（対 高）,1.5574328092092085,0.9754061605524269,2.486755828800113
カテゴリ統合基準,50件未満を統合,性別：女（対 男）,0.9118682459369277,0.7959736728514952,1.044637186264354
カテゴリ統合基準,50件未満を統合,給付年度（西暦換算・標準化）,0.8135826916364278,0.7672156101053316,0.862751992284802
